Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,Barbie's creator wanted Ken to have more of a 'bulge' — but Mattel refused to give the doll a prominent crotch,Somewhat Negative,1430,"['refused', 'refused', 'disagreed', 'worried', 'object', 'bumps', 'vice', 'terribly', 'vice', 'lacked', 'inappropriate', 'disagreed', 'scratch', 'reluctantly', 'bump', 'bump', 'difficult', 'wimpy', 'jerk', 'lack', 'issue', 'bump', 'bore', 'pout', 'criticism', 'controversy', 'quandary', 'bump', 'critics', 'unrealistic', 'harm']","['crotch', 'crotch', 'naked', 'crotch', 'crotch', 'sex', 'crotch', 'penis', 'penis', 'genital', 'penis', 'adult', 'penis', 'crotch', 'sexual', 'adult', 'sexual', 'boobs']","[Ken, Barbie, Ruth, Handler, Ken, Ken, Ruth, Handler, Barbie, Handlers, Kenneth, Ken, Handler, Ken, Handler, Robin, Gerber, Handler, Cy, Schneider, Ken, Hemingway, Barbie, Ernest, Dichter, Barbie, Ken, Schneider, Ken, Ken, M., G., Lords, Handler, Charlotte, Johnson, Barbie, Handler, Johnson, Lord, Lord, Johnson, Handler, Johnson, Johnson, Lord, Ruth, Ken, Gerber, Gerber, Lord, Handler, Handler, Schneider, Johnson, Lords, Johnson, Ken, Johnson, Schneider, Barbie, Barbie, Ken, Schneider, 'harassment', Handler, Gerber, Handlers, Barbie, Ken, Ken, Handler, Ken, Dwayne, Hickman, Dobie, Gillis, Ken, Warren, Beattyish, Bild, Lilli, Handler, Lilli, exciting, Handler, Gerber, Handler, Dichters, Barbie, 'harassment', Gerber, Barbie, Handler, Barbie, Handler, Ruth, Gerber, Ruth, Ernest, Dichter, Barbie, Schneider, 'lawsuit', Steven, Dubin, Jack, Ma, Chaiwalas, Praful, Billore, Ranveer, Allahbadia]"
2,Error 403 - Unavailable (IFW-U01),Extremely Negative,3070,"['Impossible', 'maniacal', 'Malignant', 'Malignant', 'Knock', 'refuse', 'villainous', 'unleash', 'crazy', 'fury', 'murderous', 'rampage', 'prison', 'Scream', 'Scream', 'Fury', 'Fury', 'enemy', 'Dungeons', 'Freaks', 'Dungeons', 'unlikely', 'plot', 'tyrant', 'falls', 'aggressive', 'Evil', 'Dead', 'Evil', 'Dead', 'Evil', 'Dead', 'clash', 'cramped', 'Dead', 'contend', 'threat', 'Furious', 'falling', 'conflict', 'Mirage', 'troubles', 'danger', 'uneasy', 'Insidious', 'Dark', 'Insidious', 'Insidious', 'Insidious', 'nightmare', 'haunt', 'Impossible', 'Dead', 'Impossible', 'Dead', 'confront', 'Blunt', 'Fury', 'Falls', 'contend', 'monster', 'strangely', 'demonic', 'Haunting', 'mystery', 'Haunting', 'exile', 'reluctantly', 'villains', 'Venom', 'villains', 'desperate', 'dead', 'plot', 'revenge', 'worries', 'struggles', 'Lost', 'Lost', 'bumped', 'delays', 'issues', 'uneasy', 'unlikely', 'Disappointment', 'punch', 'Pale', 'Pale', 'Mystery', 'craziness', 'gritty', 'scary', 'loss', 'dangerous', 'dead', 'estranged', 'Havoc', 'Havoc', 'estranged', 'dark', 'unleash', 'virus', 'extravagant', 'fell']","['Willy', 'Gun', 'killer', 'hostage', 'apocalypse', 'Cocaine', 'Cocaine', 'Cocaine', 'killer', 'weapon', 'destroy', 'fire', 'murder', 'Soviet', 'Fear', 'Pom', 'bomb', 'Terror', 'Fire', 'killer', 'Randy', 'Willy', 'Coon', 'Murder', 'amateur', 'crime', 'fight', 'criminal', 'conspiracy', 'corruption', 'hell', 'death', 'corruption', 'crime']","[Harrison, Ford, Indiana, Jones, Tom, Cruise, Timothe, Chalamet, Willy, Wonka, Paul, Atreides, Tobin, Bell, Jigsaw, Keanu, Reeves, John, Wick, Magic, Mike, Miles, Morales, Martin, Scorsese, Christopher, Nolan, Greta, Gerwig, M., Night, Shyamalan, Ari, Aster, Akela, Cooper, Cooper, James, Wan, Allison, Williams, Dave, Bautista, Jonathan, Groff, Ben, Aldridge, Nikki, AmukaBird, Rupert, Grint, Steven, Soderberghs, sole, Channing, Tatum, Salma, Hayek, Gavin, Spokes, Caitlin, Gerard, Mike, Lane, Jonathan, Majors, Loki, He, Who, Remains, Kang, the, Conquerer, Paul, Rudd, Evangeline, Lilly, Michael, Douglas, Michelle, Pfeiffer, Kathryn, Newton, David, Dastmalchian, Randall, Park, Kevin, Feige, Elizabeth, Banks, Keri, Russell, Matthew, Rhys, Margo, Martindale, OShea, Jackson, Jr., Alden, Ehrenreich, Jesse, Tyler, Ferguson, Ray, Liotta, Michael, B., Jordan, Ryan, Coogler, Adonis, Creed, Jonathan, Majors, Tessa, Thompson, Wood, Harris, Florian, Munteanu, Phylicia, Rashad, Samantha, Tara, Carpenter, Melissa, Barrera, Jenna, Ortega, Chad, Mindy, Meeks, Mason, Gooding, Jasmin, Savoy, Brown, Courteney, Cox, Gale, Weathers, Dermot, Mulroney, Henry, Czerny, Samara, Weaving, Zachary, Levi, Billy, Batson, Atlas, Helen, Mirren, Lucy, Liu, Rachel, Zegler, Hespera, Kalypso, Anthea, Djimon, Hounsou, Shazam, John, Wick, John, Wick, Keanu, Reeves, Wick, Donnie, Yen, Bill, Skarsgrd, Laurence, Fishburne, Ian, McShane, Hiroyuki, Sanada, Lance, Reddick, Clancy, Brown, Jonathan, Goldstein, John, Francis, Daley, Chris, Pine, Michelle, Rodriguez, RegJean, Page, Justice, Smith, Sophia, Lillis, Hugh, Grant, Pine, Chris, Pratt, Anya, TaylorJoy, Charlie, Day, Jack, Black, KeeganMichael, Key, Seth, Rogen, Fred, Armisen, Charles, Martinet, Mario, Luigi, Bowser, Michael, Jelenic, Aaron, Horvath, Renfield, Chris, McKay, Nicolas, Cage, Dracula, Counts, Renfield, Nicholas, Hoult, Renfield, Rebecca, Quincy, Awkwafina, Sam, Raimi, Bruce, Campbell, Robert, Tapert, James, Gunn, Peter, Quill, Chukwudi, Iwuji, Ayesha, Adam, Warlock, Will, Poulter, Justin, Lin, Jason, Momoa, Brie, Larson, 'lawsuit', Rob, Marshall, Halle, Bailey, Ariel, Triton, Javier, Bardem, Eric, Jonah, HauerKing, Ariels, quest, Ursula, Melissa, McCarthy, Daveed, Diggs, Jacob, Tremblay, Awkwafina, Miles, Morales, Gwen, Stacy, Oscar, Isaac, Miguel, OHaraSpiderMan, Shameik, Moore, Hailee, Steinfeld, Jake, Johnson, Brian, Tyree, Henry, Luna, Lauren, Vlez, Issa, Rae, Jessica, DrewSpiderWoman, Jason, Schwartzman, Spot, Daniel, Kaluuya, Hobart, Hobie, BrownSpiderPunk, Anthony, Ramos, Dominique, Fishback, Peter, Cullen, Optimus, Prime, Pete, Davidson, Liza, Koshy, Arcee, Ember, Wade, Barry, Allen, Ezra, Millers, 'lawsuit', Miller, Kiersey, Clemons, Michael, Shannon, Zod, Ben, Affleck, Michael, Keaton, Batman, Keatons, Batman, Sasha, Calle, Supergirl, Indiana, Jones, Harrison, Ford, Indiana, Jones, James, Mangold, Indiana, Jones, 'harassment', Voller, Mads, Mikkelsen, John, RhysDavies, Sallah, Phoebe, WallerBridge, Antonio, Banderas, Shaunette, Rene, Wilson, Thomas, Kretschmann, Toby, Jones, Boyd, Holbrook, Zachary, Levi, Zooey, Deschanel, Lil, Rel, Howery, Ravi, Patel, Crockett, Johnsons, Harold, Patrick, Wilson, Leigh, Whannell, Wilson, Rose, Byrne, Ty, Simpkins, Lambert, Josh, Lambert, Wilson, Simpkins, Tom, Cruise, Ving, Rhames, Simon, Pegg, Rebecca, Ferguson, Vanessa, Kirby, Henry, Czerny, Ethan, Hunt, Hayley, Atwell, Shea, Whigham, Pom, Klementieff, Esai, Morales, 'lawsuit', Rob, Delaney, Cary, Elwes, Oppenheimer, Christopher, Nolans, J., Robert, Oppenheimer, Cillian, Murphy, Oppenheimer, Emily, Blunt, Matt, Damon, Robert, Downey, Jr., Gary, Oldman, Jack, Quaid, Rami, Malek, Kenneth, Branagh, Florence, Pugh, Barbie, Greta, Gerwig, Lady, Bird, Margot, Robbie, Ryan, Gosling, Gerwig, Noah, Baumbach, Will, Ferrell, America, Ferrera, Simu, Liu, Ken, Kate, McKinnon, Kingsley, BenAdir, Issa, Rae, Michael, Cera, Brie, Larsons, Carol, Danvers, Teyonah, Parris, Monica, Rambeau, Iman, Vellanis, Kamala, Khan, Samuel, L., Jackson, Nick, Fury, Zawe, Ashton, Leonardo, Michelangelo, Donatello, Raphael, Jeff, Rowe, Seth, Rogen, Evan, Goldberg, Jason, Statham, Jonas, Taylor, Steve, Altens, Taylor, Cliff, Curtis, Page, Kennedy, Jared, Leto, Hatbox, Ghost, Jamie, Lee, Curtis, Rosario, Dawson, LaKeith, Stanfield, Owen, Wilson, Tiffany, Haddish, Winona, Ryder, Dan, Levy, Neil, Blomkamp, David, Harbour, Orlando, Bloom, Djimon, Hounsou, Archie, Madekwe, Cobra, Kais, Xolo, Mariduea, George, Lopez, Susan, Sarandon, Antoine, FuquaDenzel, Washington, Washington, Dakota, Fanning, Taissa, Farmigas, Irene, Valak, Nun, Kenneth, Branaghs, Hercule, Poirot, Agatha, Christie, Jamie, Dornan, Tina, Fey, Kelly, Reilly, Michelle, Yeoh, Poirot, Sylvester, Stallones, Stallone, Jason, Statham, Dolph, Lundgren, Randy, Couture, Curtis, 50, Cent, Jackson, Megan, Fox, Andy, Garca, Tony, Jaa, Jacob, Scipio, Iko, Uwais, Levy, Tran, Sonys, Spiderverse, Morbius, Venom, Aaron, TaylorJohnson, Sergei, Kravinoff, Russell, Crowe, Christopher, Abbott, Alessandro, Nivola, Fred, Hechinger, Kravens, David, Gordon, Green, William, Friedkins, Ellen, Burstyn, Chris, MacNeil, Leslie, Odom, Jr., Ann, Dowd, Burstyns, Chris, Tobin, Bell, John, Kramer, Jigsaw, Denis, Villeneuves, twopart, Frank, Herberts, Dune, Paul, Atreides, Timothe, Chalamet, Chani, Zendaya, Fremen, Florence, Pugh, Austin, Butler, La, Seydoux, Christopher, Walken, Suzanne, Collins, Tom, Blyth, Coriolanus, Snow, Rachel, Zegler, Peter, Dinklage, Viola, Davis, Jason, Schwartzman, Coriolanus, Snow, Wonka, Chalamet, Paul, King, Paddington, Roald, Dahls, Willy, Wonka, Olivia, Colman, KeeganMichael, Key, Rowan, Atkinson, Sally, Hawkins, Jim, Carter, Alice, Walkers, Fantasia, Colman, Domingo, Taraji, P., Henson, Corey, Hawkins, Ciara, Danielle, Brooks, Louis, Gossett, Jr., Steven, Spielbergs, 1985, Spengler, Jason, Reitman, Paul, Rudd, Mckenna, Grace, Carrie, Coon, Finn, Wolfhard, James, Wans, Jason, Momoas, Arthur, Curry, Amber, Heard, Willem, Dafoe, Patrick, Wilson, Dolph, Lundgren, Yahya, AbdulMateen, II, Temuera, Morrison, Nicole, Kidman, Ari, Asters, Joaquin, Phoenix, Nathan, Lane, Patti, LuPone, Amy, Ryan, Parker, Posey, Michael, Gandolfini, Zoe, ListerJones, Richard, Kind, Christian, Bale, Gillian, Anderson, Toby, Jones, Scott, Coopers, Augustus, Landor, Bale, Edgar, Allan, Poe, Harry, Melling, Reese, Witherspoon, Ashton, Kutcher, Tig, Notaro, Zo, Chao, Steve, Zahn, Adam, Sandler, Jennifer, Aniston, Nick, Audrey, Spitz, Mark, Strong, Mlanie, Laurent, Jodie, TurnerSmith, Tony, Goldwyn, Idris, Elbas, Neil, Cross, Elba, Cynthia, Erivo, Andy, Serkis, Gal, Gadot, Rachel, Stone, Jamie, Dornan, Chris, Hemsworth, Joe, RussopennedSam, Hargravedirected, Tyler, Rake, Jennifer, Lopez, Joseph, Fiennes, Omari, Hardwick, Gael, Garca, Bernal, Lopez, Gareth, Evans, Tom, Hardy, Forest, Whitaker, Timothy, Olyphant, Bradley, Cooper, Cooper, Leonard, Bernstein, Carey, Mulligan, Jeremy, Strong, Matt, Bomer, Maya, Hawke, Sarah, Silverman, Martin, ScorseseSteven, SpielbergTodd, Phillipsproduced, Axel, Foley, Eddie, Murphy, Reinhold, John, Ashton, Bronson, Pinchot, Paul, Reiser, Joseph, GordonLevitt, Kevin, Bacon, Murphys, Axel, Foley, Robert, Rodriguez, Gina, Rodriguez, Zachary, Levi, Jennifer, Lopez, Josh, Duhamel, Jake, Kazdan, Dwayne, Johnson, Chris, Evans, Kiernan, Shipka, Lucy, Liu, Mary, Elizabeth, Ellis, J., K., Simmons, Nick, Kroll, Martin, Scorsese, Leonardo, DiCaprio, Robert, De, Niro, J., Edgar, Hoover, Tom, White, Jesse, Plemons, Brendan, Fraser, John, Lithgow, Tantoo, Cardinal]"
3,"
                    Culture 2023: our picks for film, TV, music and art
                ",Extremely Positive,160,"['critic', 'critic', 'ruined', 'Afraid', 'Lost', 'Bad', 'Surrender']","['Cocaine', 'Desire']","[Alex, Needham, Sam, Wolfson, Ellen, E, Jones, Ellen, E, Jones, Nosheen, Iqbal, Alex, Needham, Sam, Wolfson, Ellen, E, Jones, Steven, Spielberg, Fabelmans, Christopher, Nolan, Oppenheimer, Martin, Scorsese, Nia, DaCosta, Denis, Villeneuve, James, Mangold, Indiana, Jones, Ari, Aster, Greta, Gerwig, Barbie, Jamie, Suk, Chinonye, Chukwu, Till, Todd, Field, Daniel, Kwan, Daniel, Scheinert, Chantal, Akerman, Jeanne, Dielman, 23, quai, du, Commerce, 1080, Bruxelles, Elizabeth, Banks, Cocaine, Bear, Ali, Abbasi, Annie, Mac, Kate, Bush, Gerry, Rafferty, William, Onyeabor, Judee, Sill, Scott, Walker, Iggy, Pop, Johnny, John, Cale, Mercy, Steve, Lacy, Olivia, Rodrigo, Aha, Take, On, Tommy, Soft, Frank, Ocean, Rihanna, Gillian, Lynne, Alice, Neel, David, Hockney, Edel, Assanti, Sonia, Boyce, Turner, Veronica, Ryan, Turner, Sally, Wainwright, Chris, Lang, Fernanda, Melchor, Fernanda, Melchor]"
4,First 'Barbie' teaser trailer parodies Stanley Kubrick's '2001: A Space Odyssey',Somewhat Positive,20,"['fiction', 'plot']",[],"[Barbie, Barbie, Stanley, Kubricks, Barbie, Margot, Robbie, Kubricks, ala, Moonwatcher, Barbie, Barbie, Samantha, Cristoforetti, Anna, Kikina, Greta, Gerwig, Robbie, Ryan, Gosling, Ken, Ken, Barbie, Will, Ferrell]"
5,"The Guide #67: Barbie, Cocaine Bear and the new culture we can’t wait for in 2023",Extremely Positive,580,"['messy', 'controversy', 'badly', 'tense', 'strangely', 'dangerous', 'cynical', 'Unlikely', 'Dead', 'unpredictable', 'punk', 'unpredictable', 'fall', 'noxious', 'unpleasant', 'Bloody', 'doomed', 'disrupt', 'zombie', 'zombie', 'lost', 'Burns', 'brimstone', 'preposterous', 'Trouble', 'rumours']","['Cocaine', 'bomb', 'explosion', 'crack', 'fire', 'crime']","[Terrys, Chocolate, Orange, Martin, Scorseses, Cate, Blanchett, Blanchett, Lydia, Tr, 'lawsuit', Thatcher, Rosy, McEwen, Keri, Russell, OShea, Jackson, Jr, Alden, Ehrenreich, Ray, Liotta, Greta, Gerwig, Margot, Robbie, Barbie, Ryan, Gosling, Ken, Simu, Liu, Emma, Mackey, Michael, Cera, Issa, Rae, Oppenheimer, Christopher, Nolans, Robert, Oppenheimer, Nolan, Cillian, Murphy, Nolan, Kelela, Raven, Kelela, Land, of, Sleeper, Matt, Baty, Tracey, Thorn, Ben, Watt, Kevin, Shields, Shields, Ridley, Scott, Craig, Mazin, Pedro, Pascal, Bella, Ramsey, Murray, Bartlett, Nick, Offerman, Simon, Bird, Morgana, Robinson, Liam, Williams, Lolly, Adefope, Aus, Fleischman, Taffy, BrodesserAkners, Jesse, Eisenberg, Claire, Danes, Lizzy, Caplan, Austin, Butler, Barry, Keoghan, Tom, Hanks, Steven, Spielberg, Nicola, Walker, Roys]"
6,Casetify debuts new line of cases with Mickey and Friends,Extremely Positive,10,['Goofy'],[],"[Daisy, Duck, Donald, Duck, Harry, Potter]"
7,10 Comedies We Can’t Wait to See in 2023,Extremely Positive,760,"['Impossible', 'plot', 'darker', 'rage', 'hard', 'funny', 'intense', 'tired', 'absurd', 'denying', 'Outrage', 'Slap', 'altercation', 'Outrage', 'tangled', 'Mar', 'weird', 'impossible', 'dead', 'smash', 'disappointment', 'underdog', 'pitiful', 'hard', 'wrong', 'dreary', 'miserable', 'delays', 'gossip', 'hate', 'Hurt', 'funny', 'sad', 'insecurity', 'Hurt', 'strike', 'lie']","['hell', 'hell', 'hell', 'Hitler', 'Death', 'killer']","[Barbie, Christopher, Nolans, Oppenheimer, Barbie, Margot, Robbie, Ryan, Gosling, Ken, Will, Ferrell, Issa, Rae, Michael, Cera, America, Ferrera, Greta, Gerwig, Gerwigs, Barbie, Ken, Ali, Wong, Steven, Yeun, Lee, Sung, Jin, Dave, Wong, Yeun, Bupkis, Pete, Davidson, Bupkis, Davidsons, Pete, Davidson, Edie, Falco, Joe, Pesci, Charlie, Day, Brad, Garrett, Ray, Romano, Kenan, Thompson, Bupkis, Davidson, Chris, Rock, 'harassment', Chris, Rock, Will, Smith, 'harassment', Rock, Rock, Smith, Phil, Lord, Christopher, Miller, Bill, Lawrence, Lord, Will, Forte, Juliet, McDaniel, Maxine, Wiig, Laura, Dern, Allison, Janney, Ricky, Martin, Carol, Burnett, Wiig, Taika, Waititi, Hitler, Thomas, Rongen, Michael, Fassbender, Waititi, Adam, Scott, Ted, Lasso, Ted, Lasso, Jason, Sudeikis, Jeremy, Swift, Sudeikis, Olivia, Wilde, Ted, Lasso, Ted, Lasso, Nicole, Holofcener, Julia, LouisDreyfus, James, Gandolfini, Holofcener, LouisDreyfus, Beth, Don, Tobias, Menzies, Don, LouisDreyfus]"
8,Happy new year: will cinema finally cheer up in 2023? ,Extremely Positive,240,"['tangle', 'hard', 'contention', 'fall', 'betrayal', 'worry', 'wreck', 'concerns', 'marginally', 'funny', 'hard', 'ominous', 'fictional', 'desert', 'madly', 'hard', 'slog', 'sadness', 'Hard', 'lose']",['Gun'],"[Paul, Kings, Timothe, Chalamet, the, Oompa, Loompas, Olivia, Colman, Sally, Hawkins, Matt, Lucas, Simon, Farnaby, Neil, Hannon, Simon, Rich, Wonka, Chalamet, Kings, King, Wes, Anderson, Roald, Dahl, Benedict, Cumberbatch, Anderson, Junior, Stargazer, Anderson, Jason, Schwartzman, Tilda, Swinton, Adrien, Brody, Jeff, Goldblum, Jarvis, Cocker, Jeffrey, Wright, Edward, Norton, Margot, Robbie, Rupert, Friend, Matt, Dillon, Bryan, Cranston, Tom, Hanks, Steve, Carell, Robbie, Greta, Gerwig, Robbie, Ryan, Gosling, Channing, Tatum, Jennifer, Lawrence, Luca, Guadagnino, Zendaya]"
9,"Simu Liu: ‘Barbie’ Will Dismantle ‘Blonde, White’ Stereotypical Doll Beauty Standards",Extremely Positive,30,"['stereotypical', 'Vanity', 'isolated', 'breaking']",[],"[Simu, Liu, Barbie, Greta, Gerwig, Noah, Baumbach, Margot, Robbie, Ryan, Gosling, Barbie, Ken, Goslings, Barbies, Kens, Barbie, Kate, McKinnon, America, Ferrera, Will, Ferrell, Issa, Rae, Michael, Cera, Kingsley, BenAdir, Ncuti, Gatwa, Hari, Nef, Nicola, Coughlan, Emerald, Fennell, Greta, Barbie, a, Ken, Liu, Liu, Liu, Gerwig, Gerwig, Barbie, Dua, Lipas, At, Your, Service]"
10,"10 Of The Biggest Box Office Gambles Of 2023, From Barbie To Cocaine Bear",Extremely Positive,1070,"['slower', 'Lost', 'hard', 'burning', 'doubt', 'refuses', 'hang', 'Rocky', 'crushed', 'hype', 'Jagged', 'break', 'frenzy', 'devastatingly', 'bad', 'Dungeons', 'Dungeons', 'Dungeons', 'scratch', 'brutal', 'cursed', 'problem', 'Fury', 'ugly', 'badly', 'shaky', 'struggling', 'expensive', 'crazy', 'fall', 'ridiculous', 'breaking', 'pricey', 'struggle', 'damning', 'Curse', 'strike', 'Curse', 'impossible', 'scare', 'villains', 'Venom', 'unexpectedly', 'critical', 'critical', 'disaster', 'Venom', 'bad', 'hurt', 'worse', 'dire', 'falls', 'hampered']","['Cocaine', 'hell', 'Willy', 'Blind', 'Cocaine', 'Cocaine', 'cocaine', 'drug', 'itch', 'bomb', 'damn']","[Barbie, Christopher, Nolans, Oppenheimer, Taika, Waititis, Timothee, Chalamet, Brady, Tom, Brady, Brady, Jane, Fonda, Sally, Field, Rita, Morena, Lily, Tomlin, Brady, Tom, Brady, Fonda, Field, A., A., Milne, Rhys, FrakeWaterfield, Elizabeth, Banks, Jonathan, Goldstein, John, Francis, Daley, Chris, Pine, Rege, Jean, Page, Michelle, Rodriguez, Adam, Driver, Scott, Beck, Bryan, Woods, Driver, Peter, Sohns, Barbie, Greta, Gerwigs, Barbie, Margot, Robbie, Ryan, Gosling, Simu, Liu, Will, Ferrell, Kate, McKinnon, Christopher, Nolans, Atier, Justin, Simien, Owen, Wilson, Jamie, Lee, Curtis, Danny, DeVito, Rosario, Dawson, Kraven, the, Hunter, Spidey, Kraven, the, Hunter, Aaron, TaylorJohnson, Spidey, J., C., Chandor, Triple, Frontier, Russell, Crowe, Ariana, DeBose, Morbius, Roald, Dahl, Timothee, Chalamet, Paul, King, Paddington]"
