Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"
      The soda market is flat, but not for Dr Pepper
    ",Generally Neutral,220,"['odd', 'underdog', 'declining', 'outsider', 'hard', 'sued', 'infringement', 'accusing', 'denying', 'threat', 'fell', 'struggle']",['drug'],"[Duane, Stanford, Charles, Alderton, Wade, Morrison, Morrison, Charles, Pepper, Joy, SummarSmith, Morrison, SummarSmith, Tristan, Donovan, 'lawsuit', 'lawsuit', Donovan, Derek, Dabrowski]"
2,Why is American chocolate so disgusting? You really don’t want to know,Extremely Negative,470,"['futility', 'mystery', 'disgusting', 'misfortune', 'wretched', 'fails', 'unsafe', 'hard', 'complacent', 'terrible']","['death', 'vomit', 'vomit']","['lawsuit', Arwa, Mahdawi]"
3,Man sues Hershey over lead levels found in chocolate bars,Extremely Negative,370,"['fails', 'unsafe', 'dark', 'sued', 'unsafe']","['Drug', 'crap']","['lawsuit', Christopher, Lazazzaro, Victoria, Bekiempis]"
4,Hershey sued by New York man over ‘unsafe’ levels of metal in chocolate,Extremely Negative,610,"['fails', 'unsafe', 'dark', 'limits', 'Dark', 'Dark', 'Dark', 'false', 'deceptive', 'misleading', 'risk', 'expensive', 'dark', 'suffered', 'injury', 'allege', 'suffered', 'problems', 'weakness', 'damage', 'risk', 'nervous', 'damage', 'issues', 'dangerous']",['Disease'],"['lawsuit', Christopher, Lazazzaro, 'lawsuit', Lazazzaro, Lazazzaro, 'lawsuit', 'lawsuit']"
5,Change isn’t graceful but we live in a graceless age. So happy new year – now get on with it!,Extremely Positive,400,"['terrible', 'guilty', 'anxiety', 'weird', 'Minority', 'dumping', 'lost', 'loss', 'lose', 'obscured', 'fraught', 'desperate', 'liar', 'worse', 'utterly', 'dying', 'nebulous', 'untrustworthy', 'bizarre', 'terrible', 'freak', 'weird', 'sack', 'dead', 'bored', 'chaos', 'stark', 'crush', 'wretched', 'lose', 'losing', 'fragile', 'graceless', 'stranger', 'Grievances', 'problem']",['Bible'],"[Jack, Vening]"
6,"The World’s Best McDonald’s Is in Wales, According to a Michelin-Starred Chef",Extremely Positive,10,['scoff'],[],"[Dobbys, Gareth, Ward, Ward]"
7,No Headline,Extremely Negative,4890,"['losing', 'losing', 'expire', 'Mistake', 'concern', 'Worst', 'Downturn', 'skimpy', 'fall', 'crude', 'crude', 'Unpopular', 'Collapse', 'Expensive', 'Debt', 'Limit', 'fears', 'implode', 'debt', 'penalty', 'Defiant', 'Falls', 'collapse', 'debt', 'limit', 'meltdown', 'rejects', 'polluters', 'risk', 'bad', 'ugly', 'denies', 'Lost', 'Debt', 'Showdown', 'Depressed', 'Debacle', 'Disappointing', 'contagious', 'audacious', 'unlikely', 'warning', 'issues', 'warned', 'drought', 'complicated', 'struggle', 'Violent', 'Volatile', 'penalty', 'decline', 'recession', 'fall', 'lied', 'fake', 'delays', 'Dungeons', 'uninsured', 'fell', 'confused', 'flagging', 'debt', 'limit', 'Losses', 'shock', 'mistakes', 'doomed', 'strike', 'Costly', 'Struggles', 'Debt', 'Limit', 'Debt', 'Limit', 'recession', 'worse', 'meltdown', 'Recession', 'Pessimism', 'showdown', 'split', 'allegations', 'flagging', 'meltdown', 'unlawful', 'bad', 'debt', 'mess', 'crisis', 'fret', 'loses', 'controversial', 'sues', 'shameful', 'loses', 'fears', 'Hard', 'Ugly', 'scrambling', 'warned', 'misleading', 'risk', 'disruption', 'decline', 'Worst', 'damages', 'recession', 'complaint', 'bias', 'loud', 'skeptic', 'debt', 'limit', 'Shockingly', 'problem', 'Debt', 'stress', 'risks', 'Falling', 'risk', 'volatility', 'Liable', 'Sues', 'Mystery', 'Tricked', 'subpoenas', 'split', 'impossible', 'severe', 'careless', 'shady', 'hypocritical', 'Hate', 'fails', 'debt', 'crisis', 'risk', 'Abnormal', 'Breaks', 'Horrible', 'Worse', 'crushed', 'false', 'recession', 'error', 'incorrectly', 'glitch', 'embattled', 'loose', 'destruction', 'Crisis', 'losing', 'Cautionary', 'Fake', 'debt', 'crisis', 'foe', 'worries', 'bad', 'Sued', 'attacks', 'Mocked', 'Weird', 'risk', 'scandal', 'risks', 'doubt', 'tentative', 'crisis', 'worst', 'risk', 'debt', 'limit', 'debt', 'discriminatory', 'lose', 'complaints', 'lost', 'outraged', 'troubled', 'debt', 'limit', 'concerns', 'drought', 'Bad', 'controversial', 'Allergy', 'Delaying', 'Scam', 'Issues', 'Hard', 'Worse', 'Fall', 'Marginal', 'Rifts', 'fierce', 'strike', 'problem', 'Crisis', 'wrong', 'breaks', 'loss', 'Breach', 'Crude', 'fall', 'conflicts', 'attacks', 'denies', 'fall', 'accusing', 'noise']","['blow', 'Crime', 'fraud', 'Republican', 'death', 'fraud', 'fraud', 'Explosion', 'fraud', 'sick', 'racial', 'Beast', 'cancer', 'fraud', 'killing', 'Burn', 'fraud', 'HIV', 'Die', 'criminal', 'deposit', 'fraud', 'fraud', 'explosion', 'fraud', 'deposit', 'abortion', 'Naked', 'Killed', 'Burn', 'Virgin', 'Arab', 'crime', 'assassination', 'killer', 'murder', 'killer', 'murder']","[Jamie, Dimon, Frank, 'lawsuit', Elon, Musk, Yellen, Lula, Nelson, Peltz, Yellen, Musk, Garcia, Bill, Hwangs, Archegos, 'lawsuit', Elon, Musk, Nancy, Pelosi, Janet, Yellen, Kevin, McCarthy, Arianna, Johnson, dianebrady, 'lawsuit', Eugene, Scalia, Larry, Fink, Donald, Trumps, Dimon, Bill, Gates, Yellen, Lisa, Marie, Presleys, 'lawsuit', Graceland, Yellen, Yellen, Biden, McCarthy, McCarthy, Biden, 'harassment', Massimiliano, Allegri, Kanye, West, Kim, Kardashian, Martin, Luther, King, Jr, The, Martin, Luther, King, Jr., Winklevoss, 'lawsuit', Tim, Cook, Josh, Flagg, Keith, FitzGerald, Josh, Flagg, Max, Keiser, Gensler, 'lawsuit', Joe, Bidens, Thom, Browne, Tim, Cook, 'lawsuit', Thom, Browne, Putin, Pedro, Pascal, Frank, 'harassment', 'lawsuit', 'harassment', Sarah, Natochenny, 'lawsuit', Brett, House, Biden, Tim, Cook, 'lawsuit', 'lawsuit', Winklevoss, Barry, Diller, Barry, Ritholtz, Semafor, Brazils, Beyonc, Semafor, Semafor, Semafor, Stephen, Heifetz, Semafor, Semafor, Semafor, Semafor, Biden, Daikin, Biden, Kishida, Biden, Kishida, Marcus, Jones, Elon, Musk, Larry, Summers, Elon, Musks, Damar, Hamlin, Warren, Buffetts, Elon, Musk, Biden, Biden, Trump, Merrick, Garland, Biden, 'harassment', Tim, Cook, Barbie, David, Kessler, Obamaera, Biden, 'harassment', Biden, McCarthys, Kari, Lake, Biden, Biden, Trump, Biden, Trump, Yellen, Yellen, 'lawsuit', Nick, Silverman, 'lawsuit', Steve, Bannon, Nelson, Peltz, David, Gordon, Peter, Klein, Jeff, Deist, Robert, P., Murphy, Peter, G., Klein, Lipton, Matthews, William, L., Anderson, Ryan, McMaken, Kevin, McCarthy, Webb, Kanye, West, Biden, Kishida, McCarthy, Biden, 'harassment', Floyd, Elon, Musk, Shinzo, Abe, Shinzo, Abe, Shinzo, Abe, Milo, Zeman]"
8,Miriam Margolyes: ‘People have this idea that I’m a walking cesspit. I think it’s quite unfair’,Extremely Negative,1650,"['unattractive', 'tired', 'bored', 'hung', 'hideous', 'hated', 'bully', 'badly', 'dead', 'afraid', 'Hurt', 'vile', 'sad', 'ghastly', 'arrogance', 'struggling', 'bloody', 'hard', 'pain', 'depressed', 'difficult', 'joke', 'filthy', 'filthy', 'loose', 'filth', 'filth', 'idiots', 'loathe', 'trouble', 'trouble', 'upset', 'funny', 'annoying', 'hateful', 'eccentric']","['sexy', 'sex', 'wanking', 'Sexy', 'sex', 'Sexy', 'Sexy', 'fat', 'sex', 'arse', 'tits', 'tits', 'Death', 'Death', 'die', 'fucking', 'Gay', 'twat', 'sex', 'sex']","[Sexy, Sonia, Sexy, Sonia, Sakiaba, AlisaG215, Menahem, Golan, Joss, Ackland, Kevin, Kline, Larry, Kasdan, Joan, Plowright, Tracey, Ullman, River, Phoenix, William, Hurt, Harry, Potter, Gelion, Mummy, Animus, 'harassment', Vladimir, Putin, Nigel, Farage, Boris, Johnson, David, Cameron, Benjamin, Netanyahu, Jeremy, Hunt, 'harassment', Miriam, Margolyes]"
9,"[NSW] 171g Cadbury Chocolates $0.50 @ Kmart, Rhodes",Extremely Negative,200,['cheap'],[],[]
10,No Headline,Extremely Negative,330,"['volatility', 'overlook', 'concerns', 'failing', 'irregular', 'inequalities', 'injustice', 'confuse', 'lose']",[],"[Mike, Johnston, Johnston, Tim, Clover, Clovers, 'harassment', Dragana, GordicAdobe, Stock]"
