Article,Title,Description,URL,Content,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,Meta fined $414 million in EU for requiring personalized ads,"Meta is facing yet another European Union fine. As hinted last month, EU authorities are fining Meta €390 million (about $414 million) after determining that the company illegally required that Facebook, Instagram and WhatsApp users accept personalized ads. T…",https://www.engadget.com/meta-eu-fine-personalized-ads-163403318.html,Meta is facing yet another European Union fine. As hinted last month EU authorities are fining Meta 390 million about 414 million after determining that the company illegally required that Facebook Instagram and WhatsApp users accept personalized ads. The social media giant allegedly violated the General Data Protection Regulation GDPR by asking for permission to collect ad targeting data in its terms of service you have to either allow personalized ads or stop using the platforms altogether according to regulators. The EU didnt say how it expected Meta to obey the decision. However the wording suggests Meta will have to let users choose whether or not they accept personalized ads. In a statement Meta said it was disappointed by the ruling and felt its existing approach respects the GDPR. The firm plans to appeal the findings. The resistance isnt surprising. Meta has historically opposed attempts to decline personalized ads and predicted that Apples App Tracking Transparency which lets you ask apps not to track you could cost it 10 billion in lost ad revenue last year. Users behind proposed class action lawsuits have even accused Meta of trying to dodge Apples privacy feature by inserting tracking code through the inapp web browser. If Meta loses its appeal it risks losing a significant amount of revenue as people see fewer ads theyre likely to click. Its doubtful the EU will back down however. Irelands Data Protection Commission DPC which regulates Metas EU activity has repeatedly fined the company in the past year and a half. The DPC slapped Meta with a 405 million 402 million fine over Instagrams child privacy settings in September and in November issued a 265 million 277 million penalty for reportedly failing to protect users against data scraping. Officials want Meta to change its ways and this latest ruling only adds to the pressure.,Meta reconfirms its commitment to the metaverse,Somewhat Positive,70,"['criticized', 'loss', 'skepticism', 'disastrous', 'losing', 'criticizing', 'lack', 'rival']",[],"[Andrew, Bosworth, John, Carmack]"
2,Ireland fines Meta over $400 million for its targeted advertising practices,Ireland’s Data Protection Commission has issued two fines for how Meta handled Facebook and Instagram compliance with Europe’s GDPR.,https://www.theverge.com/2023/1/4/23538750/ireland-dpc-meta-instagram-facebook-gdpr-violation-fines,Irelands Data Protection Commission DPC has fined Meta over its handling of user data following hundreds of millions of dollars in similar fines and potentially putting parts of its ad business at risk. The DPC announced today that Meta must pay 210 million around 222 million for violating European Union privacy rules with Facebooks practices plus 180 million around 191 million over similar violations with Instagram. The fines stem from two 2018 complaints about how Meta formerly Facebook complied with the General Data Protection Regulation GDPR which went into effect that year. Both Facebook and Instagrams terms of service began requiring users to accept a new terms of service contract that included the processing of user data. But the complaints alleged that this amounted to forcing them to consent to things like targeted advertising in violation of the new rules. The DPC found that Metas updates had been insufficiently clear and after consulting with the European Data Protection Board EDPB it decided that Meta couldnt rely on the contract as an absolute defense of its business practices. The EDPBs guidance also led regulators to increase their planned fines for the company. In addition to the fines Meta must bring its operations into compliance with the GDPR within three months. Previous reporting by The Wall Street Journal indicated that Meta could face significant restrictions on its ability to conduct targeted advertising under the new rules. In a blog post Meta said it intended to appeal the decisions but it denied that they meant it would have to stop the practice. These decisions do not prevent personalized advertising on our platform. The decisions relate only to which legal basis Meta uses when offering certain advertising it said. We are assessing a variety of options that will allow us to continue offering a fully personalized service to our users. These fines come on top of several previous rulings that Meta violated European regulations. The DPC determined in November that Meta should pay 276 million over a 2021 data leak in September it issued a 402 million fine for how it handled teens Instagram data and in March it fined the company around 18 million for recordkeeping problems.,Meta fined $414 million in EU for requiring personalized ads,Extremely Negative,440,"['illegally', 'disappointed', 'resistance', 'decline', 'lost', 'loses', 'risks', 'losing', 'doubtful', 'penalty', 'failing']",[],"['harassment', 'lawsuit', 'lawsuit', 'lawsuit']"
3,Meta rolls out AI ad-targeting tech in an effort to reduce discrimination,"Meta is acting on its vow to reduce ad discrimination through technology. The company is rolling out a Variance Reduction System (VRS) in the US that ensures the real audience for an ad more closely matches the eligible target audience — that is, it shouldn't…",https://www.engadget.com/meta-anti-discrimination-ad-technology-200037894.html,Meta is acting on its vow to reduce ad discrimination through technology. The company is rolling out a Variance Reduction System VRS in the US that ensures the real audience for an ad more closely matches the eligible target audience that is it shouldnt skew unfairly toward certain cultural groups. Once enough people have seen an ad a machine learning system compares the aggregate demographics of viewers with those the marketers intended to reach. It then tweaks the ads auction value that is the likelihood youll see the ad to display it more or less often to certain groups. VRS keeps working throughout an ad run. And yes Meta is aware of the potential privacy issues. It stresses that the system cant see an individuals age gender or estimated ethnicity. Differential privacy tech also introduces noise that prevents the AI from learning individual demographic info over time. The antidiscrimination method will initially apply to the housing ads that prompted the settlement. VRS will reach credit and employment ads in the country over the following year Meta says. The feature comes after more than a year of work alongside both the Justice Department and the Department of Housing and Urban Development. Meta then Facebook was charged in 2019 with enabling discrimination in housing ads by letting advertisers exclude certain demographics including those protected by the Fair Housing Act. In a June 2022 settlement the social media giant said it would both deploy VRS and scrap the Special Ad Audience tool whose algorithm allegedly led to discrimination. Meta had already limited ad targeting in 2019 in response to another lawsuit. Meta isnt alone in trying to limit discriminatory ads. Google barred advertisers from targeting credit housing and job ads starting in 2020. However the tech used to fight that discrimination is relatively novel. It wont be surprising if other internet services implement VRSlike systems of their own so long as Metas AI proves effective.,Ireland fines Meta over $400 million for its targeted advertising practices,Extremely Negative,350,"['risk', 'complaints', 'complaints', 'violation', 'insufficiently', 'denied', 'leak', 'problems']",[],"['harassment', 'lawsuit']"
4,How to permanently delete all your Facebook and Meta-owned accounts,"It’s never exactly easy to pull the plug on a social media account you’ve had for years. For many of us, our accounts are filled with years of photos, memories and memes that aren’t easy to part with ,even if we are ready to stop the daily scrolling habit. Fo…",https://www.engadget.com/how-to-delete-all-your-facebook-and-meta-owned-accounts-141517953.html,Its never exactly easy to pull the plug on a social media account youve had for years. For many of us our accounts are filled with years of photos memories and memes that arent easy to part with even if we are ready to stop the daily scrolling habit. For Facebook Instagram and other Metarun services deleting an account entirely isnt necessarily straightforward either. And even though all the services are run by the same company there isnt one centralized way to delete all your Metaassociated accounts. The good news is that removing these accounts is in many cases a lot easier than it has been in the past even if there are sometimes a few extra steps involved. Keep reading to find out exactly how to delete your Facebook Instagram Messenger WhatsApp and Oculus accounts. First download your data Regardless of your reasons for wanting to leave your accounts behind its worth it to take the time to download all your data before you delete them for good. Downloading your data will ensure you have a record of your prior posts messages photos and other activity. These data archives look a little different for each service but in general they contain your previous posts a record of what accounts you follow your messages and even some of your past activity on the services. Some like Facebook will even provide a record of what the sites advertisers know about you. In other words its a lot of data. And it may not seem like a lot of that is worth hanging onto but if youve used an account for years its a good way to preserve a record of your past photos videos and other posts. Though you should also be prepared for it to surface some data you might not want to remember like conversations with former partners or cringey college photos. On Facebook you can access your archive from Settings Privacy Settings Your Facebook Information download your information request download. On Instagram its More Settings Privacy and Security Data download Request download. On WhatsApp its Settings Account Request account info. Of note WhatsApps reports dont include the content of your actual messages. If you want to preserve a copy of your messages youll need to export your chat history on each message thread you wish to hang onto. On Messenger downloads have to be initiated through the mobile app. On both Android and iOS go to Account Settings located in the chats tab Your Facebook Information Download your information. Youll then be able to specify a few aspects of the data like the media quality data format and date range you want the download to cover. For Oculus and Meta Quest users you can use the download your information tool linked here. Once you have your data archives stashed away youll be ready to permanently nuke your accounts. Though like the data downloads it can take up to several days for the process to be complete. How to delete Facebook Before you permanently delete Facebook a word of caution nuking your account will also nuke thirdparty accounts where youve also used Facebook to login. In some cases you might be able to recover them via the apps support channels but theres no guarantee. Follow the steps here to review which apps and websites you use Facebook as a log in. Likewise if your Oculus account is linked to your Facebook identity then deleting your Facebook will also permanently delete your Oculus account including your past purchases. Of note Meta now allows VR users to create a separate Meta account that doesnt rely on Facebook. Once youre sure youre ready to delete you can find the option from Settings Privacy Settings Your Facebook Information Deactivation and Deletion Delete Account Continue to account deletion Delete Account However even after youve smashed the final delete button Facebook notes that it still takes around 30 days for your information to be purged entirely. That also means that if you do happen to change your mind within 30 days you can cancel the request. According to the company it can take up to 90 days for the deletion process to complete though your profile and other info wont be visible to others on Facebook during that time. How to delete Instagram For Instagram you need to go to the delete your account page which can be found here. From there youll have to select a reason from the dropdown menu and enter your password. As with Facebook Instagram notes that it can take up to 90 days from the beginning of the deletion process to delete all the things youve posted though posts wont be visible to others on the platform during that time. How to delete Facebook Messenger If you delete a Facebook account your Messenger account will also be permanently deleted so you dont need to go through extra steps if youve already purged your Facebook presence. But its also worth noting that simply deactivating your Facebook wont affect your ability to use Messenger or other users ability to find you on the app. If however you happen to use Messenger without an associated Facebook account you can delete your account via the app. On Both iOS and Android Account Settings Delete Your Account and Information and enter your password. How to delete WhatsApp WhatsApp accounts can be deleted directly from the app via Settings Account Delete My Account. The app will then prompt you to enter your phone number. As with facebook and Instagram the company says the full deletion process can take up to 90 days. How to delete an Oculus or Meta account As noted above if you used Facebook to login to your Oculus account then deleting Facebook will take care of it. If however your Oculus login was separate you need to log in to your account on Oculus website from a browser then navigate to My Profile Privacy Center Delete Your Oculus Account. Of note this process will only work until January 1 2023 when Meta will force all Oculus accounts to migrate to the new Meta accounts mentioned above. For those newer Meta accounts you can delete your presence by heading to auth. meta. comsettings logging in selecting delete your account entering your password again and choosing delete your data. Again keep in mind this will prevent you from using your VR headset and will remove any past purchases youve made.,Meta rolls out AI ad-targeting tech in an effort to reduce discrimination,Somewhat Positive,190,"['discrimination', 'unfairly', 'issues', 'stresses', 'noise', 'discrimination', 'scrap', 'discrimination', 'limited', 'limit', 'discriminatory', 'discrimination']",['fight'],['lawsuit']
5,HTC builds a standalone VR / AR headset to rival the Meta Quest Pro,"Years after unofficially exiting the consumer VR space in favor of enterprise products, HTC has returned with its first standalone headset for consumers. The Vive XR Elite is a $1,100 flagship for VR and passthrough mixed reality (MR). Although that pushes it…",https://www.engadget.com/htc-xr-elite-vr-headset-180006779.html,Years after unofficially exiting the consumer VR space in favor of enterprise products HTC has returned with its first standalone headset for consumers. The Vive XR Elite is a 1100 flagship for VR and passthrough mixed reality MR. Although that pushes it far past the price range of the 400 Meta Quest 2 HTCs product compares more favorably on paper with the pricey Meta Quest Pro. The Vive XR Elite has a 4K display with a 90Hz refresh rate and a 110degree field of view FOV. It includes four wideFOV cameras enabling insideout spatial tracking without external sensors. The product ships with two wireless controllers and supports hand tracking. Additionally a fullcolor RGB camera allows passthrough MR that lets you blend virtual experiences with your realworld surroundings. The headset weighs 625g about 13 percent lighter than the Quest Pro including its hotswappable battery on the back. HTC says this placement helps balance the headsets weight. The battery provides an estimated two hours of use and supports 30watt fast charging via USBC. Additionally the headset has a builtin retractable charging cable on its right side making it easy to plug into a power bank or airline seat if you want to be the VR weirdo on your next flight. HTC says the XR Elite has large speakers supporting directional audio. In addition the headsets lenses have a dial that adjusts for prescription allowing visually challenged folks to take off their glasses before playing. Strangely HTC says you can remove the battery fit the headset with temple pads and wear it as regular glasses. That sounds like an odd fashion choice. The company also says an addon Face and Eye Tracker accessory will arrive later this year. Although HTC has a solid track record with VR hardware content and marketing are its biggest challenges. In the nine years since Meta Facebook at the time bought Oculus it has bought VR studios made exclusive deals with others and sunk countless advertising dollars into its brand. Although theres plenty to criticize about Metas business practices the company has stockpiled an unmatched library of virtual games and experiences. HTC has tried to compete with its Viveport subscription service but its headset still launches at a significant content disadvantage. Some of those content gaps can be filled with PC support. The XR Elite connects wirelessly or with a USBC cable to play PCVR games from Steam and Viveport. You can also stream content from a compatible Android phone to the headset to watch videos on a virtual big screen. Heres the complete list of supported phones. The company says you can also connect a Bluetooth controller to play gamepadfriendly smartphone games. HTC says 100 games and experiences will arrive within the headsets launch window. Listed launch titles include Demeo Hubris Yuki Maestro Les Mills Body Combat FigminXR Unplugged and Finger Gun. The company adds that Everslaught Invasion and the full MR game Eggscape will arrive later in the year. Engadgets Sam Rutherford is trying the headset later today and will share his impressions soon. Meanwhile you can preorder the Vive XR Elite from the company website starting today. HTC estimates that early purchases will begin shipping in late February.,How to permanently delete all your Facebook and Meta-owned accounts,Extremely Negative,200,['hang'],[],[]
6,Meta's first Quest VR headset will no longer get any feature updates,"In an email sent to users, Meta said it will continue supporting Quest 1 with a few — but pretty big — changes. While owners can still use the device and the apps available for it, the Quest 1 will no longer be receiving new features. In addition, Meta will o…",https://www.engadget.com/meta-quest-1-end-feature-updates-102920605.html,In an email sent to users Meta said it will continue supporting Quest 1 with a few but pretty big changes. While owners can still use the device and the apps available for it the Quest 1 will no longer be receiving new features. In addition Meta will only be rolling out critical bug fixes and security patches to the headset until 2024. As The Verge notes the device has mainly been getting the same updates as its successor over the past few years but now Quest 1 owners will have to make do with the features the device already has. Just got this email from Meta. Looks like the Quest 1s days are numbered pic. twitter. comQV3EPBXIuR blaze5161 blaze5161 January 9 2023 Its possible that Meta is having difficulties making sure new features are also working on the Quest 1s aging hardware. The company released the first headset back in 2019 when it was still known as Facebook and the device was still under the Oculus branding. Its powered by a Snapdragon 835 chip that was released in 2017 and was already two years old at that point. The Quest 2 was a huge upgrade when it came out in 2020 and its Snapdragon XR2 processor provided a significant power boost that enables it to play more complex games and experiences. That said the first Quest is also losing access to some abilities it already has Users will no longer be able to create or join parties going forward. Further users who have access to Meta Horizon Homes social features will no longer be able to access them starting on March 5th 2023. That means theyll only have a couple of months left to invite other users into their Home or visit someone elses Home.,HTC builds a standalone VR / AR headset to rival the Meta Quest Pro,Extremely Positive,110,"['pricey', 'Strangely', 'odd', 'sunk', 'criticize', 'disadvantage', 'Hubris']",['Gun'],"[Sam, Rutherford]"
7,"Amazon's expanded job cuts will affect over 18,000 employees","Amazon is cutting more jobs than it had previously planned, CEO Andy Jassy has admitted in a blog post. Back in November, reports came out that the e-commerce giant was eliminating 10,000 jobs, just as other companies in the tech sector had announced layoffs …",https://www.engadget.com/amazon-expanded-job-cuts-18000-102059372.html,Amazon is cutting more jobs than it had previously planned CEO Andy Jassy has admitted in a blog post. Back in November reports came out that the ecommerce giant was eliminating 10000 jobs just as other companies in the tech sector had announced layoffs of their own. Now the company is expanding its job cuts and between the employees whod already lost their jobs and the ones losing theirs in the near future Amazon will be eliminating over 18000 roles in the company. Jassy said majority of the upcoming layoffs would be from its retail and recruiting divisions. As The Wall Street Journal notes Amazon benefited from the COVID lockdowns over the past few years since people had to shop online more often than before. The company reportedly added hundreds of thousands of employees to keep up with the surge in demand and then launched costcutting reviews to see which units werent making profit. It then froze hiring closed brickandmortar stores and shut down business units. When news broke that Amazon was planning sweeping layoffs Meta had also just revealed that it was letting more than 11000 of its employees go. Like Amazons executives Meta chief Mark Zuckerberg significantly increased Metas investments following a large revenue growth due to the pandemic. However peoples spending habits eventually went back to prepandemic trends leading to a smaller revenue for the company. More recently Slack owner Salesforce revealed that its cutting 10 percent of its workforce and closing down offices. The company also grew rapidly during the pandemic and cant sustain its bloated workforce in the current economy. Amazon will be cutting more jobs than Meta did by the time its done. Jassy said the company will reach out to impacted employees starting on January 18th so the layoffs will likely take place over the coming weeks. He added that Amazon will offer them packages that include a separation payment transitional health insurance benefits and external job placement support.,Meta's first Quest VR headset will no longer get any feature updates,Extremely Negative,230,"['critical', 'bug', 'difficulties', 'losing']",[],[]
8,The Morning After: We tried Dyson’s air-purifying headphones,"Dyson’s Zone is a headset-visor that processes the air you breathe and pumps it, well, into your face. Now we know the price ($949!) and launch date (March 2023), the company invited press to strap the baffling device on and test it a little more extensively.…",https://www.engadget.com/the-morning-after-we-tried-dysons-air-purifying-headphones-121506892.html,Dysons Zone is a headsetvisor that processes the air you breathe and pumps it well into your face. Now we know the price 949 and launch date March 2023 the company invited press to strap the baffling device on and test it a little more extensively. In a dark blue with copper accents it looks a little subtler than the press images. But its still going to turn heads. The Dyson Zone is not designed to protect against COVID19 or other viruses as it does not seal to your face. The air purifier filters have a duallayer design with potassiumenriched carbon to capture acidic gasses. The company claims the filters will block 99 percent of particles including those as small as 0. 1 microns for filtering city fumes and pollutants. However you can use inserts like an N95 mask attachment also offered by Dyson. You can check out Engadgets Cherlynn Low wearing the Dyson Zone around New York. Mat Smith The Morning After isnt just a newsletter its also a daily podcast. Get our daily audio briefings Monday through Friday by subscribing right here. The biggest stories you might have missed Apples 11inch iPad Pro M2 drops to a new alltime low of 699 Epic Games will pay 520 million to settle FTCs Fortnite case The year organized labor finally took root in big tech Our favorite gadget purchases of 2022 Kias EV6 GT crams performance into a great EV Elon Musk will find someone else to run Twitter according to his poll He asked users if he should step down and they decisively voted yes. Elon Musk put his own leadership of Twitter on the line at the weekend. Should I step down as head of Twitter I will abide by the results of this poll he tweeted. The poll ended and 57. 5 percent of users voted Yes compared to 42. 5 percent who voted no with 17502391 votes a decisive 15point margin. It remains to be seen if and how and when Musk will abide by his poll as he has yet to issue any comment about the results. Shortly after publishing the vote and when it was already tilting toward Yes he tweeted as the saying goes be careful what you wish as you might get it. The vote follows a flurry of activity on Twitter after it announced a sudden rule change prohibiting users from linking to competing platforms and banning several influential users soon after. A massive backlash ensued prompting an apology from Musk who also tweeted that going forward there will be a vote for major policy changes. Then in yet another poll yesterday TwitterSafety asked users whether it should have a policy preventing the creation of or use of existing accounts for the main purpose of advertising other social media platforms. The Final Fantasy Pixel Remaster series heads to Switch and PS4 And you can buy a pricey physical edition of the first six games. If you were looking for a late and spendy Christmas gift for your favorite Engadget newsletter editor hi me Square Enix has you covered. To celebrate the Pixel Remaster series arrival on Switch and PlayStation the company is selling a limitededition bundle of all six entries in the Pixel Remaster series Final Fantasy Final Fantasy II Final Fantasy III Final Fantasy IV Final Fantasy V and Final Fantasy VI as well a vinyl soundtrack set a 128page art book and a set of pixel art figurines. A mere 260 to make my Christmas. The best Nintendo Switch games for 2023 A guide for beginners from A to Z trigger. In time for holiday shopping weve updated and expanded our guide to the best Switch games covering all the major games that have wowed us since the consoles launch. Sure theres Zelda and Mario in here but theres also a bug knight a witch with guns on her shoes and a skateboarding world to explore. Instagram lets you create your own 2022 Recap Reel Select at least three photos or videos and the app will automatically combine them into a Reel. Instagram has been placing a bigger focus on Reels this year and that extends to how users create their 2022 Recap whether you want it to or not. Select at least three photos or videos and Instagram will automatically stitch these together into a Reel with narration templates from the likes of Bad Bunny Priah Ferguson and DJ Khaled. Hopefully those can be toggled off too. Reels have been a major focus for Meta over the past year. Across Instagram and Facebook the company now says Reels are played over 140 billion times every day. Meta has been bolstering its answer to TikTok by making it easier to create Reels launching an inapp Reels scheduler and ways to post to Reels from thirdparty apps. European Commission tells Meta that Facebook Marketplace is unfair to rivals It abused its dominant position. Europe has hit Facebook owner Meta with a complaint that its Marketplace classified service is unfair to competitors. By tying its main social media site to Marketplace it has a substantial distribution advantage over rivals the EU Commission wrote in a press release. With its Facebook social network Meta reaches globally billions of monthly users and millions of active advertisers EU Antitrust Commissioner said in a statement. Our preliminary concern is that Meta ties its dominant social network Facebook to its online classified ad services called Facebook Marketplace. This means that users of Facebook automatically have access to Facebook Marketplace whether they want it or not. This all infringes on EU rules that prohibit the abuse of a dominant market position. The EU has the power to impose a fine of up to 10 percent of Metas annual revenue and prohibit the behavior. Metas head of EMEA competition said the claims made by the European Commission are without foundation. OnePlus 11 5G launch event set for February 7th The Alert Slider and Hasselblad camera tuning are back. OnePlus has revealed when it will formally show off its flagship products for 2023. The Cloud 11 event will take place in New Delhi India on February 7th. The company will showcase the OnePlus 11 5G OnePlus Buds Pro 2 and more. Along with revealing the event date OnePlus said it would bring a couple of fanfavorite features back for its next flagship smartphone. The OnePlus 11 will once again feature the companys Alert Slider which offers an easy way to shift between silent vibrate and alert modes.,"Amazon's expanded job cuts will affect over 18,000 employees",Extremely Negative,450,"['lost', 'losing', 'froze', 'broke', 'Slack', 'bloated']",[],"[Andy, Jassy, 'harassment', 'harassment', 'harassment', Mark, Zuckerberg, 'harassment']"
9,Meta faces exsanguination by small fines - Reuters,"Another day, another European fine for Meta Platforms <a href=""https://www.reuters.com/companies/META.O"" target=""_blank"">(META.O)</a>. The social network was penalized nearly $800 million last year in a series of charges for <a href=""https://www.dataprotectio…",https://www.reuters.com/breakingviews/meta-faces-exsanguination-by-small-fines-2023-01-04/,Meta faces exsanguination by small fines NEW YORK Jan 4 Reuters Breakingviews Another day another European fine for Meta Platforms META. O. The social network was penalized nearly 800 million last year in a series of charges for data breaches and privacy violations. While 2023 is young it isnt off to a good start. Irelands data privacy regulator on Wednesday fined Meta 419 million for improperly serving personalized ads without what it considered sufficient consent. European digital rules protecting customers leave room for more. In addition to the fines levied to date the Irish regulator has another 11 inquiries open into Metas services. Meta can perhaps avoid these and appeals could reduce fines. But other claims are close behind. In December the European Commission said preliminarily that the company breached European antitrust rules in tying its classified ad service to its Facebook social network. Worse Europes Digital Markets Act is gradually entering into force. The new rules offer dos and donts for firms like Meta that dominate industries in a way that make it far more painful for firms that do things like prefer their own offerings. With the recalcitrant facing fines up to 20 of revenue and even possible breakup future cuts could leave far more blood on the floor. By Robert Cyran Follow Breakingviews on Twitter The author is a Reuters Breakingviews columnist. The opinions expressed are their own. Capital Calls More concise insights on global finance Tesla merges into slower lane read more Barbarians at the checkin desk read more UAE gets ducks in a row with chemicals reshuffle read more Brenntag MA gambit may prompt its own breakup read more Satellites can fly higher in private read more Our Standards The Thomson Reuters Trust Principles.,The Morning After: We tried Dyson’s air-purifying headphones,Extremely Negative,570,"['baffling', 'dark', 'missed', 'issue', 'pricey', 'spendy', 'bug', 'Bad', 'abused', 'complaint', 'concern', 'prohibit', 'impose', 'prohibit']",['abuse'],"[Cherlynn, Low, Mat, Smith, Elon, Musk, Elon, Musk, Musk, 'lawsuit', Musk, Zelda, Mario, Priah, Ferguson, DJ, Khaled, 'harassment', 'harassment', 'lawsuit', 'lawsuit']"
10,Meta to pay $725 million to settle Cambridge Analytica lawsuit,Data harvested by Cambridge Analytica was used for political campaigns.,https://arstechnica.com/information-technology/2022/12/meta-to-pay-725-million-to-settle-cambridge-analytica-lawsuit/,Meta the parent company of Facebook will pay 725 million to settle a classaction lawsuit filed in 2018. The lawsuit came in the wake of Facebooks revelation that it had improperly shared data on 87 million users with Cambridge Analytica a British political consultancy tied to former President Donald Trumps election campaign. Cambridge Analytica got its access to Facebook user data via an app developed by a third party. While only around 270000 Facebook accountholders used the This is Your Digital Life app the apps permissions allowed it access to data on those users friends. The end result was a dataset covering 87 million users that the developer than passed on to Cambridge Analytica in contravention of Facebooks terms of service. The vast majority of those in the dataset had not given the consultancy firm permission to access their data. The unauthorized data sharing came to light in 2018 when reporters from The New York Times and The Observer informed Facebook that Cambridge Analytica still had copies of the data even though the UKbased firm had promised the social network back in 2015 that the data would be deleted. Cambridge Analytica filed for bankruptcy in May 2018 after determining it was no longer viable to continue operating the business. The lawsuit against Meta continued on and other instances of problematic datasharing practices by Facebook were added to the complaint. Indeed the lawsuit accused Facebook of giving numerous third parties access to their Facebook content and information without their consent and alleged that Facebook failed to adequately monitor the third parties access to and use of that information. Meta is admitting to no wrongdoing or illegal activity by settling the case. Instead the company says the 725 million agreement which must still be approved by a judge is in the best interest of our community and shareholders a Meta spokesperson told Reuters. Up to 280 million Facebook users are covered by the settlement which means that 725 million is going to be spread awfully thin after the plaintiffs attorneys take their 25 percent cut.,Meta faces exsanguination by small fines,Extremely Negative,260,"['improperly', 'Worse', 'painful', 'recalcitrant', 'breakup', 'slower', 'breakup']",[],"[Robert, Cyran]"
