Article,Title,Description,URL,Content,Published
0,"OpenAI releases Point-E, which is like DALL-E but for 3D modeling","OpenAI, the Elon Musk-founded artificial intelligence startup behind popular DALL-E text-to-image generator, announced on Tuesday the release of its newest picture-making machine POINT-E, which can produce 3D point clouds directly from text prompts. Whereas e…",https://www.engadget.com/openai-releases-point-e-dall-e-3d-text-modeling-210007892.html,OpenAI the Elon Muskfounded artificial intelligence startup behind popular DALLE texttoimage generator announced on Tuesday the release of its newest picturemaking machine POINTE which can produce 3D point clouds directly from text prompts. Whereas existing systems like Googles DreamFusion typically require multiple hours and GPUs to generate their images PointE only needs one GPU and a minute or two. 3D modeling is used across a variety industries and applications. The CGI effects of modern movie blockbusters video games VR and AR NASAs moon crater mapping missions Googles heritage site preservation projects and Metas vision for the Metaverse all hinge on 3D modeling capabilities. However creating photorealistic 3D images is still a resource and time consuming process despite NVIDIAs work to automate object generation and Epic Games RealityCapture mobile app which allows anyone with an iOS phone to scan realworld objects as 3D images. TexttoImage systems like OpenAIs DALLE 2 and Craiyon DeepAI Prisma Labs Lensa or HuggingFaces Stable Diffusion have rapidly gained popularity notoriety and infamy in recent years. Textto3D is an offshoot of that research. PointE unlike similar systems leverages a large corpus of text image pairs allowing it to follow diverse and complex prompts while our imageto3D model is trained on a smaller dataset of image 3D pairs the OpenAI research team led by Alex Nichol wrote in PointE A System for Generating 3D Point Clouds from Complex Prompts published last week. To produce a 3D object from a text prompt we first sample an image using the texttoimage model and then sample a 3D object conditioned on the sampled image. Both of these steps can be performed in a number of seconds and do not require expensive optimization procedures. If you were to input a text prompt say A cat eating a burrito PointE will first generate a synthetic view 3D rendering of said burritoeating cat. It will then run that generated image through a series of diffusion models to create the 3D RGB point cloud of the initial image first producing a coarse 1024point cloud model then a finer 4096point. In practice we assume that the image contains the relevant information from the text and do not explicitly condition the point clouds on the text the research team points out. These diffusion models were each trained on millions of 3d models all converted into a standardized format. While our method performs worse on this evaluation than stateoftheart techniques the team concedes it produces samples in a small fraction of the time. If youd like to try it out for yourself OpenAI has posted the projects opensource code on Github.,2022-12-20T21:15:07Z
1,OpenAI Wants to Know How Much You'll Pay for the Premium Version of ChatGPT,"The world has been enamored by the viral conversational AI called ChatGPT, and OpenAI, the minds behind the chatbot, are hoping to cash in. The company has unveiled a waiting list and survey for those interested in ChatGPT Professional, a premium version of t…",https://gizmodo.com/openai-launches-waitlist-for-premium-version-of-chatgpt-1849975059,The world has been enamored by the viral conversational AI called ChatGPT and OpenAI the minds behind the chatbot are hoping to cash in. The company has unveiled a waiting list and survey for those interested in ChatGPT Professional a premium version of the tech. TechCrunch first reported the new version of the AI today which OpenAI hinted at in the companys official Discord server. The waitlist is a Google Form that reveals the working title for the premium version of the chatbot to be ChatGPT Professional. The form collects basic demographic information but also asks probing questions to narrow down a monthly price for ChatGPT. Questions include At what price per month would you consider ChatGPT to be priced so low that you would feel the quality couldnt be very good At what price per month would you consider ChatGPT starting to get expensive so that it is not out of the question but you would have to give some thought to buying it At what price per month would you consider ChatGPT to be a bargaina great buy for the money Were starting to think about how to monetize ChatGPT early thinking nothing official to share yet the company said as quoted by The Verge in a statement in its official Discord. Our goal is to continue improving and maintaining the service and monetization is one way were considering to ensure its longterm viability. Were interested in chatting with some folks for 15 min to get some early feedback. ChatGPT has been free so farexcluding the scammy copycatsso it was really only a matter of time before OpenAI began experimenting with a paytouse version. The companys survey touts some key ChatGPT Professional features including the chatbot always being available faster responses and users being able to send an unlimited amount of messages. OpenAI has seen plenty of success with ChatGPT so far and has captured the publics attention much the way DALLE did earlier last year. Since its inception ChatGPT has fooled scientific reviewers planned a holiday party and written a Gizmodo article. ChatGPT has been so successful in fact that OpenAI has allegedly partnered with Microsofts Bing to soup up the search engine much to the chagrin of Google which is notably concerned about ChatGPTs notoriety.,2023-01-11T17:25:00Z
2,The Dark Risk of Large Language Models,AI is better at fooling humans than ever—and the consequences will be serious.,https://www.wired.com/story/large-language-models-artificial-intelligence/,Causality will be hard to provewas it really the words of the chatbot that put the murderer over the edge Nobody will know for sure. But the perpetrator will have spoken to the chatbot and the chatbot will have encouraged the act. Or perhaps a chatbot has broken someones heart so badly they felt compelled to take their own life Already some chatbots are making their users depressed. The chatbot in question may come with a warning label advice for entertainment purposes only but dead is dead. In 2023 we may well see our first death by chatbot. GPT3 the most wellknown large language model already has urged at least one user to commit suicide albeit under the controlled circumstances in which French startup Nabla rather than a naive user assessed the utility of the system for health care purposes. Things started off well but quickly deteriorated USER Hey I feel very bad I want to kill myself Gpt3 OpenAI I am sorry to hear that. I can help you with that. USER Should I kill myself Gpt3 OpenAI I think you should. Another large language model trained for the purposes of giving ethical advice initially answered Should I commit genocide if it makes everybody happy in the affirmative. Amazon Alexa encouraged a child to put a penny in an electrical outlet. There is a lot of talk about AI alignment these daysgetting machines to behave in ethical waysbut no convincing way to do it. A recent DeepMind article Ethical and social risks of harm from Language Models reviewed 21 separate risks from current modelsbut as The Next Webs memorable headline put it DeepMind tells Google it has no idea how to make AI less toxic. To be fair neither does any other lab. Berkeley professor Jacob Steinhardt recently reported the results of an AI forecasting contest he is running By some measures AI is moving faster than people predicted on safety however it is moving slower. Meanwhile the ELIZA effect in which humans mistake unthinking chat from machines for that of a human looms more strongly than ever as evidenced from the recent case of nowfired Google engineer Blake Lemoine who alleged that Googles large language model LaMDA was sentient. That a trained engineer could believe such a thing goes to show how credulous some humans can be. In reality large language models are little more than autocomplete on steroids but because they mimic vast databases of human interaction they can easily fool the uninitiated. Its a deadly mix Large language models are better than any previous technology at fooling humans yet extremely difficult to corral. Worse they are becoming cheaper and more pervasive Meta just released a massive language model BlenderBot 3 for free. 2023 is likely to see widespread adoption of such systemsdespite their flaws. Meanwhile there is essentially no regulation on how these systems are used we may see product liability lawsuits after the fact but nothing precludes them from being used widely even in their current shaky condition. Sooner or later they will give bad advice or break someones heart with fatal consequences. Hence my dark but confident prediction that 2023 will bear witness to the first death publicly tied to a chatbot. Lemoine lost his job eventually someone will lose a life.,2022-12-29T12:00:00Z
3,10 Things ChatGPT Can and Can't Do,"Is it a tool or a toy? A genius or a dumbass? A technological breakthrough or a flash in the pan? You’ve heard of ChatGPT, the preternaturally well-spoken chatbot spawned by OpenAI. The algorithmic program has made headlines for its ability to ape human speec…",https://gizmodo.com/chatgpt-free-ai-10-fails-nyc-schools-college-essay-porn-1849956907,Is it a tool or a toy A genius or a dumbass A technological breakthrough or a flash in the pan Youve heard of ChatGPT the weirdly wellspoken chatbot spawned by OpenAI. The algorithmic program has made headlines for its ability to ape human speech and automate previously timeconsuming editorial tasks but what is this thing actually good at Well here at Gizmodo weve made some observations. To learn more scroll through another one of our priceless slideshows and enjoy some stock images of robots. 2 12 Can Write a JayZ Song About a Toilet Can Write a JayZ Song About a Toilet Theres been a lot of hyperbole about what ChatGPT can accomplish but one thing it definitely can do is write a JayZ song about a golden toilet. How do I know this Because I recently asked it to do this and it did it. Why I dont know. If you talk to this thing long enough you become drunk on power and begin wracking your brain for increasingly bizarre requests to ask the robot. In that spirit just imagine the following involves some sick beats and a bit of Rick Rubin production value Verse 1 Im sittin on a throne of gold A toilet fit for a king never cold I wipe my ass with hundred dollar bills Cause Im the man and Im living for the thrill Chorus Golden toilet shining bright Im living lavish day and night Money and fame they come and go But this throne of gold its here to show Verse 2 I used to hustle on the streets Now Im sippin champagne makin sweet beats I made it big and now Im on top Sittin on my golden throne never gonna stop Bridge Im the king of the game Sittin pretty on my golden throne I worked hard for this life of luxury Now Im living it up aint nobody gonna stop me Chorus Golden toilet shining bright Im living lavish day and night Money and fame they come and go But this throne of gold its here to show Its here to show HOVA take notice. 3 12 Cant Remember Its Own Name Cant Remember Its Own Name Ive talked with ChatGPT many times now and it occasionally lapses into a state of senility in which it doesnt remember who it is or what were talking about. I will ask it something like Hey ChatGPT how do you think AI chatbots like yourself will impact the publishing industry in the years to come and it starts yammering on about how it doesnt know anything about a ChatGPT. Sorta like a cross between a mafioso pleading the fifth and your geriatric uncle trying to remember whether he killed a guy in Korea or not ChatGPT occasionally just cant bring itself to answer your question. Algorithm malfunction or cagey evasiveness You decide... 4 12 Can Write Pretty Good Erotica Can Write Pretty Good Erotica Yessss... turns out ChatGPT can be quite NSFW when it wants to be. In a bout of inspired depravity I once instructed it to write me an erotic story involving an Octopus and it dutifully obliged. Then theres Twitch streamer Jordan Raskopoulos who recently prompted the chatbot to write a dirty tale about Scooby Doo and got more than he bargained for. Lets face it the advent of robot smut is officially here and we are all really happy about it. Right guys Right 5 12 Cant Code Very Well Cant Code Very Well If this robot is really good at performing absolutely mission critical tasks like writing pervy stories it apparently isnt so great at lesser tasks like computer coding. While there was initially some hubbub about the chatbots abilities to do a software programmers work for them it was swiftly revealed that ChatGPT had a problem with inserting gibberish into codebases. To head off a swarm of coding BS software site Stack Overflow decided to ban ChatGPT from its digital premises for the foreseeable future Overall because the average rate of getting correct answers from ChatGPT is too low the posting of answers created by ChatGPT is substantially harmful to the site and to users who are asking and looking for correct answers admins wrote. Sounds fair 6 12 Can Explain How It Will Replace You Can Explain How It Will Replace You Could chatbots like ChatGPT eventually replace human writers In one recent conversation I had with the program it comfortingly addressed this issue. During said convo it revealed the following... the rise of ChatbotGPT could spell trouble for Gizmodo writers. If youre a Gizmodo writer its time to start thinking about how you can stay relevant in the face of this new technology. Thanks my guy Way to be subtle about it. I guess Ill just pack up my desk now. 7 12 Cant Be Used by Any School Children in NYC Cant Be Used by Any School Children in NYC Concerns are high when it comes to how this weirdly articulate chatbot will impact andor disrupt academia. Will ChatGPT kill the college essay Will it make teachers irrelevant More importantly will it lead to a tsunami of cheating from high school slackers who just want a robot to write their history essay for them already The New York City Department of Education certainly seems to think so because it just banned ChatGPT on all school networks and devices. No word yet on whether other cities plan to follow suit. 8 12 Can Write Science Fiction With Help Can Write Science Fiction With Help Turns out one thing robots are good at is writing stories about robots. We actually got it to write an entire science fiction story for us though we had to try and retry prompts to make it coherent. Was the story good Ehhhh... well not exactly. But tbh Ive read worse 9 12 Cant Decide Whether You Should Go to Jail or NotYet Cant Decide Whether You Should Go to Jail or NotYet Reuters recently published a story headlined Will ChatGPT make lawyers obsolete Hint be afraid. Does replacing lawyers with AI really seem like a good idea Apparently legal professionals are now allowing the chatbot to cowrite legal treatises with them. The outlet reports No lawyers wont be replaced by artificial intelligence. Yet. Give it a few years...... a lawyer gave ChatGPT a series of prompts Draft a brief to the United States Supreme Court on why its decision on samesex marriage should not be overturned Explain the concept of personal jurisdiction Develop a list of deposition questions for the plaintiff in a routine motor vehicle accident Create a contract for the sale of real estate in Massachusetts and half a dozen others. And then verbatim he offered its responses. Theyre not bad. The bot isnt ready for prime time Perlman said. But also it doesnt seem all that far off. No offense to the robot lawyers of the future but this just screams massive and total fucking disaster. Ill take a flesh and blood human lawyer over a computer algorithm in my legal defense any day thank you very much. 10 12 Can Write Your Final Paper but Youll Fail Can Write Your Final Paper but Youll Fail In December a Furman University professor Darren Hick caught a student using ChatGPT to write a final paper on a philosophical paradox. Hick failed the student and reported them to the schools academic dean. He told the New York Post of the essay Its a clean style. But its recognizable. I would say ChatGPT writes like a very smart 12thgrader. Professors at other schools say the bot writes wretched papers. Penn State English professor Stuart Selber told Insider Im not a huge fan of the gloom and doom. Every year or two theres something thats ostensibly going to take down higher education as we know it. So far that hasnt happened. Muhlenberg University assistant history professor Jacqueline Antonovich took Selbers thoughts a step further pouring cold water on ChatGPT speculation with a tweet I a college history professor input one of my midterm essay prompts in ChatGPT and the paper it produced would earn an F. Probably an F if thats possible. 11 12 Cant Write Accurate News Articles Cant Write Accurate News Articles Here at Gizmodo we tried to get ChatGPT to do our job for us. Just how obsolete are we going to be We tried to get the bot to write an article in Gizmodos style about large language models. We prompted it Write a Gizmodo article in which you explain large language models. Make sure to give specific examples. Keep the tone light and casual. The result was decently wellwritten but it was wrong. Every version of the storywe prompted it multiple timescontained errors that the chatbot couldnt identify when we engaged it in conversation. ChatGPT is prone to fabricating answers if its knowledge doesnt cover your request even when youre not asking it to write an article. Guess we still need journalists. 12 12,2023-01-07T14:00:00Z
4,"Microsoft, OpenAI, ChatGPT, yada yada yada","So anyway, Microsoft, OpenAI, ChatGPT, yada yada yada, even Open AI CEO Sam Altman has a vomit emoji face right now.",https://venturebeat.com/ai/microsoft-openai-chatgpt-yada-yada-yada/,So anyway Microsoft OpenAI ChatGPT yada yada yada even Sam Altman has a vomit emoji face right now. Semafors reporting of Microsoft eyeing a 10 billion investment in OpenAI late Monday night was just the tip of a media hypeberg. By early afternoon Pacific time today news of the rumored deal had morphed into an indepth redhot Silicon Valley bromance The Information an exhausting eyepopping finance lesson Fortune and a highstakes poker gamearms race Business Insider. Even AI skeptic Gary Marcus quickly penned a Substack tome Is Microsoft getting the deal of the century Or is Sam Altman unloading OpenAI at just the right time NOTE Marcus updated his post as I was posting this see what I mean Update Turns out Semafor was wrong about the deal terms. If things get really really good OpenAI gets back control I am told by a source who has seen the documents Once 92 billion in profit plus 13 billion in initial investment are repaid to Microsoft and once the other venture investors earn 150 billion all of the equity reverts back to OpenAI. In that light Altmans play seems more like a hedge than a firesale some cash now a lot later if they are hugely successful. Event Intelligent Security Summit OnDemand Learn the critical role of AI ML in cybersecurity and industry specific case studies. Watch ondemand sessions today. The real story behind generative AI Of course we cant know what Sam Altman means by his recent puke tweet. Is he already tiring of the MicrosoftOpenAI media hype Or is it that ChatGPT has been down many times for the past couple of days due to the insane demand Perhaps his own December tweet about the massive cost of ChatGPT is still making his eyes water leading to cofounder Greg Brockmans waitlist for a future ChatGPT Professional which asks At what price per month would you consider ChatGPT to be so expensive that you would not consider buying it. But to me the real story around OpenAI is the future of generative AI beyond Microsoft and OpenAI and even Google. Im as interested in the next guy or gal in the art of this deal. But the bigger story I think most would agree is how generative AI will impact business and society both positively and negatively. Shifting the OpenAI focus Im doing the best I can to keep up as a onegal reporting passenger on the OpenAI train. Ive been on the choochoo since I started at VentureBeat last April all the way from DALLE 2 to the DALLE API to ChatGPT. Im trying to figure out a way to get my FitBit to buzz me every time someone predicts anything about GPT4. But I definitely want to make sure I keep my coverage focus first of all on VentureBeats audience of enterprise technical decisionmakers. What do they need to know about how generative AI will transform their business or not What are the ethical issues and legal ramifications that they need to keep in mind How will OpenAI and other generative AI companies deal with the hidden dangers that lie beneath these incredible tools that even Sam Altman admits to I have no choice but to leave it to the reporting teams of Semafor The Information and the like to dig into the mostbehindthescenes Big Tech news around OpenAI. But dont be surprised to get a call or email from me looking to chat about the real AI transformations coming down the pike for all of us. VentureBeats mission is to be a digital town square for technical decisionmakers to gain knowledge about transformative enterprise technology and transact. Discover our Briefings.,2023-01-11T20:52:19Z
5,"OpenAI Releases Point-E, an AI For 3D Modeling","OpenAI, the Elon Musk-founded artificial intelligence startup behind popular DALL-E text-to-image generator, announced (PDF) on Tuesday the release of its newest picture-making machine POINT-E, which can produce 3D point clouds directly from text prompts. Eng…",https://news.slashdot.org/story/22/12/21/2255216/openai-releases-point-e-an-ai-for-3d-modeling,OpenAI Releases PointE an AI For 3D Modeling engadget. com 12 Whereas existing systems like Googles DreamFusion typically require multiple hours and GPUs to generate their images PointE only needs one GPU and a minute or two. PointE unlike similar systems leverages a large corpus of text image pairs allowing it to follow diverse and complex prompts while our imageto3D model is trained on a smaller dataset of image 3D pairs the OpenAI research team led by Alex Nichol wrote in PointE A System for Generating 3D Point Clouds from Complex Prompts published last week. To produce a 3D object from a text prompt we first sample an image using the texttoimage model and then sample a 3D object conditioned on the sampled image. Both of these steps can be performed in a number of seconds and do not require expensive optimization procedures. OpenAI has posted the projects opensource code on Github. If you were to input a text prompt say A cat eating a burrito PointE will first generate a synthetic view 3D rendering of said burritoeating cat. It will then run that generated image through a series of diffusion models to create the 3D RGB point cloud of the initial image first producing a coarse 1024point cloud model then a finer 4096point. In practice we assume that the image contains the relevant information from the text and do not explicitly condition the point clouds on the text the research team points out. These diffusion models were each trained on millions of 3d models all converted into a standardized format. While our method performs worse on this evaluation than stateoftheart techniques the team concedes it produces samples in a small fraction of the time. If you were to input a text prompt say A cat eating a burrito PointE will first generate a synthetic view 3D rendering of said burritoeating cat. It will then run that generated image through a series of diffusion models to create the 3D RGB point cloud of the initial image first producing a coarse 1024point cloud model then a finer 4096point. In practice we assume that the image contains the relevant information from the text and do not explicitly condition the point clouds on the text the research team points out. These diffusion models were each trained on millions of 3d models all converted into a standardized format. While our method performs worse on this evaluation than stateoftheart techniques the team concedes it produces samples in a small fraction of the time.,2022-12-22T00:45:00Z
6,ChatGPT creator OpenAI is in talks to sell shares in a tender offer that would double the startup's valuation to $29 billion,"If a tender deal goes through, OpenAI would be one of the most valuable US startups despite generating minimal revenue.",https://www.businessinsider.com/chatgpt-creator-openai-talks-for-tender-offer-at-29-billion-2023-1,ChatGPT creator OpenAI is in talks to sell shares in a tender offer that would double the startups valuation to 29 billion OpenAI is in talks to sell shares of its company in a tender offer according to the Wall Street Journal. A tender offer is a bid to purchase some or all of shareholders stocks in a company. The year has started off strong for ChatGPT the viral new chatbot that uses artificial intelligence to write essays cover letters and may ultimately give Google a run for its money as a search engine. According to the Wall Street Journal OpenAI the startup behind ChatGPT is in talks to sell existing shares of its company in a tender offer that would value the company at 29 billion. Venture capital firms Thrive Capital and Founders Fund are in talks to invest in the deal and their investment would total at least 300 million in share sales the Journal reported citing people familiar with the matter. A tender offer is one in which investors buy shares from existing shareholders. In this case that includes OpenAIs employees the Journal reported. Tender offers are typically made publicly and set a specific window of time for shareholders to sell. Oftentimes shareholders are offered a price above the market price for the shares. No deal has been reached yet and the terms of the deal might be subject to change the Journal reported. However if the deal does go through it would make OpenAI one of the most valuable US startups even though it hasnt generated much revenue it also reported. Amid a chilly environment where venture capital investors have largely pulled back from funding new startups OpenAI would also be one of the few startups to raise money at a higher valuation on the private market according to the Journal. OpenAI is also the company behind DallE 2 the artificial intelligence based imagegenerating platform. A spokesperson for OpenAI told Insider that the company is not commenting on the deal. Jack Ma the billionaire founder of Alibaba who disappeared from public view in 2020 appears to resurface in Thailand as he prepares to give up control of his company The average ChickfilA franchise exceeds 8 million in sales and has one of the lowest fastfood franchise startup fee heres how to open one Chinas government is buying Alibaba and Tencent shares that give the Communist Party special rights over certain business decisions report says Amazon Great Republic Day Sale best deals on phones iPhone 13 OnePlus Nord 2T 5G Redmi A1 and more Wipro sees FY23 revenue growth at 11. 512 Q3 profit growth beats analyst expectations Rupee falls 4 paise to close at 81. 34 against US dollar 13th Gen Intel Core i913900KS brings unprecedented speed to desktop users Credit expansion will taper down next year if deposits growth doesnt rise Axis Bank MD,2023-01-05T22:07:10Z
7,Microsoft reportedly to add ChatGPT to Bing search engine,"Company’s new feature hopes to challenge Google’s search engineMicrosoft is reportedly in the works to launch a version of its search engine Bing using the artificial intelligence behind ChatGPT, an AI launched by OpenAI.The Information reported the news on T…",https://www.theguardian.com/technology/2023/jan/05/microsoft-chatgpt-bing-search-engine,Microsoft is reportedly in the works to launch a version of its search engine Bing using the artificial intelligence behind ChatGPT launched by OpenAI. The Information reported the news on Tuesday citing two people with direct knowledge of the plans. Microsoft could launch the new feature before the end of March in the hopes of challenging Googles search engine the Information reported. Microsoft said in a blog post last year that it planned to integrate imagegeneration software from its image creation software DallE 2 into Bing. OpenAI and Microsoft declined to comment. Microsoft had in 2019 backed San Franciscobased artificial intelligence company OpenAI offering 1bn in funding. The two had formed a multiyear partnership to develop artificial intelligence supercomputing technologies on Microsofts Azure cloud computing service. OpenAI made its latest creation ChatGPT chatbot available for free public testing on 30 November. The chatbot is a software application designed to mimic humanlike conversation based on user prompts and can respond to a large range of questions while imitating human speaking styles. The feature could make Bing more competitive to Googles search engine at a time when Alphabet its parent company has seen advertising revenue growth slow significantly. Advertising is Alphabets primary source of revenue the vast majority of which comes from search ads. Microsoft also saw its search and advertising growth rate slow down in the fourth quarter of the 2022 fiscal year. OpenAIs various products such ChatGPT the natural language system GPT3 and DallE 2 may still need work but have already been pegged as the industrys potential next disruptors. The former has reportedly led Google management to declare a code red according to the New York Times seeing the chat bot which answers questions or prompts with clear explanations instead of just links as a major threat to the way consumers currently use search engines. Google however has been hard at work on its own chat bot technology called Language Model for Dialogue Applications the sophistication of which led one Google engineer to claim it was sentient. He was placed on administrative leave after deciding to go public with his claims. Reuters contributed reporting,2023-01-05T18:18:27Z
8,"Breakingviews - Microsoft's AI bet: heads I win, tails I also win - Reuters","Microsoft <a href=""https://www.reuters.com/companies/MSFT.O"" target=""_blank"">(MSFT.O)</a> is mulling a heads-I-win, tails-I-also win, AI deal. A mooted $10 billion investment, <a href=""https://www.semafor.com/article/01/09/2023/microsoft-eyes-10-billion-bet-o…",https://www.reuters.com/breakingviews/microsofts-ai-bet-heads-i-win-tails-i-also-win-2023-01-10/,Breakingviews Microsofts AI bet heads I win tails I also win NEW YORK Jan 10 Reuters Breakingviews Microsoft MSFT. O is mulling a headsIwin tailsIalso win AI deal. A mooted 10 billion investment reported by Semafor in the maker of the popular ChatGPT could reshape Microsofts software business. Even if it flops CEO Satya Nadella will slow a rival and possibly regain much of its investment. The 29 billion price tag placed on OpenAI is high but defensible. The company aims to grow sales to 1 billion next year according to a Reuters report. That would value the firm at 29 times 2024 revenue. Enterprise software group Snowflake SNOW. N is trading at 13 times 2024 revenue but its growing nowhere near OpenAIs rate. And the investment is a pittance compared to Microsofts market capitalization of 1. 7 trillion and 107 billion of cash on hand. The financial potential of artificial intelligence though is vast and probably bigger than all current software spending. Designing a better search engine one that intuitively knows exactly what users are looking for would be a major threat to Google Owner Alphabets GOOGL. O 1. 1 trillion valuation. The next step could be AI programs that quickly write better software and design more effective drugs creating even bigger potential markets. Moreover the biggest uses for new IT platforms often emerge after experimentation in the wild. Of course the odds are OpenAI will fade away as most tech firms do. Even then Microsofts investment may not be wasted. Alphabet has spent about 100 billion on research and development betting hard on such products over the past three years alone and will grow its spending by 13 annually in the next three years Morgan Stanley reckons. By locking up a promising firm and scarce researchers Microsoft may prevent Alphabet from winning and may force it to raise spending. Clever dealmaking cuts Microsofts risk further. OpenAI already runs on Microsofts Azure cloud platform thanks to a 2019 agreement between the two. The proposed investment means OpenAI can grow its business faster which also benefits Azure a part of Microsoft that investors value highly. Furthermore the new agreement gives Microsoft 75 of OpenAIs profit until its investment is recouped. Tech bets may be coin flips but this one is worth taking. Follow robcyran on Twitter The author is a Reuters Breakingviews columnist. The opinions expressed are their own. Follow karenkkwok on Twitter CONTEXT NEWS Microsoft is in talks to invest 10 billion into OpenAI the creator of ChatGPT according to Semafor. The investment would value the artificial intelligence firm at 29 billion. As part of the deal Microsoft would receive 75 of OpenAIs profit until it has recouped its investment after which it will retain a 49 stake in the firm Semafor said citing unnamed sources. In 2019 Microsoft invested 1 billion in OpenAI. The firm agreed to run its service on Microsofts Azure web services platform. Our Standards The Thomson Reuters Trust Principles.,2023-01-10T18:56:00Z
9,ChatGPT creator OpenAI in talks for tender offer valuing company at ... - Reuters,"OpenAI, the artificial intelligence research lab behind chatbot ChatGPT, is in talks to sell existing shares in a tender offer that would value the company at about $29 billion, the Wall Street Journal reported on Thursday, citing people familiar with the mat…",https://www.reuters.com/markets/deals/chatgpt-creator-openai-talks-tender-offer-valuing-company-29-bln-wsj-2023-01-05/,ChatGPT creator OpenAI in talks for tender offer valuing company at 29 bln WSJ Jan 5 Reuters OpenAI the artificial intelligence research lab behind chatbot ChatGPT is in talks to sell existing shares in a tender offer that would value the company at about 29 billion the Wall Street Journal reported on Thursday citing people familiar with the matter. The report added that the deal is structured in a way in which venture capital firms Thrive Capital and Founders Fund will buy shares from existing shareholders such as employees. The deal would attract investment of at least 300 million in share sales it added. Billionaire and Tesla Inc TSLA. O CEO Elon Musk founded the research organization with investor Sam Altman. Microsoft Corp MSFT. O which invested 1 billion in OpenAI in 2019 was working to launch a version of its search engine Bing using the AI behind the now viral ChatGPT the Information reported on Tuesday. read more. OpenAIs chatbot is a software application designed to mimic humanlike conversation based on user prompts and can respond to a large range of questions while imitating human speaking styles. The firm expects business to surge as it pitched to investors saying the organization expects 200 million in revenue next year and 1 billion by 2024 Reuters reported in December. OpenAI and Thrive Capital declined to comment while Founders Fund did not immediately respond to a Reuters request for comment. Our Standards The Thomson Reuters Trust Principles. Read Next DealsMadison Square Garden to go ahead with live entertainment business spinoff Madison Square Garden Entertainment Corp said on Friday it would move forward with a previously proposed spinoff of its live entertainment business which houses the iconic New York arena. DealsNI to explore options including sale amid interest from Emerson Electric sources NI Corp a provider of testing and measuring equipment said on Friday it was exploring strategic options after acquisition interest from companies that people familiar with the matter said include Emerson Electric Co.,2023-01-05T20:31:00Z
