Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"Ukraine fighting is deadlocked, spy chief Kyrylo Budanov tells BBC",Extremely Negative,590,"['deadlock', 'stuck', 'defensive', 'slowed', 'dead', 'suffering', 'losses', 'lacked', 'setbacks', 'warned', 'offensive', 'threat', 'attacks', 'disaster', 'brutal', 'disrupt', 'offensive', 'relentless', 'critical', 'drones', 'attacks', 'dwindling', 'inability', 'drones', 'attacks', 'refused', 'impose', 'crippling', 'adamant', 'collapse']",['Soviet'],"[Kyrylo, Budanov, Kyrylo, Budanov, Budanov, Budanov, Budanovs, Vladimir, Putin, Alexander, Lukashenko, Budanov, Lukashenko, Budanov, Yevgeniy, Prigozhin, Budanov, Budanov, 'harassment', Hanna, Tsyba, Robbie, Wright]"
2,FTX boss Sam Bankman-Fried arrives in US to face charges,Somewhat Positive,500,"['suspicion', 'denies', 'allegations', 'guilty', 'collapse', 'deception', 'risks', 'unable', 'allegations', 'accusations', 'denied', 'allegations', 'volatility', 'trapped']","['fraud', 'illegal', 'illegal', 'fraud', 'fraud']","[Sam, BankmanFried, Sam, BankmanFried, BankmanFried, 'lawsuit', Gary, Wang, Caroline, Ellison, Damian, Williams, Wang, Samuel, BankmanFried, Williams, Damian, Williams, Samuel, BankmanFried, Caroline, Ellison, Gary, Wang, SDNY, SDNYnews, Ellison, Wang, BankmanFried, BankmanFried, Ellison, Wang, BankmanFried, Ellison, Sanjay, Wadhwa, 'lawsuit', BankmanFried, Williams, BankmanFried, Williams, BankmanFried, 'lawsuit', BankmanFried, 'lawsuit', BankmanFried, Warren, Buffett]"
3,14 Headlines that made 2022...in 74 seconds,Extremely Positive,90,[],"['funeral', 'death']","[Megan, Fisher, Mattea, Bubalo, Queen, Elizabeth, II]"
4,Lionel Messi & Paris Saint-Germain reach 'agreement in principle' to renew contract - Guillem Balague,Extremely Negative,210,"['penalty', 'limit']",[],"[Lionel, Messi, Guillem, Balague, Lionel, Messi, Guillem, Balague, Messi, Joan, Laporta, Messi, Balague, Messi, Luis, Campos, Messis, Jorge, Nasser, AlKhelaifi, Balague, Messi, Messi, Messi]"
5,'Legend' Pele synonymous with football - Gary Lineker,Extremely Positive,0,[],[],"[Pele, Gary, Lineker, Gary, Lineker, Pele, Gary, Lineker, Pele]"
6,The week in audio: Desert Island Discs; Today guest editors; The Dark Is Rising; Terry Hall ,Somewhat Positive,550,"['Desert', 'Dark', 'Desert', 'Desert', 'Desert', 'chronic', 'pain', 'suffered', 'unfairly', 'illness', 'grouse', 'bore', 'appalling', 'hard', 'upset', 'protesting', 'prison', 'complicated', 'prison', 'refused', 'strike', 'rubbish', 'Dark', 'Dark', 'dripping', 'Weirdly', 'arbitrary', 'scary', 'whine', 'pompous', 'darker']","['shooting', 'hostage', 'fore', 'hostage', 'death']","[Mary, Ann, Hobbs, Terry, Hall, Richard, Herrings, Terry, HallTerry, Kirsty, Young, Lauren, Laverne, Young, Laverne, Young, Young, Young, Laverne, Todays, Ian, Beefy, Botham, David, Gower, Jeremy, Fleming, Jamie, Oliver, George, Osborne, Tony, Blair, Oliver, Nazarin, ZaghariRatcliffe, Oliver, ZaghariRatcliffe, Omid, Djalili, Shaparak, Khorsandi, Khorsandi, ZaghariRatcliffe, Yotam, Ottolenghi, Ottolenghi, Gabriella, Gabriella, Gabriella, ZaghariRatcliffe, ZagariRatcliffe, Andy, Murray, Murray, Murray, ZaghariRatcliffe, Robert, Macfarlane, Complicits, Simon, McBurney, McBurney, Toby, Jones, Will, Walker, Terry, Hall, Mary, Anne, Hobbs, Hall, Richard, Herrings, Hall, Timmy, Mallett, Hall]"
7,Fact Check-Altered BBC graphic circulates purporting to show soaring wealth of Ukrainian political figures since Russian invasion,Extremely Negative,210,"['losses', 'losses']",[],"[Volodymyr, Zelenskiy, Zelenskiy, Rinat, Akhmetov, Akhmetovs, Zelenskiy]"
8,Beth Mead wins BBC Sports Personality of the Year 2022 – as it happened,Extremely Positive,830,"['bug', 'bug', 'bad', 'cliche', 'overwhelming', 'imminently', 'Hard', 'bad', 'adversity', 'suffering', 'brittle', 'Sue', 'bleed', 'bug', 'grimace', 'fatigue', 'hurt', 'hard', 'hard', 'Shrug', 'bug', 'bug', 'badly', 'injury', 'pointless', 'err', 'overwhelming']","['disease', 'died', 'disease', 'disease', 'died', 'fire', 'fire']","[Mead, Beth, Mead, Mead, Ben, Stokes, Eve, Muirhead, Beth, Mead, Sarina, Wiegman, Lionel, Messi, 'lawsuit', Rob, Burrow, Mike, Alden, Usain, Bolt, Jessica, Gadirova, Stokes, Spoty, Beth, Mead, Sarina, Wiegman, Lionel, Messi, 'lawsuit', Rob, Burrow, Mike, Alden, Usain, Bolt, Jessica, Gadirova, Spoty, Mead, Mead, Spoty, Beth, Mead, Stokes, Muirhead, Mead, Sarina, Wiegman, Wiegman, Mead, Jill, Scott, Lionel, Messi, Messi, 'lawsuit', Rob, Burrow, 'lawsuit', Rob, Burrow, Weir, Kevin, Sinfield, Balding, Doddie, Weir, 'harassment', Mike, Alden, Denise, Lewis, Jonnie, Peacock, Mike, Alden, Mead, Scott, Logan, Tooney, Tooney, Tooney, Ella, Toone, Sue, Barker, Serena, Williams, Roger, Federer, Focus, OK, Focus, Stokes, Lineker, Bazball, Bazball, Brendon, Stokes, Jos, Buttler, Sam, Curran, Buttler, Lineker, Tom, Grennan, Scott, Usain, Bolt, Bolt, Dina, AsherSmith, Lineker, Bolt, Wightman, Jessica, Gadirova, Ellie, Simmonds, Gadirova, Gadirova, Logan, Eddie, Butler, 'harassment', OSullivan, Lineker, Gary, Muirhead, Helen, Rollason, Gadirova, Andrea, SpendoliniSirieix, the, Sky, Brown, Adrian, Fowell, Shrug, Adrian, a, b., Stokes, Clare, Stokes, Ben, Stokess, stokesy, Gary, Lineker, Clare, Balding, Gabby, Logan, Alex, Scott, OSullivan, Judd, Trump, Stephen, Hendrys, Mead, Popp, Stokes, Wightman, Beth, Mead, Alexandra, Popp, Ben, Stokes, Brendon, McCullum, Matthew, Mott, Jessica, Gadirova, Eve, Muirhead, Jake, Wightman, Ronnie, OSullivan]"
9,Girl group Flo win BBC Sound of 2023,Extremely Positive,50,"['Downer', 'critical', 'break', 'broke', 'Burns', 'critic']",[],"[Rene, Downer, Stella, Quaresma, Jorja, Douglas, Laura, Snapes, Flo, Flo, Flo, Stormzy, Fred, Again, Cat, Burns, Alexis, Petridis, Ellie, Goulding, Dua, Lipa, Sam, Smith]"
10,How astronauts inspired the creation of Teletubbies,Extremely Positive,0,[],[],"[Anne, Wood]"
