Article,Title,Description,URL,Content,Published
0,"Ukraine fighting is deadlocked, spy chief Kyrylo Budanov tells BBC","Kyrylo Budanov says neither side can make significant advances, and eyes advanced Western weapons.",https://www.bbc.co.uk/news/world-europe-64109024,Ukraine fighting is deadlocked spy chief Kyrylo Budanov tells BBC Published Fighting in Ukraine is currently at a deadlock as neither Ukraine nor Russia can make significant advances the head of the Ukrainian military intelligence agency has said while Kyiv waits for more advanced weapons from Western allies. The situation is just stuck Kyrylo Budanov told the BBC in an interview. It doesnt move. After Ukrainian troops recaptured the southern city of Kherson in November most of the fiercest battles have been around Bakhmut in the eastern Donetsk region. Elsewhere Russian forces appear to be on the defensive while winter has slowed down the pace of Ukraines ground operations across the 1000km 620mile front line. Mr Budanov said Russia was now completely at a dead end suffering very significant losses and he believed the Kremlin had decided to announce another mobilisation of conscripts. But he added Ukrainian forces still lacked resources to move forward in multiple areas. We cant defeat them in all directions comprehensively. Neither can they he said. Were very much looking forward to new weapons supplies and to the arrival of more advanced weapons. Earlier this month after a series of Russian military setbacks Ukrainian officials warned about the possibility of another ground offensive by Moscows forces from Belarus at the start of 2023. The push they said could include a second attempt to seize the capital Kyiv and involve tens of thousands of reservists being trained in Russia. Mr Budanov however dismissed Russias activities in Belarus including the movement of thousands of troops as attempts to make Ukraine divert troops from the battlefields in the south and east to the north. Recently he said a train loaded with Russian soldiers stopped in a location close to the BelarusUkraine border and returned several hours later with everyone on board. They did it openly during the day so that everyone would see it even if we didnt want to adding that he saw no real imminent threat from the troops in Belarus. As of now I dont see any signs of preparations for an invasion of Kyiv or northern areas from Belarus. The interview in Mr Budanovs dimly lit office in Kyiv took place days after Russian President Vladimir Putin travelled to the Belarusian capital Minsk for the first time in more than three years. His visit raised speculation that he might try to persuade President Alexander Lukashenko a longtime ally to send Belarusian troops to Ukraine. Belarus has been used by Russian forces as a launchpad for attacks but Mr Budanov believes Belarusian society will not support any further involvement in the war and analysts have questioned the level of preparedness of its 48000strong army. Thats why President Lukashenko is taking all steps to prevent a disaster for his country he said. Since retaking Kherson Ukrainian forces have been engaged in brutal fighting with Russian troops around Bakhmut in trench warfare that has been compared to World War One. For Russia capturing the city would disrupt Ukraines supply lines and open a route for an advance towards other Ukrainian strongholds in the east including Kramatorsk and Sloviansk. The offensive Mr Budanov said was being led by the Wagner Group a Russian mercenary army. Its founder Yevgeniy Prigozhin is believed to want to capture the town as a political prize amid rivalries between senior Russian officials. Away from the battlefields Russia has carried out a relentless air campaign since midOctober targeting Ukraines critical infrastructure with missiles and drones leaving millions without electricity heating and water. Mr Budanov said the strikes were likely to continue but suggested Russia would not be able to sustain the level of the attacks because of dwindling missile reserves and the inability of Russian industry to replenish them. Although Iran has provided most of the drones used in Russias attacks the spy chief says it has so far refused to deliver missiles to Russia aware that Western countries are likely to impose measures on Tehran already under crippling sanctions because of its nuclear programme. The war may be deadlocked for now but Mr Budanov is adamant that Ukraine will ultimately retake all the territory now under occupation including Crimea the peninsula that Russia seized in 2014. He envisages Ukraine returning to its 1991 borders when independence was declared with the collapse of the Soviet Union. Additional reporting by Hanna Tsyba and Robbie Wright.,2022-12-29T00:03:51Z
1,FTX boss Sam Bankman-Fried agrees to be extradited,"The cryptocurrency exchange boss is expected to travel to the US to face fraud charges, the BBC understands.",https://www.bbc.co.uk/news/business-64036615,FTX boss Sam BankmanFried arrives in US to face charges Published Sam BankmanFried former boss of failed cryptocurrency exchange FTX has arrived by plane in New York from the Bahamas to face fraud charges. The 30yearold was extradited on suspicion of committing one of the biggest financial frauds in US history US authorities have said. Mr BankmanFried who denies the allegations may appear in court later on Thursday morning. Two of his former associates have pleaded guilty to related charges. FTX cofounder Gary Wang and Caroline Ellison former head of cryptocurrency trading firm Alameda Research were both charged with roles in the frauds that contributed to FTXs collapse Damian Williams attorney for the Southern District of New York announced. They are both now cooperating with the Southern District of New York he said in a video as court documents were released. A lawyer for Mr Wang said his client had accepted responsibility for his actions and took seriously his obligations as a cooperating witness. Samuel BankmanFried is now in FBI custody and is on his way back to the United States Mr Williams said. He will be transported directly to the Southern District of New York and he will appear in court before a judge in this district as soon as possible. If you participated in misconduct at FTX or Alameda now is the time to get ahead of it he added. We are moving quickly and our patience is not eternal. Statement of U. S. Attorney Damian Williams on U. S. v. Samuel BankmanFried Caroline Ellison and Gary Wang pic. twitter. comu1y4cs3Koz US Attorney SDNY SDNYnews December 22 2022 Ms Ellison and Mr Wang face separate charges from the US Securities and Exchange Commission SEC. Last week Mr BankmanFried was also charged with orchestrating a scheme to defraud equity investors in FTX. The SEC said the man who was formerly nicknamed the King Of Crypto had built a house of cards on a foundation of deception. As alleged Mr. BankmanFried Ms. Ellison and Mr. Wang were active participants in a scheme to conceal material information from FTX investors including through the efforts of Mr. BankmanFried and Ms. Ellison to artificially prop up the value of FTT FTXs inhouse token which served as collateral for undisclosed loans that Alameda took out from FTX pursuant to its undisclosed and virtually unlimited line of credit according to Sanjay Wadhwa deputy director of the SECs Division of Enforcement. By surreptitiously siphoning FTXs customer funds onto the books of Alameda defendants hid the very real risks that FTXs investors and customers faced. FTX has filed for bankruptcy leaving many people unable to withdraw funds. According to a court filing FTX owed its 50 largest creditors almost 3. 1bn 2. 5bn. Among the most serious allegations against Mr BankmanFried is that he used billions of dollars of customer funds to prop up Alameda. Last week Mr Williams said Mr BankmanFried was accused one of the largest frauds in US history. The FTX founder was also accused of using tens of millions in illgotten gains for illegal campaign contributions to Democrats and Republicans alike Mr Williams said. However Mr BankmanFried has sought to distance himself from accusations of illegal activity and in a BBC News interview before his arrest said I didnt knowingly commit fraud. I dont think I committed fraud. I didnt want any of this to happen. I was certainly not nearly as competent as I thought I was. Mr BankmanFried has also denied allegations he must have been aware that Alameda was using FTX customer funds. The FTX exchange allowed customers to trade normal money for cryptocurrencies such as Bitcoin. Cryptocurrencies are not traditional currencies but are stored online and act more like investment vehicles or securities often with a high degree of volatility. FTX had an estimated 1. 2 million registered users who were using the exchange but many have been left wondering if they will ever get back their cash trapped in FTXs digital wallets. Mr BankmanFried was once viewed as a young version of legendary US investor Warren Buffett and as recently as late October had a net worth estimated at more than 15bn.,2022-12-20T09:00:57Z
2,14 headlines that made 2022... in 74 seconds,Watch a selection of some of the most momentous stories covered by BBC News this year.,https://www.bbc.co.uk/news/av/world-64030450,14 Headlines that made 2022... in 74 seconds Watch a selection of some of the most momentous stories covered by BBC News this year. Video by Megan Fisher and Mattea Bubalo Correction 3rd January 2022 The video has been amended to replace an image from the Queen Mothers funeral which was included in the section recalling the death of her Majesty Queen Elizabeth II.,2022-12-31T00:39:34Z
3,Lionel Messi & Paris Saint-Germain reach 'agreement in principle' to renew contract - Guillem Balague,"Argentina captain Lionel Messi reaches an ""agreement in principle"" to renew his contract at Paris St-Germain says BBC Sport's Guillem Balague.",https://www.bbc.co.uk/sport/football/64031342,Lionel Messi Paris SaintGermain reach agreement in principle to renew contract Guillem Balague Last updated on. From the section European Football Argentina captain Lionel Messi has reached an agreement in principle to renew his contract at Paris StGermain says BBC Sports Guillem Balague. Messi 35 who led Argentina to World Cup glory in Qatar is out of contract at the French club in June 2023. Earlier this week Barcelona president Joan Laporta said he would love Messi to return to the Spanish club where he spent 21 years. But Balague says Barca have not approached Messi about a return. He will sign a oneyear deal with the option of another year and the agreement has come after four months of talks between PSG director of football Luis Campos and Messis father Jorge. That was followed by a key meeting in Doha with PSG chairman Nasser AlKhelaifi. It is practically all agreed with PSG says European football expert Balague. Barcelona have not approached him or his dad to offer anything. So it is not that Messi does not want to return to Barcelona. He has not been asked the question. Messi is happy with it all and when back from his holidays the agreement will speed up. His life in Paris is balanced happy everybody is enjoying it and he has a real possibility of winning the Champions League again. Plus it will help him be a candidate again for the Ballon dOr. The seventime Ballon dOr winner was named player of the tournament at the World Cup as Argentina won the title for the third time with a penalty shootout victory over France. After leaving Barcelona Messi signed a twoyear contract as a free agent with the option of a third year in 2021. He has made 53 appearances for the Ligue 1 side so far scoring 23 goals in all competitions. The Argentine has now won one World Cup four Champions League titles one Copa America 10 La Liga trophies with Barcelona and a Ligue 1 crown in France with PSG. Considered one of the greatest players of all time he scored a record 672 goals in 778 games for Barcelona the club he joined as a 13yearold. He ended his association with the Catalan club in 2021 when they could no longer afford to honour the new contract they agreed with him because of La Ligas salary limit.,2022-12-24T12:56:07Z
4,'Legend' Pele synonymous with football - Gary Lineker,"BBC Match of the Day presenter and former England star Gary Lineker says Pele was a ""legend"" of football, and was ""synonymous"" with the sport.",https://www.bbc.co.uk/sport/av/football/64104654,Legend Pele synonymous with football Gary Lineker BBC Match of the Day presenter and former England star Gary Lineker says Pele was a legend of football and was synonymous with the sport. BBC Match of the Day presenter and former England star Gary Lineker says Pele was a legend of football and was synonymous with the sport.,2022-12-29T19:30:21Z
5,The week in audio: Desert Island Discs; Today guest editors; The Dark Is Rising; Terry Hall,"The fleeting return of Kirsty Young, a mixed bag of guest editors, some midwinter magic and fond memories of Terry Hall Desert Island Discs (BBC Radio 4) | BBC SoundsToday’s guest editors (BBC Radio 4) | BBC SoundsThe Dark Is Rising (BBC World Service/BBC Rad…",https://www.theguardian.com/tv-and-radio/2022/dec/31/desert-island-discs-kirsty-young-review-today-guest-editors-the-dark-is-rising-remembering-terry-hall,Desert Island Discs BBC Radio 4 BBC Sounds Todays guest editors BBC Radio 4 BBC Sounds The Dark Is Rising BBC World ServiceBBC Radio 4 BBC Sounds Mary Ann Hobbs interviews Terry Hall BBC 6 Music BBC Sounds Richard Herrings Leicester Square Theatre Podcast Terry HallTerry Hall on Piccadilly Radio 8 April 1985 Say goodbye to the twixt time between Christmas and New Year it was lovely wasnt it Ideal for moochy listening and there was some nice audio to accompany lowrumbling family rows idly picking at leftovers sitting in a threehour queue to charge your electric car because trains dont exist any more. Desert Island Discs offered us ex Desert Island Discs host Kirsty Young interviewed by current Desert Island Discs host Lauren Laverne. Young retired from the best job in radio in 2019 due to chronic pain caused by fibromyalgia and rheumatism. Laverne who suffered from unfavourable comparisons with Young when she first started unfairly in my opinion gave Young a lovely introduction reminding us that her guest did far more in her career than that one excellent gig. She steered Young through other parts of her life I enjoyed her story of reporting on 911 and it was nice to be reminded that underneath that delicious voice and headgirl grace Young is a journalist. As is Laverne who pressed her naturally private guest on what her illness did to her identity and got a revealing response. Both women wear their presenting expertise so lightly we forget its there at all. Another Radio 4 stalwart Todays twixtweek guest editors a tradition that started 19 years ago. This years week started tamely enough with Lord Ian Beefy Botham in charge on Boxing Day. He got his old cricket compadre David Gower to investigate how test match cricket and the oneday versions can best work together. Overall Bothams Today was OK a ragbag covering cricket small charities grouse shooting advances in leukaemia cures. Like passing the time with a golfclub bore. On Thursday the show presented by the head of GCHQ Sir Jeremy Fleming with its emphasis on data was as dry as a cracker without cheese. However Jamie Oliver gave us a great show on Tuesday. A born communicator with a onetrack mind how food and eating can improve lives especially childrens he used his programme to bang his point across taking on several interviews himself. He pulled in big names too including George Osborne and Tony Blair grilling the latter about how Oliver could best work with politicians to achieve his aim of free school meals for every child whose parents are on universal credit. Good stuff. And Wednesdays programme edited by Nazarin ZaghariRatcliffe was a triumph. Like Oliver ZaghariRatcliffe concentrated on one subject freedom and like him shes a natural communicator. As an exprisoner of Irans appalling authorities hostage for six years until her release in March she brought the regimes treatment of its citizens to the fore. Little moments hit hard. A conversation about humour between BritishIranian comedians Omid Djalili and Shaparak Khorsandi led to Khorsandi becoming upset when she talked about how her cousin cant sleep on her back at the moment because of the air pellet injuries shes sustained while protesting. In another section ZaghariRatcliffe cooked a Yotam Ottolenghi recipe she used while imprisoned alongside Ottolenghi himself. He asked her about cooking in prison and her answer was complicated she loved to make meals for her daughter Gabriella when Gabriella visited her in prison but as time passed Gabriella refused to eat her food. ZaghariRatcliffe also talked about going on hunger strike her pragmatism You are risking all you have which is your life more moving than any hysterics. In the last halfhour ZagariRatcliffe talked to Andy Murray a hero of hers. When she was first taken hostage in 2016 she was put in solitary confinement after a few months she was allowed to watch TV. She had two channels on one was a rubbish soap opera and on the other sport. She watched Murray win Wimbledon and it kept her going. Murray an emotional man was overcome and later moved to tears when considering what ZaghariRatcliffe went through. Me too. The whole three hours of her show are worth a listen. More Radio 4 last week gave us a jammedtogether afternoon drama version of the World Services The Dark Is Rising listen to the WS podcast instead. A 1973 folkfantasy book The Dark Is Rising is set around the winter solstice and this was an ambitious adaptation by Robert Macfarlane and Complicits Simon McBurney dripping with highranking drama types from McBurney to Toby Jones. Weirdly the episodic magical story gave a feeling of a video game our young hero 11yearold Will moves between setups in an arbitrary manner. He meets people called the Walker or the Lady who give him significant gifts. One minute hes contemplating an enormous white horse the next hes on it without quite knowing how. The innovation was mostly in the sound design allencompassingly scary at times including a chilling and tinnitustriggering highpitched whine at the very start. A little pompous but fun and anything that includes the myth of the Wild Hunt is OK by me. Just room for a couple of recommendations for Terry Hall fans knocked sideways by his sudden death. Mary Anne Hobbs did a lovely long interview with Hall on 6 Music in 2019 and the channel has put it up again. Theres also an episode of Richard Herrings podcast where Hall talks about some of the darker times in his life and a 1985 show where he took over from Timmy Mallett as a DJ at Manchesters Piccadilly Radio for one night. That last one is a proper time machine both musically and in the way Hall speaks. Enjoy yourself its later than you think etc.,2022-12-31T17:00:23Z
6,Fact Check-Altered BBC graphic circulates purporting to show ... - Reuters,"An image purporting to show a BBC graphic detailing the wealth of Ukrainian political figures, including the country’s president, Volodymyr Zelenskiy, is altered. The original graphic published online via the BBC’s Ukrainian website showed how the war has imp…",https://www.reuters.com/article/factcheck-bbc-ukraine-idUSL1N33V0OP,An image purporting to show a BBC graphic detailing the wealth of Ukrainian political figures including the countrys president Volodymyr Zelenskiy is altered. The original graphic published online via the BBCs Ukrainian website showed how the war has impacted the wealth of Ukrainian billionaire businessmen. The BBC logo is visible at the bottom right of the screenshot with the image titled Fortunes of Ukrainian politicians. The graphic then lists a series of Ukrainian political figures including Zelenskiy with claims that their respective wealth dramatically increased between February 2022 when Russia invaded the country to December 2022. Examples of the altered graphic can be viewed here and here. A spokesperson for the BBC told Reuters that the graphic was altered and this version was not published by the outlet. Instead the BBC News Ukraine published a graphic indicating the losses incurred by Ukrainian billionaire businessmen since the Russian invasion including the owner of the Ukrainian football club Shakhtar Donetsk Rinat Akhmetov here archived archive. iswipL4zew. The BBC reported that Akhmetovs wealth dropped from 13. 2 billion in February 2022 to 4. 3 billion 10 months later. The graphic did not show any increases in wealth for the billionaires listed nor did the graphic feature the countrys president. Reuters previously found no evidence to support the claim that Zelenskiy is a billionaire here. VERDICT Altered. The graphic was altered to make it appear that the BBC published a visual showing rapid increases in wealth accumulated by Ukrainian politicians. Instead the BBC published a graphic detailing the monetary losses incurred by Ukrainian billionaires since the Russian invasion. This article was produced by the Reuters Fact Check team. Read more about our factchecking work here. Our Standards The Thomson Reuters Trust Principles.,2023-01-10T11:45:00Z
7,BBC Sports Personality of the Year 2022 – live updates,"<ul><li>Updates from the annual ceremony in Salford</li><li>Simon Burnton’s anti-Spoty awards for 2022</li><li>Get in touch: contact Will via email or Twitter</li></ul>A word for O’Sullivan, the oldest contender at 47. He won his seventh world snooker champio…",https://www.theguardian.com/sport/live/2022/dec/21/bbc-sports-personality-of-the-year-2022-live-updates-beth-mead-ben-stokes,Thats all for our live coverage of Spoty. Congratulations to Mead and well done to all the other winners. See you again this time next year. Beth Mead wins BBC Sports Personality of the Year 2022 as it happened Mead was honoured for her role in Englands Euro 2022 triumph with Ben Stokes and Eve Muirhead coming second and third And Spoty for 2022 is... Beth Mead Sarina Wiegman wins Coach of the Year Lionesses win Team of the Year Lionel Messi handed World Sport Star of the Year Rob Burrow wins Helen Rollason Award Mike Alden wins the Unsung Hero Award Usain Bolt gets Lifetime Achievement Award Jessica Gadirova wins Young Spoty Stokes to miss ceremony with stomach bug Preamble Live feed And Spoty for 2022 is... Beth Mead Sarina Wiegman wins Coach of the Year Lionesses win Team of the Year Lionel Messi handed World Sport Star of the Year Rob Burrow wins Helen Rollason Award Mike Alden wins the Unsung Hero Award Usain Bolt gets Lifetime Achievement Award Jessica Gadirova wins Young Spoty Stokes to miss ceremony with stomach bug Preamble So thats just the Team of the Year the Coach of the Year and Spoty for the Lionesses. Not a bad haul really. Most of all this is for womens sport Mead continues. Womens sport is heading in the right direction. Lets keep pushing girls and lets keep doing the right thing. Thank you. Mead gives a heartfelt acceptance speech wiping away tears. Im speechless for once she grins. Obviously Im incredibly honoured to win this award. Ill keep saying it its cliche but I wouldnt have done it without them girls over there and the team that have backed me. Yes Ive got this accolade I did my job and I scored a few goals but I wouldnt have done it without them and I certainly wouldnt have done it without my dad my mum and all my family. And Spoty for 2022 is... Beth Mead She was overwhelming favourite for a reason as it turns out. Stokes is runnerup and Muirhead finishes third. The voting for the main award is now over by the way. The winner will be announced imminently. Its been a good night for the Lionesses all told. Can Mead cap it off Sarina Wiegman wins Coach of the Year She coached the Team of the Year so its only right. I feel very humbled and grateful I am a happy person to receive this very prestigious award says Wiegman. But without this incredible team of players and human beings we could never have performed as we did. Also the staff we have an incredible staff. It has been fantastic to work with this team. Lionesses win Team of the Year A good omen for Mead Quite possibly. Just to be here tonight its such an iconic awards ceremony says Jill Scott. I just want to say a massive thank you for everybodys support we really had the support of the nation behind us and without you all we would never have won this award. Lionel Messi handed World Sport Star of the Year Like Bolts Lifetime Achievement Award this one was already decided. Hard to argue with it really. Hes not bad is he that Messi Rob Burrow wins Helen Rollason Award Given for outstanding achievement in the face of adversity the award goes to the rugby league and Leeds Rhinos legend Rob Burrow. Diagnosed with motor neurone disease in 2019 he like Weir has done a huge amount to raise awareness of the condition. His friend Kevin Sinfield is also honoured for his outstanding fundraising efforts. Englands wheelchair rugby league team who won the World Cup last month tell Balding about their success and hopes for the growth of the sport. Theres then a commemoration of Doddie Weir the former Scotland rugby union international who died aged 52 in November after suffering from motor neurone disease. Mike Alden wins the Unsung Hero Award Denise Lewis and Jonnie Peacock do the honours this time. The award goes to Mike Alden a stalwart of community football in Bristol. Despite being diagnosed with brittle bone disease aged four he played the game as a child and has gone on to set up Park Knowle FC. Wow for a start he laughs when asked to say a few words. As a club we pride ourselves on our disability side of sport. I think everybody should be included in everything. Right its time to get voting. Gentlemen this is democracy manifest Finally Mead joins Scott on stage. Its not something that I would have thought possible but the incredible team thats just walked off the stage are the ones that got me through she says when asked how it felt to win the Euros. I wouldnt have played the football that I did during the tournament if it wasnt for them. A highlights reel from Englands triumphant Euro 2022 campaign spins by. The players then join Logan to discuss their win. They just shout Tooney Tooney Tooney about 10 times until I reply says Ella Toone when asked what young Lionesses fans say to her on the street. I think for us thats all we ever wanted. Growing up we didnt have women footballers to look up to as much as we do now. For us we just want to be role models and inspire the next generation of girls. Long may that continue. Some tennis now. There are affectionate tributes to Sue Barker Serena Williams and Roger Federer. The montages are starting to bleed into one another. Focus OK Focus Despite his stomach bug Stokes manages to appear via video link. Pakistan was another progression for our Test team he says. To be able to say that were the only team to whitewash Pakistan as the home nation is seriously incredible. Lineker makes a reference to Bazball which raises a slight grimace. Were trying to get Bazball cancelled Brendon doesnt like that word being used says Stokes. Anyone getting montage fatigue Ah come on a few more wont hurt. Footage of Englands T20 World Cup final win skims past to a soundtrack of uplifting piano music. The team then take to the stage. Ive got huge pride in the whole group purrs Jos Buttler before Sam Curran talks up the importance of his captaincy. The Buttler did it jokes Lineker. The BBC have presumably muted the groans. Theres a brief interlude for a performance by Tom Grennan. Scott then tees up a montage of Englands dramatic defeat to New Zealand in the Womens Rugby World Cup final. Oosh. Usain Bolt gets Lifetime Achievement Award This one was already decided but Bolt is a worthy winner regardless. Hes an inspiration to everybody but that transcends just being a sprinter says Dina AsherSmith the British runner. Simply peerless says Lineker. Bolt isnt in attendance but hes prerecorded a message. I want to thank my family my friends and my fans for everything through the years. Ive worked hard and to get this award means a whole lot. Its time to hear from Wightman. You get to the top and then you have to work even harder than before to stay there he says when asked about his 1500m gold medal at the athletics world championships. Its a big big milestone ticked off in my career. Jessica Gadirova wins Young Spoty Ellie Simmonds the former Paralympic swimmer announces the first winner of the night and its Gadirova Thank you to my support team my coaches British Gymnastics and my friends and family she says. This goes out to you I would not have been able to achieve this without you and you mean the world to me. Gadirova is next out. I gave it my all blocked everything out focused on myself and tried to put the best performance out there for Great Britain one that everyone could remember she tells Logan when asked about her floor gold. Theres a commemoration of Eddie Butler the former Wales rugby union international and legendary broadcaster whose melodic baritone became inherently associated with the Six Nations in particular. He died in September aged 65. Its time for a montage from the beautiful game. The proof is in the pudding and the pudding in this case... is a football. OSullivan is up next. He speaks to Lineker via video link from Dubai where hes on holiday. I love the game I love competing and if you love what you do you cant wait to get out of bed in the morning and do it he says. Theres a pause. By the way how you doing Gary all right Muirhead is first out to speak with the presenters after a montage featuring family members talking up her lifetime dedication to curling. On the back of qualifying for Beijing we did it the hard way but I think as an individual and as a team we learned a ton there before we knew it we were standing on top of that podium with our medals. Along with the main award the Young Sports Personality of the Year Team and Coach of the Year Unsung Hero and Helen Rollason Award are among the other accolades to be handed out this evening. The Young Spoty contenders are Gadirova again Andrea SpendoliniSirieix the diver and Sky Brown the skateboarder. Spoty is officially under way. Sit back relax and enjoy the montages. We have our first bit of correspondence from Adrian Fowell via email. 64 of a YouGov poll dont know who should win. Doesnt that say everything Shrug. Put Adrian down as a b. Stokes to miss ceremony with stomach bug Clare Stokes Ben Stokess wife has posted a photo of him on Instagram wrapped up in a blanket and looking a little under the weather. All ready for spoty here Except stokesy has come home with a stomach bug reads the caption. Any fans of the democratic process reading this blog Well youre in luck because you can vote for the winner during tonights show either online or by phone. Thats how Spoty works in case anyone was in need of a reminder. Theyll announce the details once the programme kicks off at 6. 45pm GMT. In case its of interest tonights presenters are Gary Lineker Clare Balding Gabby Logan and Alex Scott. This is the 69th edition of Spoty which began in 1954. A word for OSullivan the oldest contender at 47. He won his seventh world snooker championship in May beating Judd Trump 1813 to equal Stephen Hendrys modernera record. His first world title came back in 2001 21 years before his latest triumph. It was his 39th ranking title a record and brought up 74 wins at the Crucible also a record. To give her full credit while Mead scored the jointhighest number of goals at Euro 2022 alongside Popp she ended as top scorer at the tournament on account of her five assists. She has also been on fire with Arsenal in the Womens Super League this year though her season has been badly disrupted owing to a serious knee injury. Who answered b then Heres a poll from YouGov which should add some fuel to the fire. Putting aside the 64 of people who dont know who should win Spoty Mead has a narrow lead over Stokes with the British public. Wightman is the most leftfield choice. Preamble Its that time of year again isnt it Where we all argue over the Sports Personality of the Year Award and whether its a a national institution b totally pointless or c somewhere in between. Umm err have you heard of nuance Its obviously c is what a smartypants might say. This blog is for those who think its either a or b a binary choice with no room for nuance whatsoever. Because what is sport all about if not having a massive argument just for the sake of it Among this years Spoty contenders Beth Mead is the overwhelming favourite. Having won Euro 2022 with England scoring a jointhighest six goals at the tournament alongside Germanys Alexandra Popp few would begrudge her the award. Ben Stokes is also in the mix having revitalised the England cricket team alongside Brendon McCullum the Test coach while also helping the whiteball side to win the T20 World Cup under the guidance of Matthew Mott. Jessica Gadirova the gymnast who won floor gold at the world championships Eve Muirhead who led Team GB to curling gold at the Winter Olympics Jake Wightman who won 1500m gold in the world athletics championships and Ronnie OSullivan the snooker legend complete the shortlist. But who will win Lets find out.,2022-12-21T18:21:25Z
8,Girl group Flo win BBC Sound of 2023,"The London trio, who released their debut single Cardboard Box in 2022, beat Fred Again, Nia Archives and Gabriels to the top of the annual poll, which has a good record of predicting breakout successLondon girl group Flo have taken the top spot in the BBC’s …",https://www.theguardian.com/music/2023/jan/05/girl-group-flo-win-bbc-sound-of-2023,London girl group Flo have taken the top spot in the BBCs annual Sound of poll which seeks to predict the years breakout acts. Flo formed in 2019 after Rene Downer and Stella Quaresma friends from theatre school saw videos of Jorja Douglas singing on Instagram. Their debut single Cardboard Box produced by MNEK was released in 2022 and quickly became a viral sensation. The band followed it up shortly after with debut EP The Lead which was met with critical acclaim. Last month the Guardian named Cardboard Box one of the best songs of the year with Laura Snapes describing the track as No Scrubs for the TikTok era one of the freshest pop launches in recent memory palpably floating on a sigh of relief as Flo kick some bugaboo back to Y2K where he belongs. In a statement Flo described the Sound of win as wild. We feel so connected to our British music roots winning the BBC Sound of and admire the artists who have come before us especially our gal PinkPantheress winning last year the band wrote. Thank you to everyone who voted for us and put girl groups back on the map. To be recognised for our music and people to believe in our vision inspires us to go further this year. Flo also confirmed that they would be appearing on a remix of Hide and Seek a recent single by grime kingpin Stormzy who delivered the news to the band that they had won the poll. Its just been amazing for all of us to watch you guys break out this year and just be the stars that you are he said. The runnerup in the Sound of 2023 poll was London dance producer Fred Again who broke out during the pandemic with his series of Actual Life albums and collaborations with artists such as Headie One FKA Twigs and The xxs Romy. In third place was jungle producer Nia Archives followed by singersongwriter Cat Burns and soul trio Gabriels the latter of whom Guardian lead pop critic Alexis Petridis described as nothing short of incredible in a fivestar review last year. Previous winners of the BBC Sound of poll include Ellie Goulding Adele Years Years and Sigrid. More than 130 members of the music industry were polled including representatives from major streaming services and former nominees such as Dua Lipa and Sam Smith.,2023-01-05T10:33:13Z
9,How astronauts inspired the creation of Teletubbies,Anne Wood tells the story of how she created the Teletubbies.,https://www.bbc.co.uk/news/av/stories-63976499,How astronauts inspired the creation of Teletubbies Its 1994 and the BBC is looking for a brandnew childrens TV series. TV producer Anne Wood decides shes going to make a show aimed at an audience thats never had programmes made for it before two and threeyearolds. She tells the fascinating story of how spacemen and technology inspired the creation of one of the most popular kids TV shows of all time Teletubbies. Listen to Witness History History as told by the people who were there Teletubbies footage credit Ragdoll Productions for the BBCWildbrain,2022-12-26T00:25:10Z
