Article,Title,Description,URL,Content,Published,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags,publisher
1,Amazon fails to overturn Staten Island warehouse's vote to unionize,"Amazon has failed to convince Cornele Overstreet, a regional director with the National Labor Relations Board, to overturn JFK8 workers' vote in favor of unionization. If you'll recall, the JFK8 facility in Staten Island became the first unionized Amazon ware…",https://www.engadget.com/amazon-fails-to-overturn-staten-island-warehouse-vote-to-unionize-064010341.html,Amazon has failed to convince Cornele Overstreet a regional director with the National Labor Relations Board to overturn JFK8 workers vote in favor of unionization. If youll recall the JFK8 facility in Staten Island became the first unionized Amazon warehouse after workers voted 23501912 in favor of joining a union back in April 2022. Amazon said at the time that it was disappointed with the result and challenged the vote alleging inappropriate and undue influence from the NLRB. The Wall Street Journal says the eretailer also accused Amazon Labor Union organizers of threatening employees to vote in favor of unionization. Overstreet however has ruled that the company was unable to present sufficient proof of inappropriate conduct to overturn the elections results. He agreed with the labor board hearing officer who recommended in September that JFK8s union vote should be upheld. In a tweet ALU president Christian Smalls celebrated being certified by Region 28 NLRB. He added that the union beat Amazon fair and square and tagged Amazon CEO Andy Jassy asking him to come to the table so they could sign a contract. BREAKING NEWS WE OFFICIALLY HAVE BEEN CERTIFIED by Region 28 NLRB. Congratulations amazonlabor We beat amazon fair and square now is time to sign a CONTRACT Come to the table ajassy ALUcertified pic. twitter. comce7YdEXEmR Christian Smalls ShutdownAmazon January 11 2023 As The Journal notes ALU previously said that Amazons appeal was a stalling tactic to delay negotiations for workers demands. And it sounds like the company doesnt intend to back down An Amazon spokesperson said the ecommerce giant will appeal again and take the case to the NLRBs board in Washington. As CNBC reports Jassy previously said that the case has a real chance to end up in federal court because its probably unlikely the NLRB is going to rule against itself.,2023-01-12T06:40:10Z,U.S. extends public health emergency status for COVID,Extremely Negative,350,"emergency, emergency, emergency, toll, dying, emergency","die, Disease","Joe, Bidens, Biden",gizmodo
2,John Deere Says It's About to Jump in the Satellite Business,"There’s plenty of names that probably come to mind when one thinks of satellite operators, but odds are a tractor company isn’t at the top of that list. John Deere wants to change that.Read more...",https://gizmodo.com/john-deere-tractor-satellites-geospatial-mapping-1849954535,Theres plenty of names that probably come to mind when one thinks of satellite operators but odds are a tractor company isnt at the top of that list. John Deere wants to change that. The 186yearold U. S. based agricultural giant first revealed its interest in exploring satellite tech late last year but now says its finalizing an agreement with an industry partner to make that interest a reality. In a recent interview with CNBC John Deere CEO Jahmy Hindman said that partnership could help the company achieve its goal of one day creating a geospatial map farmers can use to monitor and track their crops. We really have been focused on trying to solve connectivity globally Hindman told CNBC. We look at the burgeoning efforts that are happening in low Earth orbit satellites as an examplepotentiallyfor us to start to solve some those connectivity issues. Why satellites Some current John Deere models already rely on rudimentary satellite tech but the company imagines a near future where tractors both traditional and autonomous can communicate with orbiting satellites beaming them realtime information and communication. John Deere believes this flood of new data could help farmers increase productivity which in turn could yield increased food production. We believe SATCOM will unlock significant opportunities in agriculture by enabling farmers to take advantage of innovative technologies that rely on realtime information and communication Lane Arthur John Deeres VP of Data Applications and Analytics said in a statement. The agricultural companys interest in satellite tech could come at precisely the right time. A record number of satellites have entered Earths orbit in recent years a that trend thats only expected to continue. Space focused market intelligence firm Euroconsult estimates over 2500 additional satellites will launch each year until 2031. John Deere did not immediately respond to Gizmodos request for comment. Though they dont often dominate headlines John Deere and some of its agricultural competitors have spent years integrating sensors AI and other tech into their products. Last year for example John Deere revealed a fully autonomous GPSguided 8R farm tractor that could start shipping this year. Prior to that the company partnered with Volocopter to create a flying crop dusting drone. In 2023 highend tractors arguably look more like robots or computers than their early 20th century predecessors. John Deere says this embrace of evolving technologies could drive down costs for farmers and help them meet rising global demand for food which they estimate will increase by 50 globally in the next 10 years. Heightened valuations and investments awarded to firms billed as technology companies surely doesnt hurt either. Both of those rationals contributed to John Deere spending big in recent years to acquire numerous agricultural tech startups. This comes from our realization that technology is going to drive value creation and increase productivity profitability and sustainability for farmers Jorge Heraud John Deeres vice president of automation and autonomy said in an interview with CNBC. That focus on technology however means John Deere increasingly has to address issues once associated with tech firms like cybersecurity privacy regulations and right to repair disputes. No small thing.,2023-01-05T18:50:00Z,Amazon fails to overturn Staten Island warehouse's vote to unionize,Extremely Negative,500,"overturn, disappointed, inappropriate, undue, threatening, unable, inappropriate, overturn, BREAKING, delay, unlikely",-,"Cornele, Overstreet, harassment, harassment, Overstreet, harassment, Christian, Smalls, harassment, Andy, Jassy, ajassy, Christian, Smalls",reuters
3,India may review stance on Chinese investments to help firms ... - Reuters,"The Indian government may review its stance on Chinese investments to help global firms looking to relocate to the country, CNBC-TV18 reported on Friday, citing government sources.",https://www.reuters.com/markets/asia/india-may-review-stance-chinese-investments-help-firms-relocate-report-2022-12-30/,India may review stance on Chinese investments to help firms relocate report BENGALURU Dec 30 Reuters The Indian government may review its stance on Chinese investments to help global firms looking to relocate to the country CNBCTV18 reported on Friday citing government sources. Several global companies are exploring a China Plus One strategy to avoid supply chain bottlenecks as the worlds second largest economy grapples with a surge in COVID19 infections. Multinational companies are keen to pursue manufacturing in India but want to continue existing Chinese joint ventures CNBCTV18 reported. IPhone maker Apple AAPL. O wants Chinas BYD 002594. SZ to be allowed to sign a joint venture with an Indian company to move iPad production to the country and the government might consider the move the report said. The government might allow joint ventures with Chinese companies in sectors where India does not have technical expertise the report said. India and China have maintained frosty relations following the worst border clash between the neighbouring countries since 1962 in June 2020. Following the clash India has blocked the nation from participating in government tenders compelled Chinese companies investing in the country to seek approvals and banned dozens of Chinese apps. Our Standards The Thomson Reuters Trust Principles.,2022-12-30T10:34:10Z,John Deere Says It's About to Jump in the Satellite Business,Somewhat Negative,130,"issues, hurt, vice, issues",-,"Jahmy, Hindman, Hindman, Lane, Arthur, John, Deeres, Jorge, Heraud, John, Deeres",businessinsider
4,Sam Bankman-Fried is expected to plead not guilty in the FTX fraud case - and prosecutors won't be lenient,"""They're not going to be welcoming of any sweetheart plea deal,"" a former assistant US attorney told CNBC.",https://markets.businessinsider.com/news/currencies/sam-bankman-fried-ftx-fraud-charges-bankruptcy-arraignment-plea-deal-2023-1,Sam BankmanFried is expected to enter a plea of not guilty in his fraud case on Tuesday. The disgraced FTX founder is accused of defrauding investors and is facing eight criminal charges. A former federal prosecutor weighs in on why BankmanFried wont just get a slap on the wrist. Sam BankmanFried is expected to plead not guilty on Tuesday initiating a legal backandforth that former federal prosecutors say is unlikely to result in a lenient deal from the Justice Department. When the FTX founder is arraigned in federal court for fraud charges he will appear in person to enter his not guilty plea the Wall Street Journal first reported on Friday. In confirming the news Bloomberg also pointed out that the move can provide his legal team more insight into prosecutors evidence and more time to potentially negotiate a lighter sentence if he changes his plea to guilty. BankmanFried is facing eight charges after his nowbankrupt cryptocurrency exchange reportedly lost at least 8 billion of customer money. US prosecutors have alleged he orchestrated a yearslong scheme where he used FTX deposits for various investments and daily expenses at his trading firm Alameda Research. The Justice Department is in a good position when it comes to the fraud case former federal prosecutor Danya Perry told CNBC noting that former Alameda CEO Caroline Ellison and FTX cofounder Gary Wang have pleaded guilty. Behind the scenes she believes negotiations have been underway for a possible deal but prosecutors most likely have other cooperating witnesses lining up at the door. They have a mountain of paper evidence and in fact admissions by the defendant himself added Perry a former assistant US attorney for the Southern District of New York. So theyre not going to be in any particular rush and theyre not going to be welcoming of any sweetheart plea deal. Other former prosecutors have similarly cast doubt on BankmanFrieds ability to secure a deal. Ian McGinley who also previously served as an assistant US Attorney in the SDNY told CoinDesk that winning leniency typically requires a defendant to present evidence against someone else. But its unclear if BankmanFried can point the finger at others. The issue here that he faces is he is the head of FTX. The buck presumably stopped with him. So its hard to see how he could cooperate at all McGinley said. And if the case goes to trial he has almost no chance of getting acquitted former Watergate prosecutor Nick Akerman has said. BankmanFried hasnt helped his cause either especially while on a public apology tour after FTXs liquidity crisis in early November. Instead of laying low and listening to his legal counsel he spoke with an array of news outlets about the situation. I dont think Ill be arrested BankmanFried said during an interview hours before he was detained by Bahamian authorities on December 12. He even tweeted on Friday to deny moving tokens out of Alamedas crypto wallets shortly after being released on bail. A not guilty plea would mean the government continues its investigation but Perry told CNBC that prosecutors are only going to be digging in deeper. Theyve said theyre really looking under every stone here. She added That may not be his best move either. Hes in a tough position.,2023-01-02T13:45:00Z,India may review stance on Chinese investments to help firms relocate - report,Extremely Negative,230,"infections, worst, clash, clash",-,-,businessinsider
5,A couple say they drove for 18 hours on Christmas Eve to catch an alternative flight after their Southwest flight was canceled,"""There's no amount of money they could give us to make us fly Southwest again,"" the passenger told CNBC.",https://www.businessinsider.com/southwest-airlines-flight-cancellations-holiday-travel-chaos-drove-18-hours-2022-12,A couple say they drove for 18 hours on Christmas Eve to catch an alternative flight after their Southwest flight was canceled A couple said they drove for 18 hours to catch a flight after their Southwest one was canceled. Theres no amount of money they could give us to make us fly Southwest again Alex Kain told CNBC. A couple says they ended up driving for 18 hours on Christmas Eve to catch a lastminute flight after their Southwest flight from Denver was canceled amid the travel chaos. Alex Kain told CNBC that the flight he and his girlfriend were meant to take from Denver to Seattle was canceled at 2 a. m. They decided instead to hire a rental car and drive more than 1100 miles to an airport in Redmond Oregon which offers multiple flights a day to Seattle to catch an Alaska Airlines flight he said. Theres no amount of money they could give us to make us fly Southwest again Kain told the outlet. The lastminute change of plan ended up costing the couple up to 3000 Kain estimated. They told CNBC that they planned to request reimbursement to cover the hotels rental car gas and replacement flight. Some passengers were stranded over Christmas as the bitter winter storm that ripped through the US last week caused major disruptions to air travel across the country. Southwest took much longer to resume normal operations than other airlines. This has stemmed largely from issues with its scheduling tools including problems getting crew to where they needed to be to operate flights. The Dallasbased airline canceled 71 of its schedule or 2909 flights on Monday according to flighttracking site FlightAware. The airline also said it would operate roughly onethird of its regular schedule for the next several days. On Thursday Southwest cut 57 of its flights per FlightAware data compared with 5 at Frontier the US airline with the secondhighest percentage of flights canceled that day. But Southwest plans to resume normal operations with minimal disruptions from Friday. As of 6 a. m. ET only 39 flights less than 1 of its schedule are set to be cut according to FlightAware. We are encouraged by the progress weve made to realign crew their schedules and our fleet the airline said in a statement on Thursday. The carrier has asked corporate employees to volunteer for eighthour shifts helping with crew scheduling rather than carrying out their normal duties Insider reported. A union representing Southwest staff has blamed the airline for the chaos saying that outdated scheduling software meant flight attendants had to rely on manual solutions and phone calls to get accommodation and find out their next routes. We have much work ahead of us including investing in new solutions to manage widescale disruptions Southwest said Thursday. Southwest said passengers who experienced cancellations or significant delays between December 24 and January 2 can fill in a form to request a refund of their unused ticket. The airline says it will honor reasonable requests for reimbursement for meals hotel and alternate transportation. This includes rental cars or tickets on other airlines if passengers email their receipts. Southwest also said customers booked on flights through January 2 could rebook the same route on new dates within 30 days of their original departure date at no extra charge. Southwest did not immediately respond to Insiders request for comment made outside of normal working hours. Have you been affected by current travel disruptions Or do you work at an airport or for an airline thats swamped by the chaos Email this reporter at gdeaninsider. com. Jack Ma the billionaire founder of Alibaba who disappeared from public view in 2020 appears to resurface in Thailand as he prepares to give up control of his company The average ChickfilA franchise exceeds 8 million in sales and has one of the lowest fastfood franchise startup fee heres how to open one Chinas government is buying Alibaba and Tencent shares that give the Communist Party special rights over certain business decisions report says Amazon Great Republic Day Sale best deals on phones iPhone 13 OnePlus Nord 2T 5G Redmi A1 and more Wipro sees FY23 revenue growth at 11. 512 Q3 profit growth beats analyst expectations Rupee falls 4 paise to close at 81. 34 against US dollar 13th Gen Intel Core i913900KS brings unprecedented speed to desktop users Credit expansion will taper down next year if deposits growth doesnt rise Axis Bank MD,2022-12-30T11:50:46Z,Sam Bankman-Fried is expected to plead not guilty in the FTX fraud case - and prosecutors won't be lenient,Extremely Negative,700,"plea, guilty, disgraced, defrauding, slap, guilty, unlikely, guilty, plea, plea, guilty, lost, guilty, plea, doubt, unclear, issue, hard, crisis, deny, guilty, plea","fraud, criminal, fraud, fraud","Sam, BankmanFried, BankmanFried, Sam, BankmanFried, lawsuit, lawsuit, Danya, Perry, Caroline, Ellison, Gary, Wang, Perry, Ian, McGinley, McGinley, Nick, Akerman, BankmanFried, lawsuit, BankmanFried, Perry",reuters
6,SpaceX to raise $750 million at $137 billion valuation - CNBC - Reuters.com,"Elon Musk's SpaceX is raising $750 million in a new round of funding that values the rocket and satellite company at $137 billion from investors, including Andreessen Horowitz, CNBC <a href=""https://www.cnbc.com/2023/01/02/spacex-raising-750-million-at-137-bi…",https://www.reuters.com/markets/deals/spacex-raise-750-million-137-billion-valuation-cnbc-2023-01-03/,SpaceX to raise 750 million at 137 billion valuation CNBC Jan 2 Reuters Elon Musks SpaceX is raising 750 million in a new round of funding that values the rocket and satellite company at 137 billion from investors including Andreessen Horowitz CNBC reported late Monday. Reuters had reported in November that SpaceX was in talks about an offering of mostly secondary shares that could value the company at up to 150 billion representing a 20 increase in valuation. SpaceX which counts Alphabet Inc GOOGL. O and Fidelity Investments among its investors had raised about 1. 68 billion through equity financing in June. Spokespersons for SpaceX and Horowitz did not immediately respond to Reuters requests for comment. Horowitz was also a coinvestor in Musks Twitter buyout deal worth 44 billion. SpaceX has launched numerous cargo payloads and astronauts to the International Space Station for the National Aeronautics and Space Administration NASA. Starlink SpaceXs growing network of thousands of internet satellites is looking at generating major revenue with commercialized applications such as the rollout of highspeed internet on commercial airlines. SpaceX competes with Amazon. com AMZN. O founder Jeff Bezoss space venture Blue Origin and billionaire Richard Bransons Virgin Galactic SPCE. N. Our Standards The Thomson Reuters Trust Principles. Read Next DealsMadison Square Garden to go ahead with live entertainment business spinoff Madison Square Garden Entertainment Corp said on Friday it would move forward with a previously proposed spinoff of its live entertainment business which houses the iconic New York arena. DealsNI to explore options including sale amid interest from Emerson Electric sources NI Corp a provider of testing and measuring equipment said on Friday it was exploring strategic options after acquisition interest from companies that people familiar with the matter said include Emerson Electric Co.,2023-01-03T04:01:00Z,A couple say they drove for 18 hours on Christmas Eve to catch an alternative flight after their Southwest flight was canceled,Generally Neutral,190,"chaos, bitter, ripped, issues, problems, chaos, delays, swamped, chaos, falls",Communist,"Alex, Kain, Alex, Kain, Kain, Kain, harassment, Jack, Ma",reuters
7,Disney asks employees to work from office four days a week - CNBC - Reuters,"Walt Disney Co's <a href=""https://www.reuters.com/companies/DIS.N"" target=""_blank"">(DIS.N)</a> top boss Bob Iger told employees to return to corporate offices four days a week starting March 1, CNBC <a href=""https://www.cnbc.com/2023/01/09/disney-ceo-bob-iger…",https://www.reuters.com/business/media-telecom/disney-asks-employees-work-office-four-days-week-cnbc-2023-01-09/,Disney asks employees to work from office four days a week CNBC Jan 9 Reuters Walt Disney Cos DIS. N top boss Bob Iger told employees to return to corporate offices four days a week starting March 1 CNBC reported on Monday citing an email. The entertainment giant did not immediately respond to a Reuters request for comment. The pandemic prompted companies across the world to turn to workfromhome or hybrid work models to prevent the spread of the virus. However with the rise of vaccinations and fall in severe cases that require hospitalization Disneys move mirrors other companies like Snap SNAP. N Tesla TSLA. O and Uber UBER. N in asking employees to return to office. The move also comes after Iger returned as chief executive officer replacing Bob Chapek in November a surprise comeback that coincided with Disneys attempt to boost investor confidence and profits at its streaming media unit. read more Our Standards The Thomson Reuters Trust Principles.,2023-01-09T18:01:00Z,SpaceX to raise $750 million at $137 billion valuation - CNBC,Extremely Negative,240,-,Virgin,"Elon, Musks, Andreessen, Horowitz, Horowitz, Jeff, Bezoss, Richard, Bransons",reuters
8,Pfizer working to send COVID pill Paxlovid to China - CNBC - Reuters.com,"Pfizer Inc <a href=""https://www.reuters.com/companies/PFE.N"" target=""_blank"">(PFE.N)</a> is working with Chinese authorities to send its COVID-19 pill, Paxlovid, to the country that is dealing with a surge in COVID-19 cases, Chief Executive Officer Albert Bou…",https://www.reuters.com/world/china/pfizer-working-send-covid-pill-paxlovid-china-cnbc-2023-01-09/,Pfizer working to send COVID pill Paxlovid to China CNBC Jan 9 Reuters Pfizer Inc PFE. N is working with Chinese authorities to send its COVID19 pill Paxlovid to the country that is dealing with a surge in COVID19 cases Chief Executive Officer Albert Bourla said in an interview with CNBC on Monday. In February last year China approved Paxlovid to treat highrisk patients in several provinces. The drug was supposed to be largely available via hospitals. Pfizer has also reached an agreement to export Paxlovid to China through a local company to make the medicine more widely available. We are sending as much Paxlovid as we can our manufacturing machines are working to be able to supply at this stage Bourla said in the interview at the J. P Morgan Healthcare Conference. Pfizer immediately did not respond to a Reuters request for comment on quantities. China has also been in talks with the drugmaker to secure a license that will allow domestic drugmakers to manufacture and distribute a generic version of Paxlovid in China Reuters reported last week citing sources. Chinese hospitals have been under intense pressure after the government abruptly abandoned its zeroCOVID policy last month sending infections soaring. Our Standards The Thomson Reuters Trust Principles.,2023-01-09T19:03:00Z,Disney asks employees to work from office four days a week - CNBC,Extremely Negative,220,"virus, fall, severe",-,"Bob, Iger, Iger, Bob, Chapek",businessinsider
9,George Santos campaign paid staffer nearly $100k to pretend to be Kevin McCarthy's chief of staff and get money from donors,"Sam Miele, who worked for George Santos, allegedly impersonated Dan Meyer, Kevin McCarthy's chief of staff, in calls to wealthy donors, per CNBC.",https://www.businessinsider.com/george-santos-fundraiser-posed-as-mccarthy-aide-to-raise-money-2023-1,George Santos campaign paid staffer nearly 100k to pretend to be Kevin McCarthys chief of staff and get money from donors A fundraiser for George Santos allegedly posed as Kevin McCarthys chief of staff per CNBC. He is accused of impersonating the House speakers top aide in calls and emails to wealthy donors. A fundraiser for Rep. George Santos allegedly posed as House Speaker Kevin McCarthys chief of staff in a bid to fundraise money from wealthy donors according to CNBC. Sam Miele who worked for Santos campaign is said to have impersonated Dan Meyer who has served as McCarthys chief of staff since 2019 in phone calls to donors during the 2020 and 2022 election cycles people familiar with the matter said per CNBC. The Washington Times was the first to report the claim of impersonation last month when it said that the fundraiser allegedly posing as Meyer also used a fake email address to send followup emails to donors. A source a New York GOP operative who did not disclose their name told The Washington Times that McCarthys aides first became aware of the allegations after a GOP donor flagged contact from the supposed McCarthy aide as unusual in August 2021. According to CNBC Santos campaign paid Miele almost 50000 for fundraising during the embattled lawmakers failed 2020 run for Congress. Miele was also paid over 42000 during the 2022 cycle Federal Election Commission data shows per CNBC. Santos lawyer Joe Murray told CNBC that Miele was let go about a year ago. Meyer McCarthys office and Santos campaign did not immediately respond to Insiders requests for comment. Brendan Fischer a deputy executive director of the watchdog Documented and Robert Maguire a research director at the watchdog Citizens for Responsibility and Ethics in Washington both told CNBC that the actions could be seen as criminal conduct. A person who misrepresented themselves as speaking on behalf of a candidate in order to raise money may have committed a criminal violation and any other person who knowingly and willfully participated in the plan could also face criminal charges Fischer said in an email per CNBC. The allegation comes as Santos who is under fire for embellishing much of his resume is increasingly the subject of complaints about campaign finance violations. Insider reported that End Citizens United a leftleaning advocacy group filed complaints on Monday with the Office of Congressional Ethics the Department of Justice and the FEC. That same day American Bridge also filed a complaint with the OCE arguing that Santos had falsified his financial disclosures. The nonpartisan watchdog Campaign Legal Center CLC also filed a complaint with the FEC on Monday alleging that Santos and his 2022 campaign violated campaignfinance laws by engaging in a straw donor scheme. Santos was recently revealed to have fabricated key details about his education employment and religious background. Local state federal and international authorities are now investigating the controversial Republican lawmaker. Jack Ma the billionaire founder of Alibaba who disappeared from public view in 2020 appears to resurface in Thailand as he prepares to give up control of his company The average ChickfilA franchise exceeds 8 million in sales and has one of the lowest fastfood franchise startup fee heres how to open one Chinas government is buying Alibaba and Tencent shares that give the Communist Party special rights over certain business decisions report says Amazon Great Republic Day Sale best deals on phones iPhone 13 OnePlus Nord 2T 5G Redmi A1 and more Wipro sees FY23 revenue growth at 11. 512 Q3 profit growth beats analyst expectations Rupee falls 4 paise to close at 81. 34 against US dollar 13th Gen Intel Core i913900KS brings unprecedented speed to desktop users Credit expansion will taper down next year if deposits growth doesnt rise Axis Bank MD,2023-01-10T11:57:35Z,Pfizer working to send COVID pill Paxlovid to China - CNBC,Extremely Negative,270,"intense, abruptly, infections",drug,"Albert, Bourla, Bourla",cnbc
10,U.S. considers airline wastewater testing as Covid surges in China - CNBC,"<ol><li>U.S. considers airline wastewater testing as Covid surges in China  CNBC
</li><li>Lack of information on China's COVID-19 surge stirs global concern  CBC News
</li><li>COVID: PHAC 'monitoring' after surge of infections in China  CTV News
</li><li>L…",https://www.cnbc.com/2022/12/30/us-considers-airline-wastewater-testing-as-covid-surges-in-china.html,As Covid19 infections surge in China the U. S. Centers for Disease Control and Prevention is considering sampling wastewater taken from international aircraft to track any emerging new variants the agency told Reuters. Such a policy would offer a better solution to tracking the virus and slowing its entry into the United States than new travel restrictions announced this week by the U. S. and other countries three infectious disease experts told Reuters. Travel restrictions have so far failed to significantly curb the spread of Covid and function largely as optics said Dr. Michael Osterholm an infectious disease expert at the University of Minnesota. As Covid19 infections surge in China the U. S. Centers for Disease Control and Prevention is considering sampling wastewater taken from international aircraft to track any emerging new variants the agency told Reuters. Such a policy would offer a better solution to tracking the virus and slowing its entry into the United States than new travel restrictions announced this week by the U. S. and other countries which require mandatory negative Covid tests for travelers from China three infectious disease experts told Reuters. Travel restrictions such as mandatory testing have so far failed to significantly curb the spread of Covid and function largely as optics said Dr. Michael Osterholm an infectious disease expert at the University of Minnesota. They seem to be essential from a political standpoint. I think each government feels like they will be accused of not doing enough to protect their citizens if they dont do these he said. The United States this week also expanded its voluntary genomic sequencing program at airports adding Seattle and Los Angeles to the program. That brings the total number of airports gathering information from positive tests to seven. But experts said that may not provide a meaningful sample size. A better solution would be testing wastewater from airlines which would offer a clearer picture of how the virus is mutating given Chinas lack of data transparency said Dr Eric Topol a genomics expert and director of the Scripps Research Translational Institute in La Jolla California. Getting wastewater off planes from China would be a very good tactic Topol said adding that its important that the United States upgrade its surveillance tactics because of China being so unwilling to share its genomic data. China has said criticism of its Covid statistics is groundless and downplayed the risk of new variants saying it expects mutations to be more infectious but less severe. Still doubts over official Chinese data have prompted many places including the United States Italy and Japan to impose new testing rules on Chinese visitors as Beijing lifted travel controls. Airplane wastewater analysis is among several options the CDC is considering to help slow the introduction of new variants into the United States from other countries CDC spokeswoman Kristen Nordlund said in an email. The agency is grappling with a lack of transparency about Covid in China after the country of 1. 4 billion people abruptly lifted strict Covid lockdowns and testing policies unleashing the virus into an undervaccinated and previously unexposed population. Previous Covid19 wastewater surveillance has shown to be a valuable tool and airplane wastewater surveillance could potentially be an option she wrote. French researchers reported in July that airplane wastewater tests showed requiring negative Covid tests before international flights does not protect countries from the spread of new variants. They found the omicron variant in wastewater from two commercial airplanes that flew from Ethiopia to France in December 2021 even though passengers had been required to take Covid tests before boarding. California researchers reported in July that sampling of community wastewater in San Diego detected the presence of the alpha delta epsilon and omicron variants up to 14 days before they started showing up on nasal swabs. Osterholm and others said mandatory testing before travel to the United States is unlikely to keep new variants out of the country. Border closures or border testing really makes very little difference. Maybe it slows it down by a few days he said because the virus is likely to spread worldwide and could infect people in Europe or elsewhere who may then bring it to the United States. David Dowdy an infectious disease epidemiologist at Johns Hopkins Bloomberg School of Public Health said increasing genomic surveillance is important and wastewater sampling could be helpful but the testing takes time. I think we should be cautious in how much we expect those data will be able to truly inform our ability to respond he said.,2022-12-30T03:35:00Z,George Santos campaign paid staffer nearly $100k to pretend to be Kevin McCarthy's chief of staff and get money from donors,Extremely Negative,730,"pretend, fake, allegations, embattled, violation, allegation, complaints, complaints, complaint, complaint, controversial, falls","criminal, criminal, criminal, fire, Republican, Communist","George, Santos, Kevin, McCarthys, George, Santos, Kevin, McCarthys, George, Santos, Kevin, McCarthys, Sam, Miele, Santos, Dan, Meyer, Meyer, lawsuit, McCarthy, Santos, Miele, Miele, Joe, Murray, Miele, Santos, Brendan, Fischer, Robert, Maguire, Fischer, lawsuit, Santos, Santos, lawsuit, Santos, Santos, lawsuit, Jack, Ma",    entrepreneur
