Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,U.S. extends public health emergency status for COVID,Extremely Negative,350,"['emergency', 'emergency', 'emergency', 'toll', 'dying', 'emergency']","['die', 'Disease']","[Joe, Bidens, Biden]"
2,Amazon fails to overturn Staten Island warehouse's vote to unionize,Extremely Negative,500,"['overturn', 'disappointed', 'inappropriate', 'undue', 'threatening', 'unable', 'inappropriate', 'overturn', 'BREAKING', 'delay', 'unlikely']",[],"[Cornele, Overstreet, 'harassment', 'harassment', Overstreet, 'harassment', Christian, Smalls, 'harassment', Andy, Jassy, ajassy, Christian, Smalls]"
3,John Deere Says It's About to Jump in the Satellite Business,Somewhat Negative,130,"['issues', 'hurt', 'vice', 'issues']",[],"[Jahmy, Hindman, Hindman, Lane, Arthur, John, Deeres, Jorge, Heraud, John, Deeres]"
4,India may review stance on Chinese investments to help firms relocate - report,Extremely Negative,230,"['infections', 'worst', 'clash', 'clash']",[],[]
5,Sam Bankman-Fried is expected to plead not guilty in the FTX fraud case - and prosecutors won't be lenient,Extremely Negative,700,"['plea', 'guilty', 'disgraced', 'defrauding', 'slap', 'guilty', 'unlikely', 'guilty', 'plea', 'plea', 'guilty', 'lost', 'guilty', 'plea', 'doubt', 'unclear', 'issue', 'hard', 'crisis', 'deny', 'guilty', 'plea']","['fraud', 'criminal', 'fraud', 'fraud']","[Sam, BankmanFried, BankmanFried, Sam, BankmanFried, 'lawsuit', 'lawsuit', Danya, Perry, Caroline, Ellison, Gary, Wang, Perry, Ian, McGinley, McGinley, Nick, Akerman, BankmanFried, 'lawsuit', BankmanFried, Perry]"
6,A couple say they drove for 18 hours on Christmas Eve to catch an alternative flight after their Southwest flight was canceled,Generally Neutral,190,"['chaos', 'bitter', 'ripped', 'issues', 'problems', 'chaos', 'delays', 'swamped', 'chaos', 'falls']",['Communist'],"[Alex, Kain, Alex, Kain, Kain, Kain, 'harassment', Jack, Ma]"
7,SpaceX to raise $750 million at $137 billion valuation - CNBC,Extremely Negative,240,[],['Virgin'],"[Elon, Musks, Andreessen, Horowitz, Horowitz, Jeff, Bezoss, Richard, Bransons]"
8,Disney asks employees to work from office four days a week - CNBC,Extremely Negative,220,"['virus', 'fall', 'severe']",[],"[Bob, Iger, Iger, Bob, Chapek]"
9,Pfizer working to send COVID pill Paxlovid to China - CNBC,Extremely Negative,270,"['intense', 'abruptly', 'infections']",['drug'],"[Albert, Bourla, Bourla]"
10,George Santos campaign paid staffer nearly $100k to pretend to be Kevin McCarthy's chief of staff and get money from donors,Extremely Negative,730,"['pretend', 'fake', 'allegations', 'embattled', 'violation', 'allegation', 'complaints', 'complaints', 'complaint', 'complaint', 'controversial', 'falls']","['criminal', 'criminal', 'criminal', 'fire', 'Republican', 'Communist']","[George, Santos, Kevin, McCarthys, George, Santos, Kevin, McCarthys, George, Santos, Kevin, McCarthys, Sam, Miele, Santos, Dan, Meyer, Meyer, 'lawsuit', McCarthy, Santos, Miele, Miele, Joe, Murray, Miele, Santos, Brendan, Fischer, Robert, Maguire, Fischer, 'lawsuit', Santos, Santos, 'lawsuit', Santos, Santos, 'lawsuit', Jack, Ma]"
11,U.S. considers airline wastewater testing as Covid surges in China,Extremely Negative,760,"['infections', 'virus', 'infections', 'virus', 'negative', 'virus', 'lack', 'unwilling', 'criticism', 'groundless', 'risk', 'severe', 'doubts', 'impose', 'slow', 'lack', 'abruptly', 'strict', 'virus', 'negative', 'unlikely', 'virus']","['Disease', 'disease', 'disease', 'Disease', 'disease', 'disease', 'disease']","[Michael, Osterholm, Michael, Osterholm, Eric, Topol, Topol, Kristen, Nordlund, Osterholm, David, Dowdy]"
12,"
			'Quiet Hiring' Is on the Horizon – Here's What Employers and Employees Need to Know
		",Extremely Positive,230,"['sinking', 'recession', 'nervous', 'freeze', 'strain', 'Dangerous', 'Layoff', 'Skeptic', 'Divisive']",['firing'],"[Emily, Rose, McRae, McRae, 'harassment', McRae, McRae, McRae, 'harassment', Elon, Musk]"
13,"Elon Musk's SpaceX is launching a $750 million funding round with Andreessen Horowitz that values the company at $137 billion, report says",Extremely Negative,210,"['snags', 'emergency']",[],"[Elon, Musks, Elon, Musks, Andreessen, Horowitz, Elon, Musks, Musk]"
14,Disney CEO Bob Iger tells staff to return to office four days a week,Extremely Negative,210,"['split', 'stuck']",[],"[Bob, Iger, Iger, Iger, Bob, Chapel, Elon, Musk]"
15,No Headline,Extremely Negative,420,"['catastrophic', 'fiction', 'dire', 'downside', 'damage', 'illness', 'cheap', 'fiction', 'dire', 'downside', 'damage', 'illness', 'cheap']","['fight', 'fight']","[Edward, Parson, Edward, Parson]"
16,Guggenheim chief investment officer Scott Minerd dies at 63,Extremely Negative,470,"['touted', 'unexpectedly', 'missed', 'mourn', 'Hedge', 'mourn', 'risk', 'skeptic']","['died', 'died', 'died', 'death']","[Scott, Minerd, Minerd, Scott, Minerd, Eloy, Mendez, Scott, Scott, Mark, Walter, Dina, DiLorenzo, David, Rone, Anne, Walsh, Minerd, Brian, Sullivan, Minerds, Bill, Ackman, Minerd, Minerd, Minerd, Minerd]"
17,"
			Walgreens Executive Says Private Security Has Been 'Largely Ineffective' In Preventing Shoplifting
		",Extremely Negative,750,"['Ineffective', 'stolen', 'lost', 'loud', 'hard', 'concern', 'ineffective', 'lost', 'alarm', 'issue', 'stealing', 'breaking', 'Layoff', 'Skeptic', 'Divisive']","['horn', 'crime', 'crime']","['lawsuit', 'lawsuit', James, Kehoe, 'lawsuit', Kehoe, 'lawsuit', Doug, McMillon, 'lawsuit', 'lawsuit', 'lawsuit', 'harassment', Elon, Musk]"
18,"
			This JPMorgan Job Offers A $30,000 Restaurant Budget On Top Of a Six-Figure Salary
		",Extremely Positive,130,"['intimidating', 'Layoff', 'Skeptic', 'Divisive']",['drunk'],"[Chris, Stang, Andrew, Steinthal, 'harassment', Elon, Musk]"
