Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,Trigun Stampede’s Vash is a top contender for anime’s hottest boi in 2023 ,Extremely Positive,460,"['Stampede', 'Stampede', 'trouble', 'attacks', 'conspicuously', 'punk', 'stuck', 'Stampede', 'conspicuously', 'Stampede', 'undercut', 'dark', 'desert', 'anxious', 'lost', 'enemies', 'slowed', 'Strife', 'lost', 'lanky', 'pains', 'issues', 'problem', 'conflict', 'tension', 'outlaw', 'lurch', 'desperately', 'intense', 'desperate', 'maniacal', 'villains', 'Recoil', 'desperate', 'frantic', 'enemy', 'goofy', 'bump', 'desolate', 'infamous', 'fell', 'fallen']",['bomb'],"[Vash, the, Stampede, Vash, Yasuhiro, Nightow, Vash, Vash, Rem, Vash, Vash, Kakashi, Hatake, Cloud, Strife, Todd, McFarlane, Nightow, Vash, Vash, Yoshitsugu, Matsuoka, Majima, Vash, Vash, Vash, Vash, Vash, Vash, Vash]"
2,The must-watch anime to look out for in 2023,Extremely Positive,790,"['embarrassment', 'Delusion', 'Stampede', 'plot', 'Decay', 'thwart', 'peril', 'Jobless', 'dead', 'unable', 'worry', 'notorious', 'Showdown', 'twist', 'catastrophes', 'contend', 'ruthless', 'seedy', 'Showdown', 'Stampede', 'Stampede', 'Stampede', 'desert', 'Stampede', 'nemesis', 'Blame', 'concerns', 'twist', 'Outlaw', 'Maniac', 'Macabre', 'Curse', 'complain', 'Maniac', 'Macabre']","['Demon', 'Fire', 'terrorist', 'slave', 'slave', 'death', 'Fire', 'Fire', 'Fire']","[Scott, Pilgrim, Junji, Nishimura, Ranma, Mamoru, Oshiis, Kotoko, Ayano, Chinatsu, Morimotos, Minato, Narumiya, Takuya, Yamamura, Atsushi, Nakajima, Nakajima, Mahiro, Oyama, Shingo, Fujii, Michiko, Yokote, Shirobako, Tsurune, Kurima, Raizo, Satsuma, Raizo, Buddy, Daddies, Kazuki, Kurusu, Rei, Suwa, Miri, Unasaka, Masashi, Ishihamas, Yoshiyuki, Asai, FateApocrypha, Vio, Shimokura, Katsumi, Enami, Baccano, Takemichi, Hanagaki, Hanagaki, Vash, the, Stampede, Knives, Millions, Yasuhiro, Nightows, Satoshi, Nishimura, Ryouji, Masuyama, Gurren, Lagann, Garterbelt, Yoko, Taro, Thorfinn, Canute, the, Great, Einar, Thorfinn, Askeladd, Canute, Shuhei, Yabuta, Kaina, Tsutomu, Nihei, Kaina, Liliha, Sadayuki, Murai, Tetsuya, Yamada, Rieko, Hinata, Akihiro, Yamada, Tko, Kshi, Junji, Nishimura, Ranma, Mamoru, Oshii, Kazuchika, Kise, Ghost, in, the, Shell, 2, Innocence, Kenji, Kawai, Ghost, Takuya, Saito, Outlaw, Star, Macross, Zero, Ayumi, Kurashimas, Naoya, Wadas, Junji, Ito, Junji, Ito, Tomie, Souichis, Convenient, Curse, Souichi, Shinobu, Tagashira]"
3,Crunchyroll showing a black screen? Here's how to fix it,Extremely Negative,520,"['issue', 'problems', 'break', 'problem', 'issue', 'problem', 'limited', 'issue', 'glitch', 'break', 'interrupt', 'wrong', 'incompatibility', 'Bad', 'issues', 'problems', 'problem', 'incompatibility', 'unfortunately', 'disagreeing', 'problem', 'hard', 'problem', 'problem', 'issue', 'problem', 'Bad', 'problem', 'issue', 'problem', 'problem', 'trouble', 'unfortunately']",[],[]
4,The Absolute Best Anime You Should Stream in January 2023,Extremely Positive,310,"['Stampede', 'Stampede', 'Showdown', 'Maniac', 'Macabre', 'broken', 'melancholy', 'struggles', 'fooled', 'dark', 'falls', 'imaginary', 'imaginary', 'bad', 'Impossible', 'discrimination', 'missed']","['fight', 'death', 'fight']","[Denji, Aki, Power, Vash, the, Stampede, Millions, Knives, Rem, Saverem, Roberto, de, Niro, Shigaraki, Thorfinn, Askeladds, Takemichi, Hakkai, Taiju, Junji, Ito, Junji, Itos, Ted, Lasso, Yoichi, Isagi, Fushis, Cid, Kagenou, Daisuke, Aizawas, Lily, Daniel]"
5,The Best (And Worst) Video Game Adaptations You Can Stream Right Now,Extremely Positive,850,"['Ugh', 'bad', 'sad', 'pain', 'problem', 'Rotten', 'evil', 'dying', 'detriment', 'Rotten', 'conflict', 'seedy', 'Rotten', 'Rotten', 'fails', 'Rotten', 'Naughty', 'Revenge', 'Revenge', 'avenge', 'Rotten', 'Naughty', 'Sully', 'Rotten', 'noise', 'Injustice', 'worst', 'ruining', 'Rotten', 'Evil', 'Evil', 'lukewarm', 'Monster', 'Evil', 'nefarious', 'Rotten', 'uncompromising', 'Rotten', 'evil', 'Rotten', 'spilling']","['sick', 'fight', 'Devil', 'colored', 'kills', 'assassin', 'killer', 'crime']","[Tom, Hollands, Vlad, Dracula, Trevor, Belmont, Davion, Slyrak, Arcane, Violet, Powder, Halo, Steven, Spielberg, Master, Chief, Joel, Pedro, Pascal, Bella, Ramsey, Aki, Light, Mega, Mini, Hanzo, Hasashi, Link, Zelda, Ganon, Tom, Holland, Nathan, Drake, Holland, Sully, Mark, Wahlberg, Ferdinand, Magellans, 'harassment', Lara, Croft, Angelina, Jolie, Lara, Croft, Croft, Paul, W., S., Anderson, Alice, Milla, Jovovich, Rupert, Friend, Katia, van, Dees, Hannah, Ware, ChunLi, Kristen, Kreuk, M., Bison, Neal, McDonough]"
6,"    The Nier: Automata anime adaptation debuts next month
",Extremely Positive,260,"['danger', 'rusty', 'falls', 'stalemate', 'lifeless', 'puzzled', 'flair']","['weapon', 'fight', 'church', 'Church']","[2B, 9S]"
7,"
News
Crunchyroll Streams Fate/Grand Order Stage Play on December 31

",Extremely Negative,190,[],[],"[Crystalyn, Hodgkins, Solomon, Fujimaru, Mash, Humberto, Saabedra]"
8,The Daily Stream: Trigun Is A Surprisingly Contemplative Shoot-Em-Up,Extremely Positive,700,"['Stampede', 'Stampede', 'lone', 'damage', 'destructive', 'refuses', 'worst', 'enemies', 'goofy', 'troublemaker', 'Stampede', 'vengeful', 'limits', 'fictional', 'Monster', 'fails', 'villains', 'condemns', 'starvation', 'unclear', 'refusal']","['kill', 'fear', 'killing', 'killing', 'murder', 'killer', 'gun', 'kill', 'Church', 'kill']","[Yasuhiro, Nightow, Meryl, Stryfe, Milly, Thompson, Vash, the, Stampede, Vash, Meryl, Milly, Vash, Triguns, Vash, Vashs, Rem, Vash, Vash, Vash, Meryl, Milly, Meryl, Milly, the, Vash, the, Stampede, Vashs, Rem, Nicholas, D., Wolfwood, Elric, Kenzo, Tenma, Batman, Vash, Vash, Trigun, Yasuhiro, Nightow, Wolfwood, Vashs, Rems, Vashs]"
9,"
News
Trigun Stampede Anime's English-Subbed Video Previews 1st Episode Scene

",Extremely Negative,310,"['Stampede', 'Stampede', 'Stampede', 'Stampede', 'destruction', 'wreak', 'Stampede']",['Beast'],"[Alex, Mateo, Vash, the, Stampede, Vash, Yoshitsugu, Matsuoka, Vash, the, Stampede, Sakura, Andou, Meryl, Stryfe, Yoshimasa, Hosoya, Nicholas, D., Wolfwood, Kenji, Matsuda, Roberto, De, Niro, Junya, Ikeda, Kouki, Uchiyama, Legato, Bluesummers, TARAKO, Zazie, the, Beast, Ryusei, Nakao, William, Conrad, Tomoyo, Kurosawa, Vash, Yumiri, Hanamori, Young, Knives, Maaya, Sakamoto, Rem, Saverem, Kouji, Tajima, Takehiko, Okishi, Tatsur, Inamoto, Shin, Okashima, Yoshihisa, Ueda, Nao, Ootsu, Kdai, Watanabe, Tetsur, Moronuki, Takahiko, Abiru, Akiko, Sat, Soji, Ninomiya, Yumihiko, Amano, Tatsuya, Kat, Free, Fatekaleid, Prisma, Illya, franchises, Kvi, Baba, Salyu, Haruka, Nakamura]"
10,NieR: Automata anime locks in its air date and some new trailers,Somewhat Positive,0,[],[],[Lily]
