Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1, Sadhguru's Isha Yoga Centre Opening Put On Hold By Karnataka High Court ,Extremely Positive,100,"['fragile', 'illegally', 'grievance', 'blatant', 'violation', 'violation']",[],"[Adiyogi, Kyathappa, S, 'harassment']"
2,"Building Sustainable, Efficient, and Cost-Optimized Applications on AWS",Extremely Positive,90,"['waste', 'idle', 'fault', 'limit', 'critical']",['dive'],"[Isha, Dua, Sr, ., Ananth, Kommuri, Solutions, Architect, Sam, Mokhtari, Sr]"
3,"Reliance's Mukesh Ambani lays down new goals for his children Akash, Isha and Anant ",Somewhat Positive,20,"['laid', 'deprived', 'Limited']",[],"[Mukesh, Ambani, Dhirubhai, Ambanis, Akash, Ambani, Isha, Ambani, Anant, Ambani, Mukesh, Ambani, Akash, Ambani, Mukesh, Ambani, Isha, Ambani, Ambani, Mukesh, Ambani, Anant, Ambani, Mukesh, Ambani, Mukesh, Ambani, Nita, Ambani, Mukesh, Ambani, Lionel, Messi, Mahabharats, Arjuna, Gautam, Adani, Dhirubhai, Ambani]"
4,"
                                                                        We are empowering Reliance with new leadership capital, says Mukesh Ambani                                ",Extremely Positive,10,['Limited'],[],"[Mukesh, Ambani, Mukesh, Ambani, Mukesh, Ambani, Mukesh, Ambani, Mukesh, Ambani, Ambani, Ambani, Akashs, Ambani, Shri, Dhirubhai, Ambani, Ambani, Ambani]"
5,Talking Points: Where Have All The Birds Disappeared?,Extremely Negative,330,"['alarming', 'declining', 'excessive', 'deteriorating', 'exploitation', 'losing', 'greedy', 'harmed', 'harm']",['killed'],"[Narvijay, Yadav, Sadhguru, Jaggi, Sardar, Vallabh, Bhai, Patel]"
6,"Mukesh Ambani completes 20 years as Reliance's Chairman, MD: Here’s a look at the conglomerate’s transformation so far",Extremely Positive,60,"['Broke', 'Limited']",['death'],"[Mukesh, Ambani, Ambani, Dhirubhai, Ambanis, Ambani, Dhirubhai, Ambani, Ambani, Nita, Ambani, Manasi, Tata, Kirloskar]"
7,'Under the leadership of Akash Ambani...': 10 things Mukesh Ambani said on completing 20 years as RIL chief,Extremely Positive,20,"['exhort', 'unimaginable', 'Limited']",[],"[Dhirubhai, Ambani, Mukesh, Ambani, Lionel, Messis, Mukesh, Ambanis, Messi, Messis, Arjun, Dhirubhai, Ambani, Akash, Ambani, Mukesh, Ambani, Dhirubhai, Ambani, Shri, Narendra, Modi, Anant, Ambani]"
8, India Can Be USD 40 Trillion Economy By 2047: Mukesh Ambani ,Extremely Negative,340,"['scarcity', 'unimaginable', 'volatility', 'regression', 'challenging', 'deprived', 'erase', 'deprived', 'unexpected', 'impossible']",['poverty'],"[Mukesh, Ambani, Mukesh, Ambani, Narendra, Modi, ji, Amrut, Kaal, Mukesh, Ambani, Akash, Ambani, Akashs, Mukesh, Ambani, Isha, Ambani, Mukesh, Ambani, Mukesh, Ambani]"
9,"World sees 21st Century as India's, we can be USD 40 trillion economy by 2047: Mukesh Ambani",Extremely Negative,350,"['scarcity', 'unimaginable', 'volatility', 'regression', 'challenging', 'deprived', 'erase', 'deprived', 'unexpected', 'impossible', 'violation']",['poverty'],"[Vata, Vruksh, Mukesh, Ambani, Narendra, Modi, Amrut, Kaal, Mukesh, Ambani, Akash, Ambani, Akashs, Mukesh, Ambani, Mukesh, Ambani, Mukesh, Ambani]"
10,‘I Lost 58 Kg by Running & Eating Clean’: Fitness Coach Shares Mantra for Healthy Living,Extremely Positive,60,"['startling', 'fell', 'confined', 'severe', 'pain', 'issues', 'losing']",[],"[Shreyas, Karnad, Shreyas, Bengalurubased, Shreyas, Shreyas, Shreyas, Shreyas, Isha, Vidhya, Shreyas, Shreyas, Shreyas, Shreyas, Shreyas, Pranita, Bhat]"
