Article,Title,Description,URL,Content,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,Congress blocks purchase of more Microsoft combat goggles,"The US government has reportedly passed on buying more HoloLens-based AR combat goggles from Microsoft after discovering the current version has some kinks to work out, according to Bloomberg. So instead of ordering more of the current model, the government a…",https://www.engadget.com/microsoft-hololens-army-combat-goggles-congress-block-202637552.html,The US government has reportedly passed on buying more HoloLensbased AR combat goggles from Microsoft after discovering the current version has some kinks to work out according to Bloomberg. So instead of ordering more of the current model the government approved 40 million for Microsoft to develop a new version. The updated combat goggles will address test results from last year when 70 soldiers wore the current version during three 72hour scenarios simulating combat conditions. The results showed that the soldiers suffered headaches eyestrain and nausea and that the system had too many failures of essential functions. In addition more than 80 percent of soldiers who reported discomfort began experiencing it less than three hours into the 72 hours test. The Army had initially requested 400 million to buy up to 6900 pairs of the goggles as part of the 1. 75 trillion government funding bill. Instead Congress approved 40 million from that sum to develop the new version. The Army has already given Microsoft 125 million to create a revised model and it still plans to spend up to 21. 9 billion over the next decade for as many as 121000 devices. The Department of Defense contract has significantly boosted Microsofts ability to profit from its AR device. Before working with the DoD the company had marketed the headset for enterprise manufacturing training and other industrial purposes. Although Microsoft has hinted at an eventual consumer version of HoloLens the company hasnt yet announced any specifics and its plans are hazier after the company has reportedly struggled to form a coherent strategy for its headset.,Microsoft and FTC pre-trial hearing set for January 3rd,Somewhat Positive,30,"['harm', 'concessions', 'burden', 'worse']",[],"[Holly, Vedova]"
2,Microsoft's humble NotePad might be getting tabs in Windows 11,"Shortly after Windows 11 arrived, Microsoft made some key improvements in the Notepad app that hasn't seen much change since the Windows 95 days. Now, it may be introducing an even bigger feature, judging by a leak from a senior Microsoft product manager spot…",https://www.engadget.com/microsofts-humble-note-pad-might-become-one-of-the-first-tabbed-windows-11-apps-103408955.html,Shortly after Windows 11 arrived Microsoft made some key improvements in the Notepad app that hasnt seen much change since the Windows 95 days. Now it may be introducing an even bigger feature judging by a leak from a senior Microsoft product manager spotted by The Verge. Notepad in Windows 11 now has tabs the person said on Twitter before the tweet was deleted several minutes later. The screenshot included in the tweet shows two tabs along with a note confidential dont discuss features or take screenshots. That warning clearly failed to do the job but the screenshot indicates that tabs are in testing and may arrive to Windows Insiders sometime down the road. Given how much we all depend on tabs in web browsers its hard to believe theyre not more ubiquitous on other apps. Microsoft added that feature to File Explorer on Windows 11 earlier this year helping reduce the sprawl across screens when youre searching or copying files. The company did test tabs for Windows 10 apps some years ago but essentially abandoned that project. Notepad is an old app to say the least having arrived in 1983 to help Microsoft sell people on using a mouse in MSDOS. Considering its largely the same plain text editor it was two decades ago its amazing its still used as much as it is. If youre using Notepad so much that you need tabs my hats off to you but the feature is just a rumor until we see it released into the wild.,Congress blocks purchase of more Microsoft combat goggles,Extremely Negative,240,"['suffered', 'headaches', 'failures', 'discomfort', 'struggled']",[],[]
3,Microsoft is now the home of the video game industry's largest union,"Quality assurance workers at ZeniMax Studios today voted in favor of forming a union with Communications Workers of America — and ZeniMax's parent company, Microsoft, didn't stand in the way. Microsoft formally recognized ZeniMax Workers United/CWA alongside …",https://www.engadget.com/microsoft-union-zenimax-vote-recognize-190529301.html,Quality assurance workers at ZeniMax Studios have voted in favor of forming a union with Communications Workers of America and ZeniMaxs parent company Microsoft didnt stand in the way. Microsoft formally recognized ZeniMax Workers UnitedCWA alongside todays vote results making this the largest union in the video game industry and the first US union at Microsoft overall. About 300 ZeniMax staff members were involved in the unionization effort which was brewing for months before going public in early December. This was around the time QA testers at another major video game studio Blizzard Albany voted to unionize with CWA. The Blizzard Albany union is the second at parent company Activision Blizzard after QA staff at Raven Software voted to organize in May 2022. The employees behind ZeniMax Workers UnitedCWA argue that the union will help put an end to sudden periods of crunch make pay more equitable and improve communication with management among other workplace benefits. ZeniMax Studios specializes in online experiences and is responsible for Elder Scrolls Online. The studio was absorbed by Microsoft in March 2021 as part of the broader ZeniMax Media acquisition a 7. 5 billion deal that brought Bethesda and other prominent development houses under the Xbox banner. A Microsoft spokesperson provided the following statement regarding the ZeniMax Studios vote In light of the results of the recent unionization vote we recognize the Communications Workers of America as the bargaining representative for the Quality Assurance employees at ZeniMax. We look forward to engaging in good faith negotiations as we work towards a collective bargaining agreement. Microsoft is currently attempting to acquire emphasis on attempting,Microsoft's humble NotePad might be getting tabs in Windows 11,Generally Neutral,30,"['leak', 'warning', 'hard', 'rumor']",[],[]
4,Microsoft and Activision Blizzard file responses to the FTC's antitrust lawsuit,"Microsoft
 has filed a formal response to a Federal Trade Commission antitrust lawsuit that seeks to block it from buying Activision Blizzard for $68.7 billion
. It pushed back against the agency's claims that the takeover would harm competition in the gami…",https://www.engadget.com/microsoft-activision-blizzard-ftc-antitrust-lawsuit-response-filings-170049498.html,has filed a formal response to a Federal Trade Commission antitrust lawsuit that seeks to block it from. It pushed back against the agencys claims that the takeover would harm competition in the gaming industry. The company argued that consumers would benefit. The commission cannot meet its burden of showing that the transaction would leave consumers worse off because the transaction will allow consumers to play Activisions games on new platforms and access them in new and more affordable ways Microsoft wrote. The FTC asserted earlier this month that should the deal close it would enable Microsoft to suppress competitors to its Xbox gaming consoles and its rapidly growing subscription content and cloudgaming business. The agency pointed to Microsoft making some titles from Bethesda whose parent company ZeniMax it bought last year exclusive to its own platforms. In the filing Microsoft acknowledged that it planned to make three future Bethesda titles exclusive to Xbox and PC. The names of those games were redacted but and One of the major sticking points about the deal is the future of. In an attempt to appease regulators Microsoft has pledged to for at least 10 years if the acquisition closes and to. Sony hasnt taken Microsoft up on that deal however. The acquisition of a single game by the thirdplace console manufacturer cannot upend a highly competitive industry. That is particularly so when the manufacturer has made clear it will not withhold the game Microsoft wrote. The fact that Xboxs dominant competitor has thus far refused to accept Xboxs proposal does not justify blocking a transaction that will benefit consumers. Microsoft and Activision Blizzard both claim that keeping Call of Duty away from other platforms wouldnt make sense. Activision said in its own filing that making the franchise exclusive would be disastrous for Xbox as it would lose billions in game sales and give up a massive portion of the gamers that Activision has worked so hard to attract and retain. It added that in a world with nearly unlimited gaming alternatives making Call of Duty exclusive is not a plausible outcome. Both companies took issue with the FTC with Microsoft claiming that its procedures are unconstitutional. The structure of these administrative proceedings in which the commission both initiates and finally adjudicates the complaint against Microsoft violates Microsofts Fifth Amendment Due Process right to adjudication before a neutral arbiter Microsoft said in reference to the agencys decision to file the complaint in its own administrative court rather than in a federal one. The company also argued that hearing the case in the FTCs administrative court violates Article III of the US Constitution and the separation of powers. Activision asserted that by disregarding the supposed benefits to consumers and focusing on supposed harms to Xboxs deeppocketed competitors the FTC was straying from the underlying purpose of antitrust laws to protect competition instead of competitors. It said the agency was blinded by ideological skepticism of highvalue technology deals and by complaints from competitors and that it lost sight of the realities of the intensely competitive gaming industry. Nevertheless Microsoft wants to agree on conditions with the FTC and other regulators that will lead to them rubberstamping the deal. Even with confidence in our case we remain committed to creative solutions with regulators that will protect competition consumers and workers in the tech sector. As weve learned from our lawsuits in the past the door never closes on the opportunity to find an agreement that can benefit everyone Microsoft president and vice chair Brad Smith said. There is no sensible legitimate reason for our transaction to be prevented from closing. Our industry has enormous competition and few barriers to entry. We have seen more devices than ever before enabling players a wide range of choices to play games Activision Blizzard CEO Bobby Kotick said in a statement to Engadget. Engines and tools are freely available to developers large and small. The breadth of distribution options for games has never been more widespread. We believe we will prevail on the merits of the case. The deadline for the acquisition to close is in July. If it hasnt done so by then Microsoft and Activision will need to renegotiate the deal or abandon it Microsoft would then face a breakup fee of as much as 3 billion. As The proposed acquisition is also facing scrutiny from regulators and. The jurisdictions respective competition agencies are expected to issue rulings on the deal in the first half of 2023.,Microsoft is now the home of the video game industry's largest union,Extremely Positive,290,[],[],"['harassment', 'harassment', 'harassment', 'harassment', 'harassment', 'harassment']"
5,Apple TV and Apple Music apps quietly appear on the Microsoft Store,"Apple Music and Apple TV apps have quietly arrived as preview versions on Microsoft Windows 11, according to a tweet from @ALumia_Italia seen by Thurrott. It's now possible to download the apps from the Microsoft Store, along with another preview app called A…",https://www.engadget.com/apple-tv-and-apple-music-apps-quietly-appear-on-the-microsoft-store-123547865.html,Apple Music and Apple TV apps have quietly arrived as preview versions on Microsoft Windows 11 according to a tweet from ALumiaItalia seen by Thurrott. Its now possible to download the apps from the Microsoft Store along with another preview app called Apple Devices that lets you manage Apple devices from your Windows PC according to the description. At its 2022 Surface event Microsoft announced that the apps would be coming to Windows 11 this year so the news isnt a huge surprise. Apples standalone Windows media apps have been a long time coming it was recruiting engineers to build them as far back as 2019. Those apps replaced iTunes on Mac and the aim is to eventually replace them on Windows as well. Apple TV Preview Apple Devices Preview and Apple Music Preview for Windows coming soon to the Microsoft Store pic. twitter. comwcNYJlMdKK Aggiornamenti Lumia ALumiaItalia January 11 2023 All the apps appear to require Windows 11 Build 22621 or higher but they seem to function well according to 9to5Mac. Apple TV works much like the app on Xbox or Smart TVs giving access to Apple TV and Apple TV Channels along with movies and TV shows from the iTunes Store. Apple Music is missing the lyrics feature but is otherwise the same as the macOS version. As for Apple Devices it also replaces iTunes for sync and backup. Itll allow you to back up Apple devices sync local media and restore firmware without the need for iTunes. When launching them for the first time youll be warned that iTunes for Windows will stop working you need to uninstall the apps to continue using iTunes. Thats not necessarily a bad thing as iTunes for Windows doesnt exactly offer a terrific user experience.,Microsoft and Activision Blizzard file responses to the FTC's antitrust lawsuit,Extremely Negative,470,"['harm', 'burden', 'worse', 'suppress', 'refused', 'disastrous', 'lose', 'hard', 'issue', 'unconstitutional', 'complaint', 'complaint', 'harms', 'skepticism', 'complaints', 'lost', 'vice', 'breakup', 'issue']",[],"['lawsuit', 'lawsuit', 'lawsuit', Brad, Smith, Bobby, Kotick]"
6,Windows 7 Is Officially Dead,"Windows 7 launched in October of 2009. Barack Obama was president, Avatar was soon to hit movie theaters, and swine flu was officially declared a global pandemic. The world has changed a lot since then (for example, Avatar 2 is set in the water instead of the…",https://lifehacker.com/windows-7-is-officially-dead-1849966248,Windows 7 launched in October of 2009. Barack Obama was president Avatar was soon to hit movie theaters and swine flu was officially declared a global pandemic. The world has changed a lot since then for example Avatar 2 is set in the water instead of the forest and so has Windows. While Microsoft officially ended support for Windows 7 on Jan. 14 2020 this week its truly officially dead. If youre still using it or Windows 8. 1 for that matter you really shouldnt be. As reported by Bleeping Computer Microsoft will pull the plug on software support for the Extended Security Update ESU program for Windows 7 on Tuesday Jan. 10. This program provided a threeyear paid exception to Microsofts abandoning of Windows 7 for Professional and Enterprise users who relied on the operating system to run specific software. As of this week however even ESU customers will find their versions of Windows 7 as unsupported as the rest. Its not only Windows 7 whose time is up Microsoft is also officially dropping extended support for Windows 8. 1 which came out in October 2013. In addition many thirdparty developers are likewise dropping support for aging versions of Windows. Google is ending Chrome support for Windows 7 and 8. 1 on Tuesday and Microsoft Edge 109 will be these Windows versions last Edge update too. What it means when an operating system is no longer supported When a developer like Microsoft drops support for its own software it doesnt mean the software itself stops working. After Tuesday youll still be able to boot up PCs running Windows 7 or 8. 1 and more than likely it will run the same way it ran on Monday. The same goes for Chrome and Edge. However the issue isnt really that Microsoft is done adding new features to Windows 7 that ship sailed long ago. Rather the problem is the company will no longer issue new security patches which makes running Windows 7 and 8. 1 particularly dangerous in 2023. Security patches are a necessary part of digital life. Software is inherently flawed and those flaws are eventually discovered by developers researchers or bad actors. If the wrong people figure out how to exploit those flaws against users it can empower them to take over your computer and steal your data or hold it for ransom. While these risks exist with any OS developers are typically diligent about patching vulnerabilities as theyre discovereda security hole isnt any good to a hacker if their victims can patch it up with the latest software update. But if those updates are never comingwhich is now the case with Windows 7 and 8. 1its open season for hackers looking for an easy mark. Too many of us have a habit of throwing out perfectly good tech before its time. Many of us could do with holding onto our phones and computers for an extra year or two or more. But Windows 7 had a very good run technologically speaking and the sad truth is after nearly 13 years it is officially unsafe for everyone to use. And seeing as roughly 11 of the computers in the world are still running it its going to be a rough transition going forward.,Apple TV and Apple Music apps quietly appear on the Microsoft Store,Extremely Positive,20,"['warned', 'bad']",[],[Thurrott]
7,Microsoft's New AI Tool Just Needs to Hear Three Seconds of Your Voice to Mimic You,"Despite how far advancements in AI video generation have come, it still requires quite a bit of source material, like headshots from various angles or video footage, for someone to create a convincing deepfaked version of your likeness. When it comes to fakin…",https://gizmodo.com/microsoft-ai-voice-mimic-deepfake-natural-copy-audio-1849969596,Despite how far advancements in AI video generation have come it still requires quite a bit of source material like headshots from various angles or video footage for someone to create a convincing deepfaked version of your likeness. When it comes to faking your voice thats a different story as Microsoft researchers recently revealed a new AI tool that can simulate someones voice using just a threesecond sample of them talking. The new tool a neural codec language model called VALLE is built on Metas EnCodec audio compression technology revealed late last year which uses AI to compress betterthanCD quality audio to data rates 10 times smaller than even MP3 files without a noticeable loss in quality. Meta envisioned EnCodec as a way to improve the quality of phone calls in areas with spotty cellular coverage or as a way to reduce bandwidth demands for music streaming services but Microsoft is leveraging the technology as a way to make text to speech synthesis sound more realistic based on a very limited source sample. Current text to speech systems are able to produce very realistic sounding voices which is why smart assistants sound so authentic despite their verbal responses being generated on the fly. But they require highquality and very clean training data which is usually captured in a recording studio with professional equipment. Microsofts approach makes VALLE capable of simulating almost anyones voice without them spending weeks in a studio. Instead the tool was trained using Metas Librilight dataset which contains 60000 hours of recorded English language speech from over 7000 unique speakers extracted and processed from LibriVox audiobooks which are all public domain. Microsoft has shared an extensive collection of VALLE generated samples so you can hear for yourself how capable its voice simulation capabilities are but the results are currently a mixed bag. The tool occasionally has trouble recreating accents including even subtle ones from source samples where the speaker sounds Irish and its ability to change up the emotion of a given phrase is sometimes laughable. But more often than not the VALLE generated samples sound natural warm and are almost impossible to distinguish from the original speakers in the three second source clips. In its current form trained on Librilight VALLE is limited to simulating speech in English and while its performance is not yet flawless it will undoubtedly improve as its sample dataset is further expanded. However it will be up to Microsofts researchers to improve VALLE as the team isnt releasing the tools source code. In a recently released research paper detailing the development of VALLE its creators fully understand the risks it poses Since VALLE could synthesize speech that maintains speaker identity it may carry potential risks in misuse of the model such as spoofing voice identification or impersonating a specific speaker. To mitigate such risks it is possible to build a detection model to discriminate whether an audio clip was synthesized by VALLE. We will also put Microsoft AI Principles into practice when further developing the models.,Windows 7 Is Officially Dead,Extremely Negative,410,"['dead', 'unsupported', 'issue', 'problem', 'issue', 'dangerous', 'bad', 'wrong', 'exploit', 'steal', 'risks', 'sad', 'unsafe', 'rough']",['hole'],"[Barack, Obama, 'lawsuit']"
8,"ChatGPT could be a 'game changer' for Microsoft that turns it into a core AI stock as it mulls a $10 billion investment into OpenAI, Wedbush says","Microsoft could integrate the ChatGPT technology into its Bing search engine, Microsoft Office products, and Azure cloud platform, Wedbush said.",https://markets.businessinsider.com/news/stocks/chatgpt-microsoft-stock-game-changer-ai-openai-10-billion-investment-2023-1,ChatGPT a potential game changer for MSFT according to a note from Wedbush analyst Dan Ives. Microsoft already invested 1 billion in parent OpenAI back in 2019 and its reportedly in talks to invest another 10 billion. This strategic investment is a smart poker move in this AI arms race that is taking place globally Ives said. Microsoft could reinvent itself if it moves ahead with a large investment in OpenAI the company behind the wildly popular ChatGPT chatbot that launched late last year. Thats according to Wedbush analyst Dan Ives who said in a Wednesday note that Microsofts reported plans to invest up to 10 billion into OpenAI would help turn Microsoft into a core AI stock. With ChatGPT being one of the most innovative AI technologies seen in the industry Microsoft is clearly being aggressive on this front and not going to be left behind on what could be a potential game changing AI investment Ives said. Microsoft already invested 1 billion in OpenAI back in 2019 and now the software giant is reportedly in talks to invest another 10 billion in the company at a 29 billion valuation. Such an investment would reportedly net Microsoft 75 of OpenAIs profits until it recoups its investment. From there Microsoft would hold 49 ownership of OpenAI if the reported deal is completed. According to Ives Microsoft has plenty of opportunities to integrate the technology of ChatGPT across its portfolio of products including its Bing search engine Microsoft Office products and Azure cloud platform. Over time and if successful Bing could even take some search market share away from Google according to the note. Whats important according to Ives is that Microsoft CEO Satya Nadella doesnt repeat the same mistakes made by Microsoft during the late 1990s when it was embroiled in an antitrust battle with the US government. That situation slowed down Microsofts investing vision and led to the company missing out on big trends like social media and mobile smartphones. Nadella is not going to repeat the same mistakes and we believe this strategic investment is a smart poker move in this AI arms race that is taking place globally Ives said. Ives continues to rate Microsoft at Outperform with a 290 price target representing potential upside of 24 from current levels.,Microsoft's New AI Tool Just Needs to Hear Three Seconds of Your Voice to Mimic You,Extremely Positive,160,"['loss', 'spotty', 'limited', 'trouble', 'laughable', 'impossible', 'limited', 'risks', 'risks', 'misuse', 'risks', 'discriminate']",[],['harassment']
9,Microsoft events to show new slate of games—including Starfield,"Starfield will be shown separately from the other games, though.",https://arstechnica.com/gaming/2023/01/microsoft-events-to-show-new-slate-of-games-including-starfield/,Today Microsoft announced an upcoming livestream called DeveloperDirect that will include looks at several upcoming games from the companys nownumerous development studios. Set for January 25 at 3 pm ET the company promises glimpses at Redfall the latest game from Dishonoredand Preydeveloper Arkanewhose pedigree actually goes all the way back to influential PC classics like System Shockand Ultima Underworld. It will also include glimpses at games from other studios including Minecraft Legends Forza Motorsport and The Elder Scrolls Online. Notably absent from that list is the game that most people probably want to see Starfield the sciencefiction epic from The Elder Scrolls and Fallout developer Bethesda Game Studios. If thats your interest though dont worryMicrosoft also announced that Starfield would get a standalone event for a deep dive in the near future. Starfield is expected to launch sometime in the first half of this year but we havent seen much from it since last summer apart from a couple of short and mostly detaillight videos on the games YouTube channel. As for the games being shown on January 25 Microsoft says there will be several minutes of gameplay from Redfall which is a vampirethemed firstperson shooter that seems to combine elements of the Far Cry series and coop shooter Left 4 Dead among other things. Fans can expect to learn more about combat customization bosses the open world and more Microsofts blog post says. Gameplay is promised for Minecraft Legends and Forza Motorsport. Finally The Elder Scrolls Onlines annual update cycle will continue with new details about 2023s major chapter update and the latest regions of Tamriel to become playable. For years the gaming industry was dominated by a handful of press conferences around the E3 event in the summer. But companies like Nintendo have more recently refocused on studioshot online video streams throughout the year allowing games to be shown in a cadence that better fits those games development cycles. In the past studios often wasted numerous work hours preparing E3 demos for June whether the timing made sense or not which led to lost development time long hours and sometimes unrepresentative demos. Microsoft has typically stuck to an E3like cadence though even as rivals Nintendo and Sony have moved to the sporadic livestream model that has been dubbed the direct strategy. This event seems to be one of Microsofts most significant moves in the new direction. The timing makes sense Microsoft has been on a studio and publisher shopping spree for the past few years and it now has an unrivaled amount of storied studios and intellectual properties under its wing including Bethesda Arkane Obsidian Rare and many othersincluding all Activision Blizzard studios should the proposed megaacquisition go through. These acquisitions follow many years when Microsoft lagged behind rivals in terms of inhouse exclusive content for its gaming platforms. Theres one last bit of relevant added context too Microsoft has gone allin on a Netflixlike subscription model with Game Pass bundling an everchanging library of first and thirdparty titles some exclusive some not in subscription packages for Xbox consoles and Windows PCs. Its likely that most if not all of the games shown at the upcoming DeveloperDirect stream will be included on Game Pass.,"ChatGPT could be a 'game changer' for Microsoft that turns it into a core AI stock as it mulls a $10 billion investment into OpenAI, Wedbush says",Extremely Negative,240,"['aggressive', 'mistakes', 'embroiled', 'slowed', 'mistakes']",[],"[Dan, Ives, Ives, Dan, Ives, Ives, Ives, Ives, Satya, Nadella, Nadella, Ives, Ives]"
10,Video gamers sue to stop Microsoft's Activision Blizzard buy - The Pioneer,"<ol><li>Video gamers sue to stop Microsoft's Activision Blizzard buy  The Pioneer
</li><li>Video gamers sue Microsoft over Activision merger  Reuters
</li><li>Gamers Are Suing Microsoft To Thwart Its Merger With Activision  Kotaku
</li><li>Microsoft Is Bei…",https://www.bigrapidsnews.com/business/article/Video-gamers-sue-to-stop-Microsoft-s-Activision-17669397.php,SAN FRANCISCO AP A group of gamers is suing to stop Microsoft from buying video game publisher Activision Blizzard arguing that the 68. 7 billion acquisition would stifle competition and reduce consumer choice. The lawsuit was filed late Tuesday in a U. S. federal court in San Francisco on behalf of 10 individual gamers who are fans of Activision Blizzards Call of Duty franchise and other popular titles such as World of Warcraft Overwatch and Diablo.,Microsoft events to show new slate of games—including Starfield,Somewhat Positive,120,"['Fallout', 'Cry', 'Dead', 'wasted', 'lost', 'stuck', 'sporadic', 'lagged']",['dive'],[]
