Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,NVIDIA RTX 4070 Ti leaks reveal specs and potential price,Somewhat Negative,120,"['rumors', 'rumors', 'delayed']",[],[]
2,NVIDIA's GeForce Now game streaming is coming to cars,Extremely Positive,50,['costly'],['backseat'],[]
3,ASUS is bringing more Nebula Displays and better cooling to its gaming laptops,Extremely Positive,30,"['SCAR', 'SCAR', 'expensive', 'glare']",[],[]
4,Samsung's 2023 Freestyle can combine projections from two units into a massive image,Extremely Positive,0,[],[],[]
5,The Morning After: Samsung’s latest mobile screen prototype slides and folds,Extremely Positive,650,"['tired', 'missed', 'Disgraced', 'guilty', 'leak', 'limited', 'pricey', 'costly', 'bump', 'anxiety', 'strangely', 'slower', 'hard', 'risk', 'mess', 'deficiencies']","['fraud', 'beast', 'pee', 'pee', 'toilet', 'toilet', 'urine', 'urine', 'urine', 'urine']","[Mat, Smith, Sam, BankmanFried]"
6,Foxconn to use Nvidia chips to build self-driving vehicle platforms,Extremely Positive,20,"['struggled', 'difficulties']",[],[]
7,Dell's Latest Budget Gaming Laptops Are Surprisingly Exciting,Extremely Positive,10,['chunky'],[],[]
8,"LG's updated Grams get thinner, add OLED and 'hidden touchpads'",Extremely Positive,30,"['bump', 'touts', 'Unfortunately', 'issues']",[],[]
9,Nvidia Launches GeForce NOW 'Ultimate' Tier With RTX 4080 GPU for Cloud Gaming at 240 Frames Per Second,Extremely Positive,40,"['delayed', 'broken', 'resistance', 'rumors', 'rumor']",[],"[MingChi, Kuo, Kuo, Mark, Gurman, Mark, Gurman, Gurman, MingChi, Kuo, Kuo]"
10,Here Are the Best Laptops CES 2023 Has to Offer,Extremely Positive,20,"['drastically', 'problem', 'balk']",[],[]
11,Nvidia unveils GeForce RTX 40 Series GPUs for laptops,Extremely Positive,110,"['fall', 'Plague', 'vice', 'fall', 'dark', 'idle', 'Chaos', 'radically', 'limited', 'impossible', 'intense', 'vice']",[],"[Jeff, Fisher, Fisher, Fisher, Fisher, Stephanie, Johnson, Johnson]"
12,Nvidia boosts generative AI for biology with BioNeMo,Extremely Positive,150,['critical'],"['diseases', 'drug', 'drug']","[Kimberly, Powell, Powell, Powell]"
13,ASUS' latest Zenbook Pro 16X OLED has more space to stay cool,Extremely Positive,0,[],[],[]
14,ASUS went with ceramic for its new Zenbook 14X OLED laptop,Extremely Positive,50,"['downside', 'bump', 'noise', 'disappointed', 'hard', 'upset']",[],[]
15,Razer rounds out its laptop line with the high-spec Blade 16 and Blade 18,Extremely Negative,300,"['stranger', 'limit', 'downside', 'annoyance', 'clunky', 'Unfortunately']",['burn'],[]
16,"Samsung's latest gaming monitors include an 8K, 57-inch ultra-wide display",Extremely Positive,100,['glare'],"['whites', 'blacks']",[]
17,"
							AMD, NVDA and 1 Other Semiconductor Stock to Sell Before 2023",Extremely Positive,310,"['recessionary', 'decline', 'falling', 'waning', 'conflict', 'deterioration', 'weakening', 'decline', 'bleak', 'weak', 'fell', 'decline', 'decline', 'weak', 'proprietary', 'loss', 'decline', 'poor', 'proprietary', 'debt', 'loss', 'loss', 'loss', 'negative', 'lost', 'weak', 'proprietary']",['fear'],"[Mark, Liu, Shweta, Kumari]"
18,"
							1 Stock That Proves You Shouldn't Buy What You Know",Extremely Negative,430,"['fell', 'loss', 'implication', 'suffered', 'severe', 'decline', 'slowed', 'Disappointing', 'decline', 'decline', 'decline', 'Bleak', 'proprietary', 'weak', 'disappointing']",[],"['lawsuit', 'lawsuit', 'lawsuit', Dipanjan, Banchur, Dipanjan, Dipanjan]"
19,"
							NVIDIA vs. Taiwan Semi: Which Chip Stock Is the Better Buy in 2023",Extremely Positive,80,"['shortage', 'Limited', 'lost', 'marginally', 'vice', 'marginally', 'fall', 'proprietary', 'bleak']",[],"[L., C., Lu, Riddhima, Chakraborty, Riddhima]"
20,You're Gonna Need a Bigger Desk: Samsung's New Gaming Monitor Is a Beast,Extremely Positive,50,"['limited', 'bad', 'bumped', 'mundane', 'commonplace', 'unspecified']",[],[]
21,Acer's Newest Gaming Laptops Have Huge 16- and 18-inch Display Options,Extremely Positive,0,[],[],[]
22,The Razer Blade 16 Doesn't Make You Choose Between 4K and a High FPS,Somewhat Negative,120,"['insignificant', 'remorse', 'restricted']",[],[]
23,Asus Joins the 18-inch Gaming Laptop Club,Extremely Positive,50,"['Scar', 'dimmer', 'bumped', 'expensive', 'Sadly', 'clunky']",[],[]
24,MSI aims to reign supreme with trio of custom GeForce RTX 4070 Ti graphics cards,Extremely Positive,40,"['gritty', 'broke', 'bad', 'touts', 'static']",[],[]
25,"
		It feels like Nvidia is gaslighting us with this ‘new’ GPU	",Extremely Positive,60,"['hype', 'rumors', 'problems', 'overpriced', 'missed', 'pretend', 'bad']",[],"[Jeff, Fisher, Nvidias]"
26,"
		Nvidia brings the mighty RTX 4090 to laptops at CES 2023	",Extremely Positive,0,[],[],[]
27,"
		CES 2023: Nvidia GeForce Now is coming to internet-enabled cars	",Extremely Positive,50,['unexpected'],['backseat'],[]
28,Alienware's 500Hz Gaming Monitor Might Be the Fastest at CES,Somewhat Positive,20,"['hard', 'restricted']",[],[]
29,Alienware Unveils Its Thinnest and Most Powerful Gaming Laptops Yet,Extremely Positive,0,[],[],[]
30,Alienware Unveils Its Thinnest and Most Powerful Gaming Laptops Yet,Extremely Positive,0,[],[],[]
