Article,Title,Description,URL,Content,Published
0,NVIDIA RTX 4070 Ti leaks reveal specs and potential price,"NVIDIA
 is expected to reveal its GeForce RTX 4070 Ti graphics card at CES next week, but it preemptively leaked the specs. Thanks to new rumors, we have a sense of the GPU's likely price too.The RTX 4070 Ti is slated to have 12GB of GDDR6X memory with 7,680…",https://www.engadget.com/nvidia-rtx-4070-ti-leak-specs-price-ces-2023-210303412.html,NVIDIA is expected to reveal its GeForce RTX 4070 Ti graphics card at CES next week but it preemptively leaked the specs. Thanks to new rumors we have a sense of the GPUs likely price too. The RTX 4070 Ti is slated to have 12GB of GDDR6X memory with 7680 Cuda cores that can be boosted to 2. 61GHz as Toms Hardware Cyberpunk 2077 when the new RT Overdrive mode is enabled. GeForce RTX 4070 Ti 188 momomous December 30 2022 Coming Month XXhttpst. coZ6Hv1Vv7ol pic. twitter. com7sudSwgsFZ It has been widely believed that the latest card would essentially be a rebranded version of the 12GB RTX 4080. In October NVIDIA reversed plans to release that model and suggested it would rebadge the GPU. Meanwhile rumors indicate NVIDIA will sell the RTX 4070 Ti for 799. It was previously expected that the price would be 899 but NVIDIA may have lowered it after the US delayed tariffs on GPUs that were set to resume on January 1st. Based on the RTX 4070 Tis expected performance Wccftech ran the numbers and found that on a terafloptodollar ratio the GPU will offer 97 percent of the value proposition of the 1599 RTX 4090. We should find out official details about the RTX 4070 Ti perhaps including the release date very soon. NVIDIA has scheduled a CES edition of its GeForce Beyond event for January 3rd at 11AM ET.,2022-12-30T21:03:03Z
1,NVIDIA's GeForce Now game streaming is coming to cars,You'll soon have access to a host of PC games in your car without buying a Tesla. NVIDIA has announced that it's bringing GeForce Now game streaming to cars using the company's Drive platform. The rollout will offer access to titles like Cyberpunk 2077 on a d…,https://www.engadget.com/nvidia-geforce-now-game-streaming-in-cars-164511641.html,Youll soon have access to a host of PC games in your car without buying a Tesla. NVIDIA has announced that its bringing GeForce Now game streaming to cars using the companys Drive platform. The rollout will offer access to titles like Cyberpunk 2077 on a driver display while youre charging or parked or any time from the backseat. That could be more than a little helpful on a vacation especially if youd rather not buy a Steam Deck or Switch for a budding young gamer. The cloud gaming option already has initial support from major brands like the Hyundai group including Genesis and Kia Polestar and Chinas BYD. NVIDIA didnt offer a timeframe for GeForce Now access although it noted that BYD would offer Drive Hyperionpowered cars in the first half of 2023. The Polestar 3 SUV built using Drive Orin arrives in late 2023. The incar GeForce Now client works on either Android or webbased infotainment systems. NVIDIAs service provides a catalog of 1500 games over 1000 of which are playable using gamepads. While most of the selection is paid there are freetoplay options like Destiny 2 and Fortnite. As with other game streaming services this could get costly if you plan to use it often. While basic GeForce Now use is free you can pay up to 200 per year for the full experience before you factor in the cost of the games themselves. In some cases though this might make more sense than buying a handheld console or tablet. You only need to pay for a higherend plan when you expect to use it after all you could subscribe during a road trip and stick to free usage when youre commuting around town.,2023-01-03T16:45:11Z
2,ASUS is bringing more Nebula Displays and better cooling to its gaming laptops,"ASUS is refreshing its gaming laptops with HDR Mini LED displays, better cooling and updated processors and graphics. However, since the company hasn’t yet announced pricing, it's harder to discern the latest models' value.The Nebula display is found in more …",https://www.engadget.com/asus-rog-gaming-laptops-ces-2023-190025449.html,ASUS is refreshing its gaming laptops with HDR Mini LED displays better cooling and updated processors and graphics. However since the company hasnt yet announced pricing its harder to discern the latest models value. The Nebula display is found in more models than ever this year. That company branding denotes screens with high frame rates 120Hz for 4K and QHD screens and 240Hz or higher for 1080p bright backlights and vivid colors. Meanwhile the new Nebula HDR variant is like an ultrapremium version highlighting Mini LED panels. For example the Nebula HDR display in the Strix SCAR 16 is a Mini LED with 1024 dimming zones double last years model and a 240Hz refresh rate. Although we dont yet know the pricing its a safe bet those models will fetch top dollar. The new laptops which launch in Q2 also have updated 13thgen Intel or AMD Ryzen Zen 4 processors depending on your configuration. NVIDIAs new GeForce RTX 40 Series Laptop GPUs power the graphics in maxedout variants of the new machines. ASUS added intelligent cooling to several new models including the Zephyrus M16 and Strix models in 16inch and 18inch variants. The company accomplished this using a fullwidth heatsink spanning the devices rear. ASUS also added a third cooling fan to more models. It was first seen in the Flow X16 from 2022. That extra fan improves airflow to the GPU and other internal hardware. The Strix SCAR line which ASUS calls the performance flagships have bigger 16 and 18inch screens than their 15 and 17inch predecessors including Nebula HDR in the most expensive tiers. In addition ASUS says this years cooling improvements let these models push higher frame rates. Meanwhile the Strix G16 and G18 are slightly less highend likely cheaper equivalents to the Strix 16 and 18 with the same CPU and GPU options. ASUS is also updating its lightandthin Zephyrus line. The ROG Zephyrus M16 has a Nebula HDR display. Like several other models topshelf models include a MUX Switch and NVIDIA Advanced Optimus. They bypass the machines integrated graphics using discrete graphics almost instantaneously. The fullwidth heatsink and trifan tech also let it run 25 watts higher than the 2022 version. Meanwhile the Zephyrus G16 has the same processor and graphics options with a QHD Nebula display that supports 240Hz. Its smaller sibling the Zephyrus G14 gets a Nebula HDR panel with 504 dimming zones and 600 nits of peak brightness. ASUS Duo 16 is the latest iteration of its quirky dualscreen laptop line. Like the 2022 model the updated version has a 16inch Mini LED panel as its main screen with a smaller 4K display below for multitasking. It also joins other models in offering the new NVIDIA graphics and MUX Switch in the highestend models. The company also updated the ROG Flow its 2in1 tablet PCs for gamers. The Flow X13 which has a 360degree rotating hinge has a 13inch Nebula display supporting a 165Hz refresh rate. Additionally ASUS redesigned its chassis making it 10mm smaller and increasing its battery capacity from 62 to 75 Wh while maintaining the same keyboard layout. The company also made its touchpad bigger and redesigned the 2in1 hinge with better ventilation and an easier grip. The X13s larger companion the Flow X16 has an HDR Mini LED touchscreen with a 240Hz refresh rate and 1100 nits peak brightness. In addition all ASUS 2023 Flow devices use Cornings Gorilla Glass DXC which can increase hardness by 40 percent and reduce glare. Meanwhile the Flow Z13 a detachable thats like a Microsoft Surface for gamers is updated with the new Intel and NVIDIA components and a QHD Nebula display with a 165Hz refresh rate.,2023-01-03T19:00:25Z
3,Samsung's 2023 Freestyle can combine projections from two units into a massive image,"As ever, Samsung has a ton of news up its sleeve for CES, including some updates about its Freestyle portable projector. It looks pretty similar to the company's previous Freestyle model, but this one includes Samsung's smart TV platform and features its Gami…",https://www.engadget.com/samsung-2023-freestyle-portable-projector-cloud-gaming-edge-blending-031336930.html,As ever Samsung has a ton of news up its sleeve for CES including some updates about its Freestyle portable projector. It looks pretty similar to the companys previous Freestyle model but this one includes Samsungs smart TV platform and features its Gaming Hub as well. This also provides access to services such as Xbox Cloud Gaming Amazon Luna and NVIDIA GeForce Now for cloud gaming. However the real magic with this years version of Freestyle may become apparent when you have two units. When projections from the two become one as the Spice Girls might have once sang Edge Blending tech can combine them into a single ultrawide display with a 219 aspect ratio. Samsung says the patented technology can automatically keystone the picture and make adjustments for an even more immersive cinematic experience. So if you have a living room with an enormous wall or happen to know a friend with an art gallery you may be able to set up two Freestyle projectors and play Fortnite on a massive display. There are very few details on pricing availability and full specs available at the moment but well update this post when they become available.,2023-01-04T03:13:36Z
4,The Morning After: Samsung’s latest mobile screen prototype slides and folds,"Samsung’s apparently tired of mobile displays that only fold in on themselves. At CES 2023 this week, the company revealed the Flex Hybrid OLED mobile screen. It folds from one side and slides out the other. This combination not only increases the size but al…",https://www.engadget.com/the-morning-after-samsungs-latest-mobile-screen-prototype-slides-and-folds-121516325.html,Samsungs apparently tired of mobile displays that only fold in on themselves. At CES 2023 this week the company revealed the Flex Hybrid OLED mobile screen. It folds from one side and slides out the other. This combination not only increases the size but alters the aspect ratio too. Starting off at a relatively compact 4. 2inch device it folds out to a 10. 5inch 43 display. Then because its not done the right side slides and expands out to create a 12. 4inch display with a 1610 aspect ratio which seems like itd be ideal for watching TV and movies. Samsungs folding phones won me over in 2022 even if they could do with longer battery life. With a screen this big that has to be a major consideration for any realworld devices. Weve seen rollout displays on concept phones before. TCL teased such a device in 2021 but it never showed off a working prototype. If Samsung has one at CES well check it out when the show floor opens. Already weve been barraged by PC and TV announcements. Keep track of all the news from CES 2023 right here. What are you hoping to see this year Mat Smith The biggest stories you might have missed Disgraced FTX founder Sam BankmanFried pleads not guilty to federal fraud charges Finally a fruit scanner to tell you if your avocados are ripe Pixel 7a handson leak appears to show 90Hz display and a familiar design Hitman 3 owners will get the previous two games for free Nintendo Switch Online deal brings a oneyear family plan and a 256GB microSD card down to 50 LOral created a motorized lipstick applicator for people with limited mobility GE made a 1000 stand mixer Alienware reveals its first 500Hz gaming monitor Intels 13thgen laptop CPUs offer up to 24 cores Alienwares new gaming laptops include an 18inch beast Samsungs 2023 QDOLED TVs will reach up to 2000 nits of peak brightness Dells Concept Nyx gamepad sure is... something NVIDIA unveils the pricey midrange RTX 4070 Ti GPU Even at 799 its better value than the 4080. NVIDIA finally unveiled its latest midrange GPU the RTX 4070 Ti. Starting at 799 its a slightly more reasonable alternative to NVIDIAs 1199 RTX 4090 and 1599 4090. But yes its still pretty costly. Is this the new GPU midrange NVIDIA is positioning the RTX 4070 Ti as the pinnacle of 1440p gaming beyond 120 fps. DLSS 3 is a big reason for that just like with the other 4000series cards it uses machine learning to generate entire frames rather than the pixels DLSS 2 created. That means it should be able to deliver better overall frame rates. The RTX 4070 Ti will be available on January 5th. Apple is raising the price of battery replacements for older iPhones It already costs more to give newer iPhones a fresh battery. Apple is adding 20 to the price of battery replacements for preiPhone 14 models on March 1st. For notched iPhones iPhone X through iPhone 13 this will bump the price from 69 to 89. If you have an iPhone SE or iPhone 8 the price will climb from 49 to 69. Its not clear if selfrepair prices will increase at the same time. However part prices roughly equal the cost of asking Apple to perform a battery swap. The company didnt elaborate on the reasoning but last year said inflation had affected business and it raised iPhone prices in several international markets. Hugging this pulsating cushion could help with anxiety The Fufulys movements can guide your breathing pattern. Yukai Engineering the team behind the strangely adorable cat tail pillow is back. The Fufuly is yet another anxietyreducing cushion from the Japanese company with a gentle rhythmical pulsation as the main therapeutic tool. The idea is hugging a Fufuly stimulates your belly to induce slower and deeper breathing thanks to the cushions lifelike behavior. The Fufuly will launch in Japan this year through crowdfunding. Dells revamped Gseries Surprisingly compelling budget gaming laptops With retro scifi designs and fun colors. Dells latest Gseries gaming notebooks seem to draw inspiration from gadgets in 80s scifi movies. You get simple lines with hard edges and bold twotone paint jobs with neonpastel accents. Color options may eventually change when these laptops go on sale but Dell is even painting small details like the radiator fins inside each laptops vents. In short theyre not as extra as the Alienware laptop family. The G15 will start at 849 for a 13thgen Intel Core i5 with a 1920 x 1080 screen and a choice of RTX 40series GPUs from NVIDIA. The larger G16 will start at 1499 with the same Core i5 chip but a higherres 165Hz 2560 x 1600 screen. Both should go on sale early this year. Test your pee where you pee with this oversized toilet clipon Not a fitness tracker. Vivoo has unveiled a smart toilet device that can test your urine and send the results to your phone. The tech is in a device that clips to existing toilets. Vivoo which has offered athome urine tests for the last few years designed the system with the elderly residential care and healthcare service providers in mind. The device will automatically align a testing strip with a persons urine stream which should reduce the risk of well mess. It analyzes the urine sample for four wellness parameters. The company suggests the results can offer indications of certain deficiencies or abnormalities and help with early detection of some conditions.,2023-01-04T12:15:16Z
5,"Nvidia, Foxconn to build autonomous vehicle platforms - Reuters","Chipmaker Nvidia Corp <a href=""https://www.reuters.com/companies/NVDA.O"" target=""_blank"">(NVDA.O)</a> and electronics manufacturer Foxconn <a href=""https://www.reuters.com/companies/2317.TW"" target=""_blank"">(2317.TW)</a> announced a partnership on Tuesday to …",https://www.reuters.com/business/autos-transportation/nvidia-foxconn-build-autonomous-vehicle-platforms-2023-01-03/,Foxconn to use Nvidia chips to build selfdriving vehicle platforms Jan 3 Reuters Chipmaker Nvidia Corp NVDA. O and electronics manufacturer Foxconn 2317. TW announced a partnership on Tuesday to develop autonomous vehicle platforms. Taiwanese contract manufacturer Foxconn said it will manufacture electronic control units ECUs for cars based on Nvidias DRIVE Orin chip made specifically for computing in connected and autonomous vehicles. The ECUs will serve the global automotive market Foxconn said. Companies developing electric and autonomous cars have struggled to bring products to the market in recent years as they grapple with rising costs and difficulties in ramping up production. Nvidia said its technology which includes chips to process information from sensors in real time will help Foxconn overcome some of those challenges. It sees a market opportunity of 300 billion in the automotive sector and reported revenue of 251 million in the third quarter from the segment. The chipmaker said the tieup will allow it to scale efforts to meet growing demand for chips made for autonomous and connected vehicles. Foxconn which operates a vehicle manufacturing facility in Ohio said its vehicles will contain ECUs based on DRIVE Orin and Nvidias DRIVE Hyperion sensors for autonomous driving. Taiwanbased Foxconn makes electric vehicles for Lordstown Motors Corp RIDE. O and has a contract to make Fisker Incs FSR. N second car model PEAR. It also manufactures Apple Inc AAPL. O products. The company said in October it hopes to eventually make cars for Tesla Inc TSLA. O as it ramps up electric vehicle manufacturing to diversify its business. Our Standards The Thomson Reuters Trust Principles.,2023-01-03T17:53:00Z
6,"New Dell G15, G16 Laptops Breathe New Life Into Budget Gaming - CNET","Dell revamped its gaming laptop with the latest Intel, AMD and Nvidia chips and gave them retro-inspired colors.",https://www.cnet.com/tech/computing/new-dell-g15-g16-laptops-breathe-new-life-into-budget-gaming/,Entrylevel gaming laptops arent typically exciting to look at or use. Dells G series has been an exception over the last several years as these models moved closer to being like lowerend Alienware laptops Dells premium gaming brand. But at CES 2023 Dell showed off redesigns that give the laptops a look all of their own. Read more The Wonders of CES 2023 3D Laptops Wireless TV and ShapeShifting Screens The new G15 and 16inch G16 have chunky angular bodies with twotone designs. The G15 features a choice of a 15. 6inch 1920x1080pixel resolution with a 120hertz refresh rate and 250nit brightness or 165Hz with sRGB 100 color coverage and 300nit brightness. The 16inch G16 changes to a 1610 aspect ratio with a 2560x1600 resolution and either a 165Hz 100 sRGB display panel or an optional 240Hz 100 DCIP3 display. The laptops will be available with a range of Intel 13thgen Core processors up to the i913900HX up to 32GB of memory and up to 2TB PCIe NVMe solidstate storage. AMD processors will be available also and youll be able to upgrade memory and SSDs on your own too. The laptops will also ship with nextgen Nvidia RTX graphics but theres no word just yet on which chips will land in which model. The cooling system is improved too with a vapor chamber and thermal interface inspired by those used in the higherend Alienware gaming laptops. Outside of screen size the distinguishing feature between the two models comes down to more subtle features. Those include wired and wireless connectivity port assortment and keyboard backlighting options. With the G16 you can even choose a Cherry MX mechanical keyboard. Dells G series is already a favorite of ours and the new designs only add to its likability. These are gaming laptop youll want to buy not just ones youll only choose because of the price. Theyre something all their own and not just cutrate versions of Alienware models. The new models are expected in the spring with the Dell G15 starting at approximately 849 and the G16 starting around 1499 No word on UK or Australia availability and pricing but the price for the G15 converts to approximately 705 or AU1250.,2023-01-03T17:00:14Z
7,"LG's updated Grams get thinner, add OLED and 'hidden touchpads'","LG has new Gram laptops at CES 2023. The latest entrants in the company’s ultra-portable line include the “thinnest Gram model yet” and a glass laptop with a “hidden” LED-lit trackpad.With a depth of 10.99 mm, LG says the new Gram Ultraslim is the company’s t…",https://www.engadget.com/lg-gram-2023-ultraslim-style-2-in-2-laptops-180038676.html,LG has new Gram laptops at CES 2023. The latest entrants in the companys ultraportable line include the thinnest Gram model yet and a glass laptop with a hidden LEDlit trackpad. With a depth of 10. 99 mm LG says the new Gram Ultraslim is the companys thinnest notebook. The device weighs a mere 998 g about nine percent lighter than the model its replacing and has a 15. 6inch OLED display with 1080p resolution. Of course it gets a processor bump with 13thgen Intel Raptor Lake chips. The Gram Style is a new variant for this year with a glass design. Shipping in 16 and 14inch variants the Style has antiglare OLED screens 3200 x 2000 resolution and a 120Hz refresh rate in the 16inch model and a 2880 x 1800 OLED with 90Hz for the 14inch variant. LG says the Style has a hidden touchpad with LED backlighting that illuminates when you touch it. Along with 13thgen Intel Raptor Lake chips the new machines include Gen4 NVMeTM solidstate drive in 256GB 512GB and 1TB tiers. LG has new variants of the standard Gram laptop line in 17 16 15 and 14inch variants. These models have IPS displays updated Raptor Lake Intel chips and NVIDIA GeForce RTX 3050 Laptop graphics. LG is also updating its Gram 2in1 line with 360degree rotating hinges. These updated models ships with 14 or 16inch touchscreen IPS displays at 2560 x 1600 16inch or 1920 x 1200 14inch resolution. Additionally they include preinstalled notetaking and drawing apps designed for the bundled LG Stylus Pen. All new Gram laptops this year include Dolby Atmos audio for the first time and LG touts the ultracompact power adapter shipping with all new Gram models. In addition their displays all have antiglare coatings and support the LG Glance privacy tool. Unfortunately weve run into buildquality issues with past Grams so hopefully the new models will fare better. LG hasnt yet announced pricing for the new laptops. They will launch globally starting in February. The company says it will announce US pricing and availability later.,2023-01-03T18:00:38Z
8,Nvidia Launches GeForce NOW 'Ultimate' Tier With RTX 4080 GPU for Cloud Gaming at 240 Frames Per Second,"Nvidia today announced the launch of a new ""Ultimate"" tier for the GeForce NOW cloud gaming service, providing up to 240 fps gaming with servers powered by the GeForce RTX 4080.





The Ultimate tier is priced at $20 per month (or $100 for six months), the s…",https://www.macrumors.com/2023/01/03/nvidia-geforce-now-ultimate-tier/,Nvidia Launches GeForce NOW Ultimate Tier With RTX 4080 GPU for Cloud Gaming at 240 Frames Per Second Nvidia today announced the launch of a new Ultimate tier for the GeForce NOW cloud gaming service providing up to 240 fps gaming with servers powered by the GeForce RTX 4080. The Ultimate tier is priced at 20 per month or 100 for six months the same price as the prior plan that allowed gamers to access the GeForce RTX 3080. Full ray tracing and DLSS 3 frame multiplying technology will be available and Nvidia is introducing Reflex support for reduced latency for those who have a G Sync display. With Nvidia Reflex GeForce NOW can provide clicktopixel latency below 40 milliseconds. Nvidia says that the GeForce NOW RTX 4080 SuperPODs will provide more than 64 teraflops of graphics horsepower to an individual user which is 5x more than the Xbox Series X. Nvidia is introducing support for ultrawide resolutions allowing 4K display owners to play games at up to 120 frames per second. GeForce Now users who subscribed to the RTX 3080 tier will be migrated to the Ultimate tier automatically in the first quarter of 2023. The GeForce RTX 4080 is one of the most powerful GPUs available for purchase but the 1200 price makes it inaccessible for many. The GeForce NOW streaming service will allow those who are willing to pay the monthly access fee to play games using servers equipped with the GPU. GeForce NOW includes more than 1500 game titles and it is available on Apples Macs. Popular Stories Amazon today has Apples 2021 11inch iPad Pro 2TB WiFi for 1299. 97 down from its original price of 1899. 00. This is the lowest price weve ever tracked for this previousgeneration M1 model of the iPad Pro. Note MacRumors is an affiliate partner with Amazon. When you click a link and make a purchase we may receive a small payment which helps us keep the site running. You can get... Mass shipments of secondgeneration AirPods Max and more affordable AirPods will likely begin in the second half of 2024 or the first half of 2025 according to the latest information shared by Apple supply chain analyst MingChi Kuo. In a series of tweets today Kuo said Apple is aiming for a 99 price for the more affordable standard AirPods. Currently the 129 secondgeneration AirPods... Apples nextgeneration 14inch and 16inch MacBook Pro models with M2 Pro and M2 Max chips were slated to hit the market in early 2023 but the laptops are now expected to be delayed once again according to Taiwanese publication DigiTimes. The report does not offer a revised launch timeframe for the new MacBook Pros. In his newsletter last weekend Bloombergs Mark Gurman said Apple... Apple has broken a tradition it maintained for 21 years releasing no new Macs in the fourth quarter of the year for the first time since 2000 as previously anticipated devices like the nextgeneration MacBook Pro and Mac Pro models have apparently been pushed out to this year. Historically Apple launched at least one new Mac model every year in the fourth quarter that runs between October... Despite years of resistance Apple is now working on adding touchscreens to Macs according to a report today from Bloombergs Mark Gurman. The report claims that a new MacBook Pro with an OLED display could be the first touchscreen Mac in 2025. Gurman said Apple engineers are actively engaged in the project indicating that the company is seriously considering producing touchscreen... While there are still around five months remaining until Apple unveils iOS 17 were already able to piece together a few details about the upcoming software update based on Apples previous announcements and reported information. Below weve recapped everything that we have heard about iOS 17 so far. Apple is expected to announce iOS 17 alongside iPadOS 17 macOS 14 watchOS 10 and tvOS... Apples nextgeneration iPhone 15 Pro and iPhone 15 Pro Max are expected to be announced in September as usual. Already rumors suggest the devices will have at least six exclusive features not available on the standard iPhone 15 and iPhone 15 Plus. An overview of the six features rumored to be exclusive to iPhone 15 Pro modelsA17 chip iPhone 15 Pro models will be equipped with an A17... Apple analyst MingChi Kuo today reiterated that iPhone 15 Pro models will be equipped with solidstate volume and power buttons and he added that other highend devices could follow suit in the future if the change is well received. Presumably this would include the iPad Pro and perhaps the Apple Watch Ultra. Kuo previously said iPhone 15 Pro models will be equipped with two additional... The iPhone 15 Pro models could face a price hike over the iPhone 14 Pro and iPhone 14 Pro Max according to recent reports. According to a rumor from an unverified source on Weibo Apple will increase the price of this years iPhone 15 Pro models to widen the gap with the iPhone 15 Plus. The extent of the potential price hike is not yet clear. The iPhone 14 Pro and iPhone 14 Pro Max start at...,2023-01-03T23:20:40Z
9,Here Are the Best Laptops CES 2023 Has to Offer - CNET,"Here are all the impressive laptops to look forward to this year packed with next-gen chips from Intel, AMD and Nvidia.",https://www.cnet.com/tech/computing/here-are-the-best-laptops-ces-2023-has-to-offer/,If you want a glimpse of what to expect for the coming year or years in laptop components designs and features CES is that crystal ball. From dualscreen devices to 18inch gaming behemoths this years show has us excited for whats coming next. Intel AMD and Nvidia make their big mobile chip announcements at CES and this year was no different. And once those announcements are made the PC makers follow with the laptops that those processors will be featured in. Most new models with Intels 13thgen Core or AMDs Ryzen 7000 series CPUs and Nvidias GeForce RTX 40 series or AMDs Radeon RX 7000 series GPUs wont be available until spring at the earliest. Also while the internal components are big news the biggest trend in laptops has to do with display technology whether its the rapidly increasing number of OLED laptops with their brilliant colors amazing contrast and high brightness or larger 18inch gaming laptops or faster and faster refresh rates for smoother graphics and video even on nongaming laptops. Asus even launched the first laptop with a glassesfree 3D display. Whether you care most about gaming or content creation or just getting work done CES 2023 had something for everyone. ProArt Studiobook 16 3D OLEDVivobook Pro 16X 3D OLED Most of Asus CES laptop announcements featured one key ingredient an OLED display. That includes the upcoming release of the worlds first 3D OLED. The 3D is generated via a layer of lenticular lenses bonded to the panel to refract the emitted light to different eyes. That means you get 3D without the glasses. Its designed to work with all common 3D formats though the experience may vary depending on the content. And yes it can be used for gaming too. Read more about the Asus ProArt Studiobook 16 3D OLED. Lenovo Yoga Book 9i Laptop designs at their core are two things a keyboard and a display. The Yoga Book 9i scraps the former in favor of a second helping of the latter. Having two 13inch OLED displays means you expand your screen space without increasing your mobile footprint. With the help of a folding stand a Bluetooth keyboard an active pen all included and some clever software you can use the Yoga Book like a regular 13inch laptop on your laptop or expand your workspace in a blink. Is this the future of laptops Probably not but its definitely cool. Read more about the Lenovo Yoga Book 9i. LG Gram Style LGs Gram laptop line hasnt changed drastically over the years. The designs are pretty buttoned down but they are extraordinarily light. For 2023 LG is mixing things up and actually moving design forward with its Gram Style. Instead of basic black or gray LG gave the Style which will come in 14 and 16inch sizes a glasscovered iridescent treatment. Also LG did away with a traditional trackpad and instead put a haptics touchpad in the area below the keyboard. But unlike other haptic touchpads like those on MacBooks theres no artificial outline for the touch area its just flat metal all the way across. So how do you find it When you go to use the touchpad the left and right boundaries light up. Read more about the Gram Style. Acer Predator Helios 18 Alienware Razer Asus and Acer all announced new 18inch gaming laptops. Theyll all be available with the latest 13thgen Intel Core processors and Nvidia GeForce RTX 40 series graphics but the Acer stood out from the early pack for its enhanced cooling beautiful big displays and a whole lot of lights. Along with the latest Intel and Nvidia options theyll support up to 32GB of DDR54800 RAM and up to 2TB in PCIe Gen4 NVMe solidstate drives in RAID 0. The Helios 18 will come with three 2560x1600pixel display options with a 165Hz or 240Hz refresh rate or a Mini LED panel with a 250Hz refresh rate 100 P3 color gamut and a peak brightness over 1000 nits. Therell also be an entrylevel 1920x1200pixel display at 165Hz. Read more about the Acer Predator Helios 18. Read more Best Gaming Laptops at CES From Performance Beasts to Budget Gems Alienware x14 While Alienware will also have an impressive 18inch laptop the m18 the standout from its announcements is the sleek little Alienware x14. The company has updated its product ID again called Legend flattening the back to make it more comfortable to carry as well as giving it an updated nose so its easier to open. It has a new foot design to allow for better cooling and greater comfort when used on your lap. The x14 has a taller 1610 display Dolby Atmos and Dolby Vision support a fullHD webcam and a thermal material on the CPU and GPU for optimized heat dissipation. But overall it just looks amazing right down to its RGB touchpad. Read more about the Alienware x14. HP Dragonfly Pro Chromebook HPs Elite Dragonfly Chromebook was one of the best Chromebooks released last year if not the best. One problem Its an enterprise model with a price tag so high that even ChromeOS superfans would balk at it. The Dragonfly Pro Chromebook plays in the same premium space as the Elite but is more consumerfocused and while pricing wasnt announced it should be more affordable. Plus it has an RGB backlit keyboard and who doesnt like that Read more about the HP Dragonfly Pro Chromebook.,2023-01-05T22:57:00Z
