Article,Title,Description,PublishedAt,URL,Content
0,‘Takes notes’: Man sends delivery service agent to speak to Apple staff at Bengaluru store,"Tagging Peak Bengaluru, a Twitter handle which often shares intriguing incidents, Twitter user Shankar Ganesh shared the hilarious incident and internet users found it ""brilliant"".",2022-12-21T11:50:11Z,https://indianexpress.com/article/trending/trending-in-india/man-sends-delivery-service-agent-to-speak-to-apple-staff-at-bengaluru-store-8337180/,The hassle of speaking to customer care service providers and getting issues resolved is often tiring and timeconsuming. However a person from Bengaluru came up with a quirky way to fast track the process and find a quick solution. The Peak Bengaluru moment won the appreciation of netizens. When faced with an issue with Apples service instead of endlessly attending calls the person purportedly just sent a Dunzo or Swiggy Genielike service provider to the Apple Store and directly communicated with the staff. Swiggy Genie is the service provided by the food delivery company through which customers can get things picked and delivered within a city. The company Dunzo also offers the same service. Tagging Peak Bengaluru a Twitter handle which often shares intriguing incidents Twitter user Shankar Ganesh shared the hilarious incident and internet users found it brilliant. A person sent a Dunzo or Swiggy Genie guy to the Imagine Apple Store here and spoke to the staff through his phone to bypass centralized call centers Just peakbengaluru things I guess tweeted Ganesh. A person sent a Dunzo or Swiggy Genie guy to the Imagine Apple Store here and spoke to the staff through his phone to bypass centralized call centers Just peakbengaluru things I guess. Shankar Ganesh shankarganesh December 17 2022 The tweet sparked interest online and many agreed to use it. A user commented Absolutely brilliant stuff. Another user wrote Takes notes Similar Peak Bengaluru moments often go viral and in November this year an autorickshaw driver returned a womans Apple AirPods. The woman had lost her AirPods while travelling in an auto however the driver returned to the location where he had dropped her. Using PhonePe transactions and by connecting the AirPods the driver managed to identify the owners name.
1,"Swiggy delivery executive dies after car hits, drags him for 500 metres in Noida","Kaushal Yadav was working late at night on January 1 when he was allegedly hit by a car in Noida’s Sector 14. The police are on the lookout for the accused, who fled after the accident.",2023-01-05T05:29:55Z,https://indianexpress.com/article/cities/delhi/noida-swiggy-delivery-executive-hit-by-car-dragged-dies-8362413/,A 24yearold delivery executive was killed after a car allegedly hit his bike and dragged him for 500 metres in Noidas Sector 14 police said Thursday. The incident took place late at night on January 1 when the deceased Kaushal Yadav a resident of Etawa was on duty. Police said Yadavs brother Amit had called him at 1 am on January 2 to know his whereabouts. The phone was picked up by a local who told Amit about Kaushals accident the police said. In a case similar to 20yearold Anjali Singhs accident Yadav was also dragged on the road after the accident and the accused managed to flee the police said. Kaushal was riding near the flyover when the accused allegedly hit his bike dragged his body on the road and fled after the body fell from the car. We received information from a Delhi control room about the accident near Phase 1 area Noida Sector 14A. The man had died on the spot. He was taken to the hospital. We have formed three teams to identify and nab the accused. Locals alleged the man was dragged for metres. We are looking into that a senior police officer said. The information about the accident came from a cab driver from Ola. We do not know this driver and how he was there. We are trying to trace him as well. CCTVs around the spot are being analysed and technical surveillance on the offending vehicle is being done to arrest the accused added the officer. An FIR was registered on Amits complaint under sections of rash driving and causing death due to negligence. My cousin Kaushal works as a delivery agent with Swiggy. When I called him on January 1 an Ola cab driver picked up the phone and told me my brother was hit by an unknown vehicle that dragged him from the flyover to a nearby temple. I rushed to the spot and found my brothers body lying near the temple reads the FIR. Responding to the incident a spokesperson of Swiggy said We are deeply saddened by the loss of our delivery partner Kaushal Yadav in a heartbreaking incident on January 2. We are in constant touch with his family members and doing everything in our capacity to expedite this case including processing insurance and offering legal support to his family.
2,Need an Onion? These Indian Apps Will Deliver It in Minutes.,"Emily Schmall and Karan Deep Singh reported this story from Hyderabad, India, and New Delhi. Anyone can read what you share. Fueled by billions of dollars in investments, Indian companies are rushing to cut delivery prices and wait times, relying on an army o…",2023-01-04T10:38:06Z,https://biztoc.com/x/ea9c0e2d0d156cb7,Need an Onion These Indian Apps Will Deliver It in Minutes. nytimes. com20230104businessindiadeliveryapps. html Emily Schmall and Karan Deep Singh reported this story from Hyderabad India and New Delhi. As a subscriber you have 10 gift articles to give each month. Anyone can read what you share. Fueled by billions of dollars in investments Indian companies are rushing to cut delivery prices and wait times relying on an army of lowpaid harried drivers. Need an Onion These This story appeared on nytimes. com 20230104.
3,Swiggy delivered 3.5 lakh Biriyanis and 2.5 lakh pizzas on New Year’s Eve,"Although it should come as no surprise that biriyani is the most popular dish, Swiggy reported that 75.4% of orders were for Hyderabadi Biryani, followed by Lucknowian Biryani at 14.2% and Kolkatan Biryani at 10.4%. Additionally, it shipped 2.5 lakh pizzas th…",2023-01-02T02:52:30Z,https://nextbigwhat.com/swiggy-delivered-3-5-lakh-biriyanis-and-2-5-lakh-pizzas-on-new-years-eve/,
4,Swiggy launches premium grocery service with Handpicked,"• Swiggy has launched a premium grocery service called Handpicked. • Unlike Instamart, the quick commerce business, products listed on Handpicked will only be delivered the next day. • Consumers can only access Handpicked through invites.",2022-12-31T02:52:56Z,https://nextbigwhat.com/swiggy-launches-premium-grocery-service-with-handpicked/,
5,"On 31st, these many people ordered khichdi, reveals Swiggy; Biryani, pizza top - Hindustan Times","<ol><li>On 31st, these many people ordered khichdi, reveals Swiggy; Biryani, pizza top  Hindustan Times
</li><li>Swiggy Delivered 3.5 Lakh Biryanis On New Year's Eve, This Variety Topped  NDTV
</li><li>Rs 6.96 lakh discount on Zomato! Another customer from …",2023-01-01T13:54:11Z,https://www.hindustantimes.com/india-news/on-new-year-s-eve-these-many-people-ordered-khichdi-reveals-swiggy-biryani-pizza-top-101672580543803.html,On New Years eve these many people ordered khichdi reveals Swiggy Biryani pizza top As per a poll conducted by Swiggy on Twitter 76. 2 percent of orders came for Hyderabadi Biryani followed by Lucknowi at 14 percent and Kolkata at 9. 8 percent. On New Years eve food delivery platform Swiggy dispatched nearly 3. 50 lakh biryani orders while over 2. 5 lakh pizza orders were delivered news agency PTI reported quoting company sources. In a series of tweets Swiggy also talked about active users on its app and the number of orders placed for different items and meals including those for khichdi revealing interesting data for people to feed on. As per a poll conducted by Swiggy on Twitter 76. 2 percent of orders came for Hyderabadi Biryani followed by Lucknowi at 14 percent and Kolkata at 9. 8 percent. With 3. 50 lakh orders Biryani was the top item that was delivered PTI reported. Bawarchi one of the top biryaniselling restaurants in Hyderabad delivered two biryanis per minute on 2021 New Years Eve and for December 31 2022 as it prepared 15 tonnes of the delicacy to meet the demand the report added citing restaurant sources. Also Read Kota Tribals celebrate New Year in traditional way netizens say it is beautiful Swiggy on Twitter also revealed that 1. 76 lakh packets of chips were ordered via its Instamart service till 7 pm on Saturday. Swiggy cofounder and CEO Sriharsha Majety tweeted around 8 pm that over 1. 2 lakh users were active on the Swiggy app at that point. On an unexpected note Swiggy also revealed that about 12000 people across India ordered khichdi on new years eve. Let this fact be a gentle reminder that no matter what some things will always feel like home it said revealing that 12344 khichdi orders were placed across India. There were also 1. 7 lakh people who ordered food for others. Joey doesnt share food but we are seeing 178459 people who have ordered for other people. All 178459 people are really cute one of its tweets read. Personalise your news feed. Follow trending topics
6,"India Online Grocery Market Outlook Report 2022-2027 Featuring Big Basket, JioMart, Blinkit, Swiggy Instamart, Amazon Fresh, & Flipkart Supermart - ResearchAndMarkets.com","DUBLIN--(BUSINESS WIRE)--The ""India Online Grocery Market Outlook to FY'2027F- Driven by Changing Consumer Needs and Preferences With Availability of Supplies and Reliability of Delivery of the Products"" report has been added to ResearchAndMarkets.com's offer…",2023-01-04T15:21:49Z,https://www.businesswire.com/news/home/20230104005671/en/India-Online-Grocery-Market-Outlook-Report-2022-2027-Featuring-Big-Basket-JioMart-Blinkit-Swiggy-Instamart-Amazon-Fresh-Flipkart-Supermart---ResearchAndMarkets.com,DUBLINBUSINESS WIREThe India Online Grocery Market Outlook to FY2027F Driven by Changing Consumer Needs and Preferences With Availability of Supplies and Reliability of Delivery of the Products report has been added to ResearchAndMarkets. coms offering. The report provides a comprehensive analysis of the Online Grocery market in India. The report covers overview and genesis of the industry product wise market size market segmentations analysis on the eGrocery market trends and developments issues and challenges and comparative landscape including market shares of major companies competition scenario cross comparison and financial parameters of major players in India. The report concludes with future market projections of each product segmentation and Analyst recommendations to win the eGrocery Industry in India. India Online Grocery Market Overview Indias online grocery battle has been heating up fueled by the pandemicrelated surge in demand offline retailers growing Omni channel presence and the arrival of big players in market. The market has grown at an increasing growth rate over the period FY2017FY2022 supported by the increase in continuous growth of population in the country along with growing internet penetration and rising use of eplatforms. Indian consumers have been evolving dynamically in their quest for convenience health and value with the pandemic that forced everyone to stay home further accelerating these trends along with the changing needs and preferences of consumers. Factors such as boom of digital literacy ease of usage wide availability of branded products economic value with price comparison across brands offers deals express delivery driving the Online Grocery Market in India. The convenience and increasingly personalized experiences offered by online grocery platforms have long been appealing to consumers which is surging the demand for eGroceries. Comparative Landscape in India Online Grocery Market The egrocery Market competition in India is moderately fragmented with presence of multiple players in the industry. Top 3 players namely BigBasket JioMart and Blinkit together dominate the market share. Companies are battling against each other to acquire and retain clients focusing on providing customeroriented services expand geographical presence and services provided with increased margins. Key competitive parameters include delivery cost delivery time product and quality information brand value easy user interface discounts and offers and easy returns. India Online Grocery Market Outlook and Projections The eGrocery market is expected to increase in the near future owing to the continued growth in ecommerce with the convenience and discounts offered to consumers. The proliferation of mobile devices combined with internet access via affordable broadband solutions and mobile data is a key factor driving the tremendous growth in Indias egrocery. Factors like an increase in mobile commerce rising consumption spending by consumers payment modernization and increasing investments along with government and private initiatives will drive the market in future. Key Segments Covered in the report India eGrocery Market By Categories of Groceries Food grains Oil and Masala Fruits and Vegetables Snacks and Branded Food Beverages Beauty and Hygiene Bakery Cakes and Dairy Eggs Meat and Fish Cleaning and Household Others By Sales Model Bulk Purchase Model Quick Commerce Model By Location Metro Cities Tier I Tier II and Others By Sales Channel B2B B2C By Sales Platform Mobile Application Desktop Website Key Target Audience Grocery Industry eGrocery Companies Grocery Manufacturers and Distributors Retail Grocery Stores Venture Capitalists FMCG Companies 3PL Logistics Companies Retail Companies Quick Commerce Companies Last Mile Logistic Companies Logistics Supply Chain Industry Associations Market Research and Consulting Firms Time Period Captured in the Report Historical Period FY2017FY2022 Forecast Period FY2022FY2027F Companies Covered Big Basket JioMart Blinkit Swiggy Instamart Amazon Fresh Flipkart Supermart For more information about this report visit httpswww. researchandmarkets. comr9g8lmy
7,War of billboards: How new year promo ads turned political,"It all started with unusual and funny commercial advertisements by three brands to celebrate the new year. However, it soon assumed political overtones and became a slugfest between three prominent parties.",2023-01-11T07:13:13Z,https://timesofindia.indiatimes.com/india/war-of-billboards-how-new-year-promo-ads-turned-political/articleshow/96904533.cms,NEW DELHI It all started with unusual and funny commercial advertisements by three brands to celebrate the new year. However it soon assumed political overtones and became a slugfest between three prominent parties. Indian online shopping company Blinkit Indian food delivery company Zomato and American ondemand overthetop OTT video streaming service company Netflix tagged each other on social media to promote their products on the new year. Blinkits post on Twitter said New year new billboard. Doodh mangoge doodh denge Ask for milk will provide milk. With the caption New collab collaboration Zomato added its own slogan to that of Blinkit and said Kheer mangoge kheer denge Ask for sweet rice pudding we will deliver sweet rice pudding. On its part Netflixs post included billboards also of Blinkit and Zomato besides its own. With the caption Its a great day to go out and look at billboards it said Friday mangoge Wednesday denge Ask for Friday will provide Wednesday. Wednesday is a currently streaming popular English TV serial by Tim Burton starring Jenna Ortega Gwendoline Christie and Riki Lindhome among others. Basically all these slogans from Blinkit Zomato and Netflix are adaptations from a popular dialogue Tum doodh mangoge hum kheer denge tum Kashmir mangoge hum cheer denge You ask for milk and we will give you sweet rice pudding. But if you demand Kashmir we will tear you apart. Delivered by an Indian to a Pakistani the dialogue is from the 2002 Bollywood film Maa Tujhe Salaam starring Sunny Deol Arbaaz Khan and Tabu among others. Blinkit replied to the viewers of Netflix shows saying Binge watch karoge popcorn hum la denge If you watch several episodes of a show in succession we will get you popcorn. In a wordplay Netflix said Recommended for us Hum Aapke Hain Corn. To this Zomato responded by saying Yup its a Wednesday after all. Most of the tweets were being exchanged on January 4 which was a Wednesday. Travel agency company Yatra pitched in and with the hashtag Book now pay later said Hotels mangoge Re 1 mein denge Ask for hotels we will provide for Re 1. Food and beverage company Kulhad Biryani which calls itself Indias first jhatka biryani brand used the original dialogue from the film as a slogan to say Kashmir mangoge cheer denge. Ad war turns political Subsequently the ad war which was funny till then turned political. The Congress and Delhi chief minister Arvind Kejriwalled Aam Aadmi Party AAP attacked the Bharatiya Janata Party BJP using the promos as their template. The BJP responded but belatedly and feebly. Congress The youth wing of the opposition Congress Indian Youth Congress IYC posted more than half a dozen slogans to hit out at the Narendra Modi government at the Centre. The party in a reference to BJPs alleged Operation Lotus in states such as Karnataka Madhya Pradesh and Maharashtra said Jahaan sarkar nahin banehi wahaan vidhayak khareed lenge Will buy MLAs in states where we fail to form government. IYC posted a tweet with two slogans which said Jobs mangoge jumla denge If ask for jobs we will give you rhetorics and Union finance minister Nirmala Sitharamans old statement rupee weak nahi hua hai dollar strong hai The rupee has not weakened but the dollar has strengthened. Referring to the defence ministrys Agniveer scheme of employment which had caused unrest and violence in some parts of the country last year IYC said Sena me bharti mangoge Agniveer denge You ask for recruitment in the defence forces we will give you Agniveer. IYC demanded that those who conceived the Agniveer scheme should also be retired. Another tweet from IYC said Freedom of speech mangoge UAPA The Unlawful Activities Prevention Amendment Act denge You demand freedom of speech we will give you UAPA. In a dig at Modi who has not held any structured press conference ever since he became PM in 2014 IYC said Press conference mangoge to scripted interview denge If you demand a press conference we will give you scripted interview. IYC also referred to the ongoing Bharat Jodo Yatra led by Congress MP Rahul Gandhi. Captioned down to hate hail the love it said Tum desh todoge hum Bharat jodenge You break the country we will unite it. In cited Rahuls statement and said Nafrat ke bazaar me mohabbat ki dukan khol raha hu mai I am opening a shop of love in a market full of hatred In yet another tweet IYC said Agar sarkar par sawal uthaoge antinational declare denge If you raise questions at the government we will declare you antinational. Another billboard said BJP join karoge toh clean chit denge If you join the BJP we will give you a clean chit. Finally a tweet attacked the alleged privatisation moves of the Centre and said Vikas mangoge rashtriya sampatti bech denge If you demand development we will sell the national properties. AAP AAP which is in power in Delhi and Punjab also lashed out at the BJP through the ad war. It said We found another billboard. Doodh kheer ya maango tea sabme laga diya GST Ask for milk sweet rice pudding or tea we have imposed GST on all of them. BJP In response to more than half a dozen tweets from the Congress and AAP the Bihar unit of the BJP posted just one tweet. It was a censure of the recent lathicharge in Patna on students who were protesting on January 4 the leak of Bihar Staff Selection Commission BSSC papers. Several aspirants were injured in the police action. The BJP had condemned the JDURJDCongresss Mahagathbandhan coalition government and called it the state governments brutality on students. The BJP Bihar tweet said Rozgar mangoge lathiyon se peet denge If you demand jobs we will beat you with sticks. Meanwhile in a similar kind of promo ads but this time on the new year eve Indian food delivery company Swiggy and condom manufacturers Durex also posted humourous and unconventional tweets. Swiggy posted a tweet saying 2757 packets of DurexIndia condoms delivered by SwiggyInstamart so far. Please order 4212 more to make it 6969 so we can all say nice. Durex India replied to Swiggy and said Thank you for delivering them Os. We know at least 2757 are having a banging new year. P. S We hope they order coffee together tomorrow morning. In a quirky retort Swiggy Instamart said durexindia the people who ordered these 2757 condoms are probably not reading this rn right now.
8,"Kotak sees lower GMV for Zomato in short term, cuts target price to Rs 85",Kotak has cut its target price to Rs 85 a share from Rs 100 a share earlier targeted. The target still suggests a 45 per cent potential upside from Wednesday#39;s tradiong price of Rs 59.20 apiece.,2022-12-28T05:55:18Z,https://www.moneycontrol.com/news/business/earnings/kotak-sees-lower-gmv-for-zomato-in-short-term-cuts-target-price-to-rs-85-9774991.html,Predicting a subdued gross merchandise value GMV in the near term amid weaker demand brokerage firm Kotak Institutional Equities has cut the target price on the shares of Zomato Ltd. Kotak has cut its target price to Rs 85 a share from Rs 100 earlier targeted. The target still suggests a 45 percent potential upside from Wednesdays trading price of Rs 59. 20 apiece. Our conversations with industry participants indicate that food delivery GMV growth may remain subdued in the nearterm owing to weak demand. As a result we trim GMV growth forecasts for Zomatos food delivery segment. We like Zomatos comfortable market share position in a duopolistic market and believe the Indian delivery market has legs to grow nearterm slowdown notwithstanding Kotak Institutional Equities said in a note to investors. After Zomato posted a 35 percent yearonyear food delivery GMV growth in the first half of FY23 the brokerage firm anticipates it to decelerate to 21 percent onyear in the second half of FY23. Although AOVs are likely to hold up due to inflation and relatively higher delivery charges slower growth in orders will lead to slower GMV growth Kotak said. This in turn is owing to weak consumer demand in what otherwise is a seasonally strong quarter for outdoor food consumption. We reckon the weakness is panIndia with a slowdown in demand in metro and nonmetro geographies. The fact that restaurant chains are also witnessing a slowdown indicates the slowdown is across channels and delivery is not necessarily losing share to instore dining Kotak said in a report. According to a Jefferies note on December 19 the brokerage firm has removed Zomato from its India Model Portfolio because it wanted to add weight to the metals sector with China reopening and the expectation of peaking of interest rates in the US. For the tactical move exiting Zomato we are incrementally wary of a potential rise in competitive activity in the sector As its chief competitor Swiggy has recently seen market share loss wrote Jeffereys Mahesh Nandurkar and Abhinav Sinha in the report.
9,7 of the Most Interesting Travel Tech Startups Raising Capital in 2022,"Seven interesting travel tech startups that raised money in 2022: Deal Engine, Gordian, Hopper, Mews, Rapido, ResortPass, and TravelPerk.",2022-12-23T06:30:00Z,https://skift.com/2022/12/23/7-of-the-most-interesting-travel-tech-startups-raising-capital-in-2022/,Skift Take Despite an increasingly negative economic forecast travel tech startups raised billions of dollars in 2022. Travel Startup Funding This Week Each week we round up travel startups that have recently received or announced funding. Please email Travel Tech Reporter Justin Dawes at email protected if you have funding news. Skift kept an eye through much of 2022 on which travel tech startups raised money documented in this weekly startup funding roundup. Anything related to shortterm rentals got the most frequent funding but there was a wide variety of other startups that raise venture capital throughout the year despite a declining economic forecast. Below is an outline of some of the most interesting travel tech startups in alphabetical order that received funding in 2022. Deal Engine raised 5. 3 million not a lot compared to some of the others in this list but the Miamibased startup is tackling a problem thats a notorious headache for airlines and their customers postbooking flight changes. Historically airlines contract expensive call centers to deal with many of the change requests by customers an issue that became unbearable during the pandemic. Volaris told Skift that it starts the process with software by Sabre but that only covers about half of the issues and the rest historically were transferred to call centers. With the supplemental Deal Engine software fewer than 10 percent of postbooking calls have to be sent to a call center now. Gordian a Y Combinator grad raised 25 million to help airlines with upselling. The tech is used to help push travelers buying airline tickets into paying for extras like seating assignments and checked baggage. Because airlines often werent getting any upsells in online channels because the agencies werent offering them any gain is flowing directly to their bottom line. As a result ordinarily bureaucratic carriers found ways to prioritize the integration. Gordian in July reported it had more than 100 online travel companies and sites as customers. It also said at that time that it was operating at 15 times its 2019 revenue. Hopper added 96 million to an investment from Capital One and announced a longterm partnership with the bank. The online travel agency has raised a total of 730 million. Hopper powers Capital One Travel and Hopper also offers an array of fintech products such as price freezes on flights and hotels for an array of other partners. Hopper has said that much of its revenue comes from its unique fintech products. Hopper claims to be the third largest online travel agency in North America commanding 11. 2 percent of thirdparty flight bookings in the U. S. citing Marketing Information Data Tapes figures. Mews a U. K. based hotel tech startup raised 185 million led by Kinnevik and Goldman Sachs. It was a number high above typical venture capital fundraises in that industry especially impressive during the economic uncertainty thats causing venture capital firms to hold onto money a bit tighter. Mews offers a wide variety of cloudbased solutions for hotels including property management guest management and a new payments system all designed on an open system that allows hotels to connect the products with others they may use. The company plans to focus more on the midmarket segment and expand geographically. Mews also plans to continue acquiring other hotel tech companies. Rapido a taxi service that uses motorbikes instead of cars raised 180 million. The company operates in 100 cities across India. Investors included Swiggy an Indian online food ordering and delivery platform. The platform in April reported having 450000 monthly active drivers and a total of more than 300 million orders. ResortPass raised 26 million from investors including celebrities Jessica Alba and Gwyneth Paltrow for a platform that can help hotels access an entirely new revenue stream. The ResortPass customer software platform can market availability of a hotels amenities spas pools fitness centers meeting rooms and more and allow guests to use them during the day without needing to book an overnight stay. The company also offers hotel clients a software platform to manage that business on the backend. The startup partners with more than 900 hotels including brands like Ritz Carlton Four Seasons Westin Fairmont W Hotels and Hyatt Hotels. Before the pandemic the startup had about 100 hotel partners. TravelPerk a Barcelonabased travel management agency focused on business travelers raised 115 million. Founded by a Booking. com veteran the startups board also includes Gillian Tans former chair and CEO of the online travel agency giant. TravePerk said it offers an allinone platform for business travelers from booking to trip management. The agency is focusing on offering more sustainable travel options and its also enhancing an events tool to help connect remote and hybrid teams. Bonuses Kyte raised 60 million in venture capital as well as 200 million in assetbacked credit financing from Goldman Sachs and Ares Global Management for an ondemand car rental service that includes doorstep delivery. Volantio an optimization startup focused on airlines raised 6 million from firms like DiamondStream Partners Alaska Airlines JetBlue and Amadeus. Sensible Weather raised 4 million for a platform focused on reimbursing travelers for intrip experiences that are negatively affected specifically for bad weather. Of course there were a bunch of shortterm rental platforms and software companies that raised capital this year including Evolve raised 100 million. Holidu raised 102 million. Matsuri raised 16 million. Placemakr raised 90 million. Ukio raised 28 million. Free Daily Newsletter Sign up for the most popular Skift daily download of news happening and headlines in the travel world Tags booking. com funding goldman sachs hopper mews startups travel tech travel technology travelperk vcroundup Photo credit Mexican carrier Volaris is an early client of travel tech startup Deal Engine. Kambui Wikimedia Commons Up Next Loading next stories
