Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,No Headline,Extremely Negative,220,"['Unfortunately', 'dead', 'shame']",[],"[Utkarsh, Upadhyay, Samar, Dhwoj, Acharya]"
2,No Headline,Extremely Negative,230,"['hacks', 'hard', 'hack', 'problem']",[],"[Pascal, TURFPTAx, Damped]"
3,"

Tools and Technology

",Extremely Positive,30,['bug'],[],"['lawsuit', Signal, Linden]"
4,"OpenAI releases Point-E, which is like DALL-E but for 3D modeling",Generally Neutral,60,"['object', 'notoriety', 'object', 'object', 'expensive', 'coarse', 'worse']",[],"[Elon, Muskfounded, Alex, Nichol]"
5,No Headline,Extremely Negative,580,"['attacks', 'vulnerable', 'issue', 'arbitrary', 'dump', 'Leaking', 'dead', 'odd', 'broken', 'measly', 'tedious', 'warning', 'inaccurate', 'bad', 'vulnerable', 'limited', 'problem', 'worse', 'rough', 'breach', 'breaking', 'breach', 'suffered', 'lost', 'lost', 'troubling', 'malicious', 'bad', 'attacks']","['killer', 'abuse']","[Mike, Metzger, Drew, Griess, Ivan, Kwiatkowski]"
6,No Headline,Extremely Negative,190,[],[],"[juliusgeo, juliusgeo]"
7,No Headline,Extremely Negative,710,"['hard', 'worry', 'badly', 'hard', 'problem', 'objections', 'wrong', 'wrong', 'problems', 'wrong', 'irrelevant', 'limitations', 'loose', 'objection', 'hard', 'limitations', 'irrelevant', 'expensive', 'expensive', 'costly', 'terrible', 'biased', 'terribly', 'utterly', 'limitations', 'incomplete', 'challenging', 'lose', 'suspect', 'suspicious', 'skeptical', 'disturbing', 'superficial', 'problem', 'worry', 'issue', 'boring', 'issues', 'problem', 'biases', 'problem', 'suspect']","['suck', 'violence']","[Yoav, Goldberg, Claude, Shannons, Shannon, Obama, Obama, Obame, Obame, Trump, Biden, Knowledge, of]"
8,Tencent Weixin now partners with GitHub to notify users if their credentials are exposed in a public repository,Extremely Positive,0,[],[],[]
9,No Headline,Extremely Negative,460,"['threat', 'stealing', 'suspicious', 'stealing', 'suspicious', 'disruption', 'difficult', 'bumpy', 'unknown', 'problems', 'irregularity', 'hack', 'extortion', 'stolen', 'hack', 'mistake', 'delaying', 'hack', 'breach', 'limited', 'critical']",[],"['lawsuit', David, Bradbury, 'lawsuit']"
10,No Headline,Extremely Negative,310,"['risk', 'interrupt', 'loss', 'limit', 'Split', 'danger', 'break', 'Loss', 'dead', 'object', 'interrupt', 'slower']",[],"[Usada, Pekora, usada, pekora, usada, pekora, mignon, usada, pekora]"
11,No Headline,Extremely Negative,430,"['Slack', 'suffered', 'Slack', 'threat', 'limited', 'Slack', 'stolen', 'suspicious', 'limited', 'Slack', 'stolen', 'threat', 'Slack', 'stolen', 'Slack', 'Ironically', 'Slack', 'breaking', 'limit', 'erroneously', 'breach', 'Slack', 'Slack', 'breach']",[],"[Zack, Whittaker]"
12,No Headline,Extremely Negative,190,[],[],[]
13,Querying the GitHub archive with the ClickHouse playground,Somewhat Positive,50,"['trick', 'Afraid', 'LIMIT', 'LIMIT', 'LIMIT', 'LIMIT']",[],[]
14,No Headline,Extremely Negative,200,['unexpected'],[],[]
15,No Headline,Extremely Negative,300,"['detriment', 'LIMITED', 'LIABLE', 'DAMAGES', 'LIABILITY']",[],"['lawsuit', 'lawsuit']"
16,No Headline,Extremely Negative,200,['risk'],[],[]
17,No Headline,Extremely Negative,230,"['untested', 'slow', 'split', 'limit']",[],[Gauss]
18,No Headline,Extremely Negative,230,"['dark', 'bad', 'issues', 'damage']",[],[]
19,No Headline,Extremely Negative,220,"['Dungeons', 'dungeon', 'problem']",[],"[Santa, Clauss, Vixen, Rudolph, Prancer, Dasher, Vixen, Dancer, Donder, Blitzen, Rudolph, Comet, Cupid, Prancer, Rudolph, Donder, Cupid, Cupid, Rudolph, Prancer, Blitzen, Cupid, Rudolph, Prancer, Dasher, Vixen, Dasher, Donder, Blitzen, Rudolph, Blitzen, Donder, Blitzen, Cupid, Donder, isbehindblitzen, cupid, blitzen, blitzen, isbehinddonder, blitzen, ., Rudolph, Dasher, Dancer, Donder, rudolph, rudolph, isbehinddonder, rudolph, ., Dasher, Prancer, Rudolph, Prancer, Vixen, Dasher, Vixen, Donder, Blitzen, Rudolph, Rudolph, Rudolph, Donder, Rudolph, Prancer, Cupid, Rudolph, Dasher, Rudolph, Donder, Rudolph, Prancer, Vixen, Dasher]"
20,No Headline,Extremely Negative,200,['omit'],[],[]
21,No Headline,Extremely Negative,510,"['lack', 'unaffordable', 'unreliable', 'slow', 'unavailable', 'limit', 'Lack', 'poorer', 'poorer', 'bugs', 'slow', 'limited', 'worried', 'break', 'issues', 'issues', 'object']","['poverty', 'corruption', 'GUN']","[foobar, foobar]"
22,No Headline,Extremely Negative,190,[],[],[]
23,Name already in use,Extremely Positive,170,"['scratch', 'vice', 'scratch', 'challenging', 'randomly', 'stumbled', 'slow', 'mock', 'mock', 'arbitrary', 'slow', 'object', 'error', 'worry', 'object', 'FALSE', 'stab', 'Slack']",[],"[Barak, Alon, George, Sittas]"
24,No Headline,Extremely Negative,270,"['falls', 'lazy', 'bash']",['dirty'],[]
25,No Headline,Extremely Negative,230,"['sin', 'object', 'object', 'issue']",[],"[John, Doe, John, Doe, John, John]"
26,No Headline,Extremely Negative,1540,"['Errors', 'errors', 'errors', 'Unknown', 'arbitrary', 'issue', 'Discord', 'bug', 'bash', 'bash', 'fail', 'incompatible', 'break', 'bugs', 'break', 'unstable', 'unstable', 'incompatible', 'insensitive', 'error', 'fails', 'error', 'suppress', 'error', 'false', 'false', 'false', 'bash', 'bash', 'Bash', 'bash', 'Rust', 'breaks', 'ignore', 'Errors', 'fails', 'Rust', 'fail', 'unwanted', 'broken', 'Error', 'Abort', 'error', 'randomly', 'disabled', 'inequality', 'error', 'error', 'error', 'error', 'error', 'crashes', 'crashes', 'fail', 'fail', 'arbitrary', 'limitations', 'bash', 'bash', 'split', 'split', 'Bash', 'bash', 'bash', 'Bash', 'strictly', 'bash', 'fails', 'undefined', 'fails', 'problem', 'undefined', 'bash', 'challenging', 'bash', 'error', 'error', 'dumping', 'bash', 'bash', 'bash', 'error', 'fails', 'error', 'fatal', 'error', 'suppress', 'error', 'fatal', 'fuzzy', 'split', 'strange', 'error', 'Conflicting', 'unstable', 'unstable', 'unstable', 'splitting', 'Dumping', 'dump', 'unstable', 'unstable', 'false', 'Splitting', 'splitting', 'ignore', 'bash', 'Bash', 'Rust', 'shortage', 'Rust', 'Rust', 'Rust', 'breaks', 'gruesome', 'breaks', 'worry', 'Rust', 'Rust', 'Rust', 'Rust', 'Bump', 'confusing', 'complicated', 'refuse', 'disable', 'hard', 'risk', 'confusing', 'error', 'mess', 'Rust', 'miscellaneous', 'Rust', 'slow']",[],"[Kakoune, Kakoune, trimendmatchs, pat, pat, trimendmatchess, pat, pat, pat, trimstartmatchess, pat, pat, foois, foobar, txtis, foo, ., txtis, foobar, baris, foobar, ., Larry, Wall, Hin, sh, usrbinenv, Hola, Larry, Wall, echo, x, Larry, Wall, foo, Foo, fooa, barb, maid, cargomake, mask, makesure, haku, Casey]"
27,No Headline,Extremely Negative,200,['break'],[],[]
28,No Headline,Extremely Negative,380,"['rough', 'issues', 'trivial', 'Unfortunately', 'errors', 'hurting', 'struggles', 'downside', 'messy', 'downside', 'isolation', 'problem', 'rough', 'issue', 'limit', 'Limitations', 'limitations', 'imperfect', 'simplistic']",[],"[Keanu, Reeves, Steven, Colbert, Jaccard, Erik, Bernhardsson]"
29,No Headline,Extremely Negative,620,"['errors', 'error', 'error', 'error', 'error', 'leak', 'leak', 'pain', 'fail', 'opinionated', 'problem', 'panic', 'panic', 'undesirable', 'panic', 'panic', 'Ignore', 'error', 'panic', 'bad', 'wrong', 'bad', 'bad', 'wrong', 'panic', 'panicked', 'panic', 'lose', 'panic', 'trivial', 'difficult', 'difficult', 'difficult', 'static', 'static', 'breaking', 'issue', 'concerns']",['fire'],[]
30,"33 Years Later, There's Finally a Capture Card for Recording Game Boy Gameplay",Extremely Positive,90,"['ugly', 'hack', 'hacks', 'Shark', 'cheating', 'limitations', 'unfortunately']",[],"[Sebastian, Staacks, Staacks, 'lawsuit', Staacks, Staacks]"
