Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,Microsoft and FTC pre-trial hearing set for January 3rd,Somewhat Positive,30,"['harm', 'concessions', 'burden', 'worse']",[],"[Holly, Vedova]"
2,Congress blocks purchase of more Microsoft combat goggles,Extremely Negative,240,"['suffered', 'headaches', 'failures', 'discomfort', 'struggled']",[],[]
3,Microsoft's humble NotePad might be getting tabs in Windows 11,Generally Neutral,30,"['leak', 'warning', 'hard', 'rumor']",[],[]
4,Microsoft is now the home of the video game industry's largest union,Extremely Positive,290,[],[],"['harassment', 'harassment', 'harassment', 'harassment', 'harassment', 'harassment']"
5,Microsoft and Activision Blizzard file responses to the FTC's antitrust lawsuit,Extremely Negative,470,"['harm', 'burden', 'worse', 'suppress', 'refused', 'disastrous', 'lose', 'hard', 'issue', 'unconstitutional', 'complaint', 'complaint', 'harms', 'skepticism', 'complaints', 'lost', 'vice', 'breakup', 'issue']",[],"['lawsuit', 'lawsuit', 'lawsuit', Brad, Smith, Bobby, Kotick]"
6,Apple TV and Apple Music apps quietly appear on the Microsoft Store,Extremely Positive,20,"['warned', 'bad']",[],[Thurrott]
7,Windows 7 Is Officially Dead,Extremely Negative,410,"['dead', 'unsupported', 'issue', 'problem', 'issue', 'dangerous', 'bad', 'wrong', 'exploit', 'steal', 'risks', 'sad', 'unsafe', 'rough']",['hole'],"[Barack, Obama, 'lawsuit']"
8,Microsoft's New AI Tool Just Needs to Hear Three Seconds of Your Voice to Mimic You,Extremely Positive,160,"['loss', 'spotty', 'limited', 'trouble', 'laughable', 'impossible', 'limited', 'risks', 'risks', 'misuse', 'risks', 'discriminate']",[],['harassment']
9,"ChatGPT could be a 'game changer' for Microsoft that turns it into a core AI stock as it mulls a $10 billion investment into OpenAI, Wedbush says",Extremely Negative,240,"['aggressive', 'mistakes', 'embroiled', 'slowed', 'mistakes']",[],"[Dan, Ives, Ives, Dan, Ives, Ives, Ives, Ives, Satya, Nadella, Nadella, Ives, Ives]"
10,Microsoft events to show new slate of games—including Starfield,Somewhat Positive,120,"['Fallout', 'Cry', 'Dead', 'wasted', 'lost', 'stuck', 'sporadic', 'lagged']",['dive'],[]
11,Video gamers sue to stop Microsoft's Activision Blizzard buy,Extremely Negative,230,['stifle'],[],['lawsuit']
12,No Headline,Extremely Negative,280,"['absence', 'bereavement', 'difficult', 'difficult']",['sick'],[]
13,EU regulators quiz rivals on Microsoft tactics after Activision,Extremely Negative,290,"['degrading', 'disadvantages', 'Rival', 'concerns', 'worried']",[],['harassment']
14,Microsoft shares fall after UBS warns on cloud growth,Extremely Negative,220,"['fell', 'downgrade', 'worries']",[],"[Chris, Dignam]"
15,Microsoft wants gamers' Activision lawsuit paused pending FTC case,Extremely Negative,530,"['freeze', 'challenging', 'freezing', 'needless', 'risk', 'inconsistent', 'issues', 'issues', 'enjoin', 'dispute', 'sued', 'harm', 'rival', 'risk', 'harm', 'sue']",[],"['lawsuit', 'lawsuit', 'lawsuit', Jacqueline, Corley, 'lawsuit', Joseph, Saveri, 'lawsuit', Demartini, Joseph, Alioto, Joseph, Saveri, Rakesh, Kilaru, Valarie, Williams, Biden, 'lawsuit']"
16,Ex-Microsoft litigation leader joins law firm Morgan Lewis,Extremely Positive,50,['vice'],['cancer'],"[David, Howard, David, Howard, Howard, Howard, Howard, Jon, Palmer, Howard, Howard, Jane, Horvath, Jamey, Goldin, Kate, Patchen, Ryan, Richardson, Howard, Howard, Jami, McKeon]"
17,Microsoft to invest in autonomous trucking startup Gatik -sources,Extremely Positive,20,"['setbacks', 'concerns', 'Disruptive']",[],"[Gautam, Narang, Arjun, Narang]"
18,Microsoft launches Android 13 on Windows 11 for all Insiders,Extremely Positive,50,"['unnoticed', 'unfamiliar', 'unclear', 'bump', 'smoldering', 'problem']",[],[Derrek]
19,"Microsoft Acquires Fungible, Gets Composable Infrastructure Hardware",Extremely Positive,20,"['limitations', 'vice']",[],"[Joseph, F., Kovar, Pradeep, Sindhu, Bertrand, Serlet, Girish, Bablani]"
20,JBL updates its Quantum lineup of gaming headphones and earbuds,Extremely Positive,40,"['lost', 'noise', 'noise', 'suppression', 'lacking']",[],[]
21,John Deere will let US farmers repair their own equipment,Extremely Positive,80,"['concessions', 'disable', 'disable', 'violate', 'risks', 'limit']",[],"[Dave, Gilmore, Biden, 'lawsuit']"
