Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,Marilyn Manson sexual assault lawsuit dismissed without prejudice,Extremely Negative,1640,"['accusing', 'unlawful', 'imprisonment', 'prejudice', 'allegations', 'accusations', 'accusing', 'harassment', 'falling', 'limitations', 'sued', 'falling', 'limitations', 'refused', 'allegations', 'abused', 'allegations', 'defamation']","['sexual', 'assault', 'sexual', 'sexually', 'sexual', 'assault', 'raped', 'kill', 'abuse', 'abuse']","['lawsuit', Ashley, Morgan, Smithline, Marilyn, Manson, 'harassment', 'harassment', 'harassment', 'lawsuit', Smithline, 'lawsuit', 'lawsuit', 'harassment', Smithline, 'lawsuit', 'lawsuit', 'lawsuit', Manson, Brian, Warner, 'lawsuit', Esm, Bianco, 'lawsuit', Ashley, Walters, 'harassment', 'harassment', 'harassment', Manson, 'lawsuit', Howard, King, Ashley, Smithline, Brian, Warner, Smithline, Warner, 'lawsuit', 'lawsuit', Manson, Evan, Rachel, Wood, 'lawsuit', Manson, Wood, 'lawsuit', Manson]"
2,"Ice Spice, Popcaan, Skrillex, and More: This Week’s Pitchfork Selects Playlist",Extremely Positive,20,"['imposing', 'obsessively']",[],"[Frankie, Rose, Ice, Spice, Drake, Memphis, Skrillex, Fred, Again, Flowdan, Rumble, Frankie, Rose, Anything, Robinsito, Kitipo, Po, Dior, Fizzler, Pacman]"
3,Ditching noncompete clauses would be a win for workers' rights and employees in low-wage jobs,Extremely Negative,460,"['rival', 'challenging', 'Critics', 'criticism', 'sued', 'limited', 'hurts', 'lost', 'losing', 'challenging', 'stifle', 'threat', 'falls']",[],"['lawsuit', 'harassment', 'lawsuit', Jimmy, ODonnell, 'lawsuit', Evan, Starr, Charlotte, Garden, Garden, Heidi, Shierholz, Paul, Constant, Constant, Jack, Ma]"
4,"4 New Albums You Should Listen to Now: MIKE, Weezer, and More",Extremely Positive,50,"['hard', 'Beware', 'Beware', 'warning', 'Worry', 'Dark']",[],"[Hildur, Gunadttir, Sauce, Walka, MIKE, Sister, Nancy, Jadasea, King, Carter]"
5,Universal Music Group Sues Triller Over Unpaid License Fees,Extremely Negative,500,"['complaint', 'missed', 'complaint', 'shamefully', 'denied', 'allegation', 'deny', 'sued', 'infringement', 'breach', 'complaint', 'grossly', 'bully', 'criticized']",['oral'],"['lawsuit', 'lawsuit', 'lawsuit', 'lawsuit']"
6,Taylor Swift Fans File Second Lawsuit Against Ticketmaster Over Eras Tour Debacle,Extremely Negative,660,"['debacle', 'misleading', 'unable', 'allege', 'false', 'misrepresentation', 'allegations', 'violation', 'terrible', 'abused']","['fraud', 'fraud']","[Taylor, Swift, 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', Taylor]"
7,Marilyn Manson Sexual Assault Lawsuit Dismissed,Extremely Negative,2620,"['prejudice', 'accusing', 'sued', 'distress', 'unlawful', 'imprisonment', 'denied', 'allegations', 'refused', 'defamation', 'accusing', 'harassment', 'Stern', 'limitations', 'allegations', 'complaint', 'Crisis']","['sexual', 'assault', 'sexual', 'sexual', 'assault', 'sexual', 'assault', 'sexual', 'abuse', 'sexual', 'assault', 'sexual', 'sexual', 'assault', 'sexual', 'assault', 'sexual', 'assault', 'Sexual', 'Assault']","['harassment', 'harassment', 'harassment', 'harassment', 'lawsuit', Brian, Warneralso, Marilyn, Mansonof, 'harassment', 'harassment', Ashley, Morgan, Smithline, 'harassment', 'harassment', 'harassment', 'lawsuit', Manson, 'lawsuit', Jay, Ellwanger, Smithlines, Ashley, Smithline, Brian, Warner, Smithline, Warner, 'lawsuit', Manson, 'lawsuit', Esm, Bianco, 'harassment', 'harassment', 'harassment', Manson, Evan, Rachel, Wood, 'lawsuit', Mansons, 'harassment', 'harassment', 'harassment', Michael, Stern, 'harassment', 'harassment', 'lawsuit', Manson, 'harassment', 'harassment', 'harassment', 'harassment']"
8,Multiple People Shot and Injured During French Montana Video Shoot in Miami,Extremely Negative,400,['altercation'],"['shooting', 'shooting', 'Fire', 'shooting']","[Montana, French, Montana]"
9,"King Krule, Jadasea, and Pretty V Share New EP as Aqrxvst: Listen",Extremely Positive,10,['fall'],[],"[Archy, Marshall, Jadasea, Pretty, V, Marshall, Nilfer, Yanyas, Midnight, Sun, King, Krule, Marshall, Edgar, the, Beatmaker]"
10,New Book Touring and Mental Health: The Music Industry Manual Coming in March,Extremely Positive,10,['Crisis'],[],"[Tamsin, Embleton, Embleton, Kieran, Hebden, Philip, Selway]"
11,DaBaby Beats $6 Million Lawsuit,Extremely Negative,360,"['accusing', 'breach', 'defamation', 'liable', 'sued', 'struck', 'sued', 'ripped']",[],"[DaBaby, 'lawsuit', Kenneth, Carey, Steve, Anyadike, 'lawsuit', DaBaby, Carey, 'lawsuit', DaBaby, DaBaby, DaBaby, DaBaby, Roddy, Ricch]"
12,"Theophilus London Found “Safe and Well” After Being Reported Missing, Cousin Says",Somewhat Positive,10,['absence'],[],"[Theophilus, London, Mikhail, Noel, Theo, Noel, Noel, Theophilus, London, Londons, Theophilus, London, Londons, Theo]"
13,Black Sheep Sue Universal Music Group Over Spotify Stock Sales,Extremely Negative,530,"['allege', 'breach', 'breach', 'unjust', 'allege', 'struck', 'deprived', 'failing', 'depressed', 'wrong', 'false', 'absurd', 'complaint']",[],"['lawsuit', 'lawsuit', 'lawsuit', Andres, Dres, Vargas, Titus, William, Mista, Lawnge, McLean, 'lawsuit', 'lawsuit', 'lawsuit', 'lawsuit', Titus, McLean]"
14,"Frankie Rose Announces First Album in 6 Years, Shares Song: Listen",Extremely Positive,50,['Wrong'],[],"[Frankie, Rosewho, Crystal, Stiltshas, Rose, Rose, Frankie, Rose, 'harassment']"
