Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"
			Get a Special Deal on This Top Python Bundle
		",Extremely Positive,70,"['Layoff', 'Skeptic', 'Divisive']",[],"[Chris, Mall, 'harassment', Elon, Musk]"
2,No Headline,Extremely Negative,210,"['nightmare', 'Rust']",[],[]
3,A Guide To Command-Line Data Manipulation,Somewhat Positive,580,"['convoluted', 'confusing', 'Rust', 'freezing', 'issues', 'hard', 'useless', 'Breaking', 'Bad', 'Afraid', 'Dark', 'problem', 'Restrict', 'scourge']","['Homicide', 'sex', 'sex', 'sex', 'sex', 'sex', 'sex', 'sex', 'Dive']","[John, Kerl, Miller, Miller, Miller, Miller, Jesus, Garcia, A, Lam, Shin, Aaron, Brown, Aaron, Cook, Aaron, Gate, Aaron, Royle, Aaron, Russell, Aaron, Younger, Aauri, Lorena, Bokesa, A, Jesus, Garcia, A, Lam, Shin, Aaron, Brown, Aaron, Cook, Aaron, Gate, Aaron, Royle, Aaron, Russell, Aaron, Younger, Aauri, Lorena, Bokesa, Ababel, Yeshaneh, Michael, Phelps, Katie, Ledecky, Simone, Biles, Emma, McKeon, Katinka, Hosszu, Madeline, Dirado, Nathan, Adrian, Penny, Oleksiak, Simone, Manuel, Alexandra, Raisman, Michael, Phelps, Katie, Ledecky, Simone, Biles, Emma, McKeon, Katinka, Hosszu, Michael, Phelps, Katie, Ledecky, Simone, Biles, Emma, McKeon, Katinka, Hosszu, Madeline, Dirado, Miller, Miller]"
4,Mapping Python to LLVM,Somewhat Positive,630,"['tricky', 'arbitrary', 'object', 'primitive', 'primitive', 'false', 'false', 'false', 'break', 'break', 'difficult', 'difficult', 'difficulty', 'break', 'break', 'break', 'break', 'break', 'break', 'object', 'BREAK', 'break', 'break', 'break', 'BREAK', 'BREAK', 'BREAK', 'BREAK', 'static', 'complication', 'false', 'vice', 'false', 'naively', 'object', 'dead', 'elimination', 'elimination', 'false', 'false', 'false', 'false', 'false', 'false']","['destroy', 'destroy', 'destroy', 'destroy']","[Eli, Benderskys, llvm, ., coro, ., done]"
5,Name already in use,Extremely Positive,370,"['problems', 'lost', 'Fault', 'critical', 'failures', 'scream', 'error', 'issue', 'annoying', 'bad', 'unlikely', 'waste', 'object', 'arbitrary', 'slow', 'slow', 'Rust', 'object', 'fault', 'fault', 'fails', 'fail', 'fail', 'hard', 'failures', 'damned', 'fault', 'sneak', 'failures', 'problem', 'fault', 'Discord', 'issue']",['fraud'],"[Ray, Ray, Kafka, Kubernetes]"
6,No Headline,Extremely Negative,330,"['fall', 'issues', 'problems', 'issues', 'limitations', 'issues', 'pain', 'issues', 'limitations', 'Lack', 'issues', 'issue', 'Unsuspecting', 'failing']",[],[]
7,No Headline,Extremely Negative,280,"['stuck', 'strange', 'problems', 'problems', 'Rust', 'criticisms', 'unfounded', 'criticism', 'problem']",[],[]
8,No Headline,Extremely Negative,220,"['Hacks', 'Scrap', 'Hacks']",[],"[Elliot, Williams, Tom, Nardi]"
9,Name already in use,Extremely Positive,170,"['scratch', 'vice', 'scratch', 'challenging', 'randomly', 'stumbled', 'slow', 'mock', 'mock', 'arbitrary', 'slow', 'object', 'error', 'worry', 'object', 'FALSE', 'stab', 'Slack']",[],"[Barak, Alon, George, Sittas]"
10,Delphi VCL & FMX Libraries for Python,Somewhat Positive,0,[],[],[]
11,No Headline,Extremely Negative,320,"['regression', 'pain', 'object', 'nightmare', 'primitive', 'regression', 'trivial', 'object', 'hard', 'irrelevant', 'broken', 'issue', 'object']",[],"[extend, rownumber, 1, ., evald, dlocal]"
12,PyPI malware creators are starting to employ Anti-Debug techniques,Extremely Negative,630,"['malicious', 'static', 'primitive', 'mangling', 'suspicious', 'static', 'static', 'thwart', 'malicious', 'Static', 'trivial', 'Static', 'error', 'malicious', 'split', 'suspicious', 'split', 'Invalid', 'split', 'Invalid', 'Invalid', 'static', 'breach', 'disappointingly', 'harmful', 'Discord', 'Discord', 'evasion', 'static']","['kill', 'kill', 'kill']",[]
13,No Headline,Extremely Negative,700,"['unfortunately', 'difficult', 'complicated', 'unfamiliar', 'slap', 'Subtract', 'subtract', 'cheat', 'object', 'object', 'slow', 'wasted', 'sorry', 'bother', 'limit', 'missed', 'accuse', 'subtract', 'subtract', 'sin', 'sin', 'lazy', 'sin', 'sin', 'object', 'difficult', 'sucks', 'cheat', 'arbitrary', 'negative', 'downside', 'slow', 'complicated', 'drain', 'sin', 'sin', 'nonsense', 'bothered', 'annoying', 'slow', 'warp', 'slow', 'Rust']",['hole'],"['lawsuit', Inigio, Quilezs]"
