Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"No travel advisory lifted in Minnesota counties, caution still advised",Generally Neutral,20,"['issue', 'Difficult', 'lull']",[],[]
2,Metro Line 2A to use Charkop depot till work on Line 2B & Mandale depot is completed,Somewhat Positive,20,"['hampered', 'obstructing', 'Vile']",[],[]
3,Haiti’s political crisis worsens as Senate terms expire,Extremely Negative,1160,"['crisis', 'expire', 'crisis', 'expire', 'alarming', 'beset', 'instability', 'expired', 'worst', 'bloody', 'lacked', 'crisis', 'rejected', 'instability', 'worsening', 'deadly', 'tout', 'dictator', 'warned', 'scared', 'lost', 'protests', 'rejecting', 'issue']","['violence', 'violence', 'assassination', 'killed', 'fear', 'violence', 'desire', 'sexual', 'violence', 'rape', 'fear', 'killing']","[Alex, Dupuy, Duvalier, JeanClaude, Baby, Doc, Duvalier, Francois, Papa, Doc, Duvalier, Jovenel, Moise, 'lawsuit', Ariel, Henry, Moise, Henry, Henry, Ariel, Henry, Henry, Dupuy, Henrys, Henry, 'harassment', 'harassment', Ulrika, Richardson, Daniel, Jean, Jean, Henry, Joe, Bidens, Biden, Justin, Trudeau, Andres, Manuel, Lopez, Obrador]"
4,Parle Products to expand premium products range,Extremely Positive,0,[],[],[]
5,Mumbai: Over a dozen Crosses vandalised at Mahim's St. Michael's Church,Extremely Negative,370,"['outraged', 'damaging', 'hurting', 'Vile', 'unknown', 'unknown', 'miscreants', 'damaged', 'damaged', 'broken']",['Church'],['lawsuit']
6,Impressive but easy canapes for festive entertaining,Somewhat Positive,330,"['afraid', 'peeled', 'streaky', 'pinch', 'fried', 'fried', 'fried', 'shallow', 'Dust', 'pan', 'drain', 'mashed', 'peeled', 'frozen', 'pinch', 'peeled', 'boiling', 'frozen', 'break', 'mashed', 'Dust', 'pan', 'pan', 'pan']","['Poon', 'knife']","[Stevie, Parle, Bre, Graham, Amy, Poons, Stevie, Parle, Bre, Graham, Amy, Poon]"
7,Did You Know Parle-G Biscuits Are Available In New Flavours? Twitter Is Amused,Generally Neutral,20,"['Shocking', 'lost']",[],"[hojevlo, jevliska, hojevlo, DrJanviL, X, A12, Cov19, Altamash, Khan, altamashk528, sushegadgoan, Kritin3006, Arielle, bombaykibaat]"
8,That's no mystery atop the Class 2A girls basketball rankings,Extremely Positive,30,"['losses', 'losses', 'lost', 'lost']",[],"[Maddyn, Greenway, Addi, Mack]"
9,Areas of fog Sunday AM; Winter storm update for Monday-Tuesday,Generally Neutral,450,"['dense', 'freezing', 'freezing', 'issue', 'freezing', 'freezing', 'freezing', 'URGENT', 'Falls', 'difficult', 'impossible', 'hazardous', 'URGENT', 'hazardous', 'URGENT', 'Falls', 'Falls', 'difficult', 'hazardous', 'URGENT', 'difficult', 'hazardous', 'drought', 'steep', 'drought', 'fall', 'drought', 'worse', 'Falls', 'breaking', 'Stormy', 'Damaging', 'severe', 'damaged', 'fell', 'intense', 'damaged', 'deadly', 'brutally', 'cold', 'impossible']",['killed'],"[MixDouglas, HutchinsonTurnerBon, CarverScottDakotaLe, EarthWaseca, SteeleMartinFaribaultFreeborn]"
10,"Milder weekend temps, areas of fog and a flurry/drizzle chance; Update on Monday's storm ",Generally Neutral,390,"['freezing', 'chill', 'freezing', 'URGENT', 'Falls', 'difficult', 'impossible', 'hazardous', 'URGENT', 'hazardous', 'URGENT', 'Falls', 'Falls', 'hazardous', 'URGENT', 'hazardous', 'drought', 'steep', 'drought', 'fall', 'drought', 'worse', 'Falls', 'breaking', 'Stormy', 'Damaging', 'severe', 'damaged', 'fell', 'intense', 'damaged', 'deadly', 'brutally', 'cold', 'impossible']",['killed'],"[MixDouglas, HutchinsonTurnerBon]"
11,Basketball state rankings are lightly adjusted ... for now,Somewhat Positive,20,"['fell', 'loss', 'loss']",[],[]
12,No Headline,Extremely Negative,460,"['fall', 'dangerous', 'risk', 'warned', 'cold', 'difficult', 'Bitter', 'cold', 'dangerous', 'fall', 'dangerous', 'unprepared', 'risk', 'warned', 'difficult', 'concern', 'hazard', 'Warning', 'Warning', 'Chill', 'Chill', 'Chill']",[],"[Martin, Watonwan, Steele, Douglas, Todd, Benton, Pierce, Burnett, Douglas, Price, Floyd, Howard, Mitchell, Winneshiek, Allamakee, Clayton, Adair, Audobon, Adams, Calhoun, Boone, Dallas, Crawford, Emmet, Guthrie, Greene, Hamilton, Bremer, Black, Hawk, Clarke, Butler, Davis, Grundy, Lucas, 'harassment']"
13,"
India Biscuit Market Outlook Report 2022-2027: Focus on Sweet Biscuit, Savory Crackers, Wafers, Functional/Energetic Biscuits - ResearchAndMarkets.com
",Extremely Positive,60,"['panic', 'Limited', 'LIMITED', 'Limited', 'Limited', 'Limited', 'Rigid']",[],[]
14,No Headline,Extremely Negative,490,"['Intense', 'Severe', 'intense', 'intense', 'difficult', 'impossible', 'freezing', 'severe', 'Intense', 'Falls', 'slow', 'hazardous', 'warned', 'fall', 'freezing', 'Warning', 'Fall', 'lack', 'Moody', 'Warning']",['Hooker'],"['harassment', Todd, Tripp, Stanley, Hand, Hughes, Hyde, Lyman, Jones, Hanson, Douglas, Charles, Mix, Turner, Hutchinson, Clark, Deuel, Wright, Stearns, Dakota, McLeod, Scott, Lincoln, Burnett, Douglas, Price, Thurston, Burt, Colfax, Stanton, Buffalo, Dawson, Hamilton, Hall, Gosper, Nance, Merrick, Howard, Valley, Polk, Sherman, Phelps, Thomas, Keya, Boyd, Grant, Sheridan, Rock, Grant, Holt, Garfield, Wheeler, Custer, Loup, Hayes, Perkins, Chase, Keith, Logan]"
