Article,Title,Description,URL,Content
0,Marilyn Manson sexual assault lawsuit dismissed without prejudice,"A California court has dismissed Ashley Morgan Smithline’s lawsuit alleging sexual assault against the rock star, after her legal counsel withdrew A 2021 lawsuit from model Ashley Morgan Smithline accusing Marilyn Manson of sexual assault, sexual battery, unl…",https://www.theguardian.com/music/2023/jan/05/marilyn-manson-sexual-assault-lawsuit-dismissed-without-prejudice,A 2021 lawsuit from model Ashley Morgan Smithline accusing Marilyn Manson of sexual assault sexual battery unlawful imprisonment and more has been dismissed by a California court. As the Los Angeles Times and Pitchfork report the decision was made after Smithline failed to find new representation when her legal counsel withdrew from the case in October. The lawsuit was dismissed without prejudice meaning Smithline can refile the case if she finds new representation or chooses to represent herself. The allegations in Smithlines lawsuit arent the only such accusations Manson real name Brian Warner has faced in recent years. The 54yearold rock musician is currently the subject of a lawsuit from actress Esm Bianco that alleges he sexually assaulted her in May a lawsuit from Mansons former assistant Ashley Walters accusing him of sexual assault and harassment was dismissed due to the claims falling outside Californias statute of limitations. In 2021 one of Mansons exgirlfriends sued Manson alleging he had raped her and tried to kill her the lawsuit was dismissed for falling outside the statute of limitations but was refiled shortly after. In a statement to Pitchfork Mansons lawyer Howard King said We thank and commend Ashley Smithline for dismissing her claims against Brian Warner without seeking or receiving anything in return. Ms Smithline has refused to be manipulated by others who are trying to pursue their own agendas against Mr Warner. We wish her well and will continue to work to assure that a significant price will be paid by those who have tried to abuse our legal system. All four lawsuits against Manson were filed after actress Evan Rachel Wood Mansons former partner came forward with allegations of abuse against the musician in early 2021. Manson started grooming me when I was a teenager and horrifically abused me for years she said at the time. I was brainwashed and manipulated into submission. Wood further detailed her allegations in the documentary Phoenix Rising Manson is currently suing her for defamation.
1,"Ice Spice, Popcaan, Skrillex, and More: This Week’s Pitchfork Selects Playlist","Our weekly playlist highlights songs that our writers, editors, and contributors are listening to on repeat",https://pitchfork.com/news/ice-spice-popcaan-skrillex-this-week-pitchfork-selects/,The staff of Pitchfork listens to a lot of new music. A lot of it. On any given day our writers editors and contributors go through an imposing number of new releases giving recommendations to each other and discovering new favorites along the way. Each Monday with our Pitchfork Selects playlist were sharing what our writers are playing obsessively and highlighting some of the Pitchfork staffs favorite new music. The playlist is a grabbag of tracks Its only guiding principle is that these are the songs youd gladly send to a friend. This weeks Pitchfork Selects playlist features Ice Spice Frankie Rose Angel Dior and more. Listen below and follow our playlists on Apple Music and Spotify. Pitchfork earns a commission from purchases made through affiliate links on our site. Ice Spice In Ha Mood Popcaan Drake We Caa Done Memphis LK Coffee Skrillex Fred Again Flowdan Rumble Frankie Rose Anything Robinsito RD Kitipo Po Angel Dior A I O Stepz Fizzler Pacman
2,Ditching noncompete clauses would be a win for workers' rights and employees in low-wage jobs,"In practice, noncompete agreements force many low-wage workers to stay at jobs when they might want to leave for better opportunities.",https://www.businessinsider.com/noncompete-clauses-ban-low-wage-workers-equity-fair-ftc-2023-1,Ditching noncompete clauses would be a win for workers rights and employees in lowwage jobs The Federal Trade Commission proposed a rule that would ban noncompete clauses. Noncompetes prevent some workers in lowwage jobs from leaving for better opportunities. One way to tell how much an employer cares about treating everyday workers fairly isnt by what it says its by whether the company makes lowwage workers sign noncompete agreements. In theory noncompetes are meant to protect a company from having a highlevel executive with inside info jump to a competitor or start a rival shop. But in practice things are a lot murkier. The Federal Trade Commission is now challenging the longstanding practice saying the 109year law is exploitative and unfair. If the FTC succeeds in banning noncompete clauses it can be an important win for lowwage workers and a pivotal moment in the push for workplace equity advocates for the change say. The proposed rule could in effect force more companies to offer up what they boast about in job listings fair working conditions and competitive pay. Jimmy ODonnell a former researcher with the Economic Innovation Group a bipartisan publicpolicyresearch organization said that noncompetes strip workers of their autonomy. Banning the use of noncompete agreements would go a long way in raising wages for workers and empowering more wouldbe entrepreneurs to start new companies he wrote in a 2021 blog post. Many lowwage workers are forced to abide by noncompetes Critics point out that many workers subject to noncompete language arent highprofile executives whove amassed trade secrets theyre average workers. In 2015 The Verge reported on Amazons use of noncompete agreements for warehouse workers. After criticism the retail giant removed the clause from contracts for US hourly workers news outlets including The Guardian reported. The next year Jimmy Johns a sandwich chain dropped its use of noncompetes after a settlement. And in 2017 an employee at a McDonalds franchise sued her employer over such rules. Noncompetes are being used systematically even for workers who have no access to trade secrets or less than a college education Evan Starr an assistant professor at the University of Maryland told The Baltimore Sun in 2017. Charlotte Garden a law professor at the Seattle University School of Law told The Verge that employers knew they could prey on people with limited power to negotiate their employment terms. When you have a morevulnerable workforce applying for jobs Garden said theyre not going to attempt to negotiate the terms of the contract theyre handed. That lowers wages for all workers the FTC said. One of the key ways workers get raises in our economy is they change jobs Heidi Shierholz the Economic Policy Institutes policy director told CBS in 2019. If you take away that avenue it hurts wage growth. Noncompetes cost workers almost 300 billion a year in lost income by preventing people from taking their skills to another employer for more money or better conditions the FTC said. There are other ways employers can protect their secrets There are alternatives to noncompetes that can shield employers from losing important intellectual property when a skilled employee leaves for a competitor or to start a company. Businesses can have employees sign nonsolicitation agreements that prevent workers from wooing colleagues or customers to take them to a competing company. Bosses can also have employees sign nondisclosure agreements relating to trade secrets a lawyer at the firm Morgan Westfield noted. Paul Constant an editor at Civic Ventures a progressive advocacy group and a cohost of the Pitchfork Economics podcast wrote an oped challenging the fairness of noncompetes in 2021. Noncompete agreements help artificially stifle competition in the labor market allowing employers to keep wages low by limiting workers employment options Constant wrote. They eliminate the only real leverage American employees have left the threat that they can leave and find work somewhere else for better pay benefits and workplace standards. SMBs can easily upskill their workforce using this effective learning management solution Device deployment hits 1 million for two straight quarters How Paytm Soundbox is fuelling growth Jack Ma the billionaire founder of Alibaba who disappeared from public view in 2020 appears to resurface in Thailand as he prepares to give up control of his company Amazon Great Republic Day Sale best deals on phones iPhone 13 OnePlus Nord 2T 5G Redmi A1 and more Wipro sees FY23 revenue growth at 11. 512 Q3 profit growth beats analyst expectations Rupee falls 4 paise to close at 81. 34 against US dollar 13th Gen Intel Core i913900KS brings unprecedented speed to desktop users Credit expansion will taper down next year if deposits growth doesnt rise Axis Bank MD
3,"4 New Albums You Should Listen to Now: MIKE, Weezer, and More","Stream new releases from MIKE, Weezer, Hildur Guðnadóttir, and Sauce Walka",https://pitchfork.com/news/new-albums-you-should-listen-to-now-12-23-2022/,With so much good music being released all the time it can be hard to determine what to listen to first. Every week Pitchfork offers a rundown of significant new releases available on streaming services. This weeks batch includes new albums and EPs from MIKE Weezer Hildur Gunadttir and Sauce Walka. Subscribe to Pitchforks New Music Friday newsletter to get our recommendations in your inbox every week. All releases featured here are independently selected by our editors. When you buy something through our affiliate links however Pitchfork earns an affiliate commission. MIKE Beware of the Monkey 10k Beware of the Monkey takes its name from the Chinese calendar and a horoscope that MIKE interpreted as a warning about the future. The followup to last years wonderful Disco was led by the singles Nuthin I Can Do Is Wrng What Do I Do and Stop Worry featuring the dancehall legend Sister Nancy. Additional guests on the album include longtime MIKE collaborators Jadasea and King Carter. Listen on Apple Music Listen on Spotify Listen on Tidal Listen on Amazon Music ListenBuy at Bandcamp Weezer Sznz Winter EP CrushAtlantic With each new season in 2022 Weezer have released an EP. Following Spring Summer and Autumn there is now Sznz Winter. Upon the EPs release on the winter solstice Weezer released the music video for Dark Enough to See the Stars. Listen on Apple Music Listen on Spotify Listen on Tidal Listen on Amazon Music
4,Universal Music Group Sues Triller Over Unpaid License Fees,UMG alleges that the video app has missed payments for the past nine months,https://pitchfork.com/news/universal-music-group-sues-triller-over-unpaid-license-fees/,Universal Music Group UMG has filed a lawsuit against video app Triller over unpaid license fees Variety reports and Pitchfork can confirm. The complaint which was filed in a Los Angeles court alleges that Triller has missed payments for the past nine months thereby violating its licensing agreement with the publishing giant. According to documents viewed by Variety Triller has failed to produce three installments of the payment plan outlined in its contract. The complaint states that the videosharing app agreed to pay nearly 3 million for licensing and past use of the UMG catalog over a period of two years with payments required on a quarterly basis. UMG is also alleging that Triller agreed to pay 1 million for use of its catalog by thirdparty advertisers or in promotional contentbut only three of the required six quarterly payments have been made. In lieu of these payments Triller has allegedly made written and oral promises to heed the agreement. UMG claims it has notified Triller that it is terminating its agreement as a result of these alleged breaches of contract. When reached for comment a Triller spokesperson offered the following statement to Pitchfork UMG and Triller have had their differences in the past in 2021 UMG pulled its catalog from the app claiming that Triller shamefully withheld payments owed to our artists. A Triller spokesperson denied the allegation telling Pitchfork that they categorically deny that Triller had withheld any artist payments. Within months the two companies resolved the matter and announced their licensing deal. Last year Sony Music Entertainment withdrew the rights to its catalog from Triller claiming the company owed millions in royalty payments. The company subsequently sued the app for copyright infringement and breach of contract stating that Triller failed to honor its licensing agreements termination. At the time a representative for Triller told Pitchfork that the complaint grossly mischaracterizes its relationship with Sony and leans into the bully persona large music labels are often criticized for. In August of 2022 Swizz Beatz and Timbaland filed a lawsuit against Triller claiming the company still owed them 28 million after buying Verzuz. The suit was settled the following month. Pitchfork has reached out to UMG for further information and comment.
5,Taylor Swift Fans File Second Lawsuit Against Ticketmaster Over Eras Tour Debacle,"The federal class action lawsuit alleges that the ticketing company engaged in fraud, price fixing, anticompetitive behavior, “intentional misrepresentation,” and more",https://pitchfork.com/news/taylor-swift-fans-file-second-lawsuit-against-ticketmaster-over-eras-tour-debacle/,Another group of Taylor Swift fans is suing Ticketmaster in the aftermath of the recent Eras Tour ticketing debacle Rolling Stone reports and Pitchfork can confirm. Earlier this month fans filed a lawsuit alleging that the ticketing company engaged in fraud pricefixing and antitrust violations and now a second lawsuit obtained by Pitchfork has been filed. In the latter federal class action lawsuit which was filed on Tuesday December 20 the group alleges that Ticketmaster violated antitrust laws and participated in anticompetitive and misleading conduct. Ticketmaster intentionally and purposefully misled millions of fans into believing it would prevent bots and scalpers from participating in the presales the lawsuit says. However millions of fans were unable to purchase tickets during the TaylorSwiftTix Presale and the Capital One Presale due in large part to unprecedented website traffic caused by Ticketmaster allowing 14 million unverified Ticketmaster users and a staggering number of bots to participate in the presales. In addition to the antitrust violations the 26 plaintiffs also allege that Ticketmaster and its parent company Live Nation Entertainment Inc. engaged in fraud price fixing false advertising and intentional misrepresentation among other allegations. By allowing primary ticket purchasers to resell tickets during the TaylorSwiftTix Presale Ticketmaster represented that these tickets were being sold according to the face value prices negotiated by Taylor Swift Management when they were not the lawsuit reads. Plaintiffs are seeking a civil fine of 2500 per violation in addition to coverage of the costs of attorneys fees and other legal fees. Following the previous lawsuit Ticketmaster took to social media to address the incident. We want to apologize to Taylor and all of her fansespecially those who had a terrible experience trying to purchase tickets the company tweeted. We feel we owe it to everyone to share some information to help explain what happened. The statement included a link to a page on its website which explained the circumstances that led to the cancellation. The United States Department of Justice has also taken interest in Ticketmasters alleged anticompetitive behavior. In November The New York Times reported that an antitrust investigation had been opened and is focused on whether Live Nation Entertainment has abused its power over the multibilliondollar live music industry. The decision to open the investigation precedes the Eras Tour presale.
6,Marilyn Manson Sexual Assault Lawsuit Dismissed,Ashley Morgan Smithline claimed that Manson abused her several times from 2010 to 2013,https://pitchfork.com/news/marilyn-manson-sexual-assault-lawsuit-dismissed/,Note This article contains descriptions of alleged sexual assault and sexual battery. A California court has dismissed without prejudice a 2021 lawsuit accusing Brian Warneralso known as Marilyn Mansonof sexual assault as the Los Angeles Times reports and Pitchfork can confirm. Model and entertainer Ashley Morgan Smithline sued the musician for sexual assault sexual battery intentional infliction of emotional distress unlawful imprisonment and more. Manson has denied the allegations. In October Jay Ellwanger withdrew as Smithlines attorney she did not meet a deadline by December to acquire new representation or represent herself leading to the courts most recent decision. Smithline is able to refile the case with new representation. We thank and commend Ashley Smithline for dismissing her claims against Brian Warner without seeking or receiving anything in return Howard King Mansons attorney wrote in a statement provided to Pitchfork. Ms. Smithline has refused to be manipulated by others who are trying to pursue their own agendas against Mr. Warner. We wish her well and will continue to work to assure that a significant price will be paid by those who have tried to abuse our legal system. Manson is currently facing a federal lawsuit from actress Esm Bianco who accused the musician of sexual assault and sexual battery. Manson is also suing Evan Rachel Wood for defamation a reaction to her publicly naming him as her abuser in early 2021 and detailing her experiences in the documentary Phoenix Rising. In May the Los Angeles Superior Court dismissed another lawsuit filed by a woman who had worked as Mansons assistant accusing him of sexual assault battery and harassment. Judge Michael Stern ruled that the claim could not proceed because alleged incidents happened beyond the states twoyear statute of limitations. Detectives with the Los Angeles County Sheriffs Departments Special Victims Bureau spent 19 months investigating sexual assault allegations against Manson and the unit submitted the case to the Los Angeles County district attorneys office for review and complaint filing consideration in September. If you or someone you know has been affected by sexual assault we encourage you to reach out for support RAINN National Sexual Assault Hotline httpwww. rainn. org 1 800 656 HOPE 4673 Crisis Text Line SMS Text HELLO or HOLA to 741741
7,Multiple People Shot and Injured During French Montana Video Shoot in Miami,10 people were reportedly injured during a shooting outside of a restaurant where Montana was filming,https://pitchfork.com/news/multiple-people-shot-and-injured-during-french-montana-video-shoot-in-miami/,Multiple people were shot and injured on Thursday night January 5 during an apparent video shoot for French Montana local outlets NBC 6 and CBS 4 report. According to the reports the inciting altercation had started in a different location and ended with the shooting in the parking lot of a restaurant called the Licking where Montana had been filming. In a statement to CNN the Licking said We were not aware of a video being filmed and found out last minute French Montana was shooting a scene in the back parking lot. We have no idea what actually took place. The Licking restaurant has nothing to do with the incident and has given police the necessary footage requested. According to a statement from Miami Dade Fire Rescue 10 people were injured in the shooting and taken to the hospital. Pitchfork has reached out to the Miami Gardens Police Department for comment and more information. On Friday French Montana shared a brief statement via Twitter
8,"King Krule, Jadasea, and Pretty V Share New EP as Aqrxvst: Listen",The three-track release Aqrxvst Is The Band’s Name was recorded last year,https://pitchfork.com/news/king-krule-jadasea-and-pretty-v-share-new-ep-as-aqrxvst-listen/,Archy Marshall aka King Krule UK rapper Jadasea and Pretty V have shared a new EP as Aqrxvst. The threetrack project Aqrxvst Is the Bands Name was recorded last yearits the new groups debut release. Check it out below. In November Marshall shared a remix of Nilfer Yanyas Midnight Sun. He dropped the live King Krule album You Heat Me Up You Cool Me Down in 2021 it would be released as a film later that fall. In 2019 Marshall produced Jadaseas HalfLife EP under the producer moniker Edgar the Beatmaker.
9,New Book Touring and Mental Health: The Music Industry Manual Coming in March,"Tamsin Embleton’s compendium features input from Nile Rodgers, Four Tet’s Kieran Hebden, Radiohead’s Philip Selway, and more",https://pitchfork.com/news/new-book-touring-and-mental-health-the-music-industry-manual-coming-in-march/,Touring and Mental Health The Music Industry Manual an indepth guide edited by Londonbased psychotherapist and former booker Tamsin Embleton has gotten an official release date. The 600pluspage book collects insights from therapists artists performance coaches psychologists and other specialized health and wellness experts. It arrives on March 23 via Omnibus Press. In addition to her work as a therapist and writer Embleton cofounded the Music Industry Therapist Collective. She was inspired to start pursuing psychotherapy from her own experience working in the music industry. Nile Rodgers Four Tets Kieran Hebden and Radioheads Philip Selway are all among those interviewed in Touring and Mental Health. Read Pitchforks feature Confronting Musics Mental Health Crisis. All products featured on Pitchfork are independently selected by our editors. However when you buy something through our retail links we may earn an affiliate commission.
