Article,Title,Description,URL,Content,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"Disney stock has plunged 45% this year, putting it on track for its worst performance in nearly 5 decades","The entertainment titan has been hit by pandemic disruptions, management issues, worries about its streaming losses, and the wider market downturn.",https://markets.businessinsider.com/news/stocks/disney-stock-price-decline-bob-iger-pandemic-inflation-recession-streaming-2022-12,Disney stock is down 45 this year and on track for its worst annual performance since 1974. The shares have been hit by pandemic disruptions management issues and the wider market downturn. The media giants shares are trading close to an eightyear low. Disney stock has plunged 45 this year leaving it poised to deliver its worst annual performance in nearly five decades as a profusion of challenges continues to bedevil the media giant. Shares of Disney closed almost 5 lower Monday after the longawaited Avatar The Way of Water had a disappointing opening weekend in movie theaters. They rallied as much as 2 on Tuesday. The stock is now trading at 2014 levels on a splitadjusted basis and remains on track for its largest yearly decline since 1974 according to CNBC. The painful selloff has erased about 200 billion from Disneys market capitalization since March 2021. Disneys business stretches from blockbuster movies to TV shows cable channels theme parks resorts cruises retail stores video games and streaming entertainment. Unsurprisingly it was hit hard by the travel restrictions production disruptions and closures of cinemas stores and entertainment venues seen during the COVID19 pandemic. While most of its operations have now reopened they havent fully recovered yet. One bright spot has been Disney Plus which has grown its paid subscribers from about 27 million at the end of 2019 to 164 million as of October 1. Yet investors have balked at the streaming services rising costs which fueled a hefty 1. 5 billion operating loss in Disneys streaming division last quarter. Disney stock has also been caught up in a wider market downturn. Inflation has surged to 40year highs this year spurring the Federal Reserve to hike interest rates from virtually zero in March to over 4 today in a bid to slow the pace of price increases. However rising prices and borrowing costs are squeezing consumers and businesses. Theyre also dragging down asset prices and fanning fears of a recession and slump in company earnings next year. The entertainment titan weathered some bad publicity during Bob Chapeks tenure as CEO. However Bob Iger who masterminded Disneys acquisitions of Marvel Pixar and Lucasfilm took back the companys reins in November sparking an uplift in its stock price and revitalizing investors hopes of a turnaround. Read more Bank of America Buy these 21 toprated stocks that have been oversold in 2022 and are poised for outsize moves in 2023,NASA is funding ideas for a Titan seaplane and faster deep space travel,Somewhat Positive,0,[],[],"[Artur, Davoyan, Mary, Knapp, Congrui, Jin, Peter, Curreri]"
2,Zom 100 Makes the Zombie Apocalypse Into an Office Worker's Godsend,"Over the years, there’ve been so many zombie shows and films that new additions to the undead canon need some a pretty good hook to stand out from the crowd. How do you make the undead feel fresh and fun in today’s market? According to Zom 100: Bucket List of…",https://gizmodo.com/zom-100-bucket-list-of-dead-anime-trailer-1849961873,Over the years thereve been so many zombie shows and films that new additions to the undead canon need some a pretty good hook to stand out from the crowd. How do you make the undead feel fresh and fun in todays market According to Zom 100 Bucket List of the Dead you use them as an excuse to quit your job. The new anime from production company Bug Films Komi Cant Communicate and director Kazuki Kawagoe Beyblade Komi Cant Communicate is set in a city beset by a zombie apocalypse that seems to have no way of being stopped. For most people that would be when you either try to flee or become a helpless victim but for office worker Akira Tendo this is just the right time to get out of his dead end office job. Instead of fretting over bills and hating himself for not having the courage to ask out his coworker Akira decides to say YOLO and accomplish all 100 items on his bucket list before he inevitably becomes zombie chow or a casualty of the militarys efforts against the horde. Zom 100 is based on a manga of the same name by Haro Aso Alice in Borderland and Kotaro Takata. Since its debut in 2018 the Zom 100 manga has received a solid critical reception and was nominated for an Eisner in 2022. Along with the anime Netflix is behind a liveaction adaptation of the film to be directed by Yusuke Ishida Shin Godzilla Attack on Titan. Thats also expected to drop this year though the streamer hasnt announced a release date for it yet. Meanwhile the anime version of Zom 100 Bucket List of the Dead will be releasing its first season on Hulu starting in July. Peep the first poster down below. Want more io9 news Check out when to expect the latest Marvel Star Wars and Star Trek releases whats next for the DC Universe on film and TV and everything you need to know about the future of Doctor Who.,"Disney stock has plunged 45% this year, putting it on track for its worst performance in nearly 5 decades",Extremely Negative,360,"['worst', 'issues', 'downturn', 'worst', 'disappointing', 'decline', 'painful', 'hard', 'hefty', 'loss', 'downturn', 'slow', 'dragging', 'fears', 'recession', 'slump', 'bad']",[],"[Bob, Chapeks, Bob, Iger]"
3,Morgan Stanley COO Jon Pruzan to retire - Reuters,"Morgan Stanley Chief Operating Officer Jon Pruzan will retire from the bank at the end of the month, according to a memo seen by Reuters.",https://www.reuters.com/business/finance/morgan-stanley-coo-jon-pruzan-retire-2023-01-09/,Morgan Stanley COO Jon Pruzan to retire Jan 9 Reuters Morgan Stanley Chief Operating Officer Jon Pruzan will retire from the bank at the end of the month according to a memo seen by Reuters. Formerly the finance chief at the Wall Street titan Pruzan was made COO as part of a leadership shakeup in mid2021 which resulted in four new appointments. At the time the banks chief executive James Gorman said he was highly confident one of the four would be the banks CEO in the future. Investors have long been speculating about who would succeed Gorman who joined the bank in 2006 and took over as CEO in 2010. With Pruzan gone the list of potential successors to Gorman include copresidents Ted Pick and Andy Saperstein and investment management chief Dan Simkowitz. The contents of the memo were confirmed by a spokesperson for the bank. Bloomberg News first reported Pruzans exit. This story has been corrected to change first name of Morgan Stanley CEO to James from Jamie in paragraph 3 Our Standards The Thomson Reuters Trust Principles.,Zom 100 Makes the Zombie Apocalypse Into an Office Worker's Godsend,Extremely Positive,190,"['zombie', 'Dead', 'excuse', 'Bug', 'beset', 'zombie', 'helpless', 'dead', 'hating', 'inevitably', 'zombie', 'casualty', 'horde', 'critical', 'Dead']",['apocalypse'],"[Kazuki, Kawagoe, Beyblade, Komi, Ca, nt, Communicate, Akira, Tendo, Akira, Haro, Aso, Kotaro, Takata, Yusuke, Ishida, Shin]"
4,MSI might have the ultimate mini-LED laptop display at CES 2023,"MSI showed off its next-gen GT77 Titan before CES 2023, which is fitted with a 4K mini-LED display that's certified for DisplayHDR 1000.",https://www.digitaltrends.com/computing/msi-titan-gt77-mini-led-4k-display-ces-2023/,MSI is taking laptop displays to a new level at CES 2023 and it might have the sector cornered for a while. Ahead of CES MSI announced the updated Titan GT77 HX which comes with the first miniLED 4K 144Hz display in a laptop and it boasts some insane specs. If a 4K miniLED laptop display at 144Hz isnt enough the screen also comes with VESAs DisplayHDR 1000 certification. That means it can reach 1000 nits of peak brightness. MSI also says it comes with a 10000001 contrast ratio which is on the level of screens like the Alienware 34 QDOLED and in a laptop at that. MSI says it has an exclusive partnership with AUO and its AmLED display tech which means the Titan GT77 HX might be the only laptop with this display for a while. Its possible well see more laptops with it soon but MSI seems content that the Titan GT77 will be the first laptop with this screen. The exclusive AmLED Adaptive Control Technology is what allows the GT77 Titan to reach such impressive specs. This is a form of local dimming that allows the display to dynamically adjust to images onscreen in real time. In total the GT77 Titan includes 1008 local dimming zones which is close to highend monitors like the Samsung Odyssey Neo G8. HDR performance could be off the charts but MSI didnt forget about color. The company says the laptop covers 100 of the DCIP3 color space and its verified by MSIs True Color certification. That means its examined before assembly to ensure color accuracy. Although we dont have concrete specs yet we expect the Titan GT77 should have topend chips from Intel and Nvidia read last years MSI GT77 Titan review for context. We also expect MSI OverBoost which supplies the GPU and CPU with up to 250 watts of power as well as a multiplexer MUX switch on board allowing you to swap to only discrete graphics for full power or only to integrated graphics for increased battery life. Just like last years model we also anticipate the same mechanical keyboard that MSI codeveloped with Cherry as well as MSIs Mystic Light bar at the back of the machine which you can control with SteelSeries GG software along with the keyboard. Editors Recommendations Apples anticipated MacBook Pros may have been delayed yet again Heres what kind of gaming laptop 1000 will buy you this year 3 reasons why you should buy a gaming laptop in 2023 We now know the eyewatering price of Nvidias RTX 4090 gaming laptops Why the MacBook Pro is the perfect gaming laptop for me,Morgan Stanley COO Jon Pruzan to retire,Extremely Negative,190,[],[],"[Jon, Pruzan, Jon, Pruzan, Pruzan, James, Gorman, Gorman, Pruzan, Gorman, Ted, Pick, Andy, Saperstein, Dan, Simkowitz, Pruzans, James, Jamie]"
5,Goldman staff brace as global jobs cull begins - Reuters,"Staff at Goldman Sachs <a href=""https://www.reuters.com/companies/GS.N"" target=""_blank"">(GS.N)</a> are bracing for news on whether they will keep their jobs on Wednesday, as the U.S. investment bank begins a sweeping cost-cutting drive that could see its 49,0…",https://www.reuters.com/business/finance/goldman-staff-brace-global-jobs-cull-begins-2023-01-11/,Goldman staff brace as global jobs cull begins LONDONHONG KONG Jan 11 Reuters Staff at Goldman Sachs GS. N are bracing for news on whether they will keep their jobs on Wednesday as the U. S. investment bank begins a sweeping costcutting drive that could see its 49000strong global workforce shrink by thousands. The longanticipated jobs cull at the Wall Street titan expected to represent the biggest contraction in headcount since the financial crisis is likely to affect most of the banks major divisions with its underfire investment banking arm facing the deepest cuts a source told Reuters this month. Just over 3000 employees will be let go the source who could not be named said on Jan. 9. The cuts began in Asia on Wednesday where Goldman completed cutting back its private wealth management unit and let go 11 private bank staff in its Hong Kong and Singapore offices a source with knowledge of the matter said. About 8 staff were also laid off in Goldmans research department in Hong Kong the source added with layoffs ongoing in the investment bank and other divisions. Goldmans redundancy plans will be followed by a broader spending review taking in corporate travel and expenses the Financial Times reported on Wednesday as it counts the costs of a massive slowdown in corporate dealmaking and a slump in capital markets activity since the war in Ukraine. Goldman Sachs declined to comment. Goldman had 49100 employees at the end of the third quarter after adding significant numbers of staff during the coronavirus pandemic. The lender is also slashing its annual bonus payments this year to reflect the depressed market conditions with payouts expected to fall about 40. Global investment banking fees nearly halved in 2022 with 77 billion earned by the banks down from 132. 3 billion one year earlier Dealogic data showed. Banks struck 517 billion worth of equity capital markets ECM transactions by late December 2022 the lowest level since the early 2000s and a 66 drop from 2021s bonanza according to Dealogic. Our Standards The Thomson Reuters Trust Principles.,"
		MSI might have the ultimate mini-LED laptop display at CES 2023	",Generally Neutral,20,"['insane', 'delayed']",[],[]
6,Indian shares set to open higher to track Asia; Q3 results eyed - Reuters.com,"Indian shares were poised to open higher on Monday, aided by a broad risk-on sentiment after U.S. data hinted at less aggressive rate hikes, with investors turning focus on corporate health as earnings season kicks off.",https://www.reuters.com/world/india/indian-shares-set-open-higher-track-asia-q3-results-eyed-2023-01-09/,Indian shares end higher tracking broad gains Q3 results eyed BENGALURU Jan 9 Reuters Indian shares settled higher on Monday driven by broadbased gains for risky assets across regions after U. S. data hinted at less aggressive rate hikes and on hopes for global growth as China reopened its borders. Later in the day investors will turn their focus to corporate health as IT major Tata Consultancy Services TCS. NS kicks off the domestic earnings season. Fortyfour of 50 stocks on the Nifty 50. NSEI posted gains helping the benchmark index end 1. 35 higher to 18101. 20. The 30member SP BSE Sensex. BSESN settled 1. 41 up at 60747. 31. Both indexes posted their biggest intraday gains in nearly two months after logging a weekly loss of over 1 each in the first week of 2023. Overnight gains on Wall Street on Friday helped the sentiment after U. S. payrolls expanded more than expected. This came even as wage increases slowed easing worries about the Federal Reserves future rate hike decisions. As of now the tone is likely to remain that of consolidation for the key indexes said Ajit Mishra VP technical research at Religare Broking. The bias will be slightly on the negative side until we see a decisive trend with the earnings season especially the U. S. for gains to sustain. The MSCIs broadest index of AsiaPacific shares outside Japan. MIAPJ0000PUS hit a fivemonth high while European shares extended gains. In domestic trading IT. NIFTYIT advanced 2. 83 making it the bestperforming sector among the other 13 major Nifty sectoral indexes. The quarterly earnings reports of top IT firms Infosys INFY. NS HCL Tech HCLT. NS and Wipro WIPR. NS are due later this week. Metals. NIFTYMET rose 1. 43 on hopes of demand recovery after top metals consumer China reopened its borders. TCS was 3. 4 up ahead of its results while Titan TITN. NS was the top loser on the Nifty 50 falling 2. 1 after the jewellery maker reported quarterly sales growth below expectations. 1 82. 2700 Indian rupees Our Standards The Thomson Reuters Trust Principles.,Goldman staff brace as global jobs cull begins,Extremely Positive,120,"['crisis', 'laid', 'redundancy', 'slump', 'slashing', 'depressed', 'fall', 'struck']",[],['harassment']
7,"Goldman job cuts begin with investment banking, global markets hit ... - Reuters","Goldman Sachs <a href=""https://www.reuters.com/companies/GS.N"" target=""_blank"">(GS.N)</a> began laying off staff on Wednesday in a sweeping cost-cutting drive, with around a third of those affected coming from the investment banking and global markets divisio…",https://www.reuters.com/business/finance/goldman-job-cuts-begin-with-investment-banking-global-markets-hit-hard-source-2023-01-11/,Goldman job cuts hit investment banking global markets hard source Summary Companies Mass redundancies spending review beckons for Wall Street giant Cuts to all major divisions expected globally Restructuring in Asian wealth unit kicks off Wednesdays layoffs NEW YORKLONDONHONG KONG Jan 12 Reuters Goldman Sachs GS. N began laying off staff on Wednesday in a sweeping costcutting drive with around a third of those affected coming from the investment banking and global markets division a source familiar with the matter said. The longexpected jobs cull at the Wall Street titan is expected to represent the biggest contraction in headcount since the financial crisis. It is likely to affect most of the banks major divisions with its investment banking arm facing the deepest cuts a source told Reuters this month. Just over 3000 employees will be let go the source who could not be named said on Monday. A separate source confirmed on Wednesday that cuts had started. We know this is a difficult time for people leaving the firm a Goldman Sachs statement on Wednesday said. Were grateful for all our peoples contributions and were providing support to ease their transitions. Our focus now is to appropriately size the firm for the opportunities ahead of us in a challenging macroeconomic environment. The cuts are part of broader reductions across the banking industry as a possible global recession looms. At least 5000 people are in the process of being cut from various banks. In addition to the 3000 from Goldman Morgan Stanley MS. N has cut about 2 of its workforce or 1600 people a source said last month while HSBC HSBA. L is shedding at least 200 sources previously said. Last year was challenging across groups including credit equities and investment banking broadly said Paul Sorbera president of Wall Street recruitment firm Alliance Consulting. Many didnt make budgets. Its just part of Wall Street Sorbera said. Were used to seeing layoffs. The latest cuts will reduce about 6 of Goldmans headcount which stood at 49100 at the end of the third quarter. The firms headcount had added more than 10000 jobs since the coronavirus pandemic as markets boomed. The reductions come as U. S. banking giants are forecast to report lower profits this week. Goldman Sachs is expected to report a net profit of 2. 16 billion in the fourthquarter according to a mean forecast by analysts on Refinitiv Eikon down 45 from 3. 94 billion net profit in the same period a year earlier. Shares of Goldman Sachs have partially recovered from a 10 fall last year. The stock closed up 1. 99 on Wednesday up around 6 yeartodate. LAYOFFS AROUND GLOBE Goldmans layoffs began in Asia on Wednesday where Goldman completed cutting back its private wealth management business and let go of 16 private banking staff across its Hong Kong Singapore and China offices a source with knowledge of the matter said. About eight staff were also laid off in Goldmans research department in Hong Kong the source added with layoffs ongoing in the investment banking and other divisions. At Goldmans central London hub rainfall lessened the prospect of staff huddles. Several security personnel actively patrolled the buildings entrance but few people were entering or leaving the property. A glimpse into the banks recreational area just beyond its lobby showed a handful of staffers in deep conversation but few signs of drama. Wine bars and eateries local to the office were also short of postlunch trade in stark contrast to largescale layoffs of the past when unlucky staffers would typically gather to console one another and plan their next career moves. In New York employees were seen streaming into headquarters during the morning rush. Goldmans redundancy plans will be followed by a broader spending review of corporate travel and expenses the Financial Times reported on Wednesday as the U. S. bank counts the costs of a massive slowdown in corporate dealmaking and a slump in capital markets activity since the war in Ukraine. The company is also cutting its annual bonus payments this year to reflect depressed market conditions with payouts expected to fall about 40. Our Standards The Thomson Reuters Trust Principles.,Indian shares end higher tracking broad gains; Q3 results eyed,Extremely Positive,80,"['risky', 'aggressive', 'loss', 'slowed', 'worries', 'bias', 'negative', 'loser', 'falling']",[],"[Ajit, Mishra]"
8,'Major Milestone': NASA's Webb Telescope Finds Its First Exoplanet - CNET,The world isn't too far off and nearly the exact same size as Earth.,https://www.cnet.com/science/space/major-milestone-nasa-webb-telescope-finds-its-first-exoplanet/,The James Webb Telescope has been operating for less than a year but Wednesday brought news of the first exoplanet to be confirmed using the nextgeneration space observatory from NASA and the European Space Agency. The rocky Earthlike world named LHS 475 b has almost exactly the same diameter as our planet and is located just 41 lightyears away which is very close on a cosmic scale. The team used Webb to observe the system around red dwarf star LHS 475 after data from NASAs Transiting Exoplanet Survey Satellite TESS hinted there may be a planet circling the small sun. There is no question that the planet is there. Webbs pristine data validate it Jacob LustigYaeger from the Johns Hopkins University Applied Physics Laboratory who helped lead the research said in a statement. With this telescope rocky exoplanets are the new frontier. Theres been lots of excitement among astronomers over Webbs potential for taking a closer look at exoplanets to analyze the composition of their atmospheres which may hint at the potential for habitability and even signs of life. In the case of LHS 475 b however the scientists say they need more data to be able to draw any conclusions on that front. Hubble and James Webb Space Telescope Images Compared See the DifferenceSee all photos There are some terrestrialtype atmospheres that we can rule out LustigYaeger explained. It cant have a thick methanedominated atmosphere similar to that of Saturns moon Titan. Scenarios that havent been ruled out however include a world with no atmosphere or one thats 100 carbon dioxide and either of those options clearly isnt good for the prospect of life as we know it. There are some other pretty serious strikes against the potential habitability of LHS 475 b. While its star isnt nearly as hot as our sun for instance the planet orbits so close in that it completes an orbit in just two days and has temperatures that are likely a few hundred degrees hotter than Earth. Nonetheless the find represents a major milestone for Webb according to team coleader Kevin Stevenson. It is only the first of many discoveries that it will make.,"Goldman job cuts hit investment banking, global markets hard -source",Extremely Negative,630,"['hard', 'crisis', 'difficult', 'challenging', 'recession', 'challenging', 'fall', 'laid', 'stark', 'unlucky', 'redundancy', 'slump', 'depressed', 'fall']",[],"['harassment', Paul, Sorbera, Sorbera, 'harassment', 'harassment', 'harassment', 'harassment', 'harassment']"
9,Microsoft is reportedly in talks to pump in $10 billion into OpenAI — the owner of ChatGPT — valuing the company at $29 billion,"Microsoft is negotiating to receive 75% of OpenAI's profits until it gets it recovers its investment, after which it would own 49% of the startup.",https://www.businessinsider.com/microsoft-talks-invest-billions-openai-chatgpt-owner-report-2023-1,Microsoft is reportedly in talks to pump in 10 billion into OpenAI the owner of ChatGPT valuing the company at 29 billion Microsoft is in talks to invest about 10 billion into OpenAI the startup behind the ChatGPT chatbot per Semafor. The investment would value OpenAI at 29 billion. Its now valued at about 20 billion. Tech giant Microsoft is in talks to invest about 10 billion into OpenAI the owner of the popular ChatGPT chatbot per a Semafor report on Tuesday which cited people familiar with the matter. The investment would value OpenAI at about 29 billion Semafors Liz Hoffman and Reed Albergotti reported. Its now valued at about 20 billion. The deal was targeted to close by the end of 2022 but it isnt clear if it has been finalized yet Semafor reported citing documents sent to prospective investors. The Wall Street Journal reported last Thursday that OpenAI was in talks to sell existing shares of the company in a tender offer that would value the firm at 29 billion. Venture capital firms including Thrive Capital and Founders Funds were in talks to invest at least 300 million in the share sales according to the Journal. As part of the current deal Microsoft is negotiating its proposing to get 75 of OpenAIs profits until it gets it recovers its investment after which Microsofts aims to get 49 stake in the company per the media outlet. Other investors are expected to own another 49 of the company while OpenAIs nonprofit parent would hold the remaining stake per Semafor. Microsoft told Insider it does not comment on speculation. OpenAI did not immediately respond to Insiders request for comment sent outside regular business hours. This would not be the first time Microsofts looking at an investment into OpenAI. The tech titan has already invested 1 billion into OpenAI in 2019. The Information reported in October that Microsoft was looking to increase its investment in the startup. OpenAI an artificial intelligence research lab was cofounded by Y Combinator alum Sam Altman Tesla SpaceX and now Twitter CEO Elon Musk and others in 2015. Sam Altman sama January 4 2023 It has been making waves recently with ChatGPT a platform launched in November as its able to generate written humanlike text. ChatGPT has been so hot Googles management has even issued a code red over the potential rival the The New York Times reported in December. Insider reporter Beatrice Nolan tested out the platform and asked ChatGPT to help her write cover letters for real jobs and recruiters told her they looked good enough for them to follow up. SMBs can easily upskill their workforce using this effective learning management solution Device deployment hits 1 million for two straight quarters How Paytm Soundbox is fuelling growth Jack Ma the billionaire founder of Alibaba who disappeared from public view in 2020 appears to resurface in Thailand as he prepares to give up control of his company Amazon Great Republic Day Sale best deals on phones iPhone 13 OnePlus Nord 2T 5G Redmi A1 and more Wipro sees FY23 revenue growth at 11. 512 Q3 profit growth beats analyst expectations Rupee falls 4 paise to close at 81. 34 against US dollar 13th Gen Intel Core i913900KS brings unprecedented speed to desktop users Credit expansion will taper down next year if deposits growth doesnt rise Axis Bank MD,"NASA's James Webb Telescope Finds Its First Exoplanet, a Major Milestone",Somewhat Positive,20,"['rocky', 'rocky']",[],"[Jacob, LustigYaeger, LustigYaeger, Kevin, Stevenson]"
10,How Big Is The Moon? - Worldatlas.com,"Earth’s moon is the fifth largest moon in the solar system with a diameter of 2,159-miles (3,475-kilometers), making it about 25% the size of Earth.",https://www.worldatlas.com/space/how-big-is-the-moon.html,The moon has a radius of 1080miles 1737kilometers. This means that the moons diameter is 2159miles 3475kilometers across. For comparison the diameter of Earth is 7918miles 12742kilometers. This shows that the moon is approximately a quarter the width of Earth. The moons size impacts specific processes on Earth the most notable of which is the tides. The moons gravitational pull causes the oceans to bulge on either side. As the planet rotates these bulges also rotate causing the rise and fall of seawater. Gravitational force is dictated by the size and distance of objects so if the moon were the size of Marss moons Phobos and Deimos it would not have as strong of a gravitational pull and thus would not affect the tides. Compared To Other Objects in the Solar System It can be hard to visualize just how big celestial bodies are and the moon is no exception. Earths moon is fairly big in comparison to other moons in the solar system but what exactly does that mean The moon orbiting Earth is the fifth largest moon in the solar system. Moons larger than ours include in decreasing order Ganymede Titan Callisto and Io. Even though Earths moon is not the biggest in the solar system it is the largest when compared to the planet it orbits. The moon is also quite a bit bigger than the dwarf planet Pluto which has a radius of 1477miles 2377kilometers. This makes Pluto around 70 the size of Earths moon. Compared to countries on Earth It still might be hard to visualize just how large the moon is when only comparing it to other celestial objects. Comparing the size of our moon to countries and continents on Earth might show more context into its sheer size. The United States of America has a diameter of 2897miles 4662kilometers making it almost the same width as the moon. However having the diameter of the moon only paints a part of the picture. To compare the moons size to the size of countries on Earth the surface area is required. The moons surface area is 14. 6million square miles 38million square kilometers. When compared again to the United States of America the moon has approximately four times as much surface area. This is smaller than the continent of Asia including Russia which boasts a surface area of 17. 2million square miles 44. 6 million square kilometers.,Microsoft is reportedly in talks to pump in $10 billion into OpenAI — the owner of ChatGPT — valuing the company at $29 billion,Extremely Negative,210,"['rival', 'falls']",[],"[Liz, Hoffman, Reed, Albergotti, Sam, Altman, Elon, Musk, Sam, Altman, sama, Beatrice, Nolan, Jack, Ma]"
