Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,NASA is funding ideas for a Titan seaplane and faster deep space travel,Somewhat Positive,0,[],[],"[Artur, Davoyan, Mary, Knapp, Congrui, Jin, Peter, Curreri]"
2,"Disney stock has plunged 45% this year, putting it on track for its worst performance in nearly 5 decades",Extremely Negative,360,"['worst', 'issues', 'downturn', 'worst', 'disappointing', 'decline', 'painful', 'hard', 'hefty', 'loss', 'downturn', 'slow', 'dragging', 'fears', 'recession', 'slump', 'bad']",[],"[Bob, Chapeks, Bob, Iger]"
3,Zom 100 Makes the Zombie Apocalypse Into an Office Worker's Godsend,Extremely Positive,190,"['zombie', 'Dead', 'excuse', 'Bug', 'beset', 'zombie', 'helpless', 'dead', 'hating', 'inevitably', 'zombie', 'casualty', 'horde', 'critical', 'Dead']",['apocalypse'],"[Kazuki, Kawagoe, Beyblade, Komi, Ca, nt, Communicate, Akira, Tendo, Akira, Haro, Aso, Kotaro, Takata, Yusuke, Ishida, Shin]"
4,Morgan Stanley COO Jon Pruzan to retire,Extremely Negative,190,[],[],"[Jon, Pruzan, Jon, Pruzan, Pruzan, James, Gorman, Gorman, Pruzan, Gorman, Ted, Pick, Andy, Saperstein, Dan, Simkowitz, Pruzans, James, Jamie]"
5,"
		MSI might have the ultimate mini-LED laptop display at CES 2023	",Generally Neutral,20,"['insane', 'delayed']",[],[]
6,Goldman staff brace as global jobs cull begins,Extremely Positive,120,"['crisis', 'laid', 'redundancy', 'slump', 'slashing', 'depressed', 'fall', 'struck']",[],['harassment']
7,Indian shares end higher tracking broad gains; Q3 results eyed,Extremely Positive,80,"['risky', 'aggressive', 'loss', 'slowed', 'worries', 'bias', 'negative', 'loser', 'falling']",[],"[Ajit, Mishra]"
8,"Goldman job cuts hit investment banking, global markets hard -source",Extremely Negative,630,"['hard', 'crisis', 'difficult', 'challenging', 'recession', 'challenging', 'fall', 'laid', 'stark', 'unlucky', 'redundancy', 'slump', 'depressed', 'fall']",[],"['harassment', Paul, Sorbera, Sorbera, 'harassment', 'harassment', 'harassment', 'harassment', 'harassment']"
9,"NASA's James Webb Telescope Finds Its First Exoplanet, a Major Milestone",Somewhat Positive,20,"['rocky', 'rocky']",[],"[Jacob, LustigYaeger, LustigYaeger, Kevin, Stevenson]"
10,Microsoft is reportedly in talks to pump in $10 billion into OpenAI — the owner of ChatGPT — valuing the company at $29 billion,Extremely Negative,210,"['rival', 'falls']",[],"[Liz, Hoffman, Reed, Albergotti, Sam, Altman, Elon, Musk, Sam, Altman, sama, Beatrice, Nolan, Jack, Ma]"
11,How Big Is The Moon?,Generally Neutral,20,"['fall', 'hard', 'hard']",[],[]
12,Factbox: Global banks cut jobs as cost pressures mount,Generally Neutral,190,"['volatility', 'deteriorating', 'slump', 'blunder', 'slump', 'aggressive', 'fears', 'downturn', 'crisis', 'strict']",['stroke'],"[Axel, Lehmann, Noel, Quinn, James, Gorman, 'harassment']"
13,No Headline,Extremely Negative,210,"['bored', 'bumps']",[],[]
14,What is the Titan M2 security chip in Google's Pixel phones?,Generally Neutral,70,"['malicious', 'unsafe', 'malicious', 'limit', 'tamper', 'hardened', 'attacks', 'isolated']",[],[]
15,Secretlab Omega 2020 vs Titan Evo 2022: The battle of the ultimate gaming chairs,Extremely Positive,430,"['expensive', 'expensive', 'Expensive', 'Expensive', 'cheap', 'expensive', 'shortcoming', 'fake', 'funky', 'pan', 'wobble', 'issue', 'fall', 'falls', 'scary', 'backward', 'backward', 'overwhelming', 'lack', 'lacks', 'shallow', 'stiff', 'sink', 'hard', 'tricky', 'stiffness', 'lack', 'severe', 'lack', 'wrong', 'lacks', 'louder', 'loud', 'cheap', 'lack', 'expensive', 'expensive', 'expensive', 'problem']",['swallow'],"[Tammy, Tammy]"
16,Riches review – prepare to be addicted to this Jackie Collins-esque drama,Extremely Positive,540,"['soapy', 'Flair', 'filthy', 'refuses', 'bait', 'fallout', 'abruptly', 'issues', 'estranged', 'conspire', 'Flair', 'fake', 'hang', 'expensive', 'creepy', 'suspicious', 'unfairly', 'twists', 'unpopular', 'villainous', 'inevitably', 'harsh', 'wrong', 'Flair', 'bloodthirsty', 'vicious', 'rotten']","['bitch', 'Fight', 'playboy', 'shit', 'fight']","[Hugh, Quarshie, Stephen, Richards, Stephen, Stephen, Stephens, Stephens, Nina, Deborah, Ayorinde, Nina, Si, Emmanuel, Imani, Stephen, Nina, Si, Flair, Stephens, Claudia, Ted, Lassos, Sarah, Niles, Gus, the, Kendall, Roy, Alesha, Adeyinka, Akinrinade, Wanda, Nneka, Okoye, 'lawsuit', Gideon, Downtons, Brendan, Coyle, Claudia, Si, Glory]"
17,"
      James Webb Space Telescope discovers its first exoplanet
    ",Somewhat Positive,90,"['rocky', 'rocky', 'rocky', 'rocky', 'rocky', 'invisible', 'crashed', 'furiously', 'dust', 'rocky']",[],"[LustigYaeger, Stevenson, LustigYaeger, LustigYaeger, Mark, Clampin, Webb, Kellen, Lawson, Josh, Schlieder, Webb, Margaret, Meixner, Webb, Guido, De, Marchi]"
18,Kim Kardashian Says Kanye West's Behavior Could Scare Off Future Boyfriends,Generally Neutral,420,"['worried', 'scared', 'threatening', 'scared', 'hard', 'denied', 'embroiled']","['Hitler', 'Angie', 'fucking', 'sex', 'death', 'Hitler']","[Kim, Kardashian, Ye, Kanye, West, Pete, Davidson, Adolf, Hitler, Kardashian, Angie, Martinez, Kardashian, 'lawsuit', North, Chicago, Saint, Psalm, Ye, West, Kardashian, Ray, J, Kardashian, 'lawsuit', Hitler, Nick, Fuentes, Donald, Trump, Martinez, Kardashian, Martinez]"
19,"Alibaba shares hit 6-month high after Jack Ma cedes control of Ant Group, amid a broad rally in Asian shares",Extremely Negative,340,"['fallen', 'lying', 'criticizing', 'intense', 'conflict', 'Hang', 'strict', 'Hang', 'depressed', 'bumpy', 'infections', 'abruptly', 'risk', 'virus', 'jitters']",[],"[Jack, Ma, Jack, Ma, Ma, Ma, Jack, Ma, Ming, Lu, Yeap, Jun, Rong]"
20,"Warren Buffett called out stock-market gamblers, savaged bitcoin, and praised Elon Musk and Jeff Bezos last year. Here are his 10 best quotes of 2022.",Extremely Positive,90,"['trashed', 'blasted', 'deceptive', 'worthless', 'misleading', 'Deceptive', 'fanciful', 'puzzled', 'unlikely', 'critical']",[],"[Warren, Buffett, Elon, Musk, Jeff, Bezos, Buffetts, Warren, Buffett, Elon, Musk, Jeff, Bezos, Charlie, Rose, Buffetts, Charlie, Buffett, Charlie, Munger, Charlie, Buffett, Elon, Jeff, Buffett, Jeff, Bezos, David, Rubenstein, Warren, Buffett, Buffetts]"
21,"
Vollebak Releases New Arctic-Ready ""Titan"" Collection with Winter Gear That Will Keep You Warm at -100°C
",Extremely Positive,60,"['cold', 'freezing']",['chin'],[]
22,"
		The best gaming laptops from CES 2023: ROG, Alienware, Razer, and more	",Extremely Positive,20,"['odd', 'doubt', 'expensive']",[],[Heres]
23,"
Michael Jordan Spotted Picking Up New $60,000 USD De Bethune DB27 Titan Hawk JPS Watch
",Extremely Positive,10,['limited'],[],"[Michael, Jordan, Michael, Jordan, Michael, Jordan]"
24,Big news and big views dominate 2022,Extremely Positive,500,"['debacle', 'outbreak', 'terrible', 'collapse', 'shock', 'break', 'breaking', 'worry', 'sorry', 'crisis', 'doubt', 'rot', 'shallow', 'painful', 'breakup', 'worrying', 'worse', 'harm', 'breakup', 'debt', 'scars', 'worry', 'sucked', 'weakness', 'collapse', 'hard', 'lost', 'split', 'warning', 'breakup', 'weakness']","['dive', 'hole', 'Republican', 'hole']","[Elon, Musks, Vladimir, Putins, Mark, Zuckerberg, Elon, Musk, Elon, Musk, Elon, Musk, Mark, Zuckerberg, Vladimir, Putin, Vladimir, Putins, KatrinaHamlin]"
25,Take Five: Welcome to 2023,Extremely Positive,370,"['suffering', 'tumble', 'critical', 'decline', 'recession', 'risks', 'hawkish', 'CRUDE', 'Crude', 'rocky', 'tumble', 'worst', 'Worries', 'recession', 'problems', 'crude', 'crude', 'expensive', 'challenging', 'crude', 'volatility', 'TROUBLE', 'STRIFE', 'fearful', 'recession', 'sunk', 'slump', 'debt', 'austere', 'decline', 'tanks', 'vicious', 'cold', 'declines', 'sharply', 'recession', 'bad', 'doubt']",[],"[Kevin, Buckland, Lewis, Krauskopf, Amanda, Cooper, Naomi, Rovnick, Karin, Strohecker, Rishi, Sunak]"
26,‘I didn’t steal funds’ says former crypto titan Bankman-Fried,Extremely Negative,500,"['steal', 'steal', 'collapse', 'stole', 'debts', 'hedge', 'guilty', 'steal', 'hedge', 'guilty', 'defrauding', 'plea']","['fraud', 'criminal']","['lawsuit', BankmanFried, Sam, BankmanFried, 'lawsuit', BankmanFried, 'lawsuit', BankmanFried, Caroline, Ellison, wassielawyer]"
27,"MSI reveals an army of laptops, monitors, PC components, and more at CES 2023",Somewhat Positive,130,"['avalanche', 'unfortunately', 'ridiculous', 'steal', 'ludicrous', 'problem']",['desire'],"['lawsuit', Zachary, Boddy, Zachary, Zachary, BoddyZachary]"
28,Here's Why You Should Buy Disney Stock Before the End of 2022,Extremely Positive,80,"['sagging', 'losses', 'losses', 'losses', 'fears', 'sharply', 'Unfortunately', 'carnage', 'steep']",[],"[Bob, Iger, Iger, Iger, Iger, Iger]"
29,Better Buy: Apple vs. Nvidia,Extremely Positive,310,"['lost', 'stumbled', 'problems', 'slower', 'struggled', 'decline', 'protested', 'protests', 'unpredictable', 'crush', 'unprofitable', 'weak', 'cheap', 'split', 'sluggish', 'decline', 'exacerbate', 'pricey', 'challenging']","['conservative', 'killed']","[Biden, 'lawsuit']"
30,"Don't Worry Darling, Harry Styles Will Return to the Marvel Cinematic Universe",Extremely Positive,20,"['complicated', 'Knave']",[],"[Harry, Styles, StarfoxEros, Thanos, Chlo, Zhaos, Nate, Moore, Harry, Moore, Thanos, Eros, Eros, Thanos, Black, Roger, Starfox, Avengers, Kang, Dynasty]"
