Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"Indian shares rebound on slide in oil prices, Dec F&O series expiry",Extremely Negative,310,"['concerns', 'volatility', 'fallen', 'losses', 'crude', 'fell', 'concerns', 'decline', 'crude', 'fall', 'crude', 'expired']",[],"[Neeraj, Dewan, Shrikant, Chouhan]"
2,Indian shares end lower; CPI data in focus,Somewhat Negative,170,"['choppy', 'downside', 'volatility', 'fallen', 'warning', 'loser', 'delays', 'slow']",[],"[Samrat, Dasgupta, Dasgupta]"
3,"Stocks in news: Infosys, HCL Tech, Cyient, L&T Tech, L&T, Wipro, Shriram Fin",Extremely Positive,70,"['marginally', 'fall', 'weak', 'uncertain', 'steep', 'Torrent', 'split', 'violation']",[],"[Madhusudan, Kela]"
4,Markets quote lower in early trade after two days of rally,Somewhat Negative,100,['crude'],[],[]
5,Markets rebound in early trade,Somewhat Negative,110,"['declining', 'crude']",[],[]
6,"
Wipro Limited to Announce Results for the Third Quarter Ended December 31, 2022, on January 13, 2023
",Extremely Negative,450,"['Limited', 'Limited', 'Limited', 'uncertain', 'limited', 'risks', 'risks', 'limited', 'risks', 'intense', 'liability', 'damages', 'instability', 'risks', 'limited']",['oral'],"['lawsuit', 'lawsuit']"
7,IT Q3FY23 earnings kick off on Jan 9: What to watch out for,Extremely Negative,420,"['weak', 'deteriorating', 'inflationary', 'slower', 'weak', 'weakness', 'disappointments', 'destruction', 'disappoint', 'weakening', 'recessionary', 'adverse', 'adverse', 'lag', 'susceptible', 'adverse', 'Vice', 'uncertain']",['fear'],"[Deepak, Jotwani]"
8,"
Onapsis Announces Collaboration with Wipro to Remove Security as a Digital Transformation Roadblock
",Extremely Positive,250,"['Limited', 'SAP', 'limited', 'overlook', 'SAP', 'vulnerable', 'attacks', 'SAP', 'struggling', 'SAP', 'Vice', 'threat', 'risks', 'SAP', 'Vice', 'Risk', 'Limited', 'lack', 'SAP', 'Risk', 'Limited', 'threat', 'SAP', 'threat', 'SAP', 'Limited']",[],"[Rocco, Donnino, Tony, Buffomante, Saugat, Sindhu]"
9,No Headline,Extremely Negative,190,[],[],[]
10,No Headline,Extremely Negative,420,"['Limited', 'SAP', 'limited', 'overlook', 'SAP', 'vulnerable', 'attacks', 'SAP', 'struggling', 'SAP', 'Vice', 'threat', 'risks', 'SAP', 'Vice', 'Risk', 'Limited', 'lack', 'SAP', 'Risk', 'Limited', 'threat', 'SAP']",[],"[Rocco, Donnino, Tony, Buffomante, Saugat, Sindhu]"
11,Stock Market Today: All You Need To Know Going Into Trade On Dec. 26,Extremely Positive,130,"['suffered', 'losses', 'losing', 'fell', 'imposing', 'issues', 'fell', 'fell']",[],"[Prannoy, Roy, Radhika, Roy, Sanjay, Pugalia, Senthil, Chengalvarayan, Sekhar, Rao, Kamal, Pal, Hoda, Jasti, Devang, Kumar, Surbhit, Dabriwala, Aziz, Yousuf, Zaveri, Aayush, Agrawal, Rahul, Chamaria, Baskar, Babu, Ramachandran, 'lawsuit', 'lawsuit']"
12,Wipro Q3 2023 Earnings Preview,Extremely Positive,10,['Limited'],[],"[Ahmed, Farhath]"
13,"
$900+ Billion Outsourcing Services Markets - Global Forecasts to 2027 - ResearchAndMarkets.com
",Extremely Positive,60,"['Limited', 'outbreak', 'complicated', 'Limited', 'Limited', 'Limited', 'Limited']",[],[]
14,No Headline,Extremely Negative,570,"['hard', 'hard', 'Error', 'negative', 'decline', 'volatile', 'risk', 'aversion', 'problem', 'difficulties', 'rivalry', 'Insufficient', 'lack', 'difficult', 'Insufficient', 'strain', 'worry', 'expensive', 'issues', 'Limited', 'Limited', 'Limited', 'complicated', 'concern', 'disruptive', 'risks', 'Limited', 'defect', 'issues', 'SAP', 'congestion', 'Limited', 'Limited']",[],"['harassment', Clare]"
15,"
Outlook on the Asia Pacific Decentralized Identity Market to 2028 - Featuring Avast Software, Wipro, Persistent Systems and Civic Technologies Among Others - ResearchAndMarkets.com
",Somewhat Positive,340,"['steal', 'concerns', 'susceptible', 'break', 'risk', 'misuse', 'opportunistic', 'difficult', 'problem', 'Limited', 'Limited']","['illegal', 'fraud', 'Criminal']","['lawsuit', 'lawsuit', 'lawsuit']"
16,No Headline,Extremely Negative,240,[],['penetration'],"[Deepak, Kedia, Sandeep, Sugla, Deepak, Kedia, Deepak, Kedia]"
17,22 for 2022: The big trillion-dollar tech meltdown,Extremely Negative,370,"['lost', 'disruption', 'worried', 'concern', 'lost', 'lost', 'worse', 'lose', 'lost', 'wrong', 'downturn', 'loss', 'wrong', 'lost', 'hurt', 'lost', 'fell', 'lost']",[],"[Mark, Zuckerberg, Zuckerberg, Elon, Musk]"
18,"Stocks in news: KFin Tech, SBI, Tata Power, Gujarat Gas, Tata Steel, Sheela Foam",Extremely Positive,140,"['volatility', 'issue', 'issue', 'Limited', 'Limited', 'rival', 'risk', 'issue', 'issue', 'issue', 'split', 'violation']",[],['lawsuit']
19,Stock Market Today: All You Need To Know Going Into Trade On Jan. 13,Extremely Positive,160,"['inflationary', 'slow', 'marginally', 'weak', 'weakness', 'Rail', 'fell', 'fell', 'fell', 'fell', 'Lag']",[],"['lawsuit', 'lawsuit', Anand, Rathi]"
20,"Stocks in the news: NDTV, Tata Motors, Suven Pharma, Quess Corp, Siemens",Extremely Positive,50,"['unnerved', 'minority', 'Limited', 'Limited', 'issue', 'violation']",[],"[Radhika, Roy, Prannoy, Roy, P, N, Vasudevan]"
