Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"Exclusive: Nexus Venture eyes $700 million fund to bet on India, U.S. tech startups",Extremely Positive,120,"['poor', 'fell', 'hedge']","['burn', 'died']","[Naren, Gupta, Gupta, Sandeep, Singhal, Suvir, Sujan]"
2,No Headline,Extremely Negative,190,[],[],[]
3,"Adani Group firms dominate list of top wealth creators in 2022; Paytm, Zomato bleed most",Extremely Positive,310,"['loss', 'destroyer', 'losses', 'discomfort', 'complicated', 'dented', 'Harsh', 'loss', 'delayed', 'hurt', 'loss', 'Concerns', 'lack', 'fall', 'loss', 'fall', 'losses', 'hurting', 'loss', 'decline', 'erosion', 'concerns', 'Sting', 'expensive', 'adverse', 'warned', 'challenging']",['penetration'],"[Vijay, Shekhar, Sharma, Harsh, Goenka, Ajay, Bhutoria, Kaushik, Dutta, Deepinder, Goyal, Falguni, Nayar, Mcap, Yiu, Kwan, Srinivas, Sadu, Mcap, Gautam, Adani, Anil, Sardana, Mcap, Gautam, Adani, Angshu, Mallick, Mcap, Gautam, Adani, Rajesh, Adani, Mcap, Gautam, Adani, Suresh, Manglani, Mcap, Vellayan, Subbiah, Natarajan, Srinivasan, Murugappa, C, B, Ananthakrishnan, Avinash, Gandhi, Kapil, Agarwal]"
4,No Headline,Extremely Negative,460,"['Tumbles', 'Absurd', 'Breaking', 'struggled', 'struggling', 'Pain', 'Fall']","['Sexual', 'Assault']","[Biden, Trump, Elon, Musk, 'harassment', 'harassment', Zomato, Avinash, Gorakshakar]"
5,"Gunjan Patidar resigns, Zomato begins hunt for a new CTO",Extremely Negative,270,"['tumbled', 'lost', 'issue', 'resigned', 'trouble', 'disruption', 'loss', 'slowed']",[],"[Gunjan, Patidar, Patidar, Patidar, Patidar, Deepinder, Goyal, Mohit, Gupta, Rahul, Ganjoo, Siddharth, Jhawar, Ganjoo, Jhawar, Pankaj, Chaddhah, Gaurav, Gupta, Mohit, Gupta, Chaddah, Gaurav, Gupta, Deepinder, Vivek, Maheshwari]"
6,No Headline,Extremely Negative,190,[],[],[]
7,Error 403 not available now,Extremely Negative,250,['drastic'],['Killer'],"[Deepinder, Goyal, Deepinder, Goyal, Deepinder, Goyal, Deepinder, Goyal, Deepinder, Goyal, deepigoyal, Deepinder, Goyals, Radhika, Gupta, Deepinder, Radhika, Gupta, iRadhikaGupta, Deepinder, Goyal, Deepinder, Goyal, deepigoyal]"
8,Zomato founder Deepinder Goyal delivers food to customers as orders surge on New Year's Eve,Extremely Positive,340,"['allegations', 'false', 'mediocre', 'tragic', 'steals', 'Deficiency', 'Limited']","['suicide', 'conspiracy', 'firing', 'Terror', 'Sex']","[Deepinder, Goyal, deepigoyal, 'lawsuit', Naatu, Naatu, Deepika, Padukone, David, Warner, Pant, Dhoni, Tamanna, Inamdar]"
9,Pune Man Orders Food Worth Rs 28.6 Lakh In 2022: Zomato Shares,Extremely Negative,270,"['hectic', 'sink', 'sink', 'Shark', 'breakup']",[],"[Elon, Mask, Ronaldo, Messi, 'lawsuit', Rahul, Tina, Ankur, Yash]"
10,"Kotak sees lower GMV for Zomato in short term, cuts target price to Rs 85",Somewhat Negative,200,"['subdued', 'weaker', 'subdued', 'weak', 'slower', 'slower', 'weak', 'weakness', 'losing', 'wary', 'loss']",[],"[Mahesh, Nandurkar, Abhinav, Sinha]"
