Article,Headline,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags
1,"
Hackaday
",Extremely Negative,260,"['Unfortunately', 'shame']",['dead'],"['hate speech', Utkarsh, Upadhyay, Samar, Dhwoj, Acharya]"
2,"
Hackaday
",Extremely Negative,230,"['hacks', 'hard', 'hack', 'problem']",[],"[Pascal, TURFPTAx, Damped]"
3,"

Tools and Technology

",Extremely Positive,30,['bug'],[],"['lawsuit', Signal, Linden]"
4,"OpenAI releases Point-E, which is like DALL-E but for 3D modeling",Generally Neutral,100,"['object', 'notoriety', 'complex', 'Complex', 'object', 'object', 'expensive', 'cloud', 'coarse', 'cloud', 'worse']",[],"[Elon, Muskfounded, Alex, Nichol]"
5,"
Hackaday
",Extremely Negative,770,"['attacks', 'vulnerable', 'issue', 'arbitrary', 'dump', 'Leaking', 'odd', 'broken', 'measly', 'tedious', 'warning', 'inaccurate', 'bad', 'vulnerable', 'limited', 'problem', 'worse', 'rough', 'breach', 'breaking', 'breach', 'suffered', 'lost', 'lost', 'troubling', 'malicious', 'bad', 'attacks']","['killer', 'attack', 'abuse', 'dead', 'attack', 'attack']","['hate speech', 'hate speech', Mike, Metzger, Drew, Griess, 'hate speech', 'hate speech', 'hate speech', Ivan, Kwiatkowski, 'hate speech']"
6,"
juliusgeo/rijndael.py
",Generally Neutral,0,[],[],"[juliusgeo, juliusgeo]"
7,"
yoavg/LLMs.md
",Generally Neutral,660,"['hard', 'worry', 'badly', 'hard', 'problem', 'objections', 'wrong', 'wrong', 'problems', 'wrong', 'irrelevant', 'limitations', 'loose', 'objection', 'hard', 'limitations', 'irrelevant', 'expensive', 'expensive', 'costly', 'terrible', 'biased', 'terribly', 'utterly', 'limitations', 'incomplete', 'challenging', 'lose', 'suspect', 'suspicious', 'skeptical', 'disturbing', 'superficial', 'problem', 'worry', 'issue', 'boring', 'issues', 'problem', 'biases', 'problem', 'suspect']","['suck', 'execution', 'German', 'african', 'violence']","[Yoav, Goldberg, Claude, Shannons, Shannon, 'hate speech', 'hate speech', Obama, Obama, Obame, Obame, Trump, Biden, Knowledge, of, 'hate speech', 'hate speech', 'hate speech']"
8,Tencent Weixin now partners with GitHub to notify users if their credentials are exposed in a public repository,Extremely Positive,0,[],[],[]
9,"

            www.bleepingcomputer.com
        ",Generally Neutral,300,"['threat', 'stealing', 'suspicious', 'stealing', 'Cloud', 'Cloud', 'suspicious', 'disruption', 'Cloud', 'Cloud', 'difficult', 'bumpy', 'unknown', 'problems', 'irregularity', 'hack', 'extortion', 'stolen', 'hack', 'mistake', 'delaying', 'hack', 'breach', 'limited', 'critical']",[],"['lawsuit', David, Bradbury, 'lawsuit']"
10,Textual Inversion,Somewhat Positive,200,"['risk', 'interrupt', 'loss', 'limit', 'Split', 'danger', 'break', 'Loss', 'object', 'interrupt', 'slower']","['failed', 'dead']","[Usada, Pekora, usada, pekora, usada, pekora, mignon, usada, pekora, 'hate speech', 'hate speech']"
11,"

            www.bleepingcomputer.com
        ",Generally Neutral,280,"['Slack', 'suffered', 'Slack', 'threat', 'limited', 'Slack', 'stolen', 'suspicious', 'limited', 'Slack', 'stolen', 'threat', 'Slack', 'stolen', 'Slack', 'Ironically', 'Slack', 'breaking', 'limit', 'erroneously', 'breach', 'Slack', 'Slack', 'breach']",['harder'],"['hate speech', Zack, Whittaker]"
12,"


      GitHub Community
    
",Somewhat Positive,0,[],[],[]
13,Querying the GitHub archive with the ClickHouse playground,Somewhat Positive,50,"['trick', 'Afraid', 'LIMIT', 'LIMIT', 'LIMIT', 'LIMIT']",[],[]
14,tinytux/embeddedipsec,Extremely Positive,10,['unexpected'],[],[]
