Title,Description,PublishedAt,URL,Content
Organization That Failed to Innovate – Avoid Their Fate,Gone are the days when “innovation” or “disruptions” were just fancy jargon thrown around without any purpose. Yesterday was the time when innovation was good and not a must-have. Gone are the days when you could overlook enterprise innovation initiatives and…,2022-12-20T16:01:00Z,https://readwrite.com/organization-that-failed-to-innovate-avoid-their-fate/,
"Software Update Arrives for Nokia G60, X10, and X20","Nokia provides a software patch for three of its handsets.
The post Software Update Arrives for Nokia G60, X10, and X20 first appeared on Phandroid.",2022-12-30T11:13:02Z,https://phandroid.com/2022/12/30/new-updates-arrive-for-nokia-g60-x10-and-x20/,Nokia has been working tirelessly to continue bringing regular software updates to more of its devices and it looks like a few more Nokiabranded handsets have started to receive the latest Android software patch. More specifically a new update has begun making its way for the Nokia G60 X10 and X20. According to user tips from the folks over at Nokiamob the aforementioned handsets have begun to receive the December software patch which more or less comes in at around 100 MB. The update should make its way to more regions soon although it is supposedly available worldwide upon release. More recently Nokia finally released the latest version of Android for the XR20 and G50 which comes around 2. 30 GB and 2. 26 GB respectively. Android 13 comes with several updates including themed App Icons a Photo picker feature for sharing videos and photos with select access Notification Permissions for apps as well as some updated media controls. The brand has also been working to bring more phones for US consumers which include the the Nokia G400 5G and the Nokia G100 which will be compatible with major US carriers such as ATT Verizon and TMobile.
Google Urges Apple Not to 'Drop the Ball' on Fixing Messaging in New Billboard Pushing RCS,"Google is continuing on with its #GetTheMessage campaign attempting to convince Apple to adopt the RCS messaging protocol, this time taking out a large New Year's-themed ad at Harmon Corner in Las Vegas.





The digital billboard urges Apple not to ""drop the…",2023-01-05T00:28:07Z,https://www.macrumors.com/2023/01/04/google-apple-rcs-billboard-message/,Google Urges Apple Not to Drop the Ball on Fixing Messaging in New Billboard Pushing RCS Google is continuing on with its GetTheMessage campaign attempting to convince Apple to adopt the RCS messaging protocol this time taking out a large New Yearsthemed ad at Harmon Corner in Las Vegas. The digital billboard urges Apple not to drop the ball on fixing its pixelated photos and videos. Hey Apple its Android the ball may have dropped on 2022 but you dont have to drop the ball on fixing your pixelated photos and videos. Heres some code to get the ball rolling... After the short message the billboard scrolls through RCS code ending with a plea to customers to Help Apple GetTheMessage the hashtag that Google has been using for the campaign. Google launched the Get the Message push back in August with a full website highlighting the benefits of RCS which include support for higher resolution photos and videos audio messages and bigger file sizes along with improved encryption crossplatform emoji reactions and more reliable group chats across different devices. Google continues into 2023 with more RCS ads targeted at Applehttpst. cofB6Mst1xXh Aaron aaronp613 January 5 2023 Google has been pestering Apple to adopt RCS for well over a year through the website pleas on Twitter billboards and more but Apple has made no acknowledgement of Googles efforts. In fact Apple CEO Tim Cook recently said that RCS is not a priority. I dont hear our users asking that we put a lot of energy in on that at this point said Cook. All major mobile carriers and manufacturers have implemented RCS support including ATT Verizon TMobile Motorola Nokia OnePlus Samsung Sony and others with Apple remaining the lone holdout.
Nokia Kicks Off 2023 with Two New Phones for US Markets,"Nokia targets budget-conscious consumers with the G100 and G400.
The post Nokia Kicks Off 2023 with Two New Phones for US Markets first appeared on Phandroid.",2023-01-05T22:56:53Z,https://phandroid.com/2023/01/05/nokia-kicks-off-2023-with-two-new-phones-for-us-markets/,Were deep in the middle of CES 2023 right now and a lot of brands and OEMs have each dealt their own hands showing the consumers the best of what theyve got. With that said Nokia has of taken its usual approach to Android phones showcasing a couple of handsets aimed at budgetconscious consumers. First off is the Nokia G100 which comes with compatibility for carriers including ATT Cricket TMobile Verizon and more. It comes with a 6. 52inch LCD display Qualcomm Snapdragon 662 chipset and up to 128GB of expandable storage and 4GB of RAM. It comes with an 8MP front camera and a triplecamera array on the rear with a 13MP main camera 5MP ultrawide lens and 2MP depth sensor. Other specs include a 5000 mAh battery 3. 5mm headphone jack and Android 12. Up next is the Nokia G400. It comes with slightly different hardware compared to the G100 featuring a 6. 58inch display Qualcomm Snapdragon 480 5G chipset and up to 64GB of expandable storage and 4GB of RAM. In terms of cameras it comes with a 16MP front camera and a triplecamera array on the rear with a 48MP main camera 5MP ultrawide lens and 2MP depth sensor. As with the G100 it will include a 5000 mAh battery 3. 5mm headphone jack and Android 12. As for pricing the Nokia G100 will be priced at around 169. 99 while the G400 comes at 269. 99.
Android 13 Arrives for More Nokia Phones,"Nokia rolls out the Android 13 software update for more of its handsets.
The post Android 13 Arrives for More Nokia Phones first appeared on Phandroid.",2022-12-20T18:35:10Z,https://phandroid.com/2022/12/20/android-13-arrives-for-more-nokia-phones/,If you own a Nokia XR20 or Nokia G50 or even both then youre in luck Nokia via parent company HMD Global has started rolling out the latest Android 13 software update for the aforementioned handsets. As per some new information from the folks over at Nokiamob the Finnish tech giant has finally released the latest version of Android for the XR20 and G50 which comes around 2. 30 GB and 2. 26 GB respectively. Android 13 comes with several updates including themed App Icons a Photo picker feature for sharing videos and photos with select access Notification Permissions for apps as well as some updated media controls. Lars Silberbauer Chief Marketing Officer HMD Global states Were excited to announce that our customers will start to experience Android 13 on their Nokia phones. We understand that people want to use their phones for longer and with a Nokia phone its not just hardware durability which comes as standard. Longevity is the foundation of our new lineup of Nokia smartphones adding security durability and innovation to our customers in the smartphone market at all price points. In other Nokia news the company has been working to bring more phones for US consumers which include the the Nokia G400 5G and the Nokia G100 which will be compatible with major US carriers such as ATT Verizon and TMobile.
CES technology trade show adopts social theme - Reuters,"Farm equipment took the keynote spotlight at the CES technology trade show in Las Vegas, as ""human security for all"" became the first theme in its 56-year history.",2023-01-07T00:46:00Z,https://www.reuters.com/business/ces-technology-trade-show-adopts-social-theme-2023-01-07/,CES technology trade show adopts social theme Las Vegas Jan 6 Reuters Farm equipment took the keynote spotlight at the CES technology trade show in Las Vegas as human security for all became the first theme in its 56year history. In his speech opening the Consumer Electronics Show on Thursday John Deere Chief Executive John May laid out a strategy of using technology to feed a hungry world as arable land and rural labor decline while costs are rising. Technology allows farmers to create more with less May told an audience of 2000 at one of the worlds largest tech events organized by the Consumer Technology Association CTA. The trade group is partnering with the World Academy of Art and Science and the United Nations Trust Fund for Human Security to encourage the tech industry to help tackle the worlds most pressing problems. This is the next big idea said Walt Stinson cofounder of electronics retailer ListenUp who approached the CTA about a potential partnership. Several panels discussed how innovation helps to solve global challenges. Representatives of Nokia of America Corp ALUAL. UL Siemens AG SIEGn. DE and Alphabet Incs GOOGL. O Google talked about applying technology to help create a sustainable supply of food and closing the global education gap. Working to improve the human condition ultimately pays dividends said Ketan Patel a longtime Goldman Sachs banker who now runs the Force for Good Foundation. If you add to the purpose of every tech company all of a sudden you have a moral purpose you have something that could be hugely profitable Patel said because your technology reaches a customer base that previously was not profitable. The CES sessions are the first phase of the trade groups rolling thunder campaign to raise awareness across all sectors of the economy said Garry Jacobs executive chairman of the Human Security For All campaign. The group plans to make its pitch to the worlds universities in the coming months. These challenges cannot be handled by nation states or multilateral institutions said Jacobs. It requires the cooperation of global society in its different segments. Our Standards The Thomson Reuters Trust Principles.
Qatar’s forgotten migrant workers stuck in a ‘prison where you can work’,"In a world away from the glamour of Sunday’s World Cup final workers plough on, some still waiting to be paidIsaac* and Emmanuel* would have watched the World Cup final if they could have, but work came first. While Lionel Messi was rewriting history they mov…",2022-12-21T08:00:00Z,https://www.theguardian.com/football/2022/dec/21/qatar-forgotten-migrant-workers-world-cup-2022,Isaac and Emmanuel would have watched the World Cup final if they could have but work came first. While Lionel Messi was rewriting history they moved through one of Qatars opulent shopping malls area by area fulfilling the cleaning tasks their employer had assigned. It was not too hard to glean what was going on and sometimes Isaac would try to make his old Nokia phone strain for updates. But football and especially football as inaccessible as this was really a remote concern. Walking past designer handbags perfumes and suits every day feels like a trudge through vacant empty space. The young Ghanaian men are in their third month here and are yet to be paid a penny. They told us they would pay this month but they told us that the previous times too says Isaac. I have no money. Im not happy at all. People tell you before you come here that its better and that with hard work you can get everything you want. But its just not like that. It is midevening and company buses have just dropped them off from another potentially fruitless shift. The daily return of Dohas migrant workers is a sight few visitors will have witnessed over the past month partly because some organisations were incentivised to keep their staff at home during the tournament in an attempt to ease congestion. For several hours from about 4pm vehicles chug along the gridded heavily polluted capillaries of the citys remote southwest and pour employees back into their labour camps en masse. It is a bleak unsettling scene the men deployed to keep an entire state running are being shuttled straight from one confinement into what is effectively another. We are in one such camp the precise whereabouts of which will remain undisclosed. It contains a small sports facility no more than a concrete basketball court with goals orientation becomes difficult after nightfall but Emmanuel and Isaac offer directions before entering one of the drab uniform threestorey blocks that occupy almost a square kilometre. The harsh glare of lights from atop each building makes fiveaside possible. Two players shudder into one another and land heavily on the rough surface. There is brief concern inquiries quickly offered in different languages but they are both fine. If you did not carry a certain toughness before arriving here it helps to learn quickly. You need it says Moses an articulate Ugandan who is taking his turn to watch from the side. In the end this is just a big prison where you can work. Nobody would be here if they had any other option and Qatar knows it. What we are seeing here is modern slavery. Moses works in security at a different mall he has risen to a position of greater responsibility and is embarrassed when teammates who double up as colleagues shout captain as they run past. He has seen what happens when things get too much. A friend was taken to the edge by the combination of long hours low pay sometimes unsanitary living conditions and extended time away from family that are facts of everyday life here. He was so traumatised that the only option was to send him to the bosses and insist they booked him a oneway flight home Moses says. He was fine when he came but Qatar changed him. Not everyone can endure it. The game carries on. Lusail Stadium is 20 miles away but this is really a different universe. A young Nepali wearing an Argentina shirt arrives to offer at least something in common scores laughs and leaves again soon after. Play will continue for hours more with a changing cast football after work or before it if you are on nights is the only physical outlet in the camp. There is not always time for it. Moses usually worked 12hour days before the World Cup essentially becoming 14 when travel was factored in with no extra payment. He tells of an event this year run by a major Qatari sporting organisation that demanded security staff work until the final guests had left. That meant finishing at about 2am every day returning to work on the 5am bus. Those who complained had their contracts terminated he says. You cant do anything against our bosses here. You can only go get up again and work the next day. During Qatar 2022 Mosess days were reduced to eight hours. The impact on his lifestyle and mental wellbeing has he says been marked. Well see whether or not it stays that way. Im sure things will change because of the World Cup and not in a positive way. I expect things to return to how they were before. A period of 29 days cannot change whats been happening for the last five or 10 years. Moses is like several others happy to share his experiences. Some are warier and others such as the Kenyan man sitting on a brokendown motorcycle five minutes from the pitch say they cannot trust anyone. But there is a consensus that while the focus diverts from Qatars glittering carnival of football the conversation around workers conditions must not end. Being forgotten is the worst thing that could happen to people such as Geoffrey a tall and deeply spoken Ghanaian who lives alongside eight compatriots in an apartment with a tiny common space and three singlesized bedrooms. Each holds a threetiered bunk bed and this is comfortable by labour camp standards both here and elsewhere. Geoffrey knows of equally small rooms housing five or six men. Illnesses run riot in such conditions in 2020 Amnesty International raised the alarm about the danger caused by Covid19 in the areas camps. Its important to remember us he says. When people get to know what we are going through here maybe bodies like the WHO or UN can help us. But the biggest thing for me is about the salaries its very tough. Each month Geoffrey who also cleans at a mall earns the minimum wage of 1000 riyals 225. It is barely enough to survive on even when an extra subsidy for accommodation and a small allowance for food are added when you are here to provide for your family. Social activities such as watching football in the fan zone intended for workers are off the agenda Geoffrey and his roommates were reduced to watching World Cup games on any phone that could stream them. He describes himself as lonely and bored and laughs when asked about daily life in general. Plenty is being held back. Qatar introduced the salary threshold last year but several workers who spoke with the Guardian said it was not always adhered to and that employees routinely pay scant attention to the governments reforms. Isaac whose example seems among the starkest elaborates. I dont mind Qatar as a country but a lot of companies are doing bad things and the government doesnt know he says. They dont pay you or they treat you badly. Thats the problem we are facing. Nowadays migrant workers can report abuses such as missed wage packets to the ministry of labour anonymously in theory but Isaac says he knows of cases where an employee has been paid after the governments intervention only to be identified by the company and dismissed. One of the most common sanctions mentioned to the Guardian is some companies habit of docking a worker two days salary for missing a days work which is not uncommon due to physical or mental fatigue. Isaac may put the onus on his managers but others are more critical of Qatar. A frequent theme is alleged racism displayed towards African workers. They tend not to mix with their Asian counterparts beyond work despite living in adjacent quarters and believe they are regarded differently by locals. Kwame who lives with Geoffrey and is a carpentry assistant for a construction firm describes the feeling of being treated as an underclass. What do Qataris give us he asks. Nothing. They treat us like we arent human like were pieces of shit. Kachara garbage they shout at us. The attitude is that we barely exist. Moses in several tales of everyday life patrolling his mall offers a similar impression. For a degree of balance he says some families bring him food from its restaurants and suggests bettertravelled locals behave more kindly. But the discrimination he sees in plain sight breeds a different worry he is obliged to live in an allmale environment and wonders what women working in household jobs in Qatar are subjected to behind closed doors. The overriding sense is that while Qatar has bragged wildly about the success of its tournament it has staged a show intended for anyone but the lowpaid migrants who have risked their wellbeing to keep it running smoothly. The World Cup wasnt for me Geoffrey says. It was about the Qataris not us. Were the labourers. It has made history for them they can always point to what happened. But they wanted to be famous and we were used for that. Football will have little meaning for Isaac until he has money to enjoy it in even the simplest way but he attempts a positive note. Its life he says. You just have to keep working hard. The bus will be waiting again in nine hours. Names have been changed to protect their identity.
How to drag and drop between apps on Android tablets,"The concept is simple, but the tablets and apps that support the feature are limited, so we'll break down what you need to know.",2022-12-24T20:00:55Z,https://www.androidcentral.com/tablets/how-to-drag-and-drop-between-apps-on-android-tablets,How to drag and drop between apps on Android tablets Breaking down which Android tablets software and apps support the new feature. Google designed Android 12L to improve the quality of the Android tablet experience primarily by adding improved splitscreen UI so you can use multiple apps at once without needing an interface like Dex Mode. And one such 12L upgrade was its new draganddrop feature which lets you select a multimedia file from a Google Workspace app and move it into the other window without having to copy paste it. We dont really need to explain how to drag and drop files between apps on Android tablets in any depth because its so intuitive you simply tap and hold your finger or stylus on a file until a thumbnail appears then drag it across the display into the other compatible app and let go. If the conditions are right the image will paste over without any issues. So instead well focus on what software youll need which tablets support draganddrop and which apps support the feature. Which Android apps support drag and drop We cant provide a definitive list of draganddrop apps because technically any developer can enable the feature using the provided instructions from Android Developers opens in new tab. However it doesnt appear to be widely available and Google itself is still working to add the functionality to its own Google Workspace apps. At the moment Google Docs Drive Files Keep Photos Sheets and Slides all support the feature. We tested some native Samsung apps but were unable to make draganddrop work so the developer may or may not implement it in its own software. So at the moment assume that you can only use the feature in Google Workspace apps and use standard copyandpasting for other apps. Which Android tablets support draganddrop To successfully use draganddrop on Android tablets youll need to update to Android 12L or Android 13. This software enables multiwindow mode so you can easily open two or three splitscreen apps or multiple pinned apps. Older Android tablets running Android 12 or earlier do have splitscreening but you cant drag and drop between windows with the older UI. As for which Android tablets actually support 12L or later youll have the most luck with eligible Samsung tablets. The tablets below have progressed to One UI 5 based on Android 13 or One UI 4. 1. 1 based on Android 12L eligible tablets that havent received the update are marked with an asterisk Samsung Galaxy Tab S8 S8 S8 Ultra 13 Samsung Galaxy Tab S7 S7 S7 FE 13 Samsung Galaxy Tab A7 Lite 13 Samsung Galaxy Tab S6 12L S6 Lite 13 Samsung Galaxy Tab A8 13 Samsung Galaxy Tab Active 3 13 Outside of Samsung your selection is fairly limited. The Lenovo Tab P12 Pro has Android 12L and some current and future Lenovo tablets like the Tab P11 Pro Gen 2 and Tab P11 Gen 2 will support the software in 2023. The Microsoft Surface Duo and Duo 2 also received 12L and the Nokia T20 should receive it at some point. If you own one of these compatible devices simply go to your Settings app and check to ensure youre running the latest OS software. If you want the best Android tablet experience your first and only choice should be the Galaxy Tab S8 series. It has cuttingedge performance bright and massive displays S Pens for lowlatency note taking quad Dolby Atmos speakers and battery life thatll last you days with light use. Android Central Newsletter Get the best of Android Central in in your inbox every day Michael spent years freelancing on every tech topic under the sun before settling down on the real exciting stuff virtual reality fitness wearables gaming and how tech intersects with our world. Hes a semireformed AppletoAndroid user who loves running DD and Star Wars. Find him on Twitter at MichaelLHicks. Android Central Newsletter Get the best of Android Central in in your inbox every day Thank you for signing up to Android Central. You will receive a verification email shortly. There was a problem. Please refresh the page and try again.
The Nokia Risk | Herman Mark Schwartz,"In the early 2000s, Finland was the darling of industrial and employment policy analysts everywhere. This small country with a population of 5.5 million and a GDP roughly equal to the state of Oregon experienced what looked like a high tech-led productivity r…",2023-01-07T05:40:06Z,https://biztoc.com/x/81b4af8e48c07420,The Nokia Risk Herman Mark Schwartzphenomenalworld. organalysisnokiarisk In the early 2000s Finland was the darling of industrial and employment policy analysts everywhere. This small country with a population of 5. 5 million and a GDP roughly equal to the state of Oregon experienced what looked like a high techled productivity revolution. Real GDP per capita in local currency terms rose 55 percent from 1995 to 2007nearly double the US increase This story appeared on phenomenalworld. org.
Blackview BV7100 review: A cheap rugged phone for your unpredictable lifestyle,"The Blackview BV7100 is an unassuming rugged phone that does not try to impress consumers with a few gimmicks; instead, it does what it says on the tin.",2023-01-03T19:30:00Z,https://www.androidcentral.com/phones/blackview-bv7100-review,Android Central Verdict The Blackview BV7100 is a basic rugged smartphone that lacks the bells and whistles found in other Blackview models or rival brands. Rather than gimmicks the device has many of the basic capabilities youd expect from a rugged phone though you could find a better camera and a more powerful processor for a few dollars more. Pros Metal and rubber design Stunning battery life Water resistance capabilities Cons No 5G support No longterm software updates Bulky and weighty Camera is underwhelming Why you can trust Android Central Our expert reviewers spend hours testing and comparing products and services so you can choose the best for you. Find out more about how we test. Ive extensively covered a lot of rugged phones in recent memory including Blackview models and Ive found most of them to tick almost all of the boxes if youre looking for smartphones that can endure a few knocks. The Blackview BV7100 which made its debut last September is no exception. In my experience Blackview usually edges out its rivals in terms of ruggedness and price. This makes it an excellent choice for those looking for a durable design without all the gimmicks offered by other brands like Ulefone. However if history is any guide rugged phones have poor Android OS implementations and software support so youd be wise to keep your expectations in check with Blackviews handsets. Sure my daily drivers are mostly Chinese phones from Vivo and Xiaomi but a device that can withstand a lot of abuse and survive water immersion provides some practicality for people who are clumsy with their hands. But if you live an adventurous lifestyle does the Blackview BV7100 fit the bill Continue reading to find out. Blackview BV7100 Price and availability The Blackview BV7100 is perhaps one of the most affordable rugged phones money can buy at present. On the companys own website opens in new tab it retails for 240. The company previously listed the phone at 300 before slashing its price big time. It ships to major international markets such as the United States Europe the United Kingdom and India. Blackview BV7100 What I like The Blackview BV7100 is a substantial piece of hardware weighing 460 grams. While this makes the device difficult to use for extended periods of time the phones rubberized metal construction allows it to withstand a beating. It has IP68IP69K ratings and is MILSTD810H compliant which means it can be thrown a few times submerged underwater and dropped from a stairwell without being severely scratched. Perhaps the best thing about the BV7100 is its insanely large battery. At 13000mAh the handset is not the easiest phone to kill in just one day. Although there are a few phones with larger batteries on the market like the Oukitel WP19 the 13000mAh unit on the BV7100 is a rare sight in this category. In my daytoday testing which consists of social media scrolling phototaking light games and several hours of internet browsing it averaged about 12 hours of screenon time. It also has an impressive standby battery performance with less than a 1 drain per hour on average. The phones endurance on the other hand is heavily influenced by how frequently and for what reason you use it. Of course increased active usage results in a shorter running time. I listened to 80 hours of music talked for 60 hours and watched 17 hours of video. The BV7100 charges at 33W which is a decent speed for a rugged phone. However it doesnt quite seem to be the perfect match for the phones massive battery. This means charging the phone may be the longest that youll need to sit through. In my experience I averaged 190 minutes juicing up the device from zero to 100. The upside is that you can use the phone to juice up other USBC devices thanks to its reverse wired charging capability. Its most useful when you find yourself in a place with no power supply. What sets the phone apart from many of the best rugged phones including those from Blackview is its plain simplicity devoid of any gimmick Ive seen in the Blackview BL8800 Pro for example. That phone includes a FLIR thermal imaging system as its main selling point. On the other hand the BV7100 shuns anything flashy or gimmicky instead opting for a highly predictable design that works like what it says on the tin. The screen also has a decent saturation with its brightness set to 50. Blackview did not specify which screen protection system is used but I havent noticed any major scratches on it yet and the preinstalled screen protector provides additional protection against scuffs. The frame also does a great job of resisting impacts. While this wont be my daily driver under normal circumstances who knows maybe Ill go camping for a few days in the mountains soon Id say this is an ideal device for those doing industrial jobs. Blackview BV7100 What I dont like At a glance the Blackview BV7100 doesnt seem to have a lot of downsides especially when you factor in the price but there are still a few drawbacks. While the phones large size gives it the appearance of durability it is far too heavy for daily use. Because of its weight the phone may be uncomfortable to use for extended periods of time. Thats to be expected for a phone in this segment though it remains a consideration if you like a rugged phone with a more svelte design. If youre used to typical thin slabs of a phone the Blackview BV7100 may feel immensely bulky especially if you use it for several hours or even a whole day. Despite the phones advertised 90Hz screen refresh rate I noticed some noticeable lag and lack of smoothness when moving around the UI. I initially assumed the display was locked to 60Hz but this was not the case. It turns out that the phones display is set to 90Hz by default and theres no way to change it in the settings menu. Another letdown is the phones limited mobile communications support. It is only capable of 4G and LTE with no 5G capabilities. Its not entirely surprising since many rugged phones seem to be following the same path when it comes to connectivity except for a few models like the Blackview BL8800 Pro. The cameras are also not the phones strong suit. While you can still get decent shots depending on what youre shooting and the lighting conditions its 12MP main sensor is fairly mediocre limiting its potential. One notable limitation is the lack of support for 2K or 4K video recording. Only a 1080p video capture resolution is available with the BV7100. Blackview BV7100 sample shots In terms of photography its 12MP Sony IMX362 sensor does the job but nothing spectacular. My night shots were mostly ruined by grainy results especially in lowlight conditions and the small sensor size appears to be the culprit. Like many rugged phones money can buy the phones camera app doesnt have special shooting features. Blackview BV7100 Competition For 240 the Blackview BV7100 offers a great value proposition compared to many expensive competitors like the Samsung Galaxy XCover Pro 499. Because of its low price its hard to find a true competitor to the phone in this price range. The BV7100s biggest rival comes from the slightly more expensive Doogee S89 Pro 360 and if you prefer a more slender rugged handset the Nokia XR20. If you prefer something from Blackviews own portfolio theres the BL8800 Pro though it offers a smaller battery. That said it remains an excellent budget rugged phone with a slightly higher price tag and for those that want it a FLIR thermal camera. You may also find the Blackview BV8800 a more appealing alternative with its more decent camera system and it starts from 249. The only big downside with the BV7100 is its sheer size and bulkiness but this shouldnt be a major dealbreaker for most buyers. As a result the phone packs a lot of punch into a small package making it a favorite among rugged phone enthusiasts. Blackview BV7100 Should you buy it You should buy it if... You like a phone that can withstand a few knocks and water immersion Battery life matters a lot to you You dont want to spend more than 300 on a device You should not buy it if... You need a phone with 5G support You want longterm software support for your handset Camera performance is critical to you Affordabilitywise nothing beats the Blackview BV7100. But it is the same factor that forced the company to cut many corners in terms of performance and camera skills so youd be wise to temper your expectations with this phone. Nonetheless for consumers who frequently need a device that can keep running for extended periods away from a charger or power outlet this handset is an ideal companion. It is also dust and waterresistant up to 1. 5 meters for 30 minutes so you wont have to worry if you drop it in the water by accident. The best bang for the buck The Blackview BV7100 is a plainlooking rugged phone that doesnt try to impress customers with a few gimmicks instead it possesses the basic features a rugged phone should have including a sturdy design and longlasting battery life. Jay Bonggolto always keeps a nose for news. He has been writing about consumer tech and apps for as long as he can remember and he has used a variety of Android phones since falling in love with Jelly Bean. Send him a direct message via Twitter or LinkedIn. Android Central Newsletter Get the best of Android Central in in your inbox every day Thank you for signing up to Android Central. You will receive a verification email shortly. There was a problem. Please refresh the page and try again.
