Title,Description,PublishedAt,URL,Content
"Tata considers India, Europe for EV cell manufacturing plants - Reuters","Tata group is considering setting up plants in India and Europe to produce battery cells for electric vehicles (EV), the chief financial officer of its auto unit told Reuters in an interview.",2023-01-12T13:27:00Z,https://www.reuters.com/business/autos-transportation/tata-considers-india-europe-ev-cell-manufacturing-plants-2023-01-12/,Tata considers India Europe for EV cell manufacturing plants GREATER NOIDA India Jan 12 Reuters Tata group is considering setting up plants in India and Europe to produce battery cells for electric vehicles EV the chief financial officer of its auto unit told Reuters in an interview. With total sales of 50000 electric cars to date Indias Tata Motors dominates the countrys EV market and has outlined plans to launch 10 electric models by March 2026. The company expects electric models to make up a quarter of its total sales by 2025 from around 8 now. Localising cell manufacturing for EV batteries is key to increasing local components in electric cars and will help the automaker develop a local supply chain too Tata Motors P. B. Balaji said on the sidelines of Indias Auto Expo car show in Greater Noida in Utter Pradesh. Tata is evaluating two production bases the other one is in Europe so that the battery cell needs of its luxury car unit Jaguar Land Rover which has a manufacturing facility there can also be met. Balaji said the investment in cell manufacturing will be made by its parent company Tata Sons but did not elaborate on the quantum or timeline. We should announce it sooner rather than later he said. Indias car market set to become the thirdlargest in the world is tiny compared to its population with electric models making up just 1 of total car sales of about 3. 8 million last year but the government wants to grow this to 30 by 2030. Tata expects its EV business to be cash flow positive by 2025 while the company is also focused on boosting profitability of the business Balaji said. Tatas new models will include a wider driving range and higher price points as Tata Motors looks to cement its lead at a time when rivals such as Mahindra Mahindra MAHM. NS Warren Buffetbacked BYD 002594. SZ and SAIC Motors 600104. SS MG Motors have lined up EV launches. Our Standards The Thomson Reuters Trust Principles.
India's Tata Consultancy Q3 profit misses view - Reuters India,"India's Tata Consultancy Services Ltd <TCS.NS> on Monday reported a lower-than-expected profit for the third quarter, as clients tightened spending amid a challenging macro-economic environment that prompted the country's top IT exporter to reduce its workfor…",2023-01-09T12:29:00Z,https://www.reuters.com/world/india/indias-tata-consultancy-q3-profit-misses-view-2023-01-09/,Indias TCS Q3 misses view flags challenges in Europe BENGALURU Jan 9 Reuters Tata Consultancy Services TCS. NS missed profit estimates and flagged challenges in Europe as clients tightened spending due to rough economic conditions while its workforce shrank for the first time since the pandemic. TCS is the first among its peers to report quarterly earnings setting the tone for an industry that is seeing demand wane after a pandemicfueled boom. The Tata Group flagship said its employee count reduced by 2197 on a net basis to 613974 as on Dec. 31 its first such since the onset of the pandemic in the first quarter of fiscal year 2021. In the quarter ended September TCS added 9840 employees. The company has since then slowed the pace of hiring amid fears of an economic recession in major western markets. The Mumbaibased companys order book for the OctoberDecember period stood at 7. 8 billion down from 8. 1 billion in the September quarter. Market participants are keenly watching TCS for signals on the demand outlook for the sector which is staring at the possibility of a recession in the U. S. and Europe from where it draws a bulk of its revenue. The order wins reflect demand scenario said Rajesh Gopinathan chief executive officer and managing director of TCS. We are constructive on the U. S. cautious on Europe and positive on the U. K but acknowledge it could be volatile. Our posture is positive Gopinathan said. Consolidated net profit for the three months ended Dec. 31 rose to 108. 46 billion Indian rupees 1. 32 billion from 97. 69 billion rupees a year earlier the company said in an exchange filing. Analysts on an average expected a profit of 110. 46 billion rupees according to Refinitiv data. Revenue from operations for the Dec. quarter rose 19. 1. 1 82. 3120 Indian rupees Our Standards The Thomson Reuters Trust Principles.
Air India's handling of unruly passenger on flight 'unprofessional ... - Reuters,India's aviation regulator on Thursday issued a notice to some Tata Group-owned Air India officials for failing to comply with norms of handling unruly passengers following an incident on one of its flights last year.,2023-01-05T13:11:00Z,https://www.reuters.com/world/india/air-indias-handling-unruly-passenger-flight-unprofessional-regulator-2023-01-05/,Air India criticised by regulator over handling of unruly passenger on flight NEW DELHI Jan 5 Reuters Air India faced criticism on Thursday from the aviation regulator for its handling of an unruly passenger on a flight from New York in November and also acknowledged that a second similar incident occurred last month on a flight from Paris to Delhi. Air India had said in a statement released on Wednesday that it had banned a male passenger for 30 days in compliance with regulations following an incident on a Nov. 26 flight from New York to Delhi in which the man while apparently inebriated urinated on a fellow female passenger. The airline which is owned by Tata Group said it had reported the matter to the Directorate General of Civil Aviation DGCA Indias air safety watchdog for further action. DGCA however said on Thursday that it had sought details from the airline on the incident but at first glance it appeared that Air India had not complied with provisions related to the handling of an unruly passenger onboard. The conduct of the concerned airline appears to be unprofessional and has led to a systemic failure DGCA said in its statement. The watchdog said it had issued a notice to the airlines executives and the pilots and cabin crew members on the flight asking them to explain within two weeks why action should not be taken against them for failing to uphold regulations. It did not respond to a request for comment seeking details on what action it had expected the airline to take. Air India did not immediately respond to a request for comment from Reuters on the DGCA notice. In 2017 India issued new standards barring unruly passengers from flying for a minimum of three months to more than two years depending on the nature of the misdemeanour. Air India reported on Thursday a second incident which took place on a Dec. 6 fight from Paris to Delhi during which a male passenger urinated on a vacant seat and the blanket of another passenger. Air India added that the male passenger on the Paris flight had been taken into custody on arrival at Delhi but was later released by federal police after he reached an understanding with the victim and tendered a written apology. The airline said it did not lodge a police report in deference to the victims wishes. Our Standards The Thomson Reuters Trust Principles.
Indian shares set to open higher to track Asia; Q3 results eyed - Reuters.com,"Indian shares were poised to open higher on Monday, aided by a broad risk-on sentiment after U.S. data hinted at less aggressive rate hikes, with investors turning focus on corporate health as earnings season kicks off.",2023-01-09T02:47:00Z,https://www.reuters.com/world/india/indian-shares-set-open-higher-track-asia-q3-results-eyed-2023-01-09/,Indian shares end higher tracking broad gains Q3 results eyed BENGALURU Jan 9 Reuters Indian shares settled higher on Monday driven by broadbased gains for risky assets across regions after U. S. data hinted at less aggressive rate hikes and on hopes for global growth as China reopened its borders. Later in the day investors will turn their focus to corporate health as IT major Tata Consultancy Services TCS. NS kicks off the domestic earnings season. Fortyfour of 50 stocks on the Nifty 50. NSEI posted gains helping the benchmark index end 1. 35 higher to 18101. 20. The 30member SP BSE Sensex. BSESN settled 1. 41 up at 60747. 31. Both indexes posted their biggest intraday gains in nearly two months after logging a weekly loss of over 1 each in the first week of 2023. Overnight gains on Wall Street on Friday helped the sentiment after U. S. payrolls expanded more than expected. This came even as wage increases slowed easing worries about the Federal Reserves future rate hike decisions. As of now the tone is likely to remain that of consolidation for the key indexes said Ajit Mishra VP technical research at Religare Broking. The bias will be slightly on the negative side until we see a decisive trend with the earnings season especially the U. S. for gains to sustain. The MSCIs broadest index of AsiaPacific shares outside Japan. MIAPJ0000PUS hit a fivemonth high while European shares extended gains. In domestic trading IT. NIFTYIT advanced 2. 83 making it the bestperforming sector among the other 13 major Nifty sectoral indexes. The quarterly earnings reports of top IT firms Infosys INFY. NS HCL Tech HCLT. NS and Wipro WIPR. NS are due later this week. Metals. NIFTYMET rose 1. 43 on hopes of demand recovery after top metals consumer China reopened its borders. TCS was 3. 4 up ahead of its results while Titan TITN. NS was the top loser on the Nifty 50 falling 2. 1 after the jewellery maker reported quarterly sales growth below expectations. 1 82. 2700 Indian rupees Our Standards The Thomson Reuters Trust Principles.
"Indian shares set to fall on risk aversion, ahead of Dec F&O series ... - Reuters India","Indian shares are set to open lower on Thursday, tracking a slide in global equities as investors moved with caution in the year-end, ahead of the December derivatives series' expiry.",2022-12-29T03:14:00Z,https://www.reuters.com/world/india/indian-shares-set-fall-risk-aversion-ahead-dec-fo-series-expiry-2022-12-29/,Indian shares rebound on slide in oil prices Dec FO series expiry BENGALURU Dec 29 Reuters Indian shares swung to gains in the final hour on Thursday on slide in oil prices due to demand concerns in China while volatility was high in domestic market with the expiration of the December derivatives series. The Nifty 50 index. NSEI closed 0. 38 higher at 18191 and the SP BSE Sensex. BSESN rose 0. 37 to 61133. 88. The benchmarks had fallen over 0. 7 during the session. Most of the major sectoral indexes reversed losses with oil and gas stocks and metals rising over 1. Sectoral heavyweight financials. NIFTYFIN added over 0. 5. Thirtythree of the Nifty 50 constituents advanced with Bharti Airtel BRTI. NS State Bank of India SBI. NS Eicher Motors EICH. NS Tata Steel TISC. NS and Axis Bank AXBK. NS rising over 1. 5. The turnaround in the domestic market came after crude prices fell over 2 pressured by demand concerns in China. The decline in crude prices could help the domestic market continue outperforming global peers said Neeraj Dewan director at Quantum Securities. The fall in prices is a positive for oilimporting countries like India as crude constitutes the bulk of the countrys import bill. Meanwhile traders settled their futures and options FO contracts as the December derivatives series the last one of 2022 expired today. Investors covered their short positions on the last day of the December monthly expiry fuelling an upsurge in metals banking stocks and oil and gas shares said Shrikant Chouhan head of equity research retail at Kotak Securities. Analysts expect the volumes in domestic market to be thin till next week with the earnings season for the Decemberquarter being the next major trigger. 1 82. 7360 Indian rupees Our Standards The Thomson Reuters Trust Principles.
Wells Fargo terminates employee over unruly behaviour on Air India ... - Reuters India,"Wells Fargo <a href=""https://www.reuters.com/companies/WFC.N"" target=""_blank"">(WFC.N)</a> said on Friday it had terminated one of its employees in India and was cooperating with local law enforcement, after allegations of misbehaviour onboard an Air India fli…",2023-01-06T13:58:00Z,https://www.reuters.com/world/india/wells-fargo-terminates-employee-over-unruly-behaviour-air-india-flight-2023-01-06/,Wells Fargo terminates employee over unruly behaviour on Air India flight NEW DELHI Jan 6 Reuters Wells Fargo WFC. N said on Friday it had terminated one of its employees in India and was cooperating with local law enforcement after allegations of misbehaviour onboard an Air India flight. Tata groupowned Air India said earlier this week it had banned a male passenger for 30 days in compliance with regulations following an incident on a Nov. 26 flight from New York to Delhi in which the man while apparently inebriated urinated on a female passenger. This individual has been terminated from Wells Fargo. We are cooperating with law enforcement Wells said in a statement referring to the incident. The airline has faced criticism from Indias aviation regulator after the incident and also acknowledged that a second similar incident occurred last month on a separate flight. A lawyer for the terminated employee did not immediately respond to a Reuters request for comment. Air India declined to comment. Our Standards The Thomson Reuters Trust Principles.
"Indian shares rise in final session of 2022; IT, metals up - Reuters","Indian shares opened higher on Friday in the final session of 2022, aided by an uptick in IT stocks, tracking gains in global equities.",2022-12-30T04:28:00Z,https://www.reuters.com/markets/asia/indian-shares-set-rise-final-session-2022-us-jobs-data-2022-12-30/,Indian shares rise for seventh year but slip in final session of 2022 BENGALURU Dec 30 Reuters Indian shares closed lower in a choppy session on Friday dragged by a decline in most sectors in the final hour as data on the countrys current account deficit CAD released on Thursday weighed. The Nifty 50 index. NSEI closed 0. 47 lower at 18105. 30 and the SP BSE Sensex. BSESN fell 0. 48 to 60840. 74. Both the indexes had gained over 0. 4 during the session. The indexes extended gains for a seventh consecutive year in 2022 but also advanced the least since 2018. Both indexes rose over 4 in a year marked by geopolitical tensions rate hikes by global central banks and recession worries. 2022 was a year of polarisation for Indian equities said Lakshmi Iyer CEO investment advisory at Kotak Investment Advisors. Central banks actions to hike rates may see a plateau in 2023. Most of the major sectoral indexes reversed gains on Friday. Financials. NIFTYFIN and fastmoving consumer goods. NIFTYFMCG rose 0. 4 and 0. 52 during the day before closing down 0. 57 and 0. 76 respectively. Indias poor CAD number for the fiscal second quarter weighed on the minds of participants said Deepak Jasani head of retail research at HDFC Securities. He added that the 18250 mark remains a crucial resistance for the Nifty 50 index. Indias CAD for the quarter ended September 2022 Q2FY202223 widened to a nineyear high due to high commodity costs and weak currency according to data released by the Reserve Bank of India RBI on Thursday. However analysts said the CAD had likely peaked and the outlook remained optimistic. Twentynine of the Nifty 50 constituents declined with SBI Life SBIL. NS Eicher Motors EICH. NS and Grasim Industries GRAS. NS losing over 1. 75. 1 82. 7580 Indian rupees Our Standards The Thomson Reuters Trust Principles.
India's Infosys Q3 profit beats estimates - Reuters,"Indian software services company Infosys <a href=""https://www.reuters.com/companies/INFY.NS"" target=""_blank"">(INFY.NS)</a> reported quarterly profit that beat estimates on Thursday, and raised its annual revenue outlook, helped by a strong deal pipeline.",2023-01-12T10:23:00Z,https://www.reuters.com/technology/indias-infosys-q3-profit-beats-estimates-2023-01-12/,Indias Infosys lifts FY rev view on strong deal momentum BENGALURU Jan 12 Reuters Infosys Ltd INFY. NS raised its annual revenue outlook on Thursday after a strong deal pipeline helped Indias No. 2 IT services company by revenue report a betterthanexpected quarterly profit. The Bengalurubased company said it expects revenue growth of 16 to 16. 5 for the financial year to March compared to the growth of 1516 it had projected earlier. The company signed 32 large deals 30. 4 more than it did in the same quarter last year for a total of 3. 3 billion the most in two years Infosys said. Infosys categorises large deals as those worth at least 50 million in value. We see much more demand for automation cost efficiencies operational improvement programs Infosys chief executive Salil Parekh told reporters in a press conference adding that investments made in Europe over the past two years had kept its business strong in that major market in the reported quarter. Parekhs comments came after larger rival Tata Consultancy Services Ltd TCS. NS missed profit estimates and flagged challenges in Europe as clients tightened spending due to rough economic conditions. Gross addition of clients for Infosys during the quarter rose to 134 from 111 a year ago while operating margin for the quarter fell to 21. 5 from 23. 5 year ago. For the full year ending March 2023 Infosys kept its operating margin guidance at 2122. Consolidated net profit at the firm rose to 65. 86 billion rupees 808 million in the three months to Dec. 31 from 58. 09 billion rupees a year ago. Analysts on average had expected a profit of 65 billion rupees according to Refinitiv IBES data. 1 81. 5250 Indian rupees Our Standards The Thomson Reuters Trust Principles.
China's BYD to launch luxury electric sedan in India this year - Reuters,"BYD <a href=""https://www.reuters.com/companies/002594.SZ"" target=""_blank"">(002594.SZ)</a> will launch its third passenger electric vehicle in India by the fourth quarter of this year, the Warren Buffett-backed Chinese electric carmaker said during an auto sho…",2023-01-11T10:00:00Z,https://www.reuters.com/business/autos-transportation/chinas-byd-launch-luxury-electric-sedan-india-this-year-2023-01-11/,Chinas BYD to launch luxury electric sedan in India this year GREATER NOIDA India Jan 11 Reuters BYD 002594. SZ will launch its third passenger electric vehicle in India by the fourth quarter of this year the Warren Buffettbacked Chinese electric carmaker said during an auto show on the outskirts of New Delhi on Wednesday. The allwheel drive luxury sedan BYD Seal will have a range of 700 kilometres. The company also plans to double its dealer network in the country in 2023 it added. BYD launched its first passenger car in India in October an electric sportutility vehicle SUV with a plan to corner 40 of the countrys electric car market by 2030. The carmaker plans to sell 15000 units of the Atto 3 eSUV this year in India where it has already invested over 200 million and will set up local manufacturing in due course. BYDs push comes as the Indian government continues to maintain tight scrutiny over investments from China and has sought to limit investments from Beijing after a 2020 clash between soldiers from the two countries on their disputed Himalayan border. Electrification is gathering momentum in India where domestic companies like Tata Motors TAMO. NS Indias topselling EV maker and Mahindra Mahindra MAHM. NS are lining up affordable EV models while global players like BYD and Kia Motor are bringing in premium cars. India is set to become the worlds thirdlargest market for passenger and other light vehicles displacing Japan according to a forecast by SP Global Mobility. Our Standards The Thomson Reuters Trust Principles.
India's HCLTech beats Q3 profit on strong deal wins - Reuters,"Indian IT services company HCLTech Ltd <a href=""https://www.reuters.com/companies/HCLT.NS"" target=""_blank"">(HCLT.NS)</a> on Thursday reported a higher-than-expected profit for the December quarter helped by strong deal wins, but lowered its full-year revenue …",2023-01-12T14:08:00Z,https://www.reuters.com/technology/indias-hcltech-beats-q3-profit-strong-deal-wins-2023-01-12/,Indias HCLTech beats Q3 profit on strong deal wins BENGALURU Jan 12 Reuters Indian IT services company HCLTech Ltd HCLT. NS on Thursday reported a higherthanexpected profit for the December quarter helped by strong deal wins but lowered its fullyear revenue view citing seasonal challenges in the fourth quarter. The company said it won 17 large orders across its services and software segments for the quarter ended March 31 with new deal wins valued at 2. 35 billion up 10 yearonyear. HCLTech forecast fullyear revenue growth between 13. 514. 0 compared with an earlier view of 13. 514. 5. The company also said it expects its annual services revenue in constant currency to be between 1616. 5 compared with the 1617 it had forecast earlier citing seasonal factors in the fourth quarter. There was no indication of a slowdown and the companys order book remained strong chief executive C Vijayakumar said in a media conference. However he flagged delays in decision making in Europe inline with comments from larger rival Tata Consultancy Services TCS. NS that had warned of challenges in the region due to rough economic conditions. Meanwhile other rival Infosys INFY. NS on Thursday raised its annual revenue outlook after a strong deal pipeline. Consolidated net profit for HCLTech jumped 19 to 40. 96 billion Indian rupees 502. 61 million HCL reported in an exchange filing. Analysts on average expected the company to report a profit of 38. 56 billion rupees according to Refinitiv data. Earnings before income tax EBIT margins for the third quarter ending Dec. 31 stood at 19. 6 up from 18 in the previous quarter. HCLTech narrowed its EBIT margins guidance for FY 2023 to 18. 0 to 18. 5. Revenue from operations jumped 19. 56 to 267 billion rupees. 1 81. 4940 Indian rupees Our Standards The Thomson Reuters Trust Principles.
