Title,Description,PublishedAt,URL,Content
Elon Musk isn’t serious about giving power to a new CEO,"Elon Musk says that he’ll still be in charge of Twitter’s software and server teams after he resigns his CEO seat to “someone foolish enough” to take the job. In a recent poll, Twitter users voted in favor of him stepping down.",2022-12-21T01:57:28Z,https://www.theverge.com/2022/12/20/23520019/elon-musk-stop-twitter-ceo-software-server-teams,Elon Musk said Tuesday that hell still be in charge of Twitters software and server teams after he resigns his CEO seat to someone foolish enough to take it. He broke the news in a response to a poll he ran earlier this week where around 58 percent of respondents said that he should step down as CEO. Given that the social networking site is mainly made up of software and servers especially after the massive layoffs its clear Musk will still have direct control over the company even if he doesnt have the explicit CEO title. Thats not necessarily a surprise Musk has defacto control over product at most of his companies and hes still Twitters owner at the end of the day. But the announcement likely means disappointment for anyone hoping that him stepping down as CEO would bring an end to Twitters wild rollercoaster ride. While Musk has indicated that hes mainly interested in the Twitter users that are willing to pay him for the service there are another group of people he has to satisfy Tesla shareholders. The companys share price has been tumbling since Musk bought Twitter dropping almost 100 in value since November 1st down to around 137 when markets closed on Tuesday. Musk has several times blamed the drop on interest rates making saving more appealing than investing but some Tesla shareholders have raised concerns about the companys engineers going to work at Twitter and how Musks antics at Twitter reflect on his other companies. The only problem is the optics of having the CEO on Twitter every day discussing the problems of Hunter Biden said Ross Gerber a head of a firm invested in Tesla according to Business Insider. Musk has also sold billions in Tesla stock since he promised to stop doing that this spring and again in the summer. It seems likely that some of the money from the Tesla selloff went to help prop up Twitter. Unfortunately for Tesla shareholders a group that involves Musk whose shares once made him the worlds richest man until the stock price slip cost him that title it doesnt seem like Musk intends on stepping away from Twitter any time soon. Sure whoever he gets as CEO may be tasked with trying to corral advertisers and policymakers both of which have been suspiciously eyeing Twitters new management. But when it comes to the Twitter that people are actually using it sounds like Elon will still be Chief Twit.
"Tesla delivered a record 1.3 million vehicles in 2022, but it still disappointed Wall Street","Tesla delivered a record number of cars last year, as sales continued to grow by percentages any other major automaker would dream about. But Tesla still managed to disappoint Wall Street throughout 2022 -- and the last quarter was no different.",2023-01-02T17:49:41Z,https://www.cnn.com/2023/01/02/investing/tesla-deliveries-production/index.html,Tesla delivered a record number of cars last year as sales continued to grow by percentages any other major automaker would dream about. But Tesla still managed to disappoint Wall Street throughout 2022 and the last quarter was no different. The electric automaker delivered 1. 3 million vehicles in 2022 up 40 from 2021. It produced nearly 1. 4 million vehicles up 47 from the prior year. Yet the fourth quarter underwhelmed Tesla delivered only 405278 vehicles well below the median estimate of 431000 according to analysts polled by Refinitiv as recession fears and higher interest rates led to a slowdown in demand. Although 40 growth is nothing to sneeze at Teslas pace of growth is slowing. Deliveries nearly doubled in 2021 and more than quadrupled in 2020. Teslas TSLA stock plunged 65 in 2022 as demand weakened. Competition in electric vehicles from established automakers surged last year. The company missed its growth targets throughout the year and it scaled back production in China. Evidence of car buyers sinking interest in Teslas became apparent last month after the company announced a rare sale in a bid to clear out inventory. Tesla offered two rebates for buyers taking delivery of a vehicle before the end of the year initially offering a 3750 discount then doubling the rebate to 7500 with two weeks left in 2022. Investors were rattled by the rebates sending the stock plunging 37 in December alone. Tesla thanked customers and employees for helping the company achieve a great 2022 in light of significant Covid and supply chain related challenges throughout the year according to a statement released on Monday. The company also said it was proud of its growth and progress. We continued to transition towards a more even regional mix of vehicle builds which again led to a further increase in cars in transit at the end of the quarter the statement read. Tesla said it delivered 1. 25 million of its lessexpensive Model 3 and Model Y electric cars and nearly 67000 of its higherend Model X and Model X lines.
Tesla Delivered a Record 1.31 Million Cars in 2022 Despite Elon,"Tesla delivered 1.31 million electric vehicles in 2022, a 40% increase year-over-year and a record for the company, despite a hot mess CEO who spent the year tweeting and throwing his brands—and $200 billion in net worth—in the toilet.Read more...",2023-01-03T13:27:00Z,https://gizmodo.com/tesla-elon-musk-electric-car-deliveries-131-million-1849943789,Tesla delivered 1. 31 million electric vehicles in 2022 a 40 increase yearoveryear and a record for the company despite a hot mess CEO who spent the year tweeting and throwing his brandsand 200 billion in net worthin the toilet. The deliveries marked a new high for Tesla but they werent enough to make Wall Street happy. Analysts expected Tesla to ship 431000 cars in the fourth quarter but the company only managed to deliver 405000. Overall Tesla delivered 1. 2 million of its less expensive Model 3 and Y cars in 2022 and 66700 Model S and Model X cars which are higherend. On the production side Tesla whipped up 439000 vehicles in the fourth quarter which was notable given that the company rarely produces more cars than it delivers according to Reuters. Production increased by 47 yearoveryear to 1. 37 million cars. Since Tesla doesnt release specific sales data analysts use delivery numbers as one metric to measure the companys performance each quarter. We continued to transition towards a more even regional mix of vehicle builds which again led to a further increase in cars in transit at the end of the quarter the company said in a short statement alongside its production and delivery update. In addition Tesla thanked its customers employees and suppliers among others for helping it achieve a great 2022 in light of significant COVID and supply chain related challenges throughout the year. Teslas disappointing delivery numbers are the newest problem in the automakers pile of woes many of which were created by CEO Elon Musk who also owns Twitter and SpaceX. The companys stock started sliding rapidly downhill beginning in April when Musk decided he wanted to buy Twitter. He would spend the summer attempting to back out of that deal. Upon realizing he couldnt Musk begrudgingly completed his purchase much to the horror of investors who wanted the billionaire to focus on Tesla. Tesla stock fell 65 in 2022 and the company has been forced to deal with the fallout of Musks actions at Twitter which include laying off thousands of workers forcing people to sign a pledge to stay at an extremely hardcore Twitter firing the janitors and refusing to pay rent for the companys office space. And thats only a snapshot. There are growing indications that the Musk train wreck has soured Teslas devoted customers and investors on the billionaire. CNET reported that customers are canceling their preorders and terminating their leases. Some of the angry buyers posted that Musk is tanking the Tesla brand and that theyre embarrassed to drive their Teslas. Others say that their next electric car wont be a Tesla. Meanwhile Musk fans have become more critical of the man they once worshipped. In December major Tesla shareholder Leo KoGuan criticized the billionaire for abandoning the electric car company. Elon abandoned Tesla and Tesla has no working CEO KoGuan tweeted. Tesla needs and deserves to have working full time CEO.
The EV revolution became an eventuality in 2022,"It’s been a decade since the first Tesla EV made its commercial debut and the electrification of American automotive society began in earnest. Acceptance at the newfangled technology was slow at first but, over the past ten years as battery capacities have gr…",2022-12-29T16:00:22Z,https://www.engadget.com/the-ev-revolution-became-an-eventuality-in-2022-160022818.html,Its been a decade since the first Tesla EV made its commercial debut and the electrification of American automotive society began in earnest. Acceptance at the newfangled technology was slow at first but over the past ten years as battery capacities have grown and range anxieties have shrunk electric vehicles have become a daily sight in most parts of the country. Doesnt hurt that virtually every notable automaker on the planet has jumped on the electric bandwagon with sizable investments in battery and production technologies as well as pledges to electrify their lineups within a decade or so. Not even recent years production slowdowns and supply chain disruptions brought on by the COVID pandemic managed to stall the industrys momentum. The International Energy Agency in January reported that EVs had managed to triple their market share between 2019 and 2021 with 6. 6 million units being sold globally last year. Thats not to discount the crippling impacts of the chip shortage which saw fleets of nearlyfinished electrified vehicles parked and idled as they awaited necessary components. Or in Teslas case simply sold without the needed part oh calm down its just the steering column theres nothing critical in there anyway thats what autopilot is for right 2022 has eliminated any lingering doubts about whether EVs are here to stay hint they are. So far in 2022 global EV sales are up 70 percent or around 2 million units from 2021s figures according to Morgan Stanley. It is expecting a further 22 percent increase around another 1. 8 million units in 2023. Chinas BYD set monthly EV sales records throughout the year. Domestically an Experian study released in October noted more than 600000 new EV registrations through the first ten months of 2022 a 60 percent yearoveryear jump. EVs may not be quite as ruggedized as their hybrid cousins but who cares about that when youve got Ken Lets See If I Can Barrel Roll This Car Block blowing the doors off of the Vegas Strip in an 800V Audi S1 Hoonitron Or have VW tickling the American publics deep seated nostalgia with a reimagined Hippy Wagon for the 21st century Even Sony is getting into the EV game. EVs are no longer niche theyve become an indelible part of the culture. In terms of market share Tesla and BYD both retained their dominant positions within their relative markets and briefly jockeyed for the world number one spot before BYD pulled away. The Chinese automakers EV sales now account for nearly 20 percent of the global total. For its part Tesla passed notable milestones in its 10000th Model Y produced at the Texas Gigafactory and the millionth vehicle to roll out of production at Gigafactory Shanghai. 2022 also saw big moves and bigger investments from the rest of the automotive industry from Ford and General Motors especially. Ford began delivering its highlyanticipated F150 Lightning EV pickup in May turned them into roving conference rooms with help from Cisco began beta testing their bidirectional charging capabilities with Californias public utility as did GM developed a new battery chemistry announced plans to bring seven more EV models to the European market by 2024 and imagined a world without dealer showrooms for EV sales. General Motors had a banner year of its own. The company began production on its new marquee Lyriq EV unveiled its Yukon Denali Silverado Blazer and Celestiq EVs teased its upcoming Corvette hybrid and secured a sizable federal loan to expand its battery manufacturing base. Not to be left out Hyundai announced in 2022 a 5 billion investment in its USbased production capacity including a new EV factory in Georgia. The Korean automaker which has quietly risen to prominence in the US market in recent years announced its next EV flagship the Ioniq 6 in July the latest in Hyundais effort to release 17 electric vehicle models by the end of the decade. Kia Hyundais sister brand showed off the companys brawnier EV6 GT at Monterey Car Week. VWs 2022 was fruitful as well and it appears that the automaker has fully embraced its electrified future following the dieselgate scandal how could it not. VW opened a new ID. 4 production plant in Tennessee announced plans to invest an additional 7. 1 billion into its North American production capacity over the next five years and dipped its toes into the EV battery business as well. Pfft all Volvo did this year was debut the safest car ever. And it wasnt just the established brands Lucid Motors is riding high this holiday season buoyed by the November unveiling of its new top of the line Air Sapphire along with two ahem relatively less expensive Air model variants which will start at 87000 with 410 miles of range and go up from there. The company also revealed plans this year to sell 100000 units to the Saudi government which has heavily invested in the company. 2022 also saw a drastic expansion of the nations various fast charging networks. In June the Biden White House proposed a set of standards for the national EV charging network. The following month GM announced that it will partner with EVGo to create a 500station coasttocoast fastcharge network and in December opened its first two Community Charging Initiative sites in Wisconsin and Detroit. Hertz fresh off two significant purchase contracts with Polestar and GM revealed it is working with BP to host the latters BP Pulse chargers at select Hertz car rental locations not unlike what VW and BP have planned for Europe. Similarly IKEA will team up with Electrify America to bring EAs fast charging network to the Swedish homeware makers parking lots. Perhaps most exciting the White House in July confirmed rumors that Tesla would be opening its expansive North American SuperCharger network to nonTesla EVs by the end of the year thats an additional 1700plus charging points for drivers to fill up at. But 2022 wasnt all smooth asphalt and sunshine. Rivian fell on hard times this year struggling with production issues layoffs price hikes lawsuits in response to said price hikes followed by reversals of said price hiles delays to the R1S delivery schedule and trim level cullings. Rivian performed so badly in 2022 that it dragged Fords stock value down alongside it but it was still a better year than Lordstown had. And hey at least they didnt use the tip of their tongue to test for live wires like BMW did in July when it tried to paywall access to seat heaters that vehicle owners had already paid for. Even Mercedes had the good sense to charge 1200 a year only for funtime performance extras like added torque and a shortened 060 rather than essential capabilities like retaining rearend sensation on cold winter mornings. We also saw significant pricing fluctuations in EVs this year. Tesla raised prices across the board for its entire lineup as did Polestar with its single motor variant while VW dropped the price of its 2023 ID. 4 by around 4000 thanks to its use of a slightly smaller battery pack. For as eventful as 2022 turned out to be 2023 and beyond is sure to be even bigger for the EV industry. Were expecting debuts of the VW ID. 3 the Lucid Gravity Polestar 3 Jeep one of four and Honda Prologue SUVs. The Kia EV9 is slated for release in the second half of the year while the Buick Wildcat wont be realized until 2024. With any luck these EVs will serve merely as stopgaps until Volkswagen can perfect its Gen. Travel concept and begin shuttling us around in automated transport pods. Like WallE but just as fat.
Tesla shares are down 70% for the year as Morgan Stanley cuts price target,"Tesla's stock is finishing out its tumultuous year with yet more turbulence: It's up almost 6% Thursday, but still down more than 10% since last week. And a new cut to its price target from Morgan Stanley isn't helping.",2022-12-29T18:46:21Z,https://www.cnn.com/2022/12/29/business/tesla-stock/index.html,Teslas stock is finishing out its tumultuous year with yet more turbulence Its up almost 6 Thursday but still down more than 10 since last week. And a new cut to its price target from Morgan Stanley isnt helping. Yeartodate the stock is down about 70. Morgan Stanley analysts on Thursday said that the companys sliding stock price represents a buying opportunity but they cut its price target from 330 per share to 250. Tesla shares are trading at 122 with the stock up about 8 Thursday. Morgan Stanley still believes the company is somewhat undervalued as a result of the big recent selloffs citing its head start over the electric car competition and potential tax advantages as a result of the Inflation Reduction Act passed earlier this year. The losses however have further put a dent in the fortunes of one of the worlds richest people. According to the Bloomberg Billionaires Index CEO Elon Musk is now worth 132 billion less than half what he was worth at the beginning of the year. He lost the worlds richest person title two weeks ago to Bernard Arnault the chairman of French luxury goods giant LVMH LVMHF. Why Tesla is tanking A popular misconception has emerged about Elon Musk and Tesla The megabillionaires love affair with Twitter is the main reason Tesla shares have lost so much value this year. Even as Musk signals he may give up his CEO title at Twitter investors became concerned that the outlook for Teslas sales and profit is taking a turn for the worse. A sign of the weakening demand Tesla has announced a rare sale. The company offered two rebates for buyers who take delivery of a vehicle before the end of the year initially offering a 3750 discount earlier this month. Tesla then doubled that rebate to 7500 last Thursday. Tesla clearly is starting to see demand cracks in China and in the US at a time that EV competition is increasing across the board said Dan Ives tech analyst with Wedbush Securities and a Tesla bull who cut his price target for the stock last Friday from 250 to 175. The price cuts that Tesla enacted was the straw that broke the camels back on the stock. Another reason Teslas stock is sinking The US economy could tip into recession next year hurting car sales. Musk said on a Twitter Spaces call two weeks ago that he foresees the economy will be in a serious recession in 2023. I think there is going to be some macro drama thats higher than people currently think he said according to Reuters adding that homes and cars will get disproportionately impacted by economic conditions. Teslas questionable valuation Part of the problem with Teslas stock price is that critics question whether it was ever worth the trilliondollar valuation it had at the start of the year. At its peak Tesla was worth more than the 12 largest automakers on the planet combined despite having a fraction of the sales of any of them. Today it is worth 399 billion. It got ahead of itself in the nearterm said Gene Munster of Loup Ventures another Tesla fan. I still believe this can be a much bigger company. I think it will see those kinds of numbers again. But it could take a long long time to get there. Teslas growth prospects a target of 50 sales growth annually helped drive that valuation. It conceded in October that it will miss that sales target for this year. The stocks climb to dizzying heights rising 743 in 2020 alone was driven by Musks reputation as a genius who would disrupt the massive global auto industry. Tesla was viewed as a disruptive technology company not as an automaker and a large part of that premium is related to Musk said Ives. Overpromising and underdelivering Critics of Tesla said much of its skyhigh valuation was based on promises that Musk made about future products many of which came years after they were originally promised. A prime example is the Cybertruck the Tesla pickup truck first unveiled three years ago with promises that production would start in 2021. Now production is slated to start next year with a rampup in production in 2024 putting it years behind other electric pickup offerings from Ford and upstart EV maker Rivian both of which have electric pickups available for purchase today. It could also trail planned electric pickup offerings from General Motors. Elon Musk has a pathological problem with the truth said Gordon Johnson one of the largest critics of Tesla among analysts. When people say hes a genius and innovator its based on all his promises he never lives up to. Johnson said Tesla shares will have a much steeper fall ahead once it starts being priced like other automakers rather than on its promises. He said that for Tesla to hit its growth targets it needs to be building new plants almost every year but that new factories in Germany and Texas that opened in spring are still not operating at full capacity. And he said that its plant in China has had to scale back production due to weak sales in the market in the face of the Covid restrictions. Demand in the US has collapsed he said. Two months ago your wait time was two or three months. Now you can get one immediately. Theyre going to build more cars than they sell for a third straight quarter. Its the definition of excess capacity. Tesla is still by far the largest EV maker worldwide although that title is being challenged in some key markets by Volkswagen in Europe and by BYD in China. And more competition is coming from established automakers such as Ford and GM. The Twitter factor Thats not to say Twitter has played no role in Teslas stock price demise this year Tesla shares have lost over 65 of their value since Musks interest in Twitter was first disclosed in April with a nearly 50 decline since he closed on the deal in late October. Investors have been disappointed that Musk appears to be paying for so much of his 44 billion purchase of Twitter by selling Tesla stock. Musk Teslas largest shareholder has sold 23 billion worth of Tesla shares since his interest in Twitter became public in April. On a Twitter Spaces call last week call Musk promised he was done selling shares of Tesla TSLA stock until at least 2024 if not beyond. But he hasnt lived up to a previous promise in April that he was done selling Tesla TSLA shares selling 14. 4 billion of that stock since that time. Its been a Pinocchio situation for Musk saying he is done selling stock. Investors want to see him walk the walk and not just talk the talk said Ives.
Tesla's Model Y could fall foul of new EV tax credit eligibility rules,"Certain variants of Tesla's Model Y may not qualify for the $7,500 federal EV tax credit based on the IRS's latest guidelines, a situation that Elon Musk has called ""messed up."" It looks as though the five-seat Long Range version of the hatchback is too expen…",2023-01-04T10:12:29Z,https://www.engadget.com/teslas-long-range-model-y-may-not-qualify-for-the-ev-tax-credit-101229812.html,Certain variants of Teslas Model Y may not qualify for the 7500 federal EV tax credit based on the IRSs latest guidelines a situation that Elon Musk has called messed up. It looks as though the fiveseat Long Range version of the hatchback is too expensive as a car and not considered an SUV so it falls outside the current guidelines. That could change though as the rules wont be finalized until March 2023. The IRS has divided vehicles into two categories vans SUVs and pickup trucks under 80000 and other vehicles under 55000. For the first category the vehicle must have 4wheel drive or be rated at more than 6000 pounds of gross weight. It also has to meet four of five other characteristics most notably front and rear axle clearances of 18 centimeters or higher and a running clearance of at least 20 centimeters no Model Y meets these specs. According to the IRS only the 7seat variants of the Model Y qualify as SUVs in the category up to 80000 while the 5seat vehicles Long Range AWD and Performance are in the 55000 section. The 7seaters comfortably fall under the 85000 limit but all the 5seaters exceed the 55000 price so they dont qualify. Tesla doesnt have a specific AWD variant of the Model Y in the US both the Long Range and Performance models are AWD so its not clear which model the IRS is referring to. The 5 and 7seat versions cost the same starting at 65990 for the Long Range version before destination and order charges. Critics are pointing out that far more polluting hybrid vehicles qualify for the tax credits including two Jeeps the Audi Q5 e Quattro BMW X5 xDrive45e and Fords Escape PHEV. However if someone buys a Jeep Wrangler with 56 MPGe 23 MPG after the battery is depleted instead of a Tesla Model Y with 122 MPGe then the government clearly isnt doing the most it can to reduce carbon emissions. The IRS has invited consumers to comment on the matter and Musk encouraged people to do so in a tweet.
Tesla cuts prices in China for the second time in three months as demand slows,"Tesla has slashed car prices in China for the second time in less than three months, in an effort to boost sales amidst slowing demand in the world's largest car market.",2023-01-06T11:12:16Z,https://www.cnn.com/2023/01/06/economy/tesla-china-price-cut-slowdown-intl-hnk/index.html,Tesla has slashed car prices in China for the second time in less than three months The electric vehicle maker cut prices for all versions The starting price for Model 3 has been reduced by 13. 5 to 229900 yuan 33515 while the starting price for Model Y has been slashed by 10 to 259900 yuan 37889 according to CNN calculations. This is the second price cut since October 24 when Tesla TSLA reduced the prices of Model 3 and Model Y by as much as 9. 4. Previously Tesla TSLA had increased prices by several times in the past two years. Teslas price cuts are backed by innumerable engineering innovations said Grace Tao Teslas vice president for external relations in China on her Weibo account on Friday. We are responding to the countrys call with practical actions to promote economic development and release the potential of domestic demand. The discount comes at a time when the American electric vehicles maker is struggling to maintain its sales in China its biggest international market. In December Teslas Shanghai factory delivered 55796 vehicles down 44 from November according to figures released by the China Passenger Car Association on Thursday. Overall sales in December reported by automakers fell 4 from the same month a year ago as the worlds second largest economy slows to the weakest pace in decades. Teslas price cuts come days after Beijing The Chinese government had planned to phase out its costly EV subsidy program by the end of 2020 but extended it during the pandemic to avert a sharp economic slowdown. The company has been struggling outside China as well. Last year Tesla produced more cars than it delivered which means its inventory has increased. On Tuesday Teslas stock on Wall Street had its worst day in two years dragged down by weakerthanexpected sales data globally. The companys shares ended 2022 down 65 greatly cutting into CEO Elon Musks net worth. The major worry now for Tesla is that the demand story especially out of China is showing heavy cracks in the armor said analysts from Wedbush Securities earlier this week. EV competition is also increasing domestically in China with Nio BYD Xpeng and other brands fighting for a smaller pie they said. A potential pricing war could take place to gain market share they added. CNNs Chris Isidore and David Goldman contributed to the article.
Tesla plunges 250 feet off a California cliff and the 4 occupants survive,Two adults and two children somehow escaped serious injuries after their Tesla plunged off a cliff along California's Pacific Coast Highway and crashed on a rocky beach some 250 feet below.,2023-01-03T21:16:34Z,https://www.cnn.com/2023/01/03/us/tesla-crash-cliff-california-cec/index.html,Editors Note The man was arrested after allegedly driving off a cliff intentionally on the Pacific Coast Highway. Find the latest story here. Two adults and two children somehow escaped serious injuries after their Tesla plunged off a cliff along Californias Pacific Coast Highway and crashed on a rocky beach some 250 feet below. The incident occurred Monday morning at an area called Devils Slide some 20 miles south of San Francisco. We were very shocked to discover that people in the car had survived the crash said Brian Pottenger battalion chief with Cal Fires Coastside Fire Protection District. Accidents on that cliff are not rare. We do respond to a lot of vehicles on that cliff he told CNN. Whats rare is that we do not get a lot of survivors surviving this type of accident is very rare. Pottenger said the car contained an adult male an adult female a 9yearold boy and a 4yearold girl. The children were both secured in car seats which remained intact and in place he said. Officials said the fourdoor white Tesla sedan was traveling southbound on Highway 1 just south of the Tom Lantos Tunnel between Pacifica and Montara when it veered off the roadway. They did not cite a reason for the crash. A spokesperson for the California Highway Patrol told CNN they do not believe any of the Teslas selfdriving features were active at the time. The damage to the vehicle would indicate that it hit and then flipped several times Pottenger said. The car came to rest on its wheels he added. Firefighters rappelled down the cliff to the car while other first responders watched through binoculars. As we were doing that we were able to notice movement in the front seat through the windshield Pottenger said. So we knew that we had at least one person that was alive. The cars occupants were trapped inside the mangled vehicle officials said. All four were conscious when the fire department reached them Pottenger told CNN. Crews freed the two children and used a rope to lift them up the cliff in baskets. Later a California Highway Patrol helicopter hoisted the two adults to safety. The California Highway Patrol posted dramatic video of the helicopter lowering a rescuer on a cable to the crash site while surf crashed against the rocks below. The San Mateo Sheriffs Office said Monday that the two adults suffered nonlife threatening injuries and the two children were unharmed. The cars occupants were transported to Stanford Medical Center for treatment Pottenger said. An update on their conditions was not available Tuesday. Officials have not released the identities of the four survivors or said whether all four were from the same family. The CHP is investigating and will determine the cause of the crash Pottenger said. This was a traumatic accident and they survived he said. And it was a good outcome to a very bad situation. CNNs Taylor Romine contributed to this story.
Top Tesla investor has buyer's remorse and says Elon Musk is 'killing' the EV company with stock sales,"""I am 100% in Tesla bc I believe in Elon Musk and Tesla. But he is killing SH and Tesla. If I knew I wouldn't invest in Tesla,"" Leo KoGuan tweeted.",2023-01-09T17:48:33Z,https://markets.businessinsider.com/news/stocks/tesla-stock-investor-leo-koguan-elon-musk-share-sales-twitter-2023-1,Teslas third largest shareholder appeared to show some buyers remorse as he criticized Elon Musks share sales. I am 100 in Tesla bc I believe in Elon Musk and Tesla. But he is killing SH and Tesla. If I knew I wouldnt invest in Tesla Leo KoGuan tweeted. But in a series of weekend tweets he also said he bought more Tesla stock last week. Teslas thirdlargest individual shareholder thinks Elon Musk is damaging shareholders and the company through massive sales of personal stock. In a series of tweets over the weekend Leo KoGuan seemed to express some buyers remorse but still reaffirmed his commitment to the stock. I am 100 in Tesla bc I believe in Elon Musk and Tesla. But he is killing SH and Tesla. If I knew I wouldnt invest in Tesla. Elon invested 200mm but took out 40B Larry invested 1B I invested over 3B I have no choice but to act and speak out. I cry out to U for help KoGuan said on Saturday. Musk has cashed in nearly 40 billion of Tesla stock since November 2021. Meanwhile Tesla earned less than 9 billion of net income in the nine months to September 30. Tesla stock lost a staggering 65 in 2022. KoGuans comments come as Musk draws scrutiny for his focus on his latest role as chief executive at Twitter the social media company he acquired in October. In his tweetstorm over the weekend he dismissed some of his critics as cult followers and directed his criticism largely at Musk whom he seems to refer to as the one. I contacted the board and the one for about 1 year what I got was nothing or at best only empty promises. Actually from these interactions I found out Tesla is one man show company but it is no longer a family business. It is a public company with more than 100000 employees added KoGuan founder and chairman of IT provider SHI International. He currently sits on roughly 23 million shares as of September 2022 and amassed the majority of the fortune during the pandemic months of 2020. Despite his criticism of Musk KoGuan tweeted Friday that he bought 450000 additional Tesla shares last week and plans to buy a million more. He remains a fervent supporter of the company and last month said he plans to invest more billion bc Tesla will be the biggest company with or without Elon. Also last month KoGuan said that it may be time for a new CEO saying Musk has abandoned Tesla. And last week he suggested Musk was intentionally sending the electriccar makers stock lower.
The truth about 'medbeds' - a miracle cure that doesn't exist,Why has a fictional miracle cure taken off online - and who's making money out of it?,2022-12-27T00:45:37Z,https://www.bbc.co.uk/news/blogs-trending-64070190,The truth about medbeds a miracle cure that doesnt exist Published Strange corners of the internet are awash with chatter about miracle devices that can cure nearly any ailment you can think of using the power of mystical energy. Some companies charge thousands for these medbeds but their claims are far from proven. A converted motel in a small town on the Mississippi River seems an unlikely home for a worldchanging technology what a flyer in the mostly deserted lobby calls a new wave of scientific healing. But since last summer this building in East Dubuque Illinois three hours west of Chicago has been outfitted with medical devices that supposedly imbue patients with life force energy. Its one of a number of locations run by Tesla BioHealing no relation to the car company dotted around the US. I tried out a medbed on a recent gloomy weekday afternoon. After being greeted at the front desk a doctor tested my energy levels by having me place my fingers inside a metal box. Then I was ushered into one of the rooms mostly unchanged from its motel days and I waited for pure biophoton lifeforce energy to stream into my body. The idea of medbeds short either for medical beds or meditation beds has become increasingly popular on fringe medical channels on mainstream social networks and chat apps. But people have very different ideas about what they actually are. Some insist that the technology is secret unlikely to be encountered by mere mortals hidden from the public by billionaires and the deep state. The more conspiratorial theorising includes speculation about alien technology and bizarre claims like the idea that John F Kennedy is still alive strapped to a medbed. A separate more earthly avenue of thought holds that medbeds are very real and publicly available just not part of the medical mainstream. Its this strand that Tesla BioHealing and a range of other companies are staking their rather expensive claims on. Tesla BioHealing offers home generators for prices up to 19999 16500 although an hour in one of their medbed motel rooms will only set you back 160 130. But even in the consumerfocused medbed world where there is no talk of aliens or JFK theres disagreement about what a medbed actually is. And theres a very good reason for that says Sara Aniano a disinformation analyst at the Anti Defamation Leagues Centre on Extremism. Its really hard to define something that doesnt exist she says. Ms Aniano has been researching the spread of medbed chat online and as part of her inquiries signed up for trial with a different medbed company 90. 10. The trial is nothing she says. It tells you to lay on your bed and think really hard about the medbed. In their defence they do list on their website in the very fine print down at the bottom that the medbed is not meant to treat or diagnose illnesses she says. Its a common disclaimer that we saw used in some form by just about every company offering a medbedrelated product. Even though companies put out long lists of ailments that can supposedly be helped by their technologies and provide testimonials from satisfied customers they say that their products are not meant to replace treatments by a qualified doctor. Tesla BioHealing is no exception. The top of the companys website clearly states We cannot diagnose treat cure or prevent any disease or condition. And yet their promotional material states Many people note improvements in their wellbeing even after only an hour of resting on a Tesla MedBed. They also make a number of specific unsupported claims about particular diseases. The staff at the Tesla BioHealing motel in East Dubuque told me about legions of customers with all manner of ailments all of whom they said had been helped by medbeds. But in my room I felt nothing more than curiosity and a slight sense of unease as I gazed out the window at a mostly empty car park. The Tesla Medbed cannisters were sealed in wooden boxes and a bedside table. Cutting short my hour I returned to the doctors office where she repeated the test with my fingers in the metal box. Sure enough my energy as measured by the doctors laptop was already rising. But neither the doctor nor anyone else at Tesla BioHealing could tell me what was inside the medbed cannisters themselves. Some enterprising customers have taken it upon themselves to try to find out. We came across a TikTok video where an upset punter appears to have opened up a cannister only to find a concretelike substance. For anyone whos thinking about buying one of those Tesla biohealers dont waste your money she says. The company wouldnt be drawn on what active ingredients if any are inside the cannisters. But they told us in an email There is much more going on with our technology than meets the eye. And while they said the Tesla cannisters were not intended to replace a doctors care they also made further claims of cures and said Health benefits are priceless. Both Tesla BioHealing and 90. 10 pointed us to thousands of positive customer testimonials. And despite the prominent claim on the company website that 90. 10 offers Quantumfrequency medicine with scientific proof 90. 10 chief executive Oliver Schalke told us It is not a medical product and was never intended to be. How then are the medbed companies allowed to offer their products hint at miraculous effects but escape any regulatory oversight Dr Steven Barrett a retired psychiatrist who has been investigating questionable claims for decades says the health care regulator in the United States the Food and Drug Administration FDA is partly to blame. FDA registration is required by any manufacturer who wants to market products but it just means that youve notified the FDA that you exist he says. Tesla BioHealing and other companies advertise that they are FDA registered but that is next to meaningless. FDA registration says nothing about whether a device is useful says Dr Barrett. When it comes to making vague claims about general wellbeing or unprovable statements about increased energy authorities do almost nothing about it he says. He speaks with a note of weariness perhaps because of a lack of biophotons but more likely the result of spending decades tracking dubious health claims. Do I think that exposure to whatever it is that theyre giving you in the bed is going to make you more energetic I seriously doubt that he says. Indeed as I began a long evening drive home from East Dubuque under cloudy skies I felt distinctly lacking in life force energy. With reporting by Elizabeth Hotson and Shayan Sardarizadeh
